year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Surry Hills 33_11kV,01MAY2016,MW,19.79042,19.29612,18.98489,18.92997,18.54551,17.95967,17.70336,17.52029,17.22737,17.22737,17.22737,16.95276,16.71476,16.71476,16.71476,16.44014,16.36691,16.36691,16.54999,16.40353,16.67814,16.76968,16.76968,16.91614,17.33721,17.99628,18.30751,18.50889,18.60043,19.07643,19.24119,19.55242,20.13826,20.87056,20.99872,21.49302,21.89578,22.44501,22.64639,22.82947,23.10408,23.61669,23.92792,23.87299,24.03776,24.05607,24.47714,24.34899,24.03776,24.05607,24.12930,24.14761,24.22084,24.29407,24.29407,24.49545,24.33068,24.31237,24.27576,24.14761,23.92792,23.92792,23.92792,24.00115,24.09268,24.33068,24.22084,24.42222,24.91652,25.35590,26.10651,26.50928,26.19805,25.92344,25.86851,25.81359,25.37421,24.87991,24.86160,24.58699,24.36730,23.92792,23.67161,23.47023,23.04916,22.90270,22.49993,22.00563,21.60286,21.16348,20.59595,20.28472,19.64396,19.16796,18.72858,18.41736
2017,Surry Hills 33_11kV,02MAY2016,MW,18.19767,17.92305,17.35552,17.09922,17.00768,16.62322,16.51338,16.31199,16.01907,16.01907,15.85430,15.90923,15.90923,15.90923,15.90923,15.52477,15.45154,15.50646,16.00076,16.22045,16.78799,16.98937,17.61183,18.34413,19.36935,20.15657,20.98041,22.09717,23.48854,24.78837,25.72205,26.61912,27.20496,27.80911,28.28510,28.37664,28.88925,29.16387,29.36525,29.36525,29.67648,30.29893,30.39047,30.68339,30.73831,30.82985,30.88477,30.93969,31.36077,31.30584,31.65369,31.47061,31.37907,31.43400,31.32415,31.15938,31.26923,31.26923,31.21431,31.26923,30.84816,31.04954,30.92139,30.72000,30.72000,30.97631,30.99462,31.15938,31.28754,31.65369,31.54384,31.52553,30.48201,30.24401,30.18909,30.02432,29.69478,29.43848,29.05402,28.46818,27.71757,27.15004,26.56420,26.32620,25.66713,24.97145,24.45883,23.70823,22.88439,22.42670,21.74932,20.90718,20.30303,19.80873,19.27781,18.91166
2017,Surry Hills 33_11kV,03MAY2016,MW,18.34413,17.83152,17.70336,17.22737,17.20906,17.00768,16.67814,16.27538,16.11061,16.11061,16.11061,15.96415,15.67123,15.67123,15.67123,15.67123,15.67123,15.67123,15.94584,16.07399,16.67814,17.19075,17.48367,18.08782,19.38765,20.44949,21.41979,22.17040,23.76315,24.93483,25.81359,26.71066,27.64434,27.95557,28.30341,28.63295,29.09064,29.23710,29.78632,29.91447,30.20739,30.53693,30.61016,30.75662,31.03123,31.08615,31.10446,31.43400,31.50723,31.59876,31.65369,31.65369,31.70861,31.78184,31.92830,31.63538,31.92830,32.00153,32.01984,31.67199,31.70861,31.28754,31.56215,31.50723,31.15938,30.99462,31.03123,30.99462,30.82985,31.19600,31.34246,31.28754,30.22570,29.96940,29.95109,29.84124,29.25540,29.16387,28.83433,28.28510,27.93726,27.49788,26.83881,26.52758,25.63052,25.04468,24.44053,23.89130,23.08577,22.49993,21.74932,20.98041,20.30303,19.77211,19.44258,18.98489
2017,Surry Hills 33_11kV,04MAY2016,MW,18.47228,18.03290,17.73998,17.30060,17.04429,16.73307,16.56830,16.38522,16.25707,15.90923,15.90923,15.90923,15.90923,15.90923,15.90923,15.90923,15.92753,15.92753,16.20215,16.25707,16.95276,17.26398,17.53860,18.30751,19.79042,20.50441,21.47471,22.49993,24.14761,25.19114,26.19805,26.94866,27.97388,28.52310,28.41326,28.85264,29.23710,29.36525,30.04263,30.28062,30.44539,30.55524,30.46370,30.61016,31.01292,31.50723,31.23261,31.19600,31.25092,31.19600,31.34246,31.41569,31.63538,31.69030,31.70861,31.87338,32.05645,32.05645,31.83676,31.80015,32.07476,31.80015,31.89168,31.56215,31.36077,31.25092,30.79323,30.82985,30.79323,31.15938,31.37907,31.30584,30.28062,30.09755,30.02432,29.98770,29.62155,29.12725,28.98079,28.59633,27.91895,27.68096,27.02189,26.49097,25.92344,25.09960,24.55037,23.96453,23.14069,22.60978,21.65779,21.23671,20.57764,19.93688,19.75380,19.25950
2017,Surry Hills 33_11kV,05MAY2016,MW,18.91166,18.41736,17.83152,17.55690,17.11752,16.86122,16.71476,16.71476,16.60491,16.25707,16.25707,16.25707,16.09230,15.78107,15.78107,15.78107,15.68954,15.68954,16.09230,16.40353,16.93445,17.24568,17.53860,18.28920,19.77211,20.59595,21.49302,22.42670,23.92792,24.91652,25.85021,26.71066,27.69926,28.21187,28.52310,28.66956,29.16387,29.67648,29.91447,30.00601,30.13416,30.39047,30.50031,30.90308,30.99462,31.17769,31.08615,31.52553,31.47061,31.56215,31.72692,31.70861,31.81845,31.74522,31.76353,31.63538,31.74522,31.52553,31.43400,31.28754,30.92139,31.04954,30.77493,30.59185,30.64677,30.51862,30.51862,30.51862,30.66508,30.90308,30.93969,30.75662,29.95109,29.73140,29.53002,29.43848,29.05402,28.79771,28.68787,27.99218,27.68096,27.36973,27.29650,26.72897,26.05159,25.44744,24.66022,24.00115,23.28715,22.42670,21.76763,21.21841,20.68749,20.11995,19.88196,19.20458
2017,Surry Hills 33_11kV,06MAY2016,MW,18.89335,18.21597,17.79490,17.30060,17.19075,17.06260,16.69645,16.67814,16.23876,16.23876,16.23876,16.23876,16.23876,16.23876,15.79938,16.05569,16.07399,15.87261,16.22045,16.64153,16.75137,17.17245,17.94136,18.60043,19.68057,20.48610,21.52963,22.28024,23.72653,25.11791,25.99667,26.89373,27.49788,27.84572,27.84572,28.46818,29.12725,29.54832,30.02432,30.13416,30.39047,30.57354,30.84816,30.75662,30.70170,31.08615,31.28754,31.06785,31.26923,31.48892,31.78184,31.63538,31.94661,32.14799,32.09307,31.76353,32.09307,31.89168,31.47061,31.61707,31.32415,30.77493,30.77493,30.88477,30.66508,30.66508,30.46370,30.37216,30.26232,30.50031,30.64677,30.35385,29.58494,29.07233,28.96248,28.66956,28.48649,27.86403,27.51619,27.13173,26.52758,26.03328,25.70375,25.55729,25.09960,24.66022,23.90961,23.41531,22.77454,22.44501,21.67609,21.21841,20.76072,20.28472,19.99180,19.38765
2017,Surry Hills 33_11kV,07MAY2016,MW,19.13135,18.69197,18.27090,17.88644,17.88644,17.42875,17.39214,17.04429,16.62322,16.44014,16.44014,16.44014,16.31199,16.03738,16.03738,16.03738,15.90923,15.90923,15.90923,15.90923,16.14722,16.40353,16.40353,16.62322,17.02599,17.70336,17.73998,17.97798,18.54551,19.07643,19.60734,20.21149,20.74241,21.29164,21.58456,22.09717,22.55485,22.79285,22.84777,23.06746,23.48854,23.54346,23.96453,24.36730,24.64191,24.62360,24.78837,24.91652,24.77006,24.77006,24.66022,24.64191,24.73345,24.58699,24.75176,24.58699,24.42222,24.34899,24.40391,24.42222,24.42222,24.34899,24.40391,24.31237,24.03776,24.22084,24.20253,24.40391,24.82499,25.52067,25.66713,25.90513,25.64882,25.42913,25.41083,25.13621,24.89822,24.89822,24.89822,24.44053,24.01945,23.85469,23.70823,23.37869,23.21392,22.99423,22.49993,22.51824,21.95071,21.69440,21.21841,20.88887,20.74241,20.50441,20.33964,20.06503
2017,Surry Hills 33_11kV,08MAY2016,MW,19.66227,19.31442,18.92997,18.58212,18.39905,17.94136,17.73998,17.33721,17.26398,16.91614,16.78799,16.71476,16.42184,16.45845,16.53168,16.31199,16.14722,16.14722,16.14722,16.27538,16.34861,16.67814,16.82460,16.97106,16.89783,17.44706,17.44706,17.53860,17.94136,18.38074,18.63705,19.07643,19.73550,20.06503,20.85226,20.94379,21.36487,21.69440,22.06055,22.33516,22.62808,23.06746,23.10408,23.03085,23.14069,23.23223,23.15900,23.26885,23.37869,23.50684,23.52515,23.47023,23.37869,23.45192,23.39700,23.08577,22.97593,22.97593,23.19562,23.19562,23.28715,23.32377,23.15900,23.41531,23.63500,23.74484,23.81807,23.92792,24.56868,25.06298,25.59390,25.66713,25.74036,25.94174,26.21636,26.03328,25.68544,25.35590,25.04468,24.64191,24.53206,24.11099,23.94622,23.87299,23.36038,22.71962,22.66470,22.07886,21.85917,21.43810,20.88887,20.33964,19.97349,19.36935,19.14966,18.83843
2017,Surry Hills 33_11kV,09MAY2016,MW,18.56382,18.28920,18.03290,17.90475,17.35552,16.98937,16.78799,16.60491,16.53168,16.25707,16.25707,16.25707,16.25707,16.25707,16.25707,16.25707,16.25707,16.25707,16.42184,16.60491,17.15414,17.68506,18.10613,18.78351,19.90026,20.92549,22.20701,23.39700,24.78837,25.90513,26.89373,27.91895,28.37664,28.94418,29.47509,29.80463,30.04263,30.39047,30.50031,30.66508,31.25092,31.28754,31.28754,31.43400,31.54384,31.52553,31.48892,31.63538,31.74522,31.50723,31.65369,31.87338,31.87338,31.59876,31.76353,31.87338,31.81845,31.72692,31.56215,31.89168,31.80015,31.72692,31.59876,31.39738,31.25092,31.37907,31.14108,31.43400,31.47061,31.67199,31.90999,31.65369,30.90308,30.66508,30.62847,30.48201,29.96940,29.56663,29.45679,28.87095,28.39495,27.82742,27.42465,27.00358,26.12482,25.39252,24.82499,24.20253,23.15900,22.35347,21.54794,21.25502,20.41287,19.95519,19.44258,19.05812
2017,Surry Hills 33_11kV,10MAY2016,MW,18.72858,18.36243,18.03290,17.59352,17.59352,17.17245,16.97106,16.75137,16.75137,16.56830,16.27538,16.27538,16.27538,16.23876,15.78107,15.78107,16.27538,16.09230,16.14722,16.36691,17.04429,17.37383,17.75829,18.45397,19.58904,20.44949,21.63948,22.57316,24.03776,25.30098,26.25297,26.93035,27.66265,28.28510,29.03571,29.53002,29.89617,30.06093,29.95109,30.24401,30.55524,30.62847,30.88477,30.81154,30.90308,31.19600,31.01292,31.26923,31.52553,31.54384,31.56215,31.70861,31.63538,31.50723,31.58046,31.78184,31.80015,31.78184,31.65369,31.65369,31.58046,31.08615,31.12277,30.44539,30.35385,30.15247,29.95109,30.04263,30.11586,30.46370,30.24401,30.15247,29.34694,29.21879,29.10894,29.65817,29.40186,28.72448,28.52310,28.10203,27.64434,27.09512,26.83881,26.43605,25.66713,25.00806,24.42222,23.90961,22.90270,22.04224,21.56625,21.05364,20.32134,20.06503,20.06503,20.06503
2017,Surry Hills 33_11kV,11MAY2016,MW,20.06503,20.06503,20.06503,17.63013,17.09922,16.75137,16.44014,16.23876,16.23876,16.03738,15.81769,15.81769,15.81769,15.81769,15.81769,15.81769,15.81769,15.81769,15.81769,15.96415,16.62322,17.09922,17.57521,18.05121,19.44258,20.41287,21.23671,22.07886,23.78146,25.06298,25.90513,26.52758,27.71757,28.24849,28.26680,28.39495,28.88925,29.12725,29.21879,29.62155,29.80463,29.95109,30.04263,30.11586,30.06093,30.31724,30.59185,30.53693,30.51862,30.68339,30.61016,30.53693,30.40878,30.22570,30.61016,30.50031,30.57354,30.55524,30.61016,30.31724,30.22570,30.00601,29.80463,29.58494,29.69478,29.53002,29.60325,29.73140,29.98770,30.42708,30.59185,30.51862,29.84124,29.53002,29.40186,29.16387,28.81602,28.37664,28.26680,28.19357,27.75419,27.13173,26.54589,26.14313,25.66713,25.28267,24.55037,23.78146,23.06746,22.04224,21.62117,20.83395,20.32134,19.62565,19.36935,18.91166
2017,Surry Hills 33_11kV,12MAY2016,MW,18.50889,17.84982,17.70336,17.33721,17.09922,16.84291,16.49507,16.34861,16.11061,15.85430,15.85430,15.85430,15.65292,15.39662,15.90923,15.90923,15.90923,15.48815,15.90923,16.18384,16.78799,17.24568,17.68506,18.14274,19.57073,20.54103,21.32825,22.60978,24.25745,25.41083,26.01497,26.96696,27.95557,28.41326,28.30341,28.66956,29.54832,29.80463,29.82294,30.02432,30.17078,30.29893,30.46370,30.39047,30.62847,30.73831,31.14108,31.08615,31.37907,31.45230,31.39738,31.06785,30.90308,31.37907,31.30584,31.54384,31.76353,31.59876,31.45230,31.17769,31.08615,30.84816,30.84816,30.64677,30.40878,30.48201,30.18909,30.29893,30.46370,30.72000,30.93969,30.77493,30.04263,29.62155,29.54832,29.53002,28.96248,28.54141,28.19357,27.79080,27.33311,26.80220,26.52758,26.14313,25.59390,24.98975,24.53206,23.76315,23.17731,22.42670,21.71271,21.27333,20.63257,20.11995,19.75380,19.22289
2017,Surry Hills 33_11kV,13MAY2016,MW,18.67366,18.06951,17.84982,17.84982,17.41044,16.89783,16.76968,16.67814,16.49507,16.16553,16.00076,16.00076,16.00076,16.00076,16.00076,16.00076,16.00076,16.00076,16.29368,16.42184,16.82460,17.41044,17.86813,18.52720,19.75380,20.46780,21.62117,22.53655,24.16591,25.33760,26.30789,26.82050,27.64434,28.01049,28.66956,29.21879,29.53002,29.84124,29.85955,30.02432,30.26232,30.39047,30.42708,30.70170,30.99462,30.88477,30.90308,31.01292,31.17769,31.10446,31.04954,31.03123,31.25092,31.69030,31.52553,31.45230,31.89168,31.41569,31.10446,31.08615,30.84816,30.59185,30.42708,30.20739,30.18909,29.87786,29.73140,29.47509,29.78632,30.28062,30.79323,30.42708,29.51171,29.07233,28.98079,28.88925,28.21187,28.04711,27.71757,27.05850,26.58251,26.23466,25.99667,25.55729,25.15452,24.34899,23.94622,23.48854,22.90270,22.44501,21.74932,21.25502,20.63257,20.26641,20.04672,19.40596
2017,Surry Hills 33_11kV,14MAY2016,MW,19.22289,18.52720,18.25259,17.99628,17.61183,17.28229,17.20906,16.87953,16.40353,16.40353,16.40353,16.40353,16.40353,16.12892,15.90923,15.90923,15.94584,15.94584,15.94584,15.94584,16.18384,16.29368,16.29368,16.71476,17.30060,17.48367,17.50198,18.28920,18.56382,19.33273,19.55242,19.99180,20.63257,20.92549,21.58456,22.00563,22.73793,23.01254,23.17731,23.04916,23.65330,23.85469,24.03776,24.16591,24.25745,24.12930,24.34899,24.23914,24.18422,24.51376,24.66022,24.53206,24.42222,24.34899,24.07438,24.05607,24.07438,24.07438,24.07438,24.00115,24.00115,24.12930,24.11099,23.98284,24.07438,24.03776,24.20253,24.40391,24.73345,25.20944,25.55729,25.77698,25.74036,25.46575,25.44744,25.26437,24.98975,24.69683,24.49545,24.45883,23.96453,23.36038,23.12239,22.75624,22.75624,22.31686,22.22532,21.82255,21.40148,20.92549,20.85226,20.59595,20.41287,19.84534,19.71719,19.27781
2017,Surry Hills 33_11kV,15MAY2016,MW,18.92997,18.50889,18.12444,17.61183,17.52029,17.19075,16.89783,16.62322,16.58661,16.16553,16.16553,16.09230,15.68954,15.68954,15.68954,15.68954,15.68954,15.68954,15.68954,15.68954,16.03738,16.12892,16.12892,16.12892,16.78799,17.20906,17.08091,17.06260,17.35552,17.97798,18.52720,18.74689,19.22289,19.68057,19.95519,20.44949,20.77903,21.07195,21.32825,21.67609,22.20701,22.39009,22.35347,22.68301,22.82947,22.88439,22.86608,23.08577,23.14069,23.06746,23.14069,23.30546,23.06746,23.06746,23.10408,22.99423,22.81116,22.90270,22.90270,22.86608,22.75624,22.90270,22.95762,23.19562,23.19562,23.52515,23.96453,24.18422,24.38560,24.97145,25.37421,25.59390,25.59390,25.66713,25.70375,25.59390,25.55729,25.15452,24.82499,24.71514,24.38560,23.96453,23.79976,23.39700,23.14069,22.86608,22.51824,22.22532,21.45640,21.03533,20.65087,20.01011,19.71719,18.92997,18.63705,18.39905
2017,Surry Hills 33_11kV,16MAY2016,MW,18.16105,17.90475,17.57521,17.30060,16.98937,16.78799,16.69645,16.29368,16.09230,15.94584,15.94584,15.94584,15.94584,15.78107,15.78107,15.78107,15.78107,15.92753,16.01907,16.34861,17.06260,17.30060,17.72167,18.28920,19.46088,20.28472,21.09025,22.13378,23.79976,25.22775,26.21636,26.87543,27.77249,28.23018,28.57802,28.90756,29.10894,29.43848,29.69478,30.09755,30.37216,30.44539,30.39047,30.79323,30.90308,31.03123,31.17769,31.23261,31.63538,31.83676,31.72692,31.72692,31.94661,31.98322,31.85507,31.80015,31.65369,31.67199,31.76353,31.58046,31.47061,31.45230,31.34246,31.28754,30.97631,31.01292,31.12277,31.14108,31.08615,31.63538,31.65369,31.59876,30.75662,30.59185,30.40878,30.26232,30.06093,29.95109,29.67648,29.05402,28.37664,27.88234,27.27819,26.85712,26.25297,25.55729,24.86160,24.20253,23.32377,22.51824,21.82255,21.25502,20.57764,19.82703,19.49750,19.02150
2017,Surry Hills 33_11kV,17MAY2016,MW,18.41736,18.23428,17.73998,17.42875,17.33721,16.97106,16.62322,16.62322,16.42184,16.16553,16.16553,16.16553,16.16553,15.78107,15.78107,15.78107,15.76277,15.76277,16.11061,16.42184,16.86122,17.31891,17.72167,18.52720,19.79042,20.54103,21.74932,22.60978,24.25745,25.59390,26.43605,27.27819,27.93726,28.34003,28.92587,29.32863,29.76801,30.22570,30.22570,30.53693,30.79323,31.21431,31.48892,31.52553,31.81845,32.00153,32.01984,31.85507,32.18460,32.47752,32.40429,32.56906,32.77044,32.69721,32.55075,32.93521,32.78875,32.89860,32.69721,32.49583,32.66060,32.25783,32.16630,32.03814,31.69030,31.80015,31.32415,31.28754,31.50723,31.58046,31.70861,31.41569,30.42708,30.29893,30.31724,30.26232,29.85955,29.43848,29.07233,28.43156,27.88234,27.49788,27.31481,26.85712,26.08820,25.28267,24.62360,23.96453,23.28715,22.46332,21.74932,21.16348,20.76072,20.02842,19.75380,19.29612
2017,Surry Hills 33_11kV,18MAY2016,MW,18.69197,18.14274,17.97798,17.50198,17.26398,16.91614,16.69645,16.69645,16.69645,16.38522,16.07399,16.12892,15.79938,15.79938,15.79938,15.79938,15.68954,15.68954,16.16553,16.40353,17.11752,17.17245,17.55690,18.39905,19.66227,20.77903,21.65779,22.55485,24.12930,25.41083,25.96005,27.05850,27.91895,28.39495,28.81602,28.85264,29.18217,28.90756,29.12725,29.27371,29.73140,29.89617,30.13416,30.42708,30.75662,30.33555,30.37216,30.44539,30.77493,30.72000,30.97631,30.72000,30.97631,30.82985,30.93969,30.93969,30.99462,30.77493,30.70170,30.77493,30.18909,30.31724,29.91447,30.09755,30.29893,30.20739,30.31724,30.39047,30.66508,30.64677,30.62847,30.48201,29.91447,29.91447,29.74971,29.31033,29.09064,28.77941,28.30341,28.41326,27.80911,27.47957,27.09512,26.72897,26.05159,25.37421,24.69683,24.22084,23.41531,22.57316,21.69440,20.98041,20.54103,20.10165,19.64396,19.03981
2017,Surry Hills 33_11kV,19MAY2016,MW,18.67366,18.21597,17.64844,17.08091,17.08091,16.84291,16.60491,16.60491,16.31199,16.18384,15.98246,15.83600,15.83600,15.83600,15.83600,15.83600,15.83600,15.83600,16.18384,16.42184,16.98937,17.20906,17.75829,18.34413,19.71719,20.87056,21.65779,22.79285,24.53206,25.63052,26.41774,27.40634,28.15695,28.50479,28.68787,28.81602,28.98079,29.16387,29.45679,29.23710,29.51171,29.67648,30.26232,30.44539,30.61016,30.35385,30.42708,30.61016,30.66508,30.66508,30.57354,30.77493,30.77493,30.75662,30.72000,30.86646,30.93969,30.99462,30.73831,30.64677,30.59185,30.39047,30.37216,30.29893,29.98770,29.89617,29.78632,29.96940,30.20739,30.37216,30.50031,30.28062,29.42017,29.05402,29.20048,28.87095,28.44987,28.10203,27.99218,27.40634,26.94866,26.47266,26.30789,25.79528,25.50236,24.93483,24.34899,23.45192,23.10408,22.39009,22.02394,21.71271,20.92549,20.22980,19.64396,19.05812
2017,Surry Hills 33_11kV,20MAY2016,MW,18.63705,18.45397,17.97798,17.53860,17.35552,17.11752,16.69645,16.69645,16.33030,16.22045,16.22045,15.92753,15.87261,15.87261,15.87261,15.87261,15.87261,15.87261,16.18384,16.29368,16.80630,17.28229,17.68506,18.41736,19.66227,20.66918,21.36487,22.28024,24.20253,25.17283,26.21636,26.98527,27.91895,28.21187,28.61464,28.48649,28.99910,29.29202,29.73140,29.56663,29.85955,30.04263,30.15247,30.37216,30.44539,30.48201,30.62847,30.66508,30.90308,30.57354,30.75662,30.70170,30.86646,31.08615,31.06785,31.03123,30.84816,30.66508,30.84816,30.59185,30.39047,30.15247,30.15247,29.84124,29.76801,29.63986,29.67648,29.65817,29.98770,30.33555,30.31724,29.89617,29.23710,28.90756,28.65125,28.54141,28.04711,27.42465,27.29650,26.93035,26.36282,26.01497,25.66713,25.52067,24.71514,24.38560,24.03776,23.56177,22.88439,22.20701,21.63948,21.16348,20.68749,20.24811,19.99180,19.49750
2017,Surry Hills 33_11kV,21MAY2016,MW,19.22289,18.67366,18.30751,17.92305,17.57521,17.37383,17.02599,16.84291,16.69645,16.33030,16.33030,16.33030,16.05569,15.90923,15.74446,15.90923,15.79938,15.45154,15.89092,15.92753,16.07399,16.29368,16.34861,16.71476,17.15414,17.59352,17.83152,18.14274,18.76520,19.49750,19.84534,20.24811,20.90718,21.32825,21.89578,22.26193,22.39009,22.79285,22.88439,23.50684,23.65330,23.92792,24.09268,24.11099,24.34899,24.45883,24.53206,24.20253,24.23914,24.33068,24.62360,24.36730,24.22084,24.36730,24.40391,24.29407,24.09268,23.94622,23.94622,23.92792,23.94622,23.90961,23.54346,23.56177,23.52515,23.50684,23.98284,24.42222,24.84329,25.41083,25.85021,25.88682,25.66713,25.22775,25.28267,25.00806,24.80668,24.60529,24.07438,23.83638,23.36038,23.19562,23.03085,22.73793,22.48162,22.37178,22.15209,21.96901,21.63948,21.38317,20.94379,20.88887,20.48610,20.04672,19.71719,19.38765
2017,Surry Hills 33_11kV,22MAY2016,MW,18.96658,18.71028,18.36243,17.79490,17.79490,17.63013,17.28229,16.91614,16.91614,16.47676,16.29368,16.36691,16.36691,16.22045,15.87261,15.87261,15.87261,15.87261,15.87261,16.16553,16.33030,16.33030,16.47676,16.69645,17.02599,17.48367,17.63013,17.63013,17.63013,18.27090,18.50889,18.94827,19.42427,19.79042,20.19318,20.57764,21.03533,21.41979,21.63948,21.76763,22.44501,22.37178,22.40839,22.42670,22.62808,22.86608,22.92100,23.04916,22.99423,23.15900,23.08577,22.99423,23.01254,23.01254,23.06746,22.90270,22.92100,22.66470,22.66470,22.95762,23.15900,22.95762,22.82947,22.64639,22.81116,22.90270,23.52515,23.94622,24.49545,24.97145,25.17283,25.79528,25.63052,25.85021,25.96005,25.96005,25.63052,25.42913,25.00806,24.75176,24.44053,24.27576,24.00115,23.58007,23.21392,22.77454,22.39009,22.26193,21.65779,21.30994,20.83395,20.15657,19.79042,19.53411,19.09473,18.58212
2017,Surry Hills 33_11kV,23MAY2016,MW,18.54551,18.27090,17.73998,17.26398,17.20906,16.95276,16.49507,16.33030,16.33030,16.07399,15.85430,15.85430,15.85430,15.85430,15.85430,15.85430,15.85430,15.85430,16.16553,16.27538,17.00768,17.53860,17.84982,18.27090,19.57073,20.63257,21.54794,22.71962,24.12930,25.42913,26.34451,27.29650,28.15695,28.61464,28.92587,29.25540,29.85955,29.85955,30.24401,30.70170,31.21431,31.34246,31.15938,31.76353,31.81845,32.18460,32.07476,32.18460,32.09307,32.51414,32.34937,32.42260,32.38599,32.36768,32.16630,31.98322,32.00153,31.83676,31.52553,31.47061,31.14108,31.04954,30.55524,30.20739,30.13416,30.06093,30.06093,30.44539,30.40878,30.77493,30.88477,30.53693,29.78632,29.63986,29.45679,29.42017,29.20048,28.68787,28.46818,27.99218,27.47957,26.94866,26.47266,26.21636,25.59390,25.11791,24.31237,23.81807,22.95762,22.15209,21.69440,21.03533,20.30303,19.71719,19.29612,18.83843
2017,Surry Hills 33_11kV,24MAY2016,MW,18.52720,18.17936,17.64844,17.41044,17.33721,16.93445,16.82460,16.56830,16.56830,16.12892,16.07399,16.07399,15.92753,15.90923,15.90923,15.90923,15.90923,15.90923,15.90923,16.42184,16.60491,17.26398,17.52029,18.25259,19.91857,20.74241,21.73102,22.79285,24.31237,25.55729,26.05159,26.93035,27.90065,28.37664,28.23018,28.41326,28.85264,29.29202,29.23710,29.16387,29.36525,29.38356,29.78632,29.69478,29.78632,29.78632,29.82294,30.15247,30.18909,30.26232,30.24401,30.40878,30.55524,30.48201,30.66508,30.44539,30.40878,30.39047,30.31724,30.35385,30.06093,29.93278,29.85955,29.95109,29.74971,29.71309,29.80463,30.02432,30.28062,30.82985,30.72000,30.57354,30.04263,29.80463,29.89617,29.82294,29.38356,29.05402,28.61464,28.15695,27.95557,27.86403,27.18665,26.76558,26.12482,25.57559,25.11791,24.36730,23.43361,22.90270,22.13378,21.51133,20.72410,20.17488,19.47919,19.07643
2017,Surry Hills 33_11kV,25MAY2016,MW,18.58212,18.19767,17.77659,17.44706,17.44706,17.22737,16.97106,16.60491,16.51338,16.38522,16.03738,16.03738,16.03738,16.03738,16.03738,16.03738,16.03738,16.03738,16.31199,16.44014,17.02599,17.59352,17.97798,18.39905,20.02842,20.85226,21.84086,22.71962,24.40391,25.96005,26.72897,27.49788,28.39495,28.65125,28.63295,28.70618,29.03571,29.40186,29.51171,29.74971,30.02432,29.89617,30.15247,30.29893,30.28062,30.31724,30.59185,30.72000,30.73831,30.70170,30.64677,30.66508,30.95800,30.57354,30.66508,30.48201,30.31724,30.39047,30.31724,30.31724,30.11586,30.06093,29.78632,29.89617,29.78632,29.91447,30.13416,30.35385,30.57354,30.88477,30.97631,30.92139,30.15247,29.67648,29.74971,29.45679,29.32863,28.90756,28.68787,28.50479,28.13864,27.68096,27.15004,26.80220,26.19805,25.74036,25.20944,24.29407,23.67161,22.92100,22.09717,21.51133,20.94379,20.28472,20.13826,19.47919
2017,Surry Hills 33_11kV,26MAY2016,MW,18.92997,18.47228,17.86813,17.64844,17.52029,17.17245,16.84291,16.69645,16.47676,16.11061,16.11061,16.11061,16.00076,15.76277,15.76277,15.76277,15.92753,15.92753,16.23876,16.51338,17.08091,17.52029,17.77659,18.21597,19.84534,20.90718,22.00563,23.10408,24.78837,26.12482,26.76558,27.66265,28.57802,28.94418,29.14556,29.25540,29.40186,29.58494,29.71309,29.76801,29.95109,30.11586,30.33555,30.68339,30.73831,30.75662,30.82985,30.64677,30.92139,30.62847,30.53693,30.61016,30.73831,30.66508,30.64677,30.57354,30.59185,30.75662,30.57354,30.53693,30.17078,30.17078,29.91447,29.65817,29.82294,29.73140,29.67648,29.84124,30.33555,30.53693,30.61016,30.62847,29.80463,29.54832,29.45679,29.27371,28.88925,28.48649,28.61464,28.35833,27.80911,27.57111,26.78389,26.67404,26.01497,25.68544,25.22775,24.44053,23.72653,23.03085,22.28024,21.73102,21.07195,20.52272,20.06503,19.60734
