year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Hunters Hill 66_11kV,01MAY2014,MW,16.72755,16.41505,15.67978,15.56949,15.82683,15.12832,14.59524,14.02540,13.41880,13.03278,12.53647,12.33427,12.20559,11.98501,11.74605,11.72766,11.69090,11.69090,12.13207,12.13207,12.51809,13.03278,13.69453,14.59524,16.45182,18.36354,20.14658,21.28626,22.66491,23.63915,24.02517,24.02517,23.93326,23.87811,23.56562,23.06931,23.01416,22.79358,22.72005,22.59138,22.46271,22.26051,22.13183,21.94801,21.83772,21.61714,21.54361,21.58037,21.59876,21.81934,21.34141,21.15759,21.24950,21.21274,21.50685,21.39655,21.28626,21.50685,21.32303,21.28626,21.13921,20.93701,21.06568,21.19435,21.10244,21.37817,21.70905,21.96639,22.20536,23.32666,24.74206,25.45896,25.73469,25.69792,25.99203,25.75307,25.38543,24.94427,24.46634,24.22737,23.78620,23.01416,22.75682,22.48109,21.80096,21.13921,20.77157,19.98115,20.29364,20.01791,19.63189,18.71279,17.99590,17.84884,17.72017,16.89298
2015,Hunters Hill 66_11kV,02MAY2014,MW,16.91137,16.98489,16.15771,16.02903,16.15771,15.25699,14.61363,14.11731,13.80482,13.32689,12.86734,12.53647,12.22398,12.20559,12.07692,11.89310,11.98501,11.98501,12.00339,12.24236,12.68352,13.25336,13.95188,14.61363,16.41505,18.19810,19.83409,21.26788,22.37080,23.14284,23.71268,23.98841,24.22737,24.20899,23.95164,23.65753,23.28989,23.21636,22.88549,22.66491,22.53623,22.20536,22.22374,22.00316,22.09507,21.98478,22.15021,21.89287,21.61714,21.67228,21.61714,21.67228,21.52523,21.19435,21.23112,21.13921,21.23112,21.04730,21.15759,20.99215,20.67966,20.58775,20.84510,20.88186,21.06568,21.26788,21.63552,22.42594,22.62814,23.87811,25.12808,25.56925,25.23838,25.09132,25.01779,24.70530,24.17222,23.95164,23.30827,23.03255,22.38918,21.96639,21.69067,21.34141,20.97377,20.31202,19.94438,19.33778,19.90762,19.70542,19.37454,18.52898,17.70179,17.79370,17.97752,17.20548
2015,Hunters Hill 66_11kV,03MAY2014,MW,17.42606,17.02166,16.23124,16.06580,16.30476,15.53272,14.83421,14.24599,13.74968,13.01440,12.68352,12.35265,12.02178,11.92987,11.81957,11.78281,11.80119,11.85634,11.92987,11.92987,11.92987,12.20559,12.31589,12.70191,13.49233,14.20922,15.18347,15.66140,16.12094,16.89298,17.75693,18.63927,19.57674,19.94438,20.16497,20.29364,20.23849,20.29364,20.55099,20.58775,19.90762,20.29364,19.99953,19.42969,19.65027,19.39293,19.39293,19.06205,18.91500,19.06205,18.93338,18.98852,18.84147,18.52898,18.51059,18.03266,18.14296,18.49221,18.71279,19.06205,19.15396,19.33778,19.88924,20.10982,20.56937,21.04730,21.85610,22.81196,23.87811,25.42220,26.70893,27.64641,27.99566,28.27139,27.97728,27.29715,26.80084,26.32291,25.78983,25.23838,24.85236,24.35604,24.15384,23.93326,23.43695,22.86711,22.33403,21.74581,22.16860,22.02154,21.76419,20.86348,19.92600,19.83409,19.99953,19.09881
2015,Hunters Hill 66_11kV,04MAY2014,MW,19.24587,19.00691,17.94075,17.95914,18.03266,17.15033,16.45182,15.82683,15.22023,14.59524,14.00702,13.76806,13.36366,12.97764,13.01440,12.88573,12.75705,12.66514,12.46294,12.64676,12.86734,12.77543,12.94087,13.17984,13.65777,14.13570,14.65039,15.10994,15.36729,16.23124,17.15033,17.72017,18.32677,18.98852,19.44807,19.72380,19.98115,19.92600,19.88924,19.85247,19.72380,19.30102,19.30102,19.30102,18.89661,18.52898,18.30839,18.08781,17.90399,17.64664,17.53635,17.11357,17.04004,16.80107,16.89298,16.69078,16.61726,16.50696,16.52535,16.70917,16.59887,16.72755,17.15033,17.59150,18.10619,18.80470,19.57674,20.95539,22.11345,23.89650,26.13909,27.57288,28.63903,28.85961,28.58389,28.27139,28.06919,27.53612,27.05819,26.54349,26.13909,25.60601,25.12808,24.65015,24.20899,23.34504,22.86711,22.15021,22.03992,21.91125,21.17597,19.88924,18.74956,18.73118,18.76794,17.97752
2015,Hunters Hill 66_11kV,05MAY2014,MW,18.25325,17.99590,17.24224,17.15033,17.44444,16.74593,16.15771,15.42243,14.87097,14.35628,13.95188,13.71291,13.45557,13.19822,12.88573,12.88573,12.88573,12.88573,13.01440,13.29013,13.80482,14.37466,15.31214,16.35991,18.32677,20.45908,22.84873,24.59501,26.52511,27.75670,28.23463,27.84861,27.90375,27.66479,27.24201,26.45158,25.97365,25.47734,25.14647,24.90750,24.35604,24.19061,23.89650,23.49209,23.40018,23.08769,23.01416,22.84873,22.70167,22.81196,22.84873,22.68329,22.27889,22.24212,22.05830,21.89287,21.83772,21.98478,21.92963,21.76419,21.92963,21.83772,21.72743,22.07669,22.26051,22.79358,23.19798,24.00679,24.72368,26.67217,28.67580,29.90738,30.16473,30.62428,31.15735,31.06544,30.66104,29.96253,29.41107,28.87800,27.92214,27.26039,27.00304,26.52511,25.73469,25.42220,25.05456,23.85973,23.93326,23.60239,22.77520,21.59876,20.18335,19.83409,19.85247,18.74956
2015,Hunters Hill 66_11kV,06MAY2014,MW,18.80470,18.62088,17.68341,17.68341,17.92237,17.02166,16.37829,15.62463,15.14670,14.76068,14.37466,13.91511,13.76806,13.45557,13.41880,13.41880,13.29013,13.14307,13.38204,13.65777,14.41143,15.03641,15.75331,16.96651,19.13558,21.30465,23.30827,25.05456,26.92951,28.38168,28.73094,28.67580,27.95890,27.57288,27.26039,26.43320,26.10233,25.56925,25.18323,24.85236,24.57663,24.04355,23.60239,23.63915,23.25313,23.25313,23.03255,23.14284,23.03255,22.88549,22.88549,22.59138,22.31565,22.46271,22.57300,22.60976,22.60976,22.55462,22.27889,21.91125,21.92963,21.89287,22.07669,22.27889,22.42594,22.84873,23.56562,24.42957,25.34867,27.02142,28.40007,29.35593,29.53975,30.05444,30.14635,29.72356,29.39269,28.93314,28.30816,27.79346,27.35230,26.78246,26.35967,25.93689,25.42220,24.83397,24.19061,23.17960,23.12446,22.70167,21.87448,20.23849,19.24587,19.09881,19.02529,18.12457
2015,Hunters Hill 66_11kV,07MAY2014,MW,18.25325,18.19810,17.13195,17.07680,17.13195,16.45182,15.99227,15.45919,14.79745,14.57686,14.17246,13.58424,13.45557,13.45557,13.36366,13.08793,13.05116,12.92249,12.95925,13.10631,13.85997,14.48495,15.34890,16.35991,18.74956,20.95539,23.01416,24.20899,25.64278,26.74569,27.37068,27.20524,26.98466,26.69055,26.39644,25.80822,25.23838,24.74206,24.19061,23.95164,23.82297,23.63915,23.25313,23.05093,23.03255,23.01416,22.94064,22.95902,22.77520,22.38918,22.44432,22.31565,22.26051,21.85610,21.89287,22.02154,22.26051,22.20536,21.85610,21.70905,21.94801,21.76419,22.18698,22.13183,22.46271,23.03255,23.45533,24.41119,25.38543,27.15010,29.02505,29.90738,29.94415,30.01768,30.23826,29.99929,29.31916,29.13534,28.71256,28.12434,27.55450,26.92951,26.39644,26.02880,25.47734,24.76045,24.22737,23.25313,23.34504,23.05093,22.16860,20.91862,19.85247,19.53998,19.31940,18.40030
2015,Hunters Hill 66_11kV,08MAY2014,MW,18.63927,18.14296,17.42606,17.29739,17.49959,16.76431,15.97389,15.49596,14.88936,14.65039,14.42981,13.93350,13.65777,13.56586,13.23498,13.17984,13.19822,13.16145,13.25336,13.56586,14.04379,14.72392,15.49596,16.63564,19.08043,20.99215,23.08769,24.65015,26.41482,27.73832,28.38168,28.19787,27.83023,27.40744,26.70893,25.93689,25.60601,25.14647,24.66854,24.39281,23.98841,23.78620,23.60239,23.10607,22.90387,22.88549,22.75682,22.84873,22.62814,22.75682,22.49947,22.59138,22.37080,22.24212,22.18698,22.05830,22.02154,21.89287,21.96639,22.03992,21.85610,22.03992,22.09507,22.27889,22.44432,22.62814,23.10607,23.60239,24.57663,26.41482,27.86699,28.95152,28.98829,29.20887,29.28240,28.95152,28.76770,28.41845,27.81184,27.40744,26.78246,26.24938,25.88174,25.53249,24.77883,24.17222,23.60239,22.68329,22.95902,22.55462,21.78258,20.90024,19.66865,19.39293,19.44807,18.51059
2015,Hunters Hill 66_11kV,09MAY2014,MW,18.58412,18.29001,17.40768,17.48121,17.59150,16.91137,16.30476,15.69816,15.05479,14.44819,13.91511,13.85997,13.38204,13.17984,12.97764,13.01440,12.86734,12.86734,13.16145,13.41880,13.98864,14.37466,15.23861,16.48858,18.73118,20.36717,22.42594,23.65753,25.33029,26.52511,27.02142,27.29715,27.15010,27.02142,26.13909,25.23838,25.03618,24.77883,24.48472,24.30090,24.17222,23.84135,23.51048,23.17960,23.17960,22.97740,22.88549,22.62814,22.81196,22.48109,22.38918,22.13183,22.27889,22.02154,22.09507,22.18698,22.31565,22.24212,22.44432,22.51785,22.49947,22.16860,22.16860,22.31565,22.44432,23.03255,23.45533,24.19061,25.05456,26.59864,27.92214,28.52874,28.23463,28.21625,28.05081,27.81184,27.22362,26.63540,26.35967,25.88174,25.12808,24.76045,24.57663,24.20899,23.69429,23.10607,22.72005,21.98478,22.27889,22.13183,21.56199,20.66128,19.81571,19.61351,19.44807,18.73118
2015,Hunters Hill 66_11kV,10MAY2014,MW,18.91500,18.67603,17.70179,17.60988,17.73855,16.91137,16.30476,15.64301,15.09156,14.65039,14.11731,13.74968,13.51071,13.23498,13.12469,12.88573,12.94087,12.94087,12.81220,12.81220,13.14307,13.49233,13.84159,14.13570,14.98126,15.88198,16.63564,17.09519,18.32677,19.24587,20.12820,20.58775,20.77157,21.08406,21.23112,21.30465,21.10244,20.69804,20.44070,20.14658,19.77895,19.39293,19.19072,19.08043,18.82309,18.45545,18.38192,18.45545,18.16134,18.23486,17.90399,17.72017,17.72017,17.81208,17.55473,17.88561,17.72017,17.83046,17.94075,18.01428,18.16134,18.45545,18.40030,18.67603,19.24587,19.55836,20.49584,21.52523,22.59138,24.28252,25.09132,25.62440,25.95527,26.01042,25.95527,25.44058,25.01779,24.26413,23.65753,23.19798,22.66491,22.18698,21.98478,21.72743,21.08406,20.53260,20.18335,19.76056,20.23849,20.34879,20.07306,19.33778,18.85985,18.78632,18.97014,18.29001
2015,Hunters Hill 66_11kV,11MAY2014,MW,18.71279,18.25325,17.38930,17.35253,17.66503,16.78269,15.97389,15.20185,14.65039,14.19084,13.67615,13.38204,13.19822,12.88573,12.61000,12.49971,12.18721,12.35265,12.40780,12.16883,12.37103,12.62838,12.64676,12.95925,13.36366,13.78644,14.42981,14.76068,14.92612,15.69816,16.63564,17.22386,17.62826,18.19810,18.84147,18.91500,19.20911,19.09881,18.98852,18.93338,18.76794,18.62088,18.29001,18.25325,18.17972,17.90399,17.40768,17.40768,17.40768,17.16871,16.56211,17.24224,17.59150,17.60988,17.62826,17.29739,16.76431,16.54373,16.47020,16.50696,16.67240,16.65402,16.74593,17.27900,17.64664,18.19810,18.52898,19.55836,20.88186,22.57300,23.97002,24.92588,25.25676,25.12808,25.05456,24.70530,24.44795,23.98841,23.73106,23.05093,22.46271,22.40756,22.24212,21.87448,21.48846,20.75319,20.40393,19.65027,19.79733,19.74218,19.37454,18.54736,17.70179,17.88561,17.97752,17.11357
2015,Hunters Hill 66_11kV,12MAY2014,MW,17.44444,17.42606,16.56211,16.65402,16.87460,16.01065,15.56949,14.77906,14.30113,13.84159,13.51071,13.29013,12.94087,12.64676,12.64676,12.38941,12.37103,12.37103,12.59162,12.79382,13.40042,14.04379,14.59524,15.80845,17.92237,19.85247,21.87448,23.17960,24.72368,25.82660,26.08394,26.15747,25.93689,25.56925,25.14647,24.72368,24.33766,23.63915,23.69429,23.65753,23.16122,23.06931,22.95902,22.84873,23.03255,22.81196,22.57300,22.49947,22.64653,22.38918,22.22374,22.22374,22.11345,22.16860,22.11345,22.22374,22.15021,22.15021,21.83772,21.74581,21.87448,21.67228,21.70905,21.78258,21.94801,22.18698,22.51785,23.36342,24.37443,26.24938,27.42582,28.25301,28.47359,28.52874,28.45521,28.49198,27.70155,27.31553,26.94789,25.91851,25.31190,24.65015,23.93326,23.38180,22.72005,22.46271,21.85610,21.01053,21.21274,21.01053,20.34879,19.50322,18.52898,18.51059,18.45545,17.64664
2015,Hunters Hill 66_11kV,13MAY2014,MW,17.72017,17.48121,16.69078,16.74593,16.92975,16.21285,15.60625,15.03641,14.59524,14.15408,13.80482,13.41880,13.08793,12.88573,12.88573,12.79382,12.86734,12.70191,12.77543,13.14307,13.67615,14.28275,14.90774,15.75331,17.64664,19.22749,21.30465,22.66491,23.87811,25.31190,25.64278,25.55087,25.53249,24.94427,24.39281,24.33766,24.11708,23.82297,23.85973,23.76782,23.54724,23.32666,23.17960,22.84873,22.88549,22.75682,22.73844,22.84873,22.55462,22.49947,22.40756,22.15021,21.89287,21.76419,21.98478,22.31565,22.07669,22.18698,21.85610,21.74581,21.92963,21.96639,22.13183,22.15021,22.20536,22.55462,22.86711,23.51048,24.39281,25.99203,27.44421,28.06919,28.05081,28.17948,28.17948,27.88537,27.53612,26.98466,26.26776,25.75307,25.27514,25.01779,24.39281,23.93326,23.52886,22.75682,22.27889,21.52523,21.48846,21.43332,20.73481,19.68704,18.54736,18.25325,18.30839,17.42606
2015,Hunters Hill 66_11kV,14MAY2014,MW,17.88561,17.53635,16.67240,16.78269,17.04004,16.13933,15.64301,14.94450,14.44819,14.22761,13.76806,13.47395,13.17984,12.97764,12.83058,12.86734,12.73867,12.73867,12.73867,12.95925,13.62100,14.42981,15.16508,16.19447,18.01428,20.03629,21.87448,23.27151,24.74206,25.69792,26.30453,26.17585,25.88174,25.60601,25.31190,24.66854,24.41119,24.11708,23.73106,23.47371,23.27151,23.14284,23.12446,22.95902,22.90387,22.77520,22.70167,22.64653,22.55462,22.44432,22.51785,22.33403,22.27889,22.20536,22.16860,22.13183,22.02154,21.98478,22.05830,21.91125,21.74581,21.83772,21.85610,21.89287,22.29727,22.44432,22.70167,23.30827,24.13546,26.13909,27.55450,27.73832,27.64641,27.70155,27.88537,27.86699,27.31553,26.72731,26.35967,25.93689,25.34867,24.83397,24.31928,23.93326,23.16122,22.62814,22.03992,21.13921,21.45170,21.35979,20.66128,19.65027,18.69441,18.47383,18.60250,17.73855
2015,Hunters Hill 66_11kV,15MAY2014,MW,18.05105,17.90399,16.87460,16.81946,17.11357,16.15771,15.62463,15.05479,14.76068,14.17246,13.62100,13.51071,13.14307,13.03278,12.99602,12.72029,12.84896,12.72029,13.01440,13.19822,13.78644,14.30113,15.14670,16.13933,18.14296,20.18335,22.26051,23.85973,25.51410,26.56187,26.96628,27.07657,26.67217,26.39644,25.91851,25.29352,24.90750,24.41119,24.28252,23.89650,23.54724,23.41857,23.12446,23.03255,22.73844,22.77520,22.72005,22.72005,22.40756,22.37080,22.33403,22.07669,22.11345,22.11345,22.07669,22.22374,22.26051,22.15021,22.07669,21.98478,21.96639,22.00316,22.15021,22.05830,22.20536,22.44432,22.73844,23.49209,24.09870,25.62440,26.69055,27.42582,27.70155,27.94052,27.86699,27.68317,27.05819,26.67217,26.04718,25.38543,24.85236,24.66854,24.22737,23.84135,23.10607,22.46271,21.89287,21.17597,21.35979,21.34141,20.86348,19.70542,18.76794,18.67603,18.76794,17.97752
2015,Hunters Hill 66_11kV,16MAY2014,MW,18.12457,17.88561,16.92975,16.76431,17.02166,16.23124,15.90036,15.22023,14.55848,14.24599,13.78644,13.60262,13.38204,13.08793,12.77543,12.77543,12.72029,12.72029,12.83058,13.29013,13.76806,14.31952,15.10994,16.23124,18.08781,19.74218,21.70905,23.10607,24.50310,25.91851,26.26776,26.74569,26.50673,26.30453,25.69792,25.03618,24.90750,24.33766,24.04355,23.69429,23.40018,23.40018,23.03255,22.84873,22.84873,22.70167,22.44432,22.55462,22.40756,22.42594,22.20536,22.26051,21.85610,22.11345,21.98478,22.02154,21.74581,21.81934,21.83772,21.81934,21.83772,21.81934,21.91125,21.76419,21.76419,21.81934,22.46271,22.81196,23.43695,25.14647,25.90013,26.56187,26.35967,26.21262,26.34129,26.04718,25.55087,24.94427,24.52148,24.22737,23.45533,23.16122,22.75682,22.53623,22.16860,21.34141,21.15759,20.36717,20.99215,21.02892,20.36717,19.61351,18.80470,18.74956,18.80470,17.84884
2015,Hunters Hill 66_11kV,17MAY2014,MW,18.12457,17.79370,16.78269,16.83784,17.07680,16.23124,15.71654,15.10994,14.55848,14.06217,13.62100,13.41880,13.10631,12.86734,12.61000,12.72029,12.57323,12.57323,12.57323,12.62838,12.90411,12.95925,13.40042,13.74968,14.55848,15.16508,15.75331,16.43344,17.04004,18.17972,19.17234,19.77895,20.18335,20.25688,20.27526,20.27526,20.47746,20.36717,19.83409,19.79733,19.26425,19.20911,18.95176,18.78632,18.62088,18.36354,18.23486,18.21648,17.90399,17.66503,17.64664,17.72017,17.79370,17.24224,17.31577,17.44444,17.04004,16.91137,16.92975,16.96651,17.40768,17.37091,17.46282,17.83046,18.03266,18.51059,19.17234,20.05467,21.61714,23.45533,24.44795,25.10970,25.14647,24.92588,24.83397,24.26413,23.78620,23.34504,22.64653,22.18698,21.89287,21.54361,21.32303,21.08406,20.60613,20.10982,19.90762,19.35616,19.81571,20.01791,19.66865,18.97014,18.27163,18.29001,18.43707,17.59150
2015,Hunters Hill 66_11kV,18MAY2014,MW,17.94075,17.66503,16.76431,17.02166,17.05842,16.26800,15.60625,14.99965,14.42981,14.11731,13.51071,13.16145,12.86734,12.72029,12.55485,12.38941,12.48132,12.42618,12.22398,12.33427,12.57323,12.51809,12.68352,12.90411,13.40042,13.95188,14.48495,15.16508,15.84522,16.63564,17.62826,17.97752,18.54736,19.35616,20.20173,20.58775,20.62451,20.56937,20.53260,20.36717,20.09144,19.74218,19.70542,19.65027,19.42969,19.37454,19.44807,19.31940,18.54736,18.08781,17.60988,17.81208,17.62826,17.57312,17.70179,17.84884,17.33415,17.16871,17.24224,17.33415,17.57312,17.77532,17.79370,18.17972,18.43707,19.02529,20.09144,21.39655,22.75682,24.57663,25.90013,26.70893,26.87437,27.07657,27.24201,27.02142,26.46996,25.71631,25.14647,24.87074,24.22737,23.87811,23.45533,22.99578,22.40756,21.87448,21.30465,20.49584,19.81571,19.15396,18.19810,17.37091,16.65402,15.86360,15.55110,15.12832
2015,Hunters Hill 66_11kV,19MAY2014,MW,14.99965,14.68715,14.17246,14.00702,14.24599,13.91511,13.43718,13.34527,13.10631,12.75705,12.55485,12.53647,12.53647,12.53647,12.37103,12.18721,12.16883,12.40780,12.55485,12.79382,13.45557,13.84159,14.68715,15.97389,17.75693,19.61351,21.43332,23.51048,25.60601,26.74569,27.11333,27.24201,27.13171,26.92951,26.32291,25.64278,25.31190,24.99941,25.12808,24.44795,24.13546,23.74944,23.40018,23.56562,23.52886,23.28989,23.17960,23.08769,23.23475,23.25313,23.19798,22.84873,22.86711,22.77520,23.05093,22.75682,22.77520,22.73844,22.72005,22.73844,22.44432,22.35241,22.46271,22.51785,22.48109,22.57300,23.05093,23.52886,24.87074,26.76408,27.81184,28.40007,28.34492,28.84123,28.62065,28.67580,28.10596,27.29715,26.80084,26.10233,24.88912,24.48472,24.17222,23.73106,23.27151,22.90387,22.42594,21.41494,20.51422,19.52160,18.65765,17.97752,17.09519,16.12094,15.62463,15.18347
2015,Hunters Hill 66_11kV,20MAY2014,MW,14.88936,14.41143,14.13570,13.82320,14.19084,13.91511,13.38204,13.19822,12.94087,12.75705,12.61000,12.40780,12.40780,12.40780,12.29750,12.33427,12.35265,12.35265,12.40780,12.73867,13.12469,13.67615,14.41143,15.67978,17.37091,19.42969,21.30465,23.10607,24.85236,26.17585,26.41482,26.45158,26.35967,25.78983,25.55087,25.18323,24.76045,24.11708,24.06193,23.45533,23.27151,23.12446,22.90387,22.94064,22.95902,22.79358,22.57300,22.68329,22.53623,22.51785,22.68329,22.46271,22.11345,21.87448,22.13183,22.16860,22.05830,22.05830,22.03992,21.83772,22.02154,22.09507,22.02154,22.16860,22.42594,22.84873,23.32666,24.13546,25.38543,26.80084,27.64641,28.05081,28.08757,28.23463,28.51036,28.47359,27.48097,26.94789,26.48835,25.71631,25.05456,24.28252,23.91488,23.45533,23.21636,22.57300,22.02154,21.08406,20.62451,19.79733,18.93338,17.86723,,16.30476,15.77169,15.29376
2015,Hunters Hill 66_11kV,21MAY2014,MW,15.25699,14.63201,14.31952,14.04379,14.37466,,13.36366,13.16145,12.86734,12.59162,12.57323,12.57323,12.51809,12.27912,12.27912,12.27912,12.27912,12.29750,12.59162,12.79382,13.14307,13.82320,14.66877,15.69816,17.38930,19.33778,21.06568,22.81196,24.79721,25.51410,26.19424,26.08394,25.80822,25.56925,24.96265,24.76045,24.41119,23.87811,23.82297,23.30827,23.47371,23.34504,23.14284,22.62814,22.60976,22.70167,22.77520,22.79358,22.35241,22.53623,22.72005,22.92225,22.31565,22.13183,22.11345,22.38918,22.48109,22.16860,21.91125,22.02154,22.26051,22.05830,21.94801,22.24212,22.26051,22.33403,22.95902,23.85973,24.59501,25.93689,27.20524,27.86699,27.70155,28.06919,28.30816,27.75670,27.11333,26.89275,26.35967,25.80822,25.23838,24.68692,24.20899,23.98841,23.28989,22.42594,21.85610,21.04730,20.44070,19.61351,18.85985,17.95914,17.07680,16.19447,15.71654,15.20185
2015,Hunters Hill 66_11kV,22MAY2014,MW,15.07317,14.77906,14.30113,13.87835,14.35628,13.84159,13.51071,13.25336,13.19822,12.79382,12.59162,12.59162,12.59162,12.27912,12.27912,12.27912,12.37103,12.37103,12.48132,12.90411,13.16145,13.67615,14.42981,15.58787,17.24224,19.06205,21.12083,23.14284,25.27514,26.13909,26.50673,26.52511,26.06556,25.93689,25.60601,25.34867,24.74206,24.33766,24.19061,24.15384,23.67591,23.43695,23.32666,23.14284,23.05093,22.92225,22.86711,22.64653,22.68329,22.55462,22.64653,22.51785,22.37080,22.40756,22.40756,22.64653,22.62814,22.35241,22.40756,22.29727,22.29727,22.22374,22.16860,22.37080,22.48109,22.49947,22.99578,23.93326,24.76045,26.26776,27.18686,27.66479,27.42582,27.33392,27.33392,27.16848,26.69055,26.08394,25.58763,25.16485,24.53986,24.08032,23.76782,23.19798,22.79358,22.11345,21.61714,21.15759,20.53260,19.79733,18.82309,17.79370,17.18710,16.43344,15.91874,15.34890
2015,Hunters Hill 66_11kV,23MAY2014,MW,15.12832,14.85259,14.28275,13.93350,14.17246,13.71291,13.29013,13.10631,13.05116,12.66514,12.42618,12.42618,12.16883,12.09530,12.13207,12.18721,12.11369,12.40780,12.62838,12.72029,13.17984,13.73129,14.30113,15.34890,17.11357,18.93338,20.84510,22.44432,24.74206,25.80822,26.34129,26.37806,26.23100,25.71631,25.23838,25.05456,24.61339,24.11708,23.95164,23.67591,23.28989,23.16122,23.05093,23.14284,22.99578,23.06931,22.92225,22.92225,22.81196,23.12446,22.97740,22.53623,22.37080,22.29727,22.26051,22.20536,22.29727,22.16860,22.26051,22.24212,21.98478,21.89287,21.94801,22.13183,21.96639,22.20536,22.77520,23.27151,24.09870,25.60601,26.28615,26.74569,26.39644,26.19424,26.02880,25.99203,25.23838,24.77883,24.13546,23.78620,23.27151,22.70167,22.53623,22.05830,21.54361,20.91862,20.80833,20.18335,19.68704,18.98852,18.32677,17.60988,16.94813,16.45182,16.12094,15.53272
2015,Hunters Hill 66_11kV,24MAY2014,MW,15.38567,14.85259,14.50333,14.13570,14.20922,13.82320,13.38204,13.14307,12.84896,12.72029,12.38941,12.09530,12.09530,12.09530,12.09530,11.76443,11.89310,11.83796,11.94825,11.94825,11.94825,12.22398,12.57323,12.99602,13.65777,14.42981,14.96288,15.82683,16.69078,17.75693,18.45545,19.19072,19.55836,19.81571,20.14658,20.33040,20.20173,20.07306,19.70542,19.44807,19.35616,19.19072,18.85985,19.13558,19.02529,18.69441,18.56574,18.49221,18.27163,18.12457,18.03266,17.99590,17.83046,17.99590,17.97752,17.99590,17.62826,17.29739,17.37091,17.40768,17.64664,17.86723,17.94075,18.32677,18.51059,19.26425,20.09144,21.02892,22.03992,22.68329,23.36342,23.82297,23.82297,23.71268,23.54724,22.97740,22.40756,21.91125,21.24950,21.01053,20.53260,20.56937,20.20173,19.94438,19.37454,19.04367,18.65765,18.49221,18.93338,19.02529,18.45545,17.66503,17.00328,17.13195,16.94813,16.04742
2015,Hunters Hill 66_11kV,25MAY2014,MW,16.43344,15.95551,15.01803,15.12832,15.18347,14.20922,13.82320,13.47395,12.94087,12.77543,12.46294,12.31589,12.29750,12.11369,12.11369,11.94825,11.72766,11.72766,11.72766,11.92987,11.69090,12.07692,12.24236,12.37103,12.84896,13.38204,13.78644,13.87835,14.30113,14.90774,15.73492,16.24962,16.81946,17.44444,17.97752,18.60250,18.85985,18.82309,18.80470,18.95176,19.09881,18.63927,18.40030,18.38192,18.34516,17.83046,17.88561,18.01428,17.59150,17.13195,17.15033,17.07680,17.00328,16.76431,16.85622,16.81946,16.47020,16.58049,16.52535,16.48858,16.65402,16.91137,17.04004,17.15033,17.60988,17.94075,18.63927,19.59513,20.90024,22.57300,23.78620,24.50310,24.61339,24.61339,24.53986,24.19061,23.89650,23.14284,22.62814,22.27889,21.78258,21.52523,21.19435,20.62451,20.16497,19.55836,19.17234,18.67603,18.95176,18.85985,18.49221,17.84884,17.04004,16.89298,16.98489,16.39667
2015,Hunters Hill 66_11kV,26MAY2014,MW,16.65402,16.48858,15.75331,15.80845,16.13933,15.47758,14.92612,14.19084,13.76806,13.19822,13.05116,12.57323,12.37103,12.18721,12.00339,12.00339,12.09530,12.13207,12.31589,12.31589,12.83058,13.62100,14.39304,15.18347,16.83784,18.54736,20.34879,21.70905,22.88549,23.65753,24.28252,24.31928,24.17222,24.08032,23.67591,23.36342,23.17960,23.06931,23.01416,22.97740,22.83034,22.75682,22.57300,22.57300,22.64653,22.68329,22.53623,22.33403,22.42594,22.49947,22.46271,22.48109,22.33403,22.24212,22.20536,22.48109,22.49947,22.18698,22.22374,22.38918,22.24212,22.37080,22.26051,22.33403,22.27889,22.53623,22.90387,23.58400,24.52148,25.67954,26.35967,26.89275,26.63540,26.54349,26.48835,26.28615,25.58763,24.98103,24.55825,23.95164,23.21636,22.48109,22.02154,21.61714,21.23112,20.47746,20.27526,19.63189,20.07306,19.79733,19.20911,18.51059,17.57312,17.31577,17.38930,16.50696
