year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Blackwattle Bay 33_5kV,01MAY2014,MW,10.17262,9.80561,9.55030,9.53434,9.27903,9.15935,8.98382,8.67266,8.76042,8.70457,8.61681,8.60085,8.56096,8.64074,8.64074,8.40139,8.52107,8.60085,8.60085,8.66468,9.13541,9.31094,9.29498,9.43860,10.13273,10.38006,10.57953,10.85877,11.44121,12.00768,12.56618,13.04489,13.57945,13.72307,13.95444,13.89859,13.93849,13.92253,13.89859,13.91455,13.97838,14.05816,13.93849,13.83477,13.94646,14.04221,14.01827,14.11401,13.95444,14.06614,14.25763,14.11401,14.24167,14.29752,14.17784,14.12199,14.20178,14.16986,14.23369,14.07412,13.85072,13.87466,13.81881,13.75498,13.62732,13.55552,13.57147,13.53956,13.61935,13.83477,14.07412,14.13795,13.95444,13.64328,13.62732,13.54754,13.55552,13.44382,13.37201,13.21244,13.08478,12.92521,12.63799,12.64596,12.43054,12.27895,12.08747,12.15130,11.95183,11.60876,11.39334,11.32153,11.01037,10.84282,10.60346,10.34017
2015,Blackwattle Bay 33_5kV,02MAY2014,MW,10.26836,10.03699,9.75774,9.66200,9.45455,9.18328,8.99180,8.99180,8.88808,8.67266,8.67266,8.63277,8.41735,8.59287,8.44926,8.48915,8.54500,8.71255,8.71255,8.71255,8.99180,9.07956,9.40668,9.57423,10.11677,10.36411,10.53166,10.89069,11.69652,12.18321,12.94915,13.28425,13.62732,13.84274,13.97838,14.07412,14.08210,14.10604,14.05019,14.08210,14.20178,14.28156,14.31348,14.36933,14.26561,14.23369,14.32146,14.39326,14.60868,14.60070,14.36135,14.27358,14.24965,14.16188,14.13795,14.14593,14.05019,14.15391,14.15391,14.19380,14.03423,14.01827,13.85072,13.53158,13.51562,13.50765,13.61935,13.74700,13.57147,13.77094,13.93849,13.84274,13.37201,13.31616,13.34808,13.37201,13.15659,12.92521,12.98106,12.85341,12.59012,12.36672,12.16725,12.12736,12.14332,12.06353,11.83216,11.80822,11.62471,11.33749,11.22579,11.02632,10.83484,10.75505,10.82686,10.60346
2015,Blackwattle Bay 33_5kV,03MAY2014,MW,10.49974,10.28432,10.01305,9.78167,9.70987,9.35083,9.18328,8.91201,8.80829,8.91999,8.80031,8.80829,8.68862,8.68862,8.68862,8.68862,8.68862,8.60085,8.68862,8.66468,8.77638,8.74447,8.95989,8.95989,9.23116,9.47051,9.52636,9.51838,9.77370,9.85348,10.10081,10.52368,10.77899,10.84282,10.97047,11.30557,11.52099,11.61673,11.66461,11.80822,11.98375,11.99970,12.03960,11.84013,12.07151,12.23108,12.30289,12.23906,12.07949,12.05555,12.20715,12.13534,12.25502,12.23906,12.19917,11.99970,12.03960,11.94385,11.84811,11.78428,11.67258,11.68854,11.68854,11.66461,11.61673,11.61673,11.63269,11.80822,12.19119,12.57416,13.00500,12.98904,13.08478,13.12468,13.07681,13.05287,13.06085,12.94915,12.98106,12.62203,12.50235,12.29491,12.24704,12.33480,12.27895,12.27097,12.03960,11.78428,11.56886,11.42525,11.10611,10.97845,10.85080,10.83484,10.68325,10.49176
2015,Blackwattle Bay 33_5kV,04MAY2014,MW,10.38804,10.20454,9.94922,9.83752,9.78167,9.54232,9.39073,9.26307,9.14339,9.15935,9.15935,8.85616,8.77638,8.66468,8.66468,8.87212,8.65670,8.65670,8.65670,8.65670,8.65670,8.71255,8.81627,8.79234,9.03169,9.03169,8.95989,8.83223,9.01574,9.25509,9.43062,9.77370,9.91731,10.12475,10.34815,10.50772,10.73910,10.86675,10.96250,11.16994,11.28962,11.35344,11.39334,11.44919,11.62471,11.60876,11.64067,11.59280,11.75237,11.68854,11.71248,11.59280,11.56886,11.39334,11.59280,11.58482,11.44919,11.35344,11.28962,11.18589,11.25770,11.18589,11.11409,11.13004,11.17792,11.24174,11.24972,11.25770,11.34546,11.96779,12.44650,12.86139,12.98904,13.26829,13.29223,13.27627,13.31616,13.48371,13.43584,13.37201,13.16457,12.94915,12.74969,12.63799,12.55820,12.65394,12.50235,12.23906,12.18321,11.94385,11.66461,11.34546,11.07420,10.90665,10.71516,10.42793
2015,Blackwattle Bay 33_5kV,05MAY2014,MW,10.22049,10.02103,9.79763,9.70987,9.52636,9.39073,9.17531,9.02371,8.92797,8.75244,8.64074,8.67266,8.40139,8.58489,8.58489,8.58489,8.59287,8.63277,8.70457,8.91201,9.26307,9.35083,9.60615,9.78167,10.34815,10.63538,11.02632,11.44919,12.13534,12.77362,13.34808,13.67519,14.15391,14.21773,14.29752,14.25763,14.48103,14.48900,14.30550,14.18582,14.29752,14.18582,14.32146,14.16188,14.20178,14.24965,14.07412,14.02625,14.01827,14.10604,14.26561,14.20178,14.29752,14.21773,14.22571,14.24965,14.24167,14.12997,14.16986,14.13795,13.93051,13.75498,13.80285,13.69913,13.62732,13.65126,13.73902,13.79487,13.74700,13.99434,14.33741,14.44113,14.21773,14.25763,14.35337,14.50496,14.28954,14.32146,14.33741,14.28156,14.12997,13.91455,14.03423,13.81083,13.47573,13.40392,13.26829,12.90926,12.59809,12.51831,12.17523,11.83216,11.43323,11.28962,10.93058,10.80293
2015,Blackwattle Bay 33_5kV,06MAY2014,MW,10.68325,10.41996,10.06092,9.85348,9.75774,9.49445,9.27105,9.03967,9.03169,9.01574,8.95191,8.80829,8.75244,8.71255,8.71255,8.71255,8.76840,8.76042,8.93595,9.02371,9.52636,9.64604,9.83752,9.98912,10.67527,11.10611,11.40929,11.53695,12.31885,12.83745,13.56350,13.89859,14.34539,14.32146,14.28954,14.32146,14.48103,14.47305,14.28156,14.18582,14.18582,14.16986,13.96242,13.99434,13.99434,14.01827,14.08210,14.12997,13.97040,13.88264,14.11401,13.97040,14.30550,14.44113,14.46507,14.48900,14.49698,14.24965,14.32943,14.35337,14.16986,14.02625,14.03423,13.95444,13.83477,13.63530,13.73104,13.77094,13.85072,14.13795,14.42518,14.43315,13.98636,14.16986,14.29752,14.37731,14.31348,14.17784,14.13795,14.17784,13.91455,13.76296,13.64328,13.53158,13.26031,13.04489,12.86139,12.68586,12.50235,12.19119,12.03162,11.63269,11.48110,11.16196,10.93058,10.69123
2015,Blackwattle Bay 33_5kV,07MAY2014,MW,10.47581,10.10081,9.79763,9.84550,9.70189,9.35881,9.21520,8.90404,8.68064,8.80829,8.71255,8.68064,8.67266,8.53702,8.64872,8.60883,8.56096,8.64074,8.87212,8.87212,9.17531,9.28701,9.66200,9.71785,10.44389,10.78697,11.21781,11.60078,12.12736,12.70979,13.28425,13.48371,14.08210,14.41720,14.45709,14.31348,14.52890,14.48103,14.09008,14.34539,14.47305,14.15391,14.24965,14.20976,14.28954,14.32943,14.44113,14.31348,14.20178,14.14593,14.15391,14.11401,14.05816,14.16188,14.11401,14.01827,13.97838,13.97040,13.93849,13.98636,14.05019,13.75498,13.73104,13.69115,13.76296,13.54754,13.56350,13.50765,13.79487,14.01029,14.40124,14.51294,14.19380,14.25763,14.28954,14.40922,14.24167,14.14593,14.13795,13.98636,13.85072,13.86668,13.68317,13.52360,13.49169,13.43584,13.12468,12.88532,12.78160,12.46246,11.97577,11.67258,11.31355,11.24174,10.98643,10.64335
2015,Blackwattle Bay 33_5kV,08MAY2014,MW,10.36411,10.15666,10.05294,9.80561,9.66200,9.35881,9.23116,8.95989,8.76840,8.67266,8.67266,8.67266,8.67266,8.67266,8.67266,8.67266,8.57692,8.81627,8.76840,8.89606,9.19924,9.34285,9.70987,9.83752,10.49176,10.72314,11.11409,11.49706,12.35076,12.80554,13.45977,13.82679,14.00231,14.25763,14.29752,14.22571,14.28954,14.31348,14.20178,14.20976,14.06614,14.04221,14.14593,13.96242,13.98636,14.01827,14.04221,13.89062,13.98636,13.90657,14.01827,14.19380,14.17784,14.09806,14.19380,14.15391,13.96242,13.81083,13.81083,13.75498,13.68317,13.73902,13.78689,13.68317,13.57147,13.65924,13.72307,13.92253,14.03423,14.25763,14.48103,14.58475,14.18582,14.04221,13.93849,14.11401,13.85870,13.79487,13.79487,13.66722,13.39595,13.30020,13.11670,13.00500,13.03691,12.96511,12.76564,12.54224,12.42257,12.20715,11.89598,11.76035,11.56089,11.33749,11.19387,10.79495
2015,Blackwattle Bay 33_5kV,09MAY2014,MW,10.61144,10.31624,10.06092,9.82954,9.60615,9.28701,9.28701,9.00776,8.74447,8.68862,8.68862,8.68862,8.68862,8.64074,8.55298,8.58489,8.57692,8.57692,8.57692,8.67266,9.03967,9.37477,9.63806,9.78965,10.44389,10.74708,11.09813,11.38536,12.20715,12.75766,13.65126,13.85072,14.19380,14.24965,14.42518,14.46507,14.48900,14.50496,14.44113,14.46507,14.48900,14.24167,14.20178,14.14593,14.24965,14.14593,14.16986,14.36135,14.40922,14.20178,14.21773,14.36135,14.32943,14.28954,14.35337,14.28156,14.26561,14.13795,14.08210,14.09008,14.01827,14.01827,13.97040,13.82679,13.69913,13.65924,13.62732,13.69913,13.75498,14.08210,14.28954,14.24167,13.77094,13.66722,13.52360,13.41988,13.34010,13.16457,13.30818,13.22840,12.89330,12.83745,12.79756,12.63001,12.37469,12.24704,11.98375,11.94385,11.67258,11.52099,11.36940,11.27366,11.17792,11.13004,11.02632,10.92260
2015,Blackwattle Bay 33_5kV,10MAY2014,MW,10.78697,10.52368,10.21251,10.08486,9.83752,9.45455,9.39073,9.31892,9.12743,8.93595,8.90404,8.71255,8.68064,8.74447,8.74447,8.74447,8.64872,8.61681,8.71255,8.82425,8.86414,8.92797,9.07956,9.11946,9.39073,9.55828,9.64604,9.71785,9.91731,10.06890,10.35613,10.43591,10.62740,10.83484,11.09015,11.28164,11.57684,11.61673,11.64067,11.68056,11.89598,11.99173,12.09545,12.08747,12.11140,12.24704,12.32682,12.19119,12.14332,12.11140,12.02364,11.99173,12.13534,12.00768,11.97577,11.88800,11.84013,11.76833,11.72046,11.57684,11.51301,11.43323,11.37738,11.31355,11.44919,11.43323,11.52099,11.71248,12.07151,12.48639,12.65394,12.78160,12.73373,12.71777,12.77362,12.70181,12.60607,12.32682,12.37469,12.39065,12.23906,12.08747,11.98375,11.72046,11.67258,11.62471,11.49706,11.36940,11.28164,11.12207,10.99441,10.71516,10.54761,10.57953,10.55559,10.45187
2015,Blackwattle Bay 33_5kV,11MAY2014,MW,10.14869,10.12475,9.78965,9.74178,9.54232,9.31094,9.11946,8.95989,8.95191,8.84819,8.64074,8.64074,8.64074,8.50511,8.36947,8.49713,8.48117,8.53702,8.50511,8.50511,8.50511,8.69659,8.84021,8.92797,8.99180,9.11946,8.88010,8.84819,9.08754,9.23913,9.52636,9.78965,9.98912,10.23645,10.43591,10.71516,10.93058,11.06622,11.19387,11.38536,11.50504,11.72843,11.70450,11.54493,11.53695,11.55291,11.48908,11.68056,11.80822,11.76035,11.68056,11.75237,11.65663,11.60078,11.35344,11.16196,11.16994,11.15398,11.11409,11.10611,11.01835,11.03430,11.20185,11.05026,11.05026,10.97845,10.96250,11.19387,11.54493,12.03162,12.40661,12.45448,12.62203,12.68586,12.76564,12.82947,12.68586,12.61405,12.64596,12.48639,12.43852,12.35076,12.25502,12.11938,12.10343,12.07151,11.75237,11.65663,11.56089,11.46514,11.16196,10.81888,10.62740,10.61942,10.53963,10.27634
2015,Blackwattle Bay 33_5kV,12MAY2014,MW,10.00507,9.86944,9.59019,9.32690,9.26307,8.95191,8.82425,8.80031,8.54500,8.45724,8.49713,8.46522,8.45724,8.44128,8.40937,8.39341,8.48117,8.40139,8.54500,8.56096,8.91201,9.04765,9.13541,9.66200,10.28432,10.38804,10.69123,10.91462,11.83216,12.36672,12.90926,13.30020,13.55552,13.68317,13.91455,13.99434,14.15391,14.20178,14.10604,14.07412,14.16188,14.17784,14.04221,14.01029,14.05816,14.09008,13.94646,13.98636,13.86668,14.03423,14.12199,14.01827,14.18582,14.23369,13.93849,14.07412,14.12199,14.14593,14.05816,13.97040,13.89062,13.93849,13.96242,13.65126,13.61935,13.62732,13.61137,13.58743,13.63530,13.84274,14.29752,14.26561,13.95444,13.85870,13.85072,13.93849,13.61935,13.72307,13.67519,13.63530,13.50765,13.25233,13.21244,13.08478,12.78160,12.58214,12.43852,12.24704,12.14332,11.92790,11.56886,11.16994,11.01835,10.84282,10.48378,10.41198
2015,Blackwattle Bay 33_5kV,13MAY2014,MW,10.13273,9.96518,9.78965,9.62210,9.54232,9.31094,8.99180,8.85616,8.79234,8.59287,8.59287,8.57692,8.55298,8.55298,8.56096,8.55298,8.55298,8.55298,8.64872,8.81627,8.97584,9.39073,9.35881,9.61412,10.25241,10.52368,10.71516,10.93856,11.58482,12.03960,12.63799,13.02096,13.51562,13.45180,13.57147,13.79487,13.93849,14.04221,14.07412,14.15391,14.15391,14.14593,14.08210,14.01029,14.10604,14.16986,14.08210,14.18582,14.23369,14.34539,14.35337,14.36135,14.27358,14.36135,14.38528,14.19380,14.23369,14.17784,14.15391,13.90657,13.93051,13.98636,13.86668,13.78689,13.59541,13.46775,13.68317,13.76296,13.61935,13.85870,14.08210,14.12199,13.93849,14.02625,13.80285,13.67519,13.45180,13.59541,13.65924,13.50765,13.32414,13.25233,13.06883,12.74171,12.65394,12.51831,12.45448,12.15130,12.17523,12.03960,11.54493,11.29759,11.01835,10.77899,10.58750,10.41996
2015,Blackwattle Bay 33_5kV,14MAY2014,MW,10.22847,9.83752,9.55030,9.31892,9.23913,8.95191,8.90404,8.70457,8.60085,8.57692,8.41735,8.39341,8.35352,8.32958,8.36150,8.42532,8.56894,8.58489,8.58489,8.68064,8.94393,9.16733,9.28701,9.53434,10.16464,10.46783,10.63538,11.10611,11.80024,12.33480,12.79756,13.05287,13.45180,13.83477,13.81881,13.85870,14.03423,14.14593,14.19380,14.23369,14.07412,13.97838,13.76296,13.92253,14.07412,14.12997,14.16986,14.16188,14.17784,14.08210,14.09008,14.16188,14.11401,13.93849,14.06614,14.05816,14.02625,13.94646,14.09008,13.85870,13.71509,13.77094,13.89062,13.78689,13.53158,13.49967,13.41988,13.55552,13.74700,13.96242,14.28156,14.24167,13.83477,13.74700,13.72307,13.55552,13.52360,13.36403,13.44382,13.34010,13.17255,13.02096,12.97308,12.98106,12.70181,12.63001,12.33480,12.03960,11.84811,11.73641,11.32153,11.14600,10.82686,10.92260,10.63538,10.37208
2015,Blackwattle Bay 33_5kV,15MAY2014,MW,10.20454,10.02901,9.74976,9.62210,9.47051,9.13541,8.93595,8.69659,8.63277,8.61681,8.52905,8.51309,8.51309,8.50511,8.45724,8.45724,8.45724,8.45724,8.45724,8.53702,8.85616,8.99180,9.27903,9.50243,10.09284,10.52368,10.73910,10.96250,11.73641,12.16725,12.84543,13.21244,13.69115,13.85072,13.89062,13.90657,14.14593,14.16188,14.12199,14.05019,13.94646,13.85870,13.93849,13.89859,13.85870,13.93051,13.88264,13.97838,13.92253,13.88264,13.97838,14.12199,14.09806,14.12997,14.10604,13.96242,14.02625,13.95444,14.00231,13.92253,13.79487,13.82679,13.72307,13.95444,13.60339,13.51562,13.60339,13.47573,13.65924,13.80285,13.95444,14.09008,13.65924,13.57945,13.61137,13.77892,13.60339,13.45977,13.45180,13.30020,13.08478,12.91723,12.78160,12.73373,12.47044,12.36672,12.19119,12.01566,11.72843,11.51301,11.31355,11.18589,10.84282,10.77101,10.67527,10.45187
2015,Blackwattle Bay 33_5kV,16MAY2014,MW,10.31624,9.80561,9.51838,9.39073,9.27105,9.08754,8.83223,8.74447,8.73649,8.57692,8.56894,8.63277,8.58489,8.52107,8.44926,8.43330,8.48117,8.48117,8.56894,8.64074,8.90404,9.07158,9.29498,9.55030,9.96518,10.30826,10.73112,10.75505,11.52099,12.14332,12.78160,13.14861,13.61935,13.70711,13.82679,13.94646,14.00231,13.97838,13.85072,13.86668,14.01827,14.01029,13.91455,13.99434,14.06614,14.12199,14.09806,14.13795,14.12199,14.10604,14.15391,14.28156,14.28954,14.16986,14.30550,14.14593,14.11401,14.14593,14.21773,13.93849,14.13795,13.90657,13.93051,13.79487,13.69115,13.62732,13.62732,13.74700,13.76296,13.73104,13.95444,13.95444,13.53956,13.33212,13.45977,13.27627,13.22840,13.02893,12.83745,12.77362,12.61405,12.46246,12.20715,12.20715,12.07949,11.94385,11.88003,11.85609,11.71248,11.38536,11.09813,10.85080,10.70718,10.65133,10.62740,10.45187
2015,Blackwattle Bay 33_5kV,17MAY2014,MW,10.30028,10.19656,9.88539,9.73380,9.63008,9.31094,9.07956,8.81627,8.82425,8.82425,8.62479,8.57692,8.51309,8.55298,8.64074,8.48915,8.54500,8.59287,8.59287,8.59287,8.59287,8.69659,8.88010,9.00776,9.26307,9.40668,9.36679,9.52636,9.81359,10.03699,10.38804,10.61144,10.71516,10.95452,11.19387,11.30557,11.48110,11.58482,11.59280,11.60876,11.91992,11.98375,12.03960,12.31087,12.27895,12.25502,12.27097,12.31087,12.22310,12.22310,12.31885,12.18321,12.11938,12.13534,12.06353,11.93588,11.88800,11.86407,11.56886,11.68056,11.47312,11.51301,11.42525,11.49706,11.32951,11.51301,11.51301,11.64865,12.03960,12.28693,12.46246,12.54224,12.44650,12.43852,12.39065,12.38267,12.30289,12.05555,12.13534,12.03960,11.90396,11.76833,11.58482,11.60078,11.45716,11.47312,11.29759,11.22579,11.07420,10.93856,10.80293,10.48378,10.37208,10.45985,10.46783,10.36411
2015,Blackwattle Bay 33_5kV,18MAY2014,MW,10.19656,10.07688,9.83752,9.55030,9.53434,9.38275,9.09552,8.90404,8.80829,8.72053,8.60883,8.57692,8.59287,8.45724,8.38543,8.36947,8.42532,8.39341,8.45724,8.24980,8.28969,8.50511,8.50511,8.58489,8.59287,8.73649,8.63277,8.70457,8.91201,9.05563,9.34285,9.53434,9.67795,9.98114,10.25241,10.37208,10.62740,10.80293,10.77899,10.91462,11.05026,11.13004,11.13802,11.20185,11.25770,11.28962,11.28164,11.31355,11.35344,11.32951,11.39334,11.46514,11.45716,11.36142,11.26568,11.24174,11.25770,11.18589,11.17792,10.93058,10.85080,10.74708,10.78697,10.61144,10.71516,10.81888,10.93058,11.17792,11.43323,11.88800,12.15927,12.16725,12.22310,12.27895,12.18321,12.23108,12.07949,12.23906,12.12736,12.03960,12.02364,11.94385,11.95981,11.85609,11.65663,11.62471,11.49706,11.49706,11.30557,11.25770,10.93058,10.62740,10.41996,10.42793,10.36411,10.08486
2015,Blackwattle Bay 33_5kV,19MAY2014,MW,9.86944,9.59817,9.39073,9.21520,9.15137,8.88808,8.65670,8.58489,8.40937,8.36150,8.36150,8.36150,8.28171,8.18597,8.26575,8.28171,8.24182,8.30565,8.48117,8.44926,8.73649,8.95191,9.12743,9.30296,9.94922,10.35613,10.45985,10.71516,11.59280,11.92790,12.73373,13.27627,13.69115,13.78689,13.64328,13.67519,13.82679,13.78689,13.75498,13.84274,13.81083,13.79487,13.72307,13.90657,13.73902,13.87466,13.97838,13.92253,13.99434,14.01029,14.15391,14.08210,14.18582,14.25763,14.27358,14.25763,14.20976,14.19380,14.05019,14.01029,13.90657,13.77892,13.81083,13.85072,13.64328,13.57945,13.60339,13.69115,13.76296,14.30550,14.41720,14.39326,13.99434,13.93051,13.88264,13.83477,13.64328,13.71509,13.53158,13.34010,13.18053,13.18053,13.18053,12.74171,12.55022,12.47044,12.45448,12.09545,11.84013,11.70450,11.39334,11.09015,10.65133,10.58750,10.41198,10.22049
2015,Blackwattle Bay 33_5kV,20MAY2014,MW,9.94124,9.67795,9.40668,9.17531,9.09552,8.84021,8.75244,8.65670,8.56096,8.48915,8.39341,8.32958,8.37745,8.34554,8.48915,8.51309,8.62479,8.52107,8.55298,8.55298,8.98382,9.10350,9.16733,9.44658,10.00507,10.30028,10.48378,10.60346,11.37738,11.95183,12.52629,12.98904,13.42786,13.49169,13.49169,13.57147,13.84274,13.85072,13.79487,13.83477,13.71509,13.73104,13.73902,13.62732,13.69115,13.94646,13.85870,13.98636,14.13795,13.98636,14.10604,14.08210,13.97838,13.89859,13.91455,14.01827,14.24167,14.13795,14.22571,14.12997,14.00231,13.87466,13.75498,13.73902,13.47573,13.60339,13.44382,13.66722,13.91455,14.03423,14.08210,14.20976,13.69115,13.79487,13.71509,13.72307,13.61935,13.46775,13.41190,13.34808,13.09276,12.97308,12.88532,12.78958,12.70979,12.51033,12.33480,12.13534,11.90396,11.64067,11.25770,11.07420,,10.58750,10.37208,10.09284
2015,Blackwattle Bay 33_5kV,21MAY2014,MW,10.00507,9.63806,9.47051,9.36679,9.23116,,8.77638,8.56894,8.57692,8.45724,8.44128,8.27373,8.25778,8.28171,8.28171,8.28171,8.32160,8.33756,8.39341,8.50511,8.78436,8.93595,9.16733,9.39870,9.81359,10.24443,10.45985,10.88271,11.66461,10.93856,11.55291,11.83216,12.47044,12.80554,13.34010,13.34808,13.63530,13.73104,13.78689,13.89859,13.78689,13.43584,13.48371,13.72307,13.76296,13.77094,13.91455,13.89062,13.88264,13.81083,13.93051,13.93849,14.12199,14.28156,14.12997,14.09008,14.16188,14.31348,14.21773,14.26561,14.18582,14.08210,14.11401,13.96242,13.89859,13.75498,13.62732,13.73902,13.77094,13.97040,14.20976,14.41720,13.88264,13.69913,13.69913,13.62732,13.38797,13.43584,13.44382,13.41988,13.06085,12.94117,12.84543,12.72575,12.65394,12.48639,12.08747,12.04758,11.91992,11.62471,11.36940,11.03430,10.70718,10.79495,10.65133,10.31624
2015,Blackwattle Bay 33_5kV,22MAY2014,MW,10.15666,9.82954,9.59817,9.59817,9.37477,9.17531,8.99978,8.76840,8.61681,8.61681,8.61681,8.47320,8.37745,8.37745,8.38543,8.32160,8.38543,8.42532,8.39341,8.49713,8.95989,8.98382,9.27105,9.41466,9.99709,10.34017,10.51570,10.89867,11.59280,12.13534,12.82947,13.04489,13.53956,13.65924,13.86668,13.85072,13.88264,13.99434,14.01029,14.10604,13.97838,13.85072,13.85870,13.99434,14.07412,14.12997,14.26561,14.29752,14.25763,14.30550,14.36933,14.39326,14.28954,14.44911,14.53688,14.38528,14.33741,14.33741,14.36933,14.13795,14.11401,14.17784,13.88264,13.97838,13.79487,13.61935,13.74700,13.73104,13.77892,14.04221,14.15391,14.06614,13.69115,13.74700,13.64328,13.63530,13.47573,13.19648,13.02893,12.98106,12.83745,13.02096,12.90926,12.83745,12.59809,12.43054,12.16725,11.99173,11.70450,11.50504,11.54493,11.22579,10.92260,10.90665,10.61942,10.24443
2015,Blackwattle Bay 33_5kV,23MAY2014,MW,10.15666,9.98114,9.62210,9.38275,9.31892,9.10350,8.91999,8.76042,8.66468,8.66468,8.56096,8.47320,8.49713,8.49713,8.53702,8.45724,8.55298,8.52107,8.56096,8.67266,8.91201,9.15935,9.31094,9.47849,10.07688,10.22847,10.43591,10.69920,11.41727,12.11938,12.72575,12.97308,13.35605,13.65924,13.73902,13.85870,14.05816,13.93849,13.93051,14.11401,14.16188,13.97838,14.05816,14.09008,14.22571,14.18582,14.45709,14.44113,14.39326,14.27358,14.36135,14.40922,14.53688,14.40922,14.28156,14.32943,14.40922,14.36933,14.28156,14.36933,14.10604,13.85072,13.81083,13.90657,13.86668,13.72307,13.81083,13.78689,13.95444,14.15391,14.29752,14.21773,13.53158,13.18850,13.18053,13.18850,13.01298,12.82947,12.72575,12.66990,12.43852,12.13534,12.07949,12.09545,11.88800,11.57684,11.46514,11.43323,11.10611,10.98643,10.93856,10.69920,10.56357,10.57155,10.63538,10.26039
2015,Blackwattle Bay 33_5kV,24MAY2014,MW,10.24443,9.98912,9.72582,9.63008,9.48647,9.34285,9.07158,8.99180,8.94393,8.77638,8.79234,8.79234,8.64074,8.51309,8.51309,8.51309,8.54500,8.59287,8.49713,8.48117,8.67266,8.75244,8.80829,8.96786,9.20722,9.31094,9.34285,9.39073,9.59019,9.70987,10.06092,10.31624,10.47581,10.67527,11.01037,11.42525,11.60078,11.78428,11.91992,11.96779,12.11140,12.16725,12.30289,12.19119,12.38267,12.42257,12.39863,12.29491,12.38267,12.24704,12.34278,12.30289,12.35874,12.16725,12.04758,11.99173,11.87205,11.85609,11.91992,11.87205,11.73641,11.56089,11.58482,11.52897,11.55291,11.65663,11.80024,11.99970,12.28693,12.53427,12.47842,12.52629,12.47842,12.56618,12.38267,12.34278,12.23906,12.15927,11.98375,11.90396,11.63269,11.62471,11.47312,11.33749,11.31355,11.32951,11.22579,11.15398,11.01835,10.88271,10.85877,10.67527,10.45985,10.36411,10.54761,10.33219
2015,Blackwattle Bay 33_5kV,25MAY2014,MW,10.26836,10.00507,9.79763,9.70189,9.62210,9.33488,9.21520,9.01574,8.88808,9.02371,8.79234,8.76840,8.64872,8.48117,8.48117,8.48117,8.38543,8.36947,8.36947,8.36947,8.36947,8.59287,8.74447,8.74447,8.81627,8.88808,8.88010,8.71255,9.10350,9.25509,9.59817,9.76572,10.00507,10.19656,10.40400,10.59548,10.85080,10.99441,11.04228,11.17792,11.32153,11.42525,11.35344,11.31355,11.40131,11.50504,11.68056,11.77631,11.70450,11.59280,11.70450,11.76833,11.67258,11.66461,11.62471,11.63269,11.58482,11.51301,11.41727,11.46514,11.29759,11.16196,11.16994,11.09015,11.21781,11.14600,11.32153,11.40131,11.79226,12.20715,12.31087,12.39863,12.52629,12.46246,12.51033,12.35076,12.35076,12.28693,12.27097,12.18321,12.06353,12.09545,11.82418,11.79226,11.89598,11.72843,11.63269,11.50504,11.44919,11.24174,11.03430,10.91462,10.61144,10.73112,10.54761,10.17262
2015,Blackwattle Bay 33_5kV,26MAY2014,MW,10.09284,9.80561,9.65402,9.49445,9.47849,9.17531,8.81627,8.68064,8.62479,8.51309,8.45724,8.51309,8.43330,8.40937,8.48915,8.48915,8.36947,8.41735,8.49713,8.55298,8.88010,9.03967,9.03967,9.42264,9.92529,10.38006,10.59548,10.96250,11.44121,12.01566,12.70979,13.26031,13.63530,13.81881,13.97838,14.01827,14.14593,14.18582,14.21773,14.28156,14.17784,14.34539,14.22571,14.43315,14.44113,14.48900,14.46507,14.57677,14.44911,14.44911,14.48900,14.34539,14.36135,14.20178,14.34539,14.57677,14.56081,14.56081,14.56879,14.58475,14.57677,14.33741,14.28954,14.13795,14.03423,13.97838,14.01029,14.08210,14.20178,14.53688,14.68049,14.61666,14.03423,13.95444,14.11401,14.17784,13.84274,13.60339,13.61137,13.41190,13.31616,13.01298,12.75766,12.65394,12.59012,12.33480,12.31885,12.11140,11.88800,11.72046,11.47312,11.35344,10.91462,10.71516,10.62740,10.35613
