year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Campbell St 132_11kV,01MAY2016,MW,16.07328,15.98026,15.23613,15.23613,15.23613,14.91987,14.39898,14.39898,14.04552,13.65485,13.65485,13.65485,13.65485,13.65485,13.65485,13.18976,12.81770,12.81770,12.81770,12.81770,12.81770,13.18976,13.65485,13.65485,13.65485,13.65485,14.00831,14.39898,14.39898,15.12451,15.32915,15.99886,15.99886,15.99886,16.31512,16.83601,17.07786,17.58015,17.58015,18.32428,18.34288,18.34288,18.34288,19.06841,18.91959,18.36149,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,19.18003,18.97540,18.60333,19.18003,19.18003,19.18003,19.18003,19.04981,19.18003,19.18003,19.18003,19.18003,19.36607,19.92417,19.92417,19.92417,19.92417,19.92417,19.92417,19.92417,19.92417,19.62651,19.18003,18.64054,18.41730,18.41730,18.41730,17.72897,17.67316,17.22668,16.91043,16.64998,16.16629,16.16629,16.05467,15.40356,14.84546,14.56641,14.56641
2017,Campbell St 132_11kV,02MAY2016,MW,13.98971,13.82228,13.82228,13.61764,12.98513,12.98513,12.98513,12.98513,12.65027,12.22239,12.22239,12.22239,12.22239,12.22239,12.22239,12.22239,12.22239,12.22239,12.22239,12.22239,12.81770,12.98513,13.45021,13.72926,14.62222,15.34775,16.48255,17.72897,20.01718,21.26361,22.73327,23.44020,24.33316,24.77964,25.28193,25.31913,25.54237,25.78422,26.11908,26.21209,26.21209,26.47254,26.32371,26.73299,27.12366,26.90042,26.80740,27.12366,27.12366,27.12366,27.64455,27.12366,27.12366,27.12366,27.06785,27.04924,27.04924,26.97483,26.21209,26.49114,26.21209,26.21209,26.21209,26.21209,26.21209,26.21209,26.13768,25.44936,26.13768,26.08187,25.39355,25.17031,23.88668,23.40299,22.93791,22.93791,22.36120,22.10076,21.91472,21.35662,21.26361,20.42646,20.42646,20.29623,19.53350,18.91959,18.91959,18.52892,17.61735,17.24529,16.76160,16.40814,15.77562,15.66400,15.06870,14.90127
2017,Campbell St 132_11kV,03MAY2016,MW,14.84546,14.15714,14.15714,14.15714,13.58043,13.31999,13.31999,13.31999,13.24557,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.91071,13.39440,13.59904,14.15714,14.99429,15.68261,16.89182,17.78478,19.94277,21.05897,22.17517,23.25416,24.12852,24.51919,24.61221,24.92846,25.39355,25.67260,25.76561,26.11908,26.11908,26.30511,26.69578,26.78880,26.78880,26.78880,26.78880,27.03064,27.49572,27.55153,27.55153,27.55153,27.55153,27.55153,27.55153,27.55153,27.55153,27.55153,27.45852,27.55153,27.55153,27.55153,26.84461,26.78880,26.78880,26.50975,26.37952,26.06327,25.93304,25.87723,25.65399,25.85863,23.99830,23.58902,22.86349,22.86349,22.86349,22.45422,22.02634,22.02634,21.54266,21.26361,20.81713,20.51947,20.01718,19.70093,19.08702,18.75216,18.08244,17.44992,17.17087,16.72439,16.29652,15.66400,15.66400,14.95708
2017,Campbell St 132_11kV,04MAY2016,MW,14.77105,14.15714,14.15714,14.15714,14.15714,14.15714,13.37580,13.31999,13.31999,13.00373,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.94792,13.31999,13.31999,13.31999,13.74786,14.06412,15.14311,15.71981,16.83601,17.82199,19.97998,21.05897,22.30539,23.23556,24.20293,25.11450,25.11450,25.13310,25.95165,25.95165,26.19349,26.78880,26.78880,27.19807,26.84461,26.78880,27.19807,27.55153,27.55153,27.55153,27.70036,27.45852,27.51433,28.22125,28.22125,28.22125,28.22125,28.22125,28.22125,28.22125,28.22125,27.64455,27.45852,27.45852,27.45852,26.80740,27.19807,26.54695,26.54695,26.26790,25.78422,25.78422,25.43075,25.04008,24.18433,23.36578,23.16115,22.60305,22.60305,22.58444,21.85891,21.85891,21.13338,20.37065,20.25903,20.25903,20.14741,19.42188,19.12422,18.52892,17.84059,17.84059,17.30110,16.51976,16.01747,15.57099,15.03149,14.82686
2017,Campbell St 132_11kV,05MAY2016,MW,14.64082,14.06412,14.06412,14.06412,13.59904,13.22697,13.22697,13.22697,13.22697,13.00373,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,13.04094,13.22697,13.76647,14.56641,15.42216,16.74300,17.80339,19.84975,20.79852,22.15657,23.42159,24.29595,25.04008,25.04008,25.22612,25.78422,25.78422,26.34232,26.62137,26.62137,26.62137,26.62137,26.62137,27.06785,27.38410,27.38410,27.38410,27.38410,27.38410,27.97941,27.40271,27.29109,27.29109,27.58874,27.55153,27.68176,27.53293,27.45852,27.19807,26.95623,26.95623,26.95623,26.95623,26.93762,26.21209,26.21209,26.21209,26.21209,26.21209,25.54237,25.35634,23.94249,23.17975,23.10534,22.65886,22.60305,21.95193,21.85891,21.74729,21.26361,21.02176,20.68690,20.18461,19.49629,19.25445,19.25445,18.65914,18.19406,17.74758,17.20808,16.91043,16.35233,16.07328,15.75702,15.23613
2017,Campbell St 132_11kV,06MAY2016,MW,14.82686,14.49200,14.49200,13.97110,13.65485,13.65485,13.63624,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,13.50602,14.04552,14.99429,15.94305,16.89182,17.91501,19.97998,20.89154,22.28679,23.27277,24.25874,24.70522,25.56098,25.61679,26.13768,26.37952,25.82142,26.37952,26.62137,26.82600,27.04924,27.04924,27.04924,27.43991,27.79338,27.79338,27.79338,27.79338,27.79338,27.88639,27.88639,27.88639,28.18405,28.70494,27.84919,27.79338,27.79338,27.79338,27.60734,27.08645,27.45852,27.04924,26.99343,26.28651,26.28651,26.28651,25.89584,25.82142,25.54237,25.41215,23.70064,23.03092,22.43562,22.37981,21.69148,21.69148,21.56126,20.92875,20.64970,20.18461,20.18461,19.64512,19.42188,19.42188,18.69635,18.58473,18.58473,18.00802,17.84059,17.52434,17.00344,16.44534,16.16629,16.16629
2017,Campbell St 132_11kV,07MAY2016,MW,15.94305,15.40356,15.40356,14.71524,14.65943,14.65943,14.08272,13.89669,13.89669,13.89669,13.63624,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.15256,13.24557,13.89669,13.89669,13.89669,14.43619,15.12451,15.70121,16.24071,16.55696,17.13367,17.74758,17.80339,18.19406,18.58473,18.88238,19.42188,19.42188,19.97998,20.25903,20.25903,20.25903,20.25903,20.66830,20.35204,20.35204,20.50087,20.87294,21.07757,20.98456,20.48227,21.09618,20.46366,20.35204,20.35204,20.35204,20.35204,20.09160,20.35204,20.35204,20.35204,20.35204,19.55210,19.51489,19.66372,19.51489,20.25903,20.25903,20.25903,20.51947,20.25903,20.25903,20.25903,19.86836,19.51489,19.51489,19.51489,19.51489,19.51489,19.06841,18.75216,18.75216,18.75216,18.73355,18.00802,18.00802,18.00802,18.00802,17.35691,17.17087,16.70579,16.40814,16.40814,16.40814
2017,Campbell St 132_11kV,08MAY2016,MW,15.75702,15.57099,15.57099,14.86406,14.82686,14.82686,14.82686,14.77105,14.06412,14.06412,13.87809,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.31999,13.52462,14.06412,14.41758,14.82686,15.42216,15.57099,15.57099,15.88724,16.33372,16.59417,17.17087,17.65456,17.91501,17.91501,17.91501,17.91501,17.91501,17.91501,18.38009,18.06383,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.49171,18.75216,18.43590,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.00802,18.17545,18.75216,18.99400,19.51489,19.51489,19.51489,19.51489,19.51489,19.51489,19.51489,18.93819,19.16143,19.06841,18.84517,18.39869,18.08244,18.08244,18.08244,17.54294,17.33830,17.33830,16.85462,16.50115,16.50115,15.88724,15.70121,14.99429,14.99429,14.39898,14.23155
2017,Campbell St 132_11kV,09MAY2016,MW,14.23155,13.97110,13.39440,13.39440,13.39440,13.04094,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.78049,13.39440,13.76647,14.65943,15.42216,16.63138,17.78478,19.62651,20.98456,22.47282,23.73785,24.64941,25.44936,25.44936,25.44936,25.89584,26.21209,26.21209,26.37952,26.21209,26.21209,26.71438,26.21209,26.37952,27.04924,26.77019,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.95623,26.63997,26.95623,26.32371,26.21209,26.21209,26.21209,26.21209,25.50517,25.43075,24.53779,23.70064,23.45880,22.93791,22.93791,22.60305,22.19377,21.72869,21.31942,20.68690,20.68690,20.01718,19.92417,19.19864,18.99400,18.41730,17.85920,17.43132,16.83601,16.63138,15.99886,15.27334,15.23613,15.05010
2017,Campbell St 132_11kV,10MAY2016,MW,14.49200,14.10133,13.72926,13.72926,13.72926,13.67345,12.98513,12.98513,12.98513,12.98513,12.98513,12.98513,12.70608,12.14798,12.14798,12.14798,12.14798,12.14798,12.14798,12.14798,12.81770,12.89211,13.22697,13.72926,14.88267,15.83143,16.92903,18.08244,19.90556,21.07757,22.24958,23.51461,24.37036,25.05869,25.11450,25.52377,25.87723,25.87723,25.87723,25.93304,26.62137,26.62137,26.62137,27.27248,27.01204,26.97483,26.71438,26.71438,27.01204,27.12366,27.55153,27.55153,27.55153,27.55153,27.55153,27.55153,26.62137,27.62595,27.62595,27.36550,26.88181,26.88181,26.88181,26.88181,26.73299,26.88181,26.11908,26.11908,25.87723,25.46796,25.05869,24.94707,23.88668,23.60763,23.03092,22.62165,22.26819,22.26819,22.23098,21.50545,21.28221,20.76132,20.50087,20.01718,20.01718,19.73813,19.25445,19.10562,18.38009,17.67316,17.30110,16.91043,16.33372,16.16629,16.16629,16.16629
2017,Campbell St 132_11kV,11MAY2016,MW,16.16629,16.16629,16.16629,14.15714,13.72926,13.72926,13.72926,13.11535,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,13.39440,13.65485,14.43619,14.78965,15.62680,16.55696,17.91501,19.55210,20.79852,22.15657,23.03092,24.03550,24.63081,24.66802,25.09589,25.11450,25.11450,25.84003,25.74701,25.76561,25.76561,25.87723,25.87723,25.87723,26.02606,26.71438,26.56556,26.62137,26.62137,26.62137,26.62137,26.62137,26.62137,26.62137,26.62137,26.62137,26.62137,26.43533,26.26790,25.87723,25.80282,25.17031,25.52377,25.05869,25.04008,25.50517,24.94707,24.94707,24.94707,24.94707,24.81684,23.83087,23.36578,22.91930,22.80768,22.43562,21.85891,21.85891,21.85891,21.22640,21.09618,20.63109,20.35204,20.16601,19.58931,19.36607,18.69635,18.00802,17.89640,17.24529,16.76160,16.50115,15.88724,15.73842,15.10591
2017,Campbell St 132_11kV,12MAY2016,MW,14.99429,14.80825,14.15714,14.15714,13.93390,13.39440,13.39440,13.39440,13.24557,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,13.28278,13.39440,13.76647,14.17574,14.90127,15.70121,16.74300,17.95221,19.92417,21.05897,22.17517,23.12394,24.22154,24.44478,24.96567,25.31913,25.76561,25.44936,25.57958,25.76561,26.04466,26.04466,26.04466,26.47254,26.41673,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,26.78880,26.37952,26.21209,26.21209,26.21209,26.21209,25.78422,26.04466,25.44936,25.44936,25.44936,25.44936,25.28193,23.70064,23.19835,23.14254,22.36120,22.36120,22.32400,21.59847,21.59847,20.89154,20.76132,20.24042,19.92417,19.92417,19.53350,19.18003,18.51031,18.24987,17.41272,17.41272,17.17087,16.42674,15.90585,15.83143,15.16172
2017,Campbell St 132_11kV,13MAY2016,MW,14.64082,14.39898,14.38038,13.65485,13.65485,13.65485,13.50602,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.89211,12.78049,12.16658,12.81770,12.81770,12.81770,12.81770,12.81770,13.04094,13.56183,14.10133,15.01289,15.83143,16.96624,17.91501,19.77534,20.91014,22.43562,23.27277,24.31455,24.76103,25.09589,25.50517,25.56098,25.97025,26.11908,26.11908,26.11908,26.23070,26.49114,26.88181,26.88181,26.88181,26.88181,26.88181,26.88181,27.04924,26.97483,26.95623,26.95623,27.12366,27.62595,27.62595,27.12366,27.30969,27.75617,27.29109,27.29109,27.29109,27.29109,27.01204,26.63997,26.54695,26.13768,25.78422,25.78422,25.78422,25.09589,25.02148,23.62623,23.12394,22.77048,22.43562,21.98914,21.85891,21.15199,21.09618,20.35204,19.66372,19.58931,19.58931,19.04981,18.84517,18.52892,18.08244,18.08244,17.39411,17.33830,17.17087,16.57557,16.57557,15.83143,15.73842
2017,Campbell St 132_11kV,14MAY2016,MW,15.18032,14.90127,14.90127,14.69663,14.15714,14.15714,14.15714,13.50602,13.31999,13.31999,13.31999,13.31999,13.13395,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.76189,13.31999,13.85948,14.06412,14.06412,14.77105,15.16172,15.66400,16.18490,16.55696,17.33830,17.91501,18.41730,18.67774,18.88238,19.42188,19.42188,19.42188,19.42188,19.42188,19.42188,19.60791,20.18461,20.18461,20.18461,20.18461,20.18461,20.18461,20.18461,20.18461,20.18461,20.18461,19.77534,19.77534,19.51489,19.51489,19.51489,19.32886,19.51489,19.51489,19.51489,19.51489,19.38467,18.75216,18.91959,19.51489,19.97998,20.35204,20.35204,20.35204,20.35204,19.64512,19.51489,19.51489,19.51489,19.51489,18.86378,18.75216,18.75216,18.28707,18.00802,18.00802,18.00802,18.00802,17.72897,17.24529,17.24529,16.55696,16.50115,16.50115,15.92445,15.73842,15.73842
2017,Campbell St 132_11kV,15MAY2016,MW,15.31054,14.99429,14.99429,14.78965,14.23155,14.23155,13.97110,13.48742,13.48742,13.48742,13.43161,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.87351,13.39440,13.39440,13.39440,13.39440,14.02691,14.23155,14.52920,14.99429,15.21753,15.73842,15.73842,15.77562,16.50115,16.50115,17.24529,17.24529,17.59875,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,18.17545,17.39411,17.33830,17.80339,18.08244,18.08244,18.08244,18.08244,18.08244,18.28707,18.39869,18.84517,18.84517,19.06841,19.58931,19.58931,19.58931,19.58931,18.95679,18.75216,18.75216,18.75216,18.56612,18.00802,18.00802,18.00802,17.93361,17.24529,17.24529,17.24529,16.68719,16.50115,16.33372,15.66400,15.66400,15.23613,14.90127,14.21295,14.15714
2017,Campbell St 132_11kV,16MAY2016,MW,13.84088,13.39440,13.39440,13.39440,13.39440,13.39440,12.76189,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,13.02233,13.39440,13.71066,14.78965,15.08730,16.11048,17.56154,19.75674,20.66830,22.00774,23.17975,24.37036,24.61221,24.61221,24.94707,25.46796,25.63539,25.84003,25.78422,25.78422,25.87723,26.11908,26.54695,26.54695,26.71438,26.45394,26.47254,27.29109,26.78880,27.29109,27.29109,27.29109,27.29109,27.29109,27.29109,27.19807,27.29109,27.29109,27.12366,26.90042,26.62137,26.54695,26.45394,26.45394,25.80282,26.39813,25.93304,25.61679,25.72841,25.61679,25.18891,23.68204,23.27277,22.82629,22.52863,22.52863,22.17517,21.69148,21.56126,20.92875,20.79852,20.18461,19.57070,19.42188,19.12422,18.41730,18.00802,17.58015,17.20808,16.78020,16.07328,16.05467,15.23613,14.67803,14.39898
2017,Campbell St 132_11kV,17MAY2016,MW,14.39898,14.23155,13.56183,13.56183,13.56183,13.13395,12.81770,12.81770,12.81770,12.81770,12.81770,12.81770,12.81770,12.46423,12.05496,12.05496,12.05496,12.05496,12.05496,12.55725,12.81770,12.81770,13.43161,13.91529,14.88267,15.49658,16.81741,18.08244,19.66372,20.92875,22.08215,23.10534,24.25874,25.33774,25.54237,25.54237,25.54237,25.54237,26.23070,26.28651,26.58416,27.04924,27.04924,27.04924,27.04924,27.25388,27.51433,27.88639,27.88639,27.99801,27.96081,27.96081,28.14684,28.51891,28.42589,28.27706,28.46310,28.22125,28.22125,28.22125,28.22125,28.22125,27.83058,27.68176,27.77477,27.29109,26.56556,26.54695,26.54695,26.54695,25.78422,25.70980,24.51919,23.45880,23.44020,23.32858,22.60305,22.60305,22.60305,22.15657,21.07757,21.02176,20.74271,20.18461,19.81255,19.34746,18.75216,18.58473,18.23126,17.58015,17.07786,16.51976,16.24071,15.88724,15.18032,14.73384
2017,Campbell St 132_11kV,18MAY2016,MW,14.67803,13.98971,13.98971,13.98971,13.98971,13.80367,13.15256,13.15256,13.15256,13.15256,13.15256,12.50144,12.31541,12.31541,12.31541,12.31541,12.31541,12.31541,12.31541,12.31541,13.05954,13.05954,13.71066,14.08272,15.16172,15.85004,16.92903,18.00802,19.92417,21.20780,22.23098,23.27277,24.16573,24.72383,24.94707,24.53779,25.04008,25.04008,25.04008,25.04008,25.07729,25.78422,25.78422,25.78422,25.78422,25.78422,25.78422,25.78422,25.82142,25.98885,26.28651,26.39813,26.65857,26.63997,26.78880,26.78880,26.21209,26.04466,26.04466,26.04466,26.04466,25.61679,25.76561,25.37494,25.37494,25.37494,25.37494,25.37494,25.37494,25.37494,24.74243,24.76103,23.62623,22.86349,22.73327,22.10076,22.10076,22.10076,21.82171,21.35662,21.35662,20.61249,20.59389,20.20322,19.75674,19.75674,19.34746,18.91959,18.13825,17.59875,17.24529,16.92903,16.50115,15.90585,15.57099,14.99429
2017,Campbell St 132_11kV,19MAY2016,MW,14.99429,14.43619,14.15714,14.15714,13.65485,13.39440,13.39440,13.39440,12.83630,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.65027,12.53865,12.31541,12.65027,12.92932,13.39440,13.39440,13.95250,14.95708,15.68261,16.46395,17.72897,19.44048,20.68690,22.08215,22.90070,23.68204,24.27735,24.27735,24.74243,25.04008,25.04008,25.04008,25.04008,25.04008,25.54237,25.78422,25.78422,26.08187,26.13768,25.70980,25.89584,26.30511,25.93304,26.21209,26.54695,26.21209,26.11908,26.62137,26.62137,26.39813,26.62137,26.36092,25.87723,25.87723,25.87723,25.87723,25.84003,25.78422,25.70980,25.87723,25.87723,25.33774,25.11450,25.11450,25.11450,23.79366,23.12394,22.77048,22.77048,22.13796,22.02634,21.72869,21.26361,21.26361,20.92875,20.51947,20.51947,20.09160,19.68232,19.23584,18.91959,18.41730,17.87780,17.41272,17.41272,16.57557,16.07328,15.73842,15.70121
2017,Campbell St 132_11kV,20MAY2016,MW,14.90127,14.90127,14.90127,14.39898,14.15714,14.15714,14.15714,13.46881,13.39440,13.39440,13.39440,13.39440,13.39440,13.39440,13.39440,13.39440,12.89211,12.65027,12.65027,12.65027,13.33859,13.39440,14.00831,14.23155,15.64540,16.03607,16.98484,17.97082,19.77534,20.79852,22.21238,23.03092,24.07271,24.57500,24.94707,24.94707,25.24472,25.37494,25.70980,25.70980,25.70980,25.70980,25.93304,26.21209,26.45394,26.45394,26.45394,26.45394,26.45394,26.45394,26.45394,26.45394,26.52835,26.45394,26.45394,26.45394,26.75159,26.63997,26.45394,26.45394,26.45394,26.13768,25.70980,25.70980,25.70980,25.39355,25.11450,25.65399,25.54237,25.70980,25.09589,24.81684,23.25416,22.52863,22.52863,21.95193,21.76590,21.26361,21.02176,20.35204,20.25903,19.62651,19.51489,18.97540,18.75216,18.75216,17.98942,17.91501,17.91501,17.18948,17.07786,17.07786,16.38953,16.01747,15.57099,15.57099
2017,Campbell St 132_11kV,21MAY2016,MW,14.95708,14.82686,14.82686,14.15714,14.06412,14.06412,14.06412,13.74786,13.31999,13.31999,13.31999,13.31999,12.70608,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,13.22697,13.26418,14.15714,14.15714,14.15714,14.82686,15.49658,15.85004,16.50115,17.04065,17.24529,17.63596,18.19406,18.75216,18.75216,19.08702,19.34746,19.58931,19.58931,19.58931,19.58931,19.58931,19.58931,20.09160,20.35204,20.35204,20.35204,20.11020,20.35204,20.35204,19.96137,19.58931,19.58931,19.58931,19.58931,19.58931,19.58931,19.58931,19.58931,19.58931,19.58931,18.86378,19.21724,19.58931,19.58931,19.58931,20.27763,20.42646,20.42646,20.27763,19.58931,19.58931,19.58931,19.58931,19.47769,18.84517,18.84517,18.84517,18.84517,18.52892,18.08244,18.08244,18.08244,18.08244,17.87780,17.33830,17.33830,17.05925,16.57557,16.57557,16.16629,15.83143,15.25473
2017,Campbell St 132_11kV,22MAY2016,MW,15.06870,15.06870,15.06870,14.52920,14.32457,14.32457,14.32457,14.19434,13.56183,13.56183,13.56183,13.56183,13.56183,13.18976,12.81770,12.81770,12.81770,12.81770,12.81770,12.81770,12.81770,12.81770,12.81770,13.07814,13.56183,13.56183,13.56183,13.56183,13.93390,14.32457,14.86406,15.06870,15.40356,15.83143,15.88724,16.57557,17.05925,17.41272,17.41272,17.69177,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,18.24987,17.85920,17.50573,17.63596,17.50573,17.50573,17.50573,17.50573,17.50573,18.02663,17.71037,17.87780,18.17545,18.49171,18.91959,18.91959,19.40327,19.01260,19.01260,19.01260,19.01260,19.01260,19.01260,19.01260,18.23126,18.17545,18.17545,18.17545,18.17545,17.50573,17.41272,17.41272,17.04065,16.59417,15.90585,15.90585,15.34775,15.06870,15.06870,14.36177,14.23155
2017,Campbell St 132_11kV,23MAY2016,MW,13.59904,13.39440,13.39440,13.39440,13.39440,13.04094,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.07356,11.81312,11.81312,11.81312,11.81312,11.81312,11.81312,12.42703,12.55725,13.39440,13.71066,14.69663,15.19892,16.24071,17.58015,19.29165,20.46366,22.24958,23.32858,24.48198,24.77964,25.39355,25.54237,25.84003,25.91444,26.28651,26.69578,26.54695,26.82600,27.57014,27.79338,27.30969,28.12824,28.12824,27.79338,27.45852,28.12824,28.12824,28.12824,28.12824,27.83058,27.32829,27.21667,27.21667,27.21667,27.21667,27.21667,27.03064,26.45394,26.24930,25.70980,25.70980,25.70980,25.70980,25.70980,25.70980,25.02148,24.79824,24.51919,23.64483,22.69606,22.62165,22.58444,22.19377,21.93333,21.82171,21.09618,21.02176,20.35204,19.97998,19.58931,19.58931,18.90098,18.75216,18.04523,17.61735,17.07786,16.40814,16.40814,15.57099,15.57099,14.84546,14.82686
2017,Campbell St 132_11kV,24MAY2016,MW,14.19434,13.98971,13.98971,13.82228,13.22697,13.22697,13.22697,12.83630,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,12.48284,13.00373,13.22697,13.85948,15.27334,15.88724,16.81741,17.82199,20.03579,20.92875,22.36120,23.17975,24.37036,24.68662,25.09589,25.11450,25.22612,25.11450,25.11450,25.11450,25.15170,25.74701,25.52377,25.87723,25.87723,25.87723,26.11908,26.45394,26.19349,26.54695,26.54695,26.11908,26.54695,26.54695,26.13768,26.54695,26.54695,26.11908,25.80282,25.78422,25.98885,25.70980,25.70980,25.70980,25.70980,25.70980,25.11450,24.94707,25.02148,25.54237,24.79824,24.74243,23.58902,23.44020,22.97511,22.60305,22.60305,22.37981,21.85891,21.85891,21.46824,21.09618,21.09618,21.07757,20.35204,20.18461,19.58931,18.88238,18.67774,18.00802,17.71037,17.24529,16.61277,15.99886,15.73842,15.32915
2017,Campbell St 132_11kV,25MAY2016,MW,14.99429,14.71524,14.23155,14.23155,13.84088,13.48742,13.48742,13.48742,13.33859,12.72468,12.72468,12.72468,12.72468,12.72468,12.72468,12.72468,12.72468,12.72468,12.72468,12.72468,13.07814,13.56183,13.97110,14.38038,15.32915,15.90585,16.94763,17.87780,19.92417,21.30081,22.67746,23.42159,24.29595,25.04008,25.28193,25.44936,25.22612,25.54237,25.54237,25.54237,25.69120,25.69120,25.61679,25.61679,25.61679,25.87723,26.45394,26.45394,26.45394,26.45394,26.45394,26.45394,26.32371,25.95165,26.28651,26.28651,26.28651,26.28651,26.28651,25.70980,26.26790,25.56098,25.54237,25.54237,25.54237,25.20751,25.44936,25.41215,25.54237,25.54237,25.11450,24.70522,24.03550,23.38439,23.19835,23.19835,23.10534,22.60305,22.39841,21.69148,21.69148,20.92875,20.85433,20.50087,20.09160,19.79394,19.34746,19.23584,18.36149,17.84059,17.28249,16.92903,16.25931,15.57099,15.06870,14.82686
2017,Campbell St 132_11kV,26MAY2016,MW,14.82686,14.34317,14.06412,14.06412,13.67345,13.31999,13.31999,13.31999,13.02233,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,12.55725,13.39440,13.48742,14.04552,15.21753,15.83143,16.85462,18.02663,19.99858,21.35662,22.58444,23.27277,24.55640,25.04008,25.04008,25.04008,25.39355,25.15170,25.04008,25.04008,25.24472,25.78422,25.78422,25.78422,25.78422,26.36092,26.30511,25.97025,25.95165,25.95165,25.95165,26.34232,26.71438,26.54695,26.62137,26.04466,26.65857,26.23070,25.95165,25.95165,25.95165,25.87723,25.56098,25.65399,25.63539,25.56098,25.28193,25.20751,25.57958,25.70980,25.37494,25.30053,23.99830,23.45880,23.03092,23.03092,22.49143,22.26819,22.21238,21.43104,21.43104,21.35662,20.68690,20.68690,20.03579,19.92417,19.31026,19.08702,18.64054,18.24987,18.02663,17.43132,16.59417,15.99886,15.99886,15.81283
