year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Woy Woy 66_11kV,01MAY2017,MW,9.23461,10.10440,9.47519,8.43884,7.97619,8.10573,8.97552,8.06872,7.36548,6.47718,6.07004,5.66291,5.47785,5.32980,5.21876,5.14473,5.10772,5.20025,5.25577,5.49635,5.60739,5.81096,6.01453,6.23660,6.86581,7.36548,7.77262,8.01320,7.23594,7.36548,7.58756,7.42100,7.53204,7.30996,7.18042,7.27295,7.27295,7.23594,7.12490,7.25444,6.79179,6.45868,6.77328,6.75478,6.82880,6.81029,6.97685,6.66224,6.68075,6.77328,6.55121,6.95834,7.14341,6.82880,6.88432,6.56971,6.75478,6.79179,6.64374,6.77328,6.75478,6.79179,7.12490,7.27295,7.45801,7.92067,8.01320,8.42034,8.40183,8.99403,9.49370,9.64175,9.58623,9.58623,9.38266,9.23461,8.95702,8.62391,8.38332,8.06872,8.58689,8.08722,8.29079,7.73561,7.86515,7.42100,6.93984,6.82880,6.82880,8.05021,8.64241,7.92067,9.03104,8.58689,10.04889,9.38266
2018,Woy Woy 66_11kV,02MAY2017,MW,8.58689,9.97486,9.06805,7.97619,7.71710,7.51353,8.25378,7.49503,6.73627,6.32913,5.69992,5.49635,5.29278,5.07071,5.01519,5.08921,4.90415,4.90415,4.94116,5.27428,5.51486,5.73693,6.03303,6.03303,6.66224,7.42100,7.60606,7.77262,7.01386,7.43951,7.60606,7.51353,7.45801,7.18042,7.16191,7.06938,7.03237,7.01386,6.68075,6.90283,6.71776,6.60673,6.60673,6.53270,6.51419,6.49569,6.47718,6.69926,6.62523,6.58822,6.69926,6.73627,6.97685,7.38399,7.06938,7.12490,7.12490,6.90283,6.99536,6.93984,6.84731,7.01386,7.32847,7.19893,7.34698,7.71710,7.84664,7.92067,8.16125,8.71644,9.16059,9.51220,9.43818,9.19760,9.17909,9.17909,9.03104,8.71644,8.45735,8.36482,8.71644,8.17976,8.32781,7.88366,7.99469,7.42100,7.19893,7.01386,6.77328,8.08722,8.79046,8.06872,9.06805,8.60540,9.82681,9.23461
2018,Woy Woy 66_11kV,03MAY2017,MW,8.69793,9.88233,9.01254,7.93917,7.43951,7.66158,8.30930,7.47652,6.81029,6.23660,5.71843,5.38531,5.34830,5.12623,5.16324,4.97818,4.97818,4.97818,5.20025,5.27428,5.47785,5.77395,5.92200,6.19959,6.86581,7.27295,7.62457,7.69859,7.23594,7.30996,7.56905,7.73561,7.86515,7.97619,7.97619,8.05021,8.01320,7.97619,7.86515,7.73561,7.51353,7.47652,7.71710,7.21743,7.51353,7.56905,7.23594,7.16191,6.92133,7.23594,7.62457,7.88366,7.60606,7.53204,7.68009,7.47652,7.40249,7.47652,7.38399,7.32847,7.25444,7.19893,7.45801,7.68009,7.71710,8.19826,8.45735,8.80897,9.08656,9.73428,9.86382,10.06739,10.23395,10.25245,10.21544,9.95635,9.75279,9.45669,9.45669,9.23461,9.71577,8.99403,9.16059,8.73494,8.95702,8.30930,8.01320,7.71710,7.53204,8.80897,9.40117,8.56839,9.56772,9.06805,10.43752,9.86382
2018,Woy Woy 66_11kV,04MAY2017,MW,9.25312,10.51154,9.58623,8.40183,7.97619,7.84664,8.62391,7.84664,6.99536,6.36614,6.08855,5.60739,5.42233,5.27428,5.25577,4.99668,5.07071,5.08921,4.94116,5.08921,5.62590,6.03303,6.12556,6.51419,6.97685,7.56905,7.73561,7.97619,7.47652,7.45801,7.77262,7.80963,7.95768,7.58756,7.38399,7.10639,7.25444,6.82880,6.86581,7.36548,7.10639,7.10639,6.93984,6.86581,6.86581,6.81029,6.86581,7.29146,7.34698,7.01386,7.25444,7.18042,7.05088,7.01386,7.16191,7.16191,6.90283,6.77328,7.08789,7.08789,6.79179,6.82880,7.10639,7.51353,7.64307,7.71710,8.05021,8.08722,8.27229,8.95702,9.53071,9.97486,9.91934,10.14142,10.06739,9.95635,9.58623,9.47519,9.21610,9.12357,9.51220,8.79046,9.10507,8.47586,8.53137,8.03171,7.68009,7.51353,7.34698,8.45735,9.25312,8.40183,9.36415,8.99403,10.53005,9.75279
2018,Woy Woy 66_11kV,05MAY2017,MW,9.27162,10.47453,9.53071,8.45735,7.88366,7.84664,8.67942,7.80963,7.03237,6.44017,5.90349,5.68141,5.42233,5.23726,4.99668,4.99668,5.16324,5.10772,4.95967,5.25577,5.57038,5.86648,5.90349,6.23660,6.79179,7.38399,7.82814,8.08722,7.40249,7.62457,7.73561,7.64307,7.51353,7.34698,7.27295,7.23594,7.12490,6.95834,6.81029,6.81029,6.81029,6.84731,6.62523,6.62523,6.60673,6.66224,6.58822,6.47718,6.53270,6.51419,6.60673,6.51419,6.45868,6.64374,6.42166,6.45868,6.71776,6.71776,6.66224,6.75478,6.75478,6.75478,6.75478,6.79179,7.18042,7.42100,7.64307,7.71710,7.92067,8.47586,8.95702,9.03104,9.19760,9.27162,9.21610,9.01254,8.79046,8.54988,8.49436,8.49436,8.92001,8.43884,8.58689,8.03171,8.27229,7.93917,7.60606,7.32847,7.25444,8.51287,9.36415,8.51287,9.30864,9.08656,10.62258,9.99337
2018,Woy Woy 66_11kV,06MAY2017,MW,9.29013,10.49304,9.49370,8.42034,8.01320,7.95768,8.64241,7.95768,7.12490,6.55121,6.19959,5.79245,5.58888,5.36681,5.23726,5.10772,5.08921,5.12623,5.12623,5.12623,5.12623,5.12623,5.44083,5.69992,5.92200,6.40316,6.44017,6.62523,6.21809,6.66224,6.79179,7.03237,7.14341,7.27295,7.42100,7.49503,7.60606,7.30996,7.18042,7.10639,6.92133,6.93984,6.95834,6.73627,7.14341,6.90283,6.62523,6.56971,6.34764,6.47718,6.36614,6.38465,6.44017,6.29212,6.51419,6.53270,6.40316,6.32913,6.32913,6.64374,6.73627,6.71776,6.71776,7.03237,,,,,,,,8.69793,8.73494,8.67942,8.58689,8.30930,8.10573,7.97619,7.86515,7.56905,7.84664,7.32847,7.51353,7.27295,7.62457,7.08789,6.99536,6.66224,6.64374,7.93917,8.88299,8.29079,9.41967,8.97552,10.36349,9.66025
2018,Woy Woy 66_11kV,07MAY2017,MW,9.08656,10.40050,9.51220,8.21677,7.69859,7.69859,8.54988,7.77262,6.95834,6.45868,6.03303,5.71843,5.38531,5.29278,5.05220,5.05220,4.84863,4.83013,4.83013,5.05220,5.08921,5.08921,5.08921,5.08921,5.32980,5.38531,5.66291,5.75544,5.77395,6.01453,6.18108,6.25511,6.49569,6.49569,6.71776,6.79179,6.84731,6.79179,6.73627,6.86581,6.81029,6.55121,6.55121,6.55121,6.45868,6.25511,6.58822,6.58822,6.27361,6.32913,6.23660,6.32913,6.27361,6.29212,6.27361,6.27361,6.07004,6.34764,6.16258,6.18108,6.42166,6.42166,6.42166,6.81029,6.79179,7.10639,7.38399,7.84664,8.01320,8.60540,9.34565,9.47519,9.47519,9.47519,9.53071,9.23461,8.75345,8.66092,8.34631,8.01320,8.86449,8.34631,8.60540,8.12424,8.21677,7.62457,7.29146,7.18042,6.93984,8.30930,9.01254,8.29079,9.29013,8.95702,10.30797,10.03038
2018,Woy Woy 66_11kV,08MAY2017,MW,9.51220,10.80764,9.95635,9.10507,8.32781,8.10573,9.01254,8.27229,7.45801,6.82880,6.27361,5.90349,5.57038,5.27428,5.27428,5.27428,5.27428,5.36681,5.51486,5.68141,5.82946,6.07004,6.21809,6.53270,6.99536,7.55054,8.12424,8.36482,7.73561,8.27229,8.47586,8.30930,8.25378,8.19826,7.97619,7.73561,7.55054,7.66158,7.42100,7.19893,7.08789,6.84731,6.95834,6.77328,6.55121,6.49569,6.62523,6.71776,6.55121,6.71776,6.77328,6.68075,6.95834,6.90283,6.90283,6.66224,6.55121,6.60673,6.44017,6.40316,6.55121,7.08789,7.10639,7.45801,7.45801,7.79112,8.21677,8.73494,9.19760,9.80830,10.28947,10.64108,10.64108,10.77063,10.71511,10.47453,10.21544,10.06739,9.56772,9.21610,9.86382,9.25312,9.51220,9.04955,9.04955,8.29079,8.05021,7.79112,7.58756,8.73494,9.56772,8.71644,9.78980,9.27162,10.73362,10.28947
2018,Woy Woy 66_11kV,09MAY2017,MW,9.62324,10.95569,9.93785,8.77196,8.25378,8.16125,9.06805,8.23527,7.30996,6.51419,6.25511,5.95901,5.90349,5.58888,5.57038,5.27428,5.27428,5.27428,5.45934,5.64440,5.82946,6.01453,6.38465,6.73627,7.32847,8.21677,8.62391,8.90150,8.19826,8.49436,8.60540,8.77196,8.75345,8.47586,8.06872,7.69859,7.55054,7.55054,7.30996,7.03237,6.93984,6.73627,6.77328,6.34764,6.40316,6.45868,6.32913,6.32913,6.40316,6.29212,6.34764,6.32913,6.38465,6.47718,6.62523,6.66224,6.81029,6.99536,6.99536,6.86581,6.86581,6.79179,7.01386,7.32847,7.68009,7.97619,8.16125,8.43884,8.79046,9.56772,10.17843,10.28947,10.38200,10.38200,10.56706,10.12291,10.12291,9.58623,9.54922,9.34565,9.88233,9.51220,9.62324,9.04955,9.12357,8.27229,8.21677,7.84664,7.66158,8.88299,9.53071,8.77196,9.82681,9.32714,10.62258,10.12291
2018,Woy Woy 66_11kV,10MAY2017,MW,9.56772,10.88167,9.97486,8.93851,8.27229,8.32781,9.17909,8.21677,7.42100,6.81029,6.32913,5.86648,5.68141,5.68141,5.68141,5.36681,5.34830,5.34830,5.55187,5.77395,6.10706,6.10706,6.42166,6.64374,7.34698,8.17976,8.49436,8.80897,8.01320,8.29079,8.29079,8.36482,8.27229,8.19826,7.73561,7.62457,7.51353,7.32847,7.29146,6.93984,6.84731,6.62523,6.66224,6.53270,6.31063,6.29212,6.23660,6.44017,6.27361,6.44017,6.58822,6.73627,6.73627,6.58822,6.69926,6.82880,6.93984,6.88432,6.69926,6.71776,6.62523,6.84731,6.92133,7.27295,7.32847,7.60606,7.90216,8.17976,8.54988,9.12357,9.75279,10.01187,10.17843,10.30797,10.25245,10.08590,9.73428,9.67876,9.67876,9.38266,9.91934,9.27162,9.45669,9.01254,9.08656,8.51287,8.23527,7.95768,7.69859,8.73494,9.56772,8.67942,9.80830,9.29013,10.86316,10.10440
2018,Woy Woy 66_11kV,11MAY2017,MW,9.60474,10.86316,10.01187,8.82747,8.08722,8.12424,8.95702,8.17976,7.45801,6.84731,6.29212,5.92200,5.68141,5.51486,5.36681,5.42233,5.40382,5.34830,5.64440,5.66291,6.05154,6.16258,6.47718,6.73627,7.43951,8.16125,8.69793,8.93851,8.03171,8.25378,8.45735,8.16125,8.17976,8.08722,8.05021,7.75411,7.75411,7.45801,7.08789,7.18042,6.99536,6.82880,6.73627,6.75478,6.73627,6.58822,6.69926,6.69926,6.77328,6.71776,6.95834,7.03237,6.95834,6.95834,6.79179,6.69926,6.55121,6.73627,6.64374,6.81029,6.93984,7.01386,6.86581,7.08789,7.53204,7.73561,8.14274,8.36482,8.53137,9.27162,9.90084,10.10440,10.28947,10.40050,10.40050,10.38200,10.10440,10.01187,9.66025,9.53071,9.82681,9.23461,9.49370,8.88299,9.17909,8.34631,8.12424,7.80963,7.66158,8.90150,9.71577,8.92001,9.90084,9.40117,10.78913,10.27096
2018,Woy Woy 66_11kV,12MAY2017,MW,9.51220,10.69660,9.95635,8.71644,8.08722,7.84664,8.71644,7.95768,6.95834,6.66224,6.21809,5.90349,5.47785,5.42233,5.42233,5.16324,5.14473,5.23726,5.40382,5.53336,5.81096,5.81096,6.10706,6.42166,6.95834,7.73561,7.97619,8.14274,7.58756,7.88366,8.08722,8.08722,7.97619,7.82814,7.58756,7.47652,7.77262,7.88366,7.84664,7.80963,7.53204,7.18042,7.06938,6.79179,6.92133,7.05088,7.05088,7.42100,7.60606,7.64307,7.32847,7.32847,7.58756,7.82814,7.88366,7.88366,7.82814,7.60606,7.60606,7.71710,8.05021,8.06872,8.12424,8.21677,8.30930,8.62391,8.88299,8.88299,9.23461,9.88233,10.17843,10.21544,10.10440,10.27096,10.23395,9.73428,9.62324,9.40117,9.29013,9.14208,9.69727,9.25312,9.29013,8.86449,8.88299,8.42034,8.12424,7.77262,7.75411,8.97552,9.58623,8.84598,10.04889,9.32714,10.88167,10.25245
2018,Woy Woy 66_11kV,13MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43951,7.43951,7.03237,6.93984,7.25444,6.99536,6.93984,6.93984,7.05088,7.01386,6.64374,6.90283,6.69926,6.84731,6.62523,6.64374,6.81029,6.68075,7.08789,6.77328,6.86581,6.47718,6.47718,6.47718,6.49569,6.47718,6.71776,6.71776,7.01386,7.62457,7.99469,8.10573,8.23527,8.27229,7.92067,7.86515,7.62457,7.43951,7.38399,7.58756,8.71644,8.08722,8.34631,7.88366,8.06872,7.68009,7.40249,7.14341,7.18042,8.30930,9.19760,8.51287,9.80830,9.10507,10.77063,10.34499
2018,Woy Woy 66_11kV,14MAY2017,MW,9.66025,11.02972,9.86382,8.75345,8.29079,8.08722,8.75345,8.12424,7.51353,6.75478,6.31063,5.99602,5.71843,5.40382,5.38531,5.16324,5.03370,4.99668,4.71909,5.10772,5.10772,5.07071,5.18175,5.45934,5.45934,5.73693,5.84797,6.10706,6.07004,6.16258,6.56971,6.90283,7.25444,7.69859,7.69859,7.69859,7.97619,8.05021,8.12424,8.08722,8.38332,8.42034,8.49436,8.36482,8.32781,8.56839,8.27229,8.17976,8.17976,8.14274,8.21677,7.90216,7.88366,7.88366,7.73561,7.66158,7.19893,6.86581,7.25444,7.49503,7.49503,7.25444,7.19893,7.42100,7.53204,7.55054,8.03171,8.51287,8.73494,9.25312,9.56772,9.67876,9.91934,9.91934,9.91934,9.66025,9.30864,8.95702,8.95702,8.77196,9.34565,8.69793,8.88299,8.30930,8.71644,7.95768,7.80963,7.53204,7.29146,8.51287,9.16059,8.27229,9.67876,9.17909,10.73362,10.15992
2018,Woy Woy 66_11kV,15MAY2017,MW,9.86382,11.15926,10.15992,9.01254,8.45735,8.42034,9.01254,8.36482,7.56905,6.97685,6.25511,5.97751,5.73693,5.55187,5.38531,5.29278,5.34830,5.18175,5.20025,5.44083,5.77395,5.81096,6.14407,6.27361,6.93984,7.80963,8.17976,8.19826,7.86515,8.03171,8.43884,8.45735,8.38332,8.45735,8.42034,8.38332,8.32781,7.53204,7.58756,7.99469,7.60606,7.69859,7.62457,7.97619,7.68009,7.64307,7.90216,7.90216,7.56905,7.16191,7.32847,7.18042,7.34698,7.27295,6.93984,7.30996,7.27295,6.97685,6.97685,6.97685,6.97685,6.97685,7.01386,7.38399,7.77262,8.14274,8.43884,8.97552,9.32714,9.86382,10.32648,10.67810,10.82615,10.90017,10.84465,10.60407,10.38200,10.08590,9.88233,9.66025,10.21544,9.64175,9.75279,9.03104,9.21610,8.77196,8.47586,7.88366,7.71710,8.97552,9.71577,8.86449,10.08590,9.43818,10.97420,10.19694
2018,Woy Woy 66_11kV,16MAY2017,MW,9.78980,11.10374,10.03038,8.82747,8.17976,8.42034,9.08656,8.27229,7.47652,6.95834,6.36614,5.92200,5.82946,5.58888,5.32980,5.38531,5.31129,5.31129,5.44083,5.66291,5.94050,6.19959,6.42166,6.75478,7.40249,8.10573,8.54988,8.84598,8.27229,8.36482,8.64241,8.42034,8.30930,8.17976,8.01320,7.77262,7.71710,7.68009,7.47652,7.21743,7.18042,6.95834,6.88432,6.45868,6.44017,6.40316,6.53270,6.53270,6.53270,6.53270,6.53270,6.53270,6.53270,6.53270,6.53270,6.62523,6.62523,6.47718,6.53270,6.71776,6.79179,6.97685,7.05088,7.29146,7.53204,7.82814,8.25378,8.69793,9.14208,9.95635,10.45602,10.49304,10.27096,10.60407,10.45602,10.56706,10.36349,10.19694,10.03038,9.82681,10.08590,9.56772,9.86382,9.43818,9.45669,8.82747,8.43884,8.14274,7.90216,9.14208,9.54922,8.88299,9.93785,9.23461,10.67810,10.21544
2018,Woy Woy 66_11kV,17MAY2017,MW,9.73428,10.88167,10.01187,8.82747,8.40183,8.36482,8.99403,8.32781,7.42100,6.88432,6.40316,6.12556,5.84797,5.51486,5.51486,5.51486,5.51486,5.66291,5.77395,5.77395,6.27361,6.49569,6.81029,6.95834,7.71710,8.21677,8.92001,8.97552,8.30930,8.66092,8.88299,8.67942,8.56839,8.30930,8.14274,7.95768,7.84664,7.51353,7.32847,7.23594,7.01386,6.99536,6.92133,6.79179,6.68075,6.58822,6.81029,6.77328,6.79179,6.51419,6.45868,6.38465,6.56971,6.64374,6.56971,6.55121,6.58822,6.58822,6.77328,6.60673,6.73627,6.97685,7.10639,7.45801,7.68009,7.99469,8.45735,8.90150,9.34565,10.03038,10.25245,10.47453,10.47453,10.32648,10.47453,10.43752,10.38200,10.08590,9.75279,9.66025,10.04889,9.58623,10.01187,9.25312,9.27162,8.62391,8.32781,8.01320,7.95768,9.21610,9.77129,8.79046,9.95635,9.45669,10.86316,10.21544
2018,Woy Woy 66_11kV,18MAY2017,MW,9.64175,11.01121,10.03038,8.88299,8.45735,8.42034,9.16059,8.25378,7.53204,6.75478,6.45868,6.03303,5.73693,5.57038,5.38531,5.32980,5.62590,5.49635,5.49635,5.71843,5.94050,6.45868,6.60673,6.95834,7.49503,8.19826,8.51287,8.67942,8.05021,8.27229,8.54988,8.49436,8.58689,8.19826,7.99469,7.90216,7.82814,7.60606,7.51353,7.05088,7.12490,6.88432,6.77328,6.66224,6.69926,6.88432,6.99536,7.23594,7.03237,7.29146,7.06938,7.30996,7.29146,6.95834,7.05088,7.12490,7.03237,7.19893,6.95834,7.27295,7.55054,7.55054,7.60606,7.75411,7.90216,8.17976,8.29079,8.82747,9.03104,9.62324,10.10440,10.25245,10.25245,10.25245,10.14142,9.93785,9.73428,9.54922,9.34565,9.32714,9.58623,8.88299,9.27162,8.64241,8.79046,8.10573,7.93917,7.60606,7.56905,8.73494,9.38266,8.43884,9.60474,8.93851,10.60407,9.78980
2018,Woy Woy 66_11kV,19MAY2017,MW,9.14208,10.53005,9.54922,8.45735,7.82814,7.95768,8.69793,7.75411,6.95834,6.62523,6.25511,5.82946,5.49635,5.36681,5.14473,5.14473,5.14473,5.16324,5.38531,5.49635,5.75544,5.97751,6.12556,6.16258,6.84731,7.21743,7.68009,7.93917,7.43951,7.77262,7.82814,7.84664,8.01320,7.93917,7.99469,8.12424,8.32781,8.34631,8.06872,8.14274,8.06872,8.10573,7.84664,8.01320,7.86515,7.30996,7.58756,7.80963,7.93917,7.97619,7.75411,7.75411,7.80963,7.82814,8.05021,7.86515,8.08722,8.06872,7.93917,8.17976,8.06872,8.16125,8.21677,8.47586,8.58689,8.77196,9.16059,9.73428,9.91934,10.34499,10.56706,10.38200,10.38200,10.38200,10.10440,9.80830,10.32648,9.80830,9.88233,9.56772,9.78980,9.08656,8.92001,8.43884,8.30930,9.67876,10.30797,9.51220,11.14075,10.38200,10.91868,9.82681,8.86449,10.32648,10.15992,9.29013
2018,Woy Woy 66_11kV,20MAY2017,MW,9.14208,9.12357,9.73428,8.79046,7.97619,7.29146,6.73627,6.40316,6.07004,5.71843,5.68141,5.38531,5.16324,5.07071,5.07071,5.07071,5.07071,5.27428,5.31129,5.12623,5.08921,5.34830,5.45934,5.55187,5.44083,5.57038,5.79245,5.97751,6.12556,6.64374,6.92133,7.27295,7.51353,7.51353,7.51353,7.79112,7.68009,7.75411,7.92067,7.86515,7.86515,7.73561,7.58756,7.10639,7.30996,7.18042,7.06938,7.19893,7.10639,7.10639,7.05088,6.84731,6.79179,6.88432,6.88432,6.88432,6.88432,6.75478,6.77328,6.79179,6.90283,7.05088,7.05088,7.23594,7.40249,7.55054,7.75411,8.21677,8.43884,8.84598,9.06805,9.17909,8.88299,8.84598,8.71644,8.54988,8.30930,8.16125,7.84664,7.84664,8.38332,7.58756,7.90216,7.49503,7.66158,7.38399,7.32847,7.05088,6.95834,8.16125,9.12357,8.43884,9.64175,9.23461,10.60407,10.23395
2018,Woy Woy 66_11kV,21MAY2017,MW,9.66025,10.84465,10.14142,8.92001,8.30930,8.03171,8.79046,8.12424,7.42100,6.79179,6.40316,5.97751,5.57038,5.36681,5.12623,5.05220,5.05220,5.05220,5.05220,5.05220,4.95967,5.23726,5.23726,5.29278,5.47785,5.86648,5.88498,6.14407,5.92200,6.44017,6.51419,6.73627,6.90283,7.19893,7.25444,7.25444,7.36548,7.30996,7.34698,7.40249,7.19893,7.25444,6.99536,6.86581,6.81029,6.92133,7.32847,7.18042,6.92133,6.73627,6.58822,6.69926,7.01386,7.08789,6.56971,6.75478,6.58822,6.42166,6.51419,6.66224,6.81029,6.93984,6.92133,6.92133,7.25444,7.34698,7.82814,8.12424,8.54988,9.30864,9.58623,9.88233,9.95635,9.91934,9.66025,9.27162,9.10507,8.90150,8.90150,8.45735,9.14208,8.51287,8.73494,8.14274,8.25378,7.80963,7.30996,7.06938,6.97685,8.05021,8.93851,8.17976,9.25312,8.95702,10.56706,10.03038
2018,Woy Woy 66_11kV,22MAY2017,MW,9.43818,10.78913,9.99337,8.80897,8.32781,8.06872,9.03104,8.30930,7.38399,6.71776,6.16258,5.97751,5.79245,5.49635,5.42233,5.21876,5.14473,5.14473,5.14473,5.62590,5.68141,5.97751,6.10706,6.36614,6.95834,7.58756,8.01320,8.17976,7.40249,7.58756,7.71710,7.71710,7.71710,7.60606,7.45801,7.69859,7.49503,7.36548,7.08789,6.99536,7.14341,6.75478,6.86581,6.64374,6.69926,6.99536,7.25444,7.32847,7.18042,7.14341,6.99536,7.06938,7.14341,7.05088,7.05088,7.16191,7.29146,7.14341,7.10639,6.73627,6.99536,7.12490,7.14341,7.25444,7.42100,7.69859,8.17976,8.77196,9.04955,9.73428,10.15992,10.01187,9.90084,9.93785,9.84532,9.84532,9.58623,9.32714,9.14208,8.92001,9.56772,8.75345,9.04955,8.51287,8.60540,8.03171,7.86515,7.38399,7.38399,8.49436,9.16059,8.38332,9.60474,9.23461,10.47453,9.97486
2018,Woy Woy 66_11kV,23MAY2017,MW,9.23461,10.45602,9.54922,8.45735,7.92067,7.84664,8.56839,7.90216,6.99536,6.60673,6.07004,5.88498,5.58888,5.25577,5.25577,5.25577,5.25577,5.25577,5.38531,5.44083,5.69992,5.69992,6.14407,6.40316,6.88432,7.49503,7.80963,7.93917,7.16191,7.38399,7.49503,7.77262,7.77262,7.69859,7.38399,7.29146,7.23594,7.08789,7.03237,6.84731,6.84731,6.73627,6.49569,6.55121,6.51419,6.66224,6.53270,6.53270,6.42166,6.58822,6.82880,6.64374,6.68075,6.93984,6.93984,6.82880,6.68075,6.69926,6.69926,6.69926,6.69926,6.99536,7.06938,7.19893,7.42100,7.73561,7.93917,8.21677,8.38332,9.08656,9.41967,9.41967,9.30864,9.49370,9.56772,9.49370,9.32714,9.06805,8.67942,8.49436,9.14208,8.64241,8.82747,8.34631,8.40183,7.75411,7.36548,7.18042,6.82880,8.05021,9.08656,8.42034,9.29013,8.93851,10.28947,9.82681
2018,Woy Woy 66_11kV,24MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68075,6.71776,6.42166,6.58822,6.45868,6.40316,6.51419,6.77328,6.95834,6.56971,6.60673,6.99536,7.14341,6.90283,6.66224,6.79179,6.69926,6.79179,6.75478,6.75478,6.75478,6.92133,6.99536,7.30996,7.43951,7.69859,7.82814,8.25378,8.56839,9.17909,9.69727,9.58623,9.47519,9.78980,9.69727,9.53071,9.38266,9.06805,9.04955,8.80897,9.41967,8.79046,8.93851,8.62391,8.79046,8.30930,7.92067,7.62457,7.66158,8.88299,9.38266,8.66092,9.78980,9.29013,10.80764,9.99337
2018,Woy Woy 66_11kV,25MAY2017,MW,9.43818,10.82615,9.82681,8.69793,8.08722,8.03171,8.84598,7.95768,7.30996,6.64374,6.21809,5.73693,5.64440,5.40382,5.40382,5.20025,5.07071,5.42233,5.42233,5.66291,5.82946,6.18108,6.42166,6.60673,7.38399,8.10573,8.43884,8.67942,8.08722,8.34631,8.34631,8.34631,8.34631,8.17976,7.93917,7.68009,7.49503,7.49503,7.30996,7.01386,7.08789,6.77328,6.77328,6.60673,6.47718,6.47718,6.36614,6.56971,6.53270,6.56971,6.58822,6.58822,6.40316,6.55121,6.55121,6.42166,6.51419,6.40316,6.40316,6.40316,6.47718,6.84731,7.16191,7.27295,7.51353,7.82814,8.03171,8.49436,8.73494,9.54922,10.08590,10.41901,10.41901,10.51154,10.54855,10.80764,10.49304,10.27096,10.12291,9.84532,10.19694,9.67876,9.75279,9.30864,9.36415,8.73494,8.36482,8.06872,7.82814,8.92001,9.82681,9.10507,10.06739,9.53071,10.80764,10.27096
2018,Woy Woy 66_11kV,26MAY2017,MW,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,6.81029,5.32980,5.29278,5.44083,5.68141,5.95901,6.14407,6.64374,6.75478,7.43951,8.38332,8.75345,9.21610,8.49436,8.73494,8.92001,8.80897,8.93851,8.73494,8.38332,8.14274,8.06872,7.95768,7.73561,7.49503,7.06938,7.05088,6.97685,6.69926,6.58822,6.62523,6.49569,6.47718,6.68075,6.71776,6.71776,6.71776,6.51419,6.56971,6.60673,6.71776,6.62523,6.66224,6.99536,6.75478,6.69926,6.73627,7.06938,7.27295,7.43951,7.68009,7.92067,8.43884,8.92001,9.73428,9.93785,9.93785,9.93785,10.08590,10.17843,10.15992,9.90084,9.60474,9.56772,9.40117,9.93785,9.34565,9.62324,9.21610,9.32714,8.71644,8.47586,8.05021,7.93917,9.19760,10.12291,9.17909,10.17843,9.73428,11.23328,10.64108
2018,Woy Woy 66_11kV,27MAY2017,MW,9.95635,11.14075,10.12291,8.84598,8.51287,8.27229,8.99403,8.42034,7.49503,6.93984,6.45868,6.10706,5.81096,5.53336,5.49635,5.49635,5.51486,5.40382,5.49635,5.34830,5.42233,5.42233,5.42233,5.57038,5.94050,6.34764,6.88432,7.19893,6.92133,7.18042,7.45801,7.73561,7.92067,8.06872,7.97619,8.03171,7.75411,7.84664,7.53204,7.64307,7.51353,7.18042,7.34698,7.05088,7.01386,6.93984,6.88432,6.82880,6.71776,6.53270,6.36614,6.49569,6.51419,6.34764,6.62523,6.68075,6.73627,6.51419,6.49569,6.51419,6.81029,6.81029,6.84731,7.18042,7.34698,7.60606,7.93917,8.36482,8.69793,9.27162,9.64175,9.64175,9.64175,9.64175,9.49370,9.34565,9.14208,9.10507,8.90150,8.75345,9.16059,8.71644,8.80897,8.38332,8.49436,8.17976,8.14274,7.68009,7.64307,8.84598,9.73428,9.19760,10.17843,9.88233,11.41835,10.80764
