year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,North Head 33_11kV,01MAY2016,MW,5.12152,4.84562,4.79388,4.63869,4.74215,4.56971,4.38002,4.38002,4.38002,4.38002,4.38002,4.34553,3.94892,4.05238,3.89719,3.89719,3.69026,3.77648,3.74199,3.69026,3.69026,3.48333,3.50057,3.60403,3.60403,3.72474,3.72474,3.72474,3.89719,3.89719,3.96616,3.96616,3.98341,4.24207,4.24207,4.38002,4.38002,4.25931,4.44900,4.34553,4.44900,4.53522,4.53522,4.53522,4.53522,4.53522,4.65593,4.53522,4.62144,4.58695,4.60420,4.56971,4.63869,4.69042,4.74215,4.96633,4.98357,5.01806,5.01806,5.06979,5.05255,5.05255,5.06979,5.05255,5.05255,5.05255,5.93200,6.74248,6.79421,6.01822,6.01822,6.17342,6.29413,6.20791,6.22515,6.22515,6.17342,6.19066,6.15617,6.00098,6.05271,6.00098,6.00098,5.84578,5.81129,5.72507,5.69058,5.58712,5.74231,5.00081,5.44916,5.05255,4.89735,4.65593,4.65593,4.56971
2017,North Head 33_11kV,02MAY2016,MW,4.69042,4.44900,4.39727,4.25931,4.24207,4.24207,4.17309,4.13860,4.17309,4.17309,4.17309,4.17309,4.17309,4.17309,4.03514,3.79372,3.84545,3.81096,3.70750,3.62128,3.62128,3.62128,3.62128,3.62128,3.79372,4.06963,4.20758,4.41451,4.38002,4.62144,4.62144,4.62144,4.72491,4.53522,4.58695,4.38002,4.39727,4.38002,4.53522,4.17309,4.43176,4.46624,4.60420,5.25948,5.48365,5.50089,5.50089,4.91459,5.15601,6.63901,5.62160,4.75940,5.01806,5.01806,5.22499,4.75940,4.72491,4.75940,4.93184,5.01806,5.01806,5.01806,5.01806,5.01806,5.01806,5.01806,5.01806,5.01806,5.12152,5.17326,5.31121,5.41467,5.55263,5.67334,5.67334,5.67334,5.67334,5.67334,5.67334,5.58712,5.41467,5.43192,5.48365,5.36294,5.20774,5.12152,5.20774,5.06979,5.25948,5.08703,4.98357,4.79388,4.74215,4.89735,4.93184,4.89735
2017,North Head 33_11kV,03MAY2016,MW,4.81113,4.72491,4.72491,4.72491,4.72491,4.65593,4.50073,4.27656,4.24207,4.24207,4.24207,4.24207,4.24207,4.24207,4.24207,4.24207,4.00065,3.87994,3.75923,3.75923,3.75923,3.79372,3.69026,3.84545,3.84545,4.15585,4.27656,4.41451,4.36278,4.56971,4.72491,4.65593,4.50073,4.48349,4.44900,4.43176,4.46624,4.20758,4.29380,4.41451,4.19034,4.17309,4.17309,4.17309,4.22483,4.31105,4.38002,4.38002,4.38002,4.27656,4.36278,4.50073,4.63869,4.62144,4.62144,4.62144,4.62144,4.62144,4.62144,4.60420,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.82837,5.00081,5.00081,5.00081,5.17326,5.36294,5.05255,4.50073,4.34553,4.24207,4.38002,4.43176,4.46624,4.46624,4.32829,4.25931,4.51798,4.51798,4.51798,4.39727,4.22483,4.00065,4.38002,4.29380,4.15585,3.93167,3.75923,3.69026,3.69026,3.69026
2017,North Head 33_11kV,04MAY2016,MW,3.60403,3.43159,3.43159,3.43159,3.43159,3.43159,3.43159,3.43159,3.43159,3.43159,3.34537,3.20742,3.20742,3.20742,3.20742,3.01773,2.96600,2.96600,2.96600,2.81080,2.72458,2.89702,3.05222,2.96600,2.96600,3.03498,3.20742,3.41435,3.51781,3.62128,3.62128,3.65577,3.89719,3.86270,3.75923,4.43176,4.50073,4.50073,4.48349,4.25931,4.36278,4.05238,3.55230,3.29364,3.62128,3.63852,3.63852,3.53506,3.58679,3.62128,3.82821,3.82821,3.70750,4.12136,4.10412,4.01790,4.62144,4.74215,4.79388,4.82837,4.88010,4.81113,4.86286,4.86286,4.86286,4.84562,4.89735,4.98357,5.00081,5.06979,5.12152,5.29396,5.36294,5.41467,5.41467,5.41467,5.41467,5.41467,5.41467,5.41467,5.43192,5.39743,5.34570,5.15601,5.15601,5.15601,5.15601,5.12152,5.15601,5.13877,5.03530,4.91459,4.79388,4.56971,4.51798,4.56971
2017,North Head 33_11kV,05MAY2016,MW,4.65593,4.44900,4.44900,4.39727,4.44900,4.44900,4.31105,4.19034,4.19034,4.19034,4.19034,4.19034,4.12136,3.91443,3.91443,3.82821,3.67301,3.67301,3.67301,3.67301,3.67301,3.67301,3.77648,3.67301,3.75923,4.05238,4.17309,4.31105,4.43176,4.70766,4.67317,4.67317,4.67317,4.67317,4.55246,4.44900,4.41451,4.32829,4.43176,4.43176,4.36278,4.17309,4.32829,4.41451,4.32829,4.32829,4.36278,4.38002,4.38002,4.38002,4.38002,4.38002,4.38002,4.38002,4.38002,4.48349,4.48349,4.65593,4.65593,4.65593,5.22499,5.77680,5.65609,5.65609,5.77680,5.89751,5.89751,5.89751,5.96649,6.06995,6.06995,6.06995,6.22515,6.27688,6.32862,6.41484,6.41484,6.41484,6.34586,6.25964,6.20791,6.20791,6.20791,6.20791,6.12169,5.96649,6.08720,5.96649,6.20791,6.10444,5.96649,5.88027,5.69058,5.48365,5.48365,5.48365
2017,North Head 33_11kV,06MAY2016,MW,5.48365,5.36294,5.22499,5.22499,5.22499,5.22499,5.22499,5.22499,5.22499,5.22499,5.22499,5.22499,5.22499,5.05255,4.96633,4.74215,4.82837,6.98389,8.10477,8.67382,7.44949,7.29429,5.96649,5.39743,4.82837,4.88010,4.98357,5.13877,5.38019,5.36294,5.51814,5.39743,5.39743,5.34570,5.13877,5.13877,5.13877,5.13877,5.20774,5.25948,5.24223,5.31121,5.27672,5.27672,5.27672,5.25948,5.25948,5.31121,5.32845,5.50089,5.38019,5.53538,5.46641,5.46641,4.84562,4.84562,4.77664,4.75940,4.84562,4.91459,4.91459,4.82837,4.84562,4.84562,4.96633,4.77664,4.96633,5.08703,4.96633,4.89735,5.06979,5.22499,5.25948,5.25948,5.25948,5.25948,5.25948,5.25948,5.25948,5.41467,5.25948,5.25948,5.25948,5.22499,5.01806,5.00081,5.12152,5.01806,5.27672,5.10428,4.93184,4.84562,4.84562,4.79388,4.58695,4.67317
2017,North Head 33_11kV,07MAY2016,MW,4.75940,4.58695,4.58695,4.58695,4.58695,4.58695,4.50073,4.31105,4.31105,4.31105,4.31105,4.10412,4.08687,4.00065,3.93167,3.93167,3.96616,3.79372,3.82821,3.69026,3.67301,3.69026,3.56955,3.70750,3.79372,3.79372,3.79372,3.79372,3.82821,3.84545,4.06963,4.06963,4.22483,4.31105,4.31105,4.31105,4.31105,4.31105,4.34553,4.32829,4.31105,4.20758,4.25931,4.31105,4.31105,4.31105,4.31105,4.22483,4.12136,4.29380,4.32829,4.55246,4.58695,4.50073,4.53522,4.70766,4.70766,4.70766,4.70766,4.82837,4.94908,5.13877,5.13877,5.13877,5.13877,5.13877,5.13877,5.13877,5.13877,6.15617,6.24239,6.05271,6.17342,6.22515,6.29413,6.15617,6.15617,6.10444,6.69074,6.48381,6.48381,6.43208,6.44933,6.39759,6.27688,6.24239,6.19066,6.17342,6.53555,5.88027,5.17326,4.86286,5.10428,5.24223,5.05255,4.84562
2017,North Head 33_11kV,08MAY2016,MW,4.84562,4.69042,4.58695,4.67317,5.19050,4.63869,4.58695,4.56971,4.41451,4.36278,4.36278,4.36278,4.36278,4.12136,4.00065,3.86270,3.86270,3.86270,3.82821,3.65577,3.60403,3.60403,3.60403,3.65577,3.65577,3.65577,3.70750,3.70750,3.89719,3.89719,3.93167,4.08687,4.17309,4.17309,4.17309,4.22483,4.39727,4.39727,4.39727,4.39727,4.39727,4.43176,4.51798,4.39727,4.39727,4.39727,4.63869,4.65593,4.60420,4.39727,4.44900,4.46624,4.55246,4.55246,4.63869,4.58695,4.55246,4.65593,4.79388,4.79388,4.81113,4.77664,4.93184,5.00081,5.00081,5.19050,5.25948,5.25948,5.38019,5.51814,5.51814,5.51814,5.63885,5.72507,5.72507,5.72507,5.72507,5.72507,5.53538,5.53538,5.53538,5.43192,5.53538,5.43192,5.27672,5.27672,5.27672,5.27672,5.27672,5.19050,5.03530,4.88010,4.79388,4.60420,4.53522,4.53522
2017,North Head 33_11kV,09MAY2016,MW,4.55246,4.56971,4.56971,4.48349,4.31105,4.31105,4.31105,4.31105,4.31105,4.31105,4.31105,4.31105,4.29380,3.93167,4.01790,3.87994,3.72474,3.74199,3.65577,3.69026,3.77648,3.74199,3.79372,3.82821,3.87994,4.01790,4.24207,4.24207,4.50073,4.74215,4.74215,4.74215,4.89735,4.82837,4.82837,4.72491,4.81113,4.81113,4.79388,4.67317,4.60420,4.79388,4.65593,4.93184,4.94908,5.05255,5.00081,5.05255,5.01806,5.01806,5.24223,5.24223,5.19050,5.36294,5.44916,5.24223,5.44916,5.51814,5.48365,5.56987,5.38019,5.38019,5.38019,5.36294,5.31121,5.13877,5.13877,5.29396,5.51814,5.65609,5.69058,5.89751,5.96649,6.05271,6.05271,6.29413,6.19066,6.15617,6.08720,6.08720,6.08720,6.08720,5.88027,5.82853,5.82853,5.82853,5.82853,5.72507,5.75956,5.70783,5.50089,5.25948,5.00081,5.00081,5.00081,4.94908
2017,North Head 33_11kV,10MAY2016,MW,4.88010,5.41467,5.19050,5.12152,5.06979,4.75940,4.86286,4.93184,4.93184,4.86286,4.65593,4.50073,4.50073,4.50073,4.50073,4.50073,4.50073,4.50073,4.36278,4.24207,4.05238,4.00065,4.08687,4.08687,4.17309,4.32829,4.50073,4.58695,4.96633,4.96633,5.27672,5.63885,5.63885,5.67334,5.60436,5.00081,4.77664,4.67317,4.74215,4.74215,4.74215,4.72491,4.72491,4.82837,4.93184,4.93184,4.82837,4.96633,4.96633,4.96633,4.96633,4.96633,4.96633,4.96633,5.08703,5.20774,5.05255,5.10428,5.20774,5.20774,5.20774,5.20774,5.20774,5.20774,5.20774,5.20774,5.20774,5.22499,5.25948,5.46641,5.62160,5.74231,5.77680,5.77680,5.77680,5.77680,5.86302,6.03546,6.03546,5.88027,5.79405,5.70783,5.55263,5.55263,5.55263,5.55263,5.55263,5.55263,5.55263,5.43192,5.32845,5.19050,5.06979,5.06979,5.06979,5.06979
2017,North Head 33_11kV,11MAY2016,MW,5.06979,5.06979,5.06979,5.38019,4.81113,4.88010,4.88010,4.88010,4.70766,4.63869,4.63869,4.53522,4.38002,4.38002,4.38002,4.38002,4.38002,4.36278,4.13860,4.03514,3.89719,4.00065,4.15585,4.15585,4.15585,4.15585,4.43176,4.51798,4.79388,4.82837,4.93184,5.00081,5.20774,5.13877,5.22499,5.22499,5.01806,5.20774,5.19050,4.94908,4.94908,4.94908,5.03530,5.01806,4.86286,4.86286,4.86286,4.86286,4.86286,5.03530,4.81113,5.06979,5.10428,5.05255,4.84562,4.84562,5.20774,5.31121,5.22499,5.10428,5.10428,5.10428,5.10428,5.10428,5.10428,5.10428,5.10428,5.10428,5.10428,5.31121,5.32845,5.72507,5.60436,5.65609,5.94924,6.00098,6.05271,5.82853,5.79405,5.82853,5.91476,5.77680,5.56987,5.41467,5.56987,5.51814,5.67334,5.58712,5.46641,5.46641,5.32845,5.22499,5.06979,4.98357,4.98357,4.98357
2017,North Head 33_11kV,12MAY2016,MW,4.88010,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,4.72491,5.72507,7.27705,8.72556,8.27721,6.41484,4.48349,4.65593,4.44900,4.19034,4.32829,4.46624,4.46624,4.63869,4.79388,4.96633,5.06979,4.93184,5.05255,4.93184,4.81113,4.65593,4.72491,4.69042,5.27672,5.34570,5.46641,5.36294,5.50089,5.50089,5.50089,5.50089,5.50089,5.50089,5.50089,5.62160,5.75956,5.75956,5.84578,5.94924,5.84578,6.00098,6.01822,6.01822,6.01822,5.86302,5.75956,5.75956,5.19050,4.36278,4.10412,4.01790,4.01790,4.13860,4.25931,4.25931,4.50073,4.55246,4.55246,4.60420,4.72491,4.75940,4.51798,4.60420,4.75940,4.75940,4.75940,4.75940,4.60420,4.46624,4.38002,4.46624,4.31105,4.31105,4.55246,4.56971,4.44900,4.29380,4.20758,4.03514,4.03514,3.91443
2017,North Head 33_11kV,13MAY2016,MW,3.79372,3.79372,3.79372,3.79372,3.79372,3.69026,3.55230,3.55230,3.55230,3.55230,3.55230,3.55230,3.36262,3.41435,3.31088,3.36262,3.53506,5.53538,2.96600,3.56955,3.10395,3.22466,3.20742,3.20742,3.20742,3.20742,3.43159,3.53506,3.70750,3.96616,3.89719,3.72474,3.96616,3.98341,3.82821,3.70750,3.87994,3.87994,3.87994,3.96616,3.75923,3.75923,3.75923,3.75923,3.75923,3.75923,3.75923,3.58679,3.36262,3.36262,3.50057,3.53506,3.56955,3.70750,3.75923,3.82821,3.69026,3.70750,3.94892,3.94892,3.94892,3.94892,3.87994,3.94892,3.94892,3.94892,3.94892,3.96616,4.00065,4.12136,4.24207,4.31105,4.31105,4.31105,4.31105,4.25931,4.17309,4.29380,4.24207,4.05238,4.03514,4.12136,4.22483,4.03514,4.01790,3.82821,4.03514,3.89719,4.03514,3.86270,3.79372,3.79372,3.63852,3.55230,3.55230,3.55230
2017,North Head 33_11kV,14MAY2016,MW,3.55230,3.55230,3.48333,3.41435,3.31088,3.31088,3.29364,3.34537,3.15569,3.10395,3.10395,3.10395,3.08671,2.86253,2.86253,2.86253,2.74183,2.74183,2.69009,2.67285,2.67285,2.67285,2.67285,2.67285,2.67285,2.67285,2.67285,2.75907,2.93151,2.93151,2.93151,2.93151,3.06946,3.15569,3.15569,3.15569,3.15569,3.20742,3.41435,3.41435,3.34537,3.53506,3.29364,3.29364,3.29364,3.37986,3.46608,3.46608,3.46608,3.46608,3.46608,3.46608,3.46608,3.46608,3.51781,3.58679,3.67301,3.69026,3.75923,3.89719,4.12136,3.91443,3.89719,3.89719,3.89719,3.89719,3.94892,4.10412,4.89735,4.74215,4.98357,5.20774,5.12152,5.00081,5.00081,5.00081,5.00081,4.96633,4.79388,4.79388,4.72491,4.65593,4.75940,4.70766,4.67317,4.55246,4.55246,4.55246,4.94908,4.19034,3.98341,3.98341,3.98341,3.77648,3.74199,3.74199
2017,North Head 33_11kV,15MAY2016,MW,3.74199,3.63852,3.48333,3.48333,3.48333,3.48333,3.48333,3.48333,3.48333,3.48333,3.48333,3.08671,3.17293,2.96600,2.96600,2.77631,2.75907,2.75907,2.75907,2.75907,2.75907,2.75907,2.75907,2.75907,2.51765,2.60387,2.62112,2.62112,2.81080,2.84529,2.87978,2.93151,3.05222,2.94876,3.01773,3.17293,3.24191,3.20742,3.20742,3.24191,3.29364,3.17293,3.19017,3.17293,3.17293,3.17293,3.34537,3.19017,3.22466,3.24191,3.27640,3.31088,3.31088,3.53506,3.56955,3.56955,3.56955,3.56955,3.58679,3.72474,3.82821,4.06963,4.00065,4.29380,4.39727,4.31105,4.29380,4.60420,4.69042,4.58695,4.62144,4.74215,5.00081,5.00081,5.00081,5.63885,5.06979,5.10428,5.06979,5.06979,5.06979,4.88010,5.03530,4.84562,4.84562,4.84562,4.77664,4.58695,4.96633,4.27656,4.27656,4.06963,3.86270,4.17309,3.74199,3.69026
2017,North Head 33_11kV,16MAY2016,MW,3.69026,3.69026,3.69026,3.69026,3.69026,3.69026,3.69026,3.53506,4.03514,4.20758,4.20758,4.20758,4.00065,3.96616,3.75923,3.74199,3.65577,3.50057,3.50057,3.50057,3.50057,3.50057,3.50057,3.50057,3.69026,3.91443,4.00065,4.03514,4.25931,4.46624,4.48349,4.41451,4.34553,4.50073,4.46624,4.46624,4.25931,4.22483,4.22483,4.32829,4.38002,4.29380,4.06963,4.13860,4.39727,4.24207,4.22483,4.29380,4.17309,4.29380,4.38002,4.43176,4.41451,4.69042,4.82837,4.72491,4.84562,4.81113,5.01806,4.98357,4.98357,4.89735,4.84562,4.84562,4.84562,4.96633,5.08703,5.08703,5.08703,5.22499,5.24223,5.48365,5.48365,5.56987,5.72507,5.63885,5.55263,5.56987,5.60436,5.46641,5.43192,5.31121,5.31121,5.22499,5.34570,5.22499,5.22499,5.22499,5.32845,5.20774,5.10428,4.89735,4.79388,4.79388,4.55246,4.55246
2017,North Head 33_11kV,17MAY2016,MW,4.55246,4.55246,4.39727,4.34553,4.44900,4.29380,4.19034,4.19034,4.20758,4.17309,4.17309,4.17309,4.13860,3.93167,3.79372,3.70750,3.67301,3.65577,3.65577,3.65577,3.65577,3.65577,3.65577,3.65577,3.72474,3.89719,4.12136,4.15585,4.19034,4.43176,4.55246,4.72491,4.72491,4.55246,6.15617,8.05303,7.10460,6.62177,6.55279,4.56971,4.60420,4.38002,4.48349,4.43176,4.36278,4.34553,4.29380,4.29380,4.25931,4.24207,4.29380,4.34553,4.17309,4.32829,4.34553,4.32829,6.74248,8.94973,8.62209,8.44965,8.57036,8.01855,7.51846,7.67366,7.67366,7.67366,7.67366,7.67366,7.67366,7.82886,7.91508,7.91508,8.01855,8.24272,8.32894,8.32894,8.32894,8.05303,8.20823,8.19099,8.07028,7.96681,7.96681,7.96681,7.96681,7.70815,7.88059,7.72539,7.94957,7.82886,7.69091,7.55295,7.43224,7.32878,7.34602,7.15634
2017,North Head 33_11kV,18MAY2016,MW,7.24256,7.24256,7.01838,7.00114,7.00114,6.89767,6.75972,6.75972,6.75972,6.75972,6.75972,6.75972,6.69074,6.51830,6.51830,6.51830,6.41484,6.41484,6.41484,6.41484,6.41484,6.41484,6.60452,6.62177,6.69074,6.93216,6.98389,7.13909,7.41500,7.51846,7.63917,7.63917,6.57003,6.15617,5.77680,6.86319,6.13893,6.01822,5.84578,6.03546,6.01822,5.84578,5.41467,5.29396,4.89735,5.00081,5.00081,4.84562,4.82837,5.01806,5.56987,6.01822,6.20791,6.38035,6.55279,6.38035,6.51830,6.63901,6.48381,6.39759,6.39759,6.39759,6.44933,6.44933,6.38035,6.46657,6.46657,6.46657,6.55279,6.69074,6.77696,6.82870,6.88043,7.01838,7.10460,7.10460,7.10460,7.00114,6.86319,6.86319,6.86319,6.86319,7.05287,7.07012,6.91492,6.81145,6.81145,6.81145,6.81145,7.48398,7.50122,6.44933,6.39759,6.88043,6.50106,6.13893
2017,North Head 33_11kV,19MAY2016,MW,6.13893,5.89751,5.89751,5.89751,5.89751,5.89751,5.89751,5.74231,5.63885,5.63885,5.63885,5.63885,5.65609,5.65609,5.65609,5.58712,5.39743,5.43192,5.69058,5.69058,5.69058,5.69058,5.69058,5.86302,5.98373,6.41484,6.29413,6.41484,6.65626,6.67350,6.72523,6.69074,5.93200,5.60436,5.20774,5.19050,5.00081,5.20774,5.12152,5.10428,5.10428,4.94908,5.19050,5.03530,5.10428,4.94908,5.08703,5.05255,4.91459,4.89735,5.53538,6.65626,6.53555,6.72523,6.70799,6.81145,7.27705,6.81145,6.70799,6.70799,6.65626,6.46657,6.46657,6.72523,6.72523,6.72523,6.60452,6.53555,6.70799,6.70799,6.70799,6.93216,6.96665,6.79421,6.96665,6.98389,7.00114,6.88043,7.05287,7.05287,7.05287,7.01838,7.13909,7.12185,7.07012,7.00114,7.00114,7.00114,7.24256,7.19083,6.89767,6.75972,6.51830,6.51830,6.50106,6.41484
2017,North Head 33_11kV,20MAY2016,MW,6.31137,6.20791,6.13893,6.13893,5.96649,5.96649,6.05271,5.98373,5.84578,5.79405,5.74231,5.91476,5.91476,5.72507,5.58712,5.41467,5.44916,5.67334,5.67334,5.67334,5.67334,5.67334,5.67334,5.81129,5.93200,6.20791,6.38035,6.51830,6.58728,6.69074,6.86319,6.86319,6.86319,6.81145,5.27672,5.29396,5.19050,5.00081,4.96633,5.17326,5.06979,4.89735,4.79388,5.01806,5.12152,5.08703,4.86286,4.86286,4.86286,4.86286,5.39743,5.86302,6.13893,6.48381,6.55279,6.48381,6.69074,6.77696,6.72523,6.58728,6.58728,6.55279,6.51830,6.57003,6.57003,6.53555,6.51830,6.53555,6.44933,6.60452,6.93216,7.01838,6.77696,6.75972,6.79421,6.77696,6.98389,6.93216,6.88043,6.88043,6.88043,6.88043,6.88043,6.88043,6.88043,6.88043,6.88043,6.81145,6.94941,6.89767,6.84594,6.72523,6.93216,6.65626,6.43208,6.39759
2017,North Head 33_11kV,21MAY2016,MW,6.32862,6.13893,6.13893,6.13893,6.13893,6.13893,6.13893,5.98373,5.67334,5.70783,6.03546,5.91476,5.79405,5.75956,5.44916,5.65609,5.55263,5.56987,5.74231,5.81129,5.63885,5.50089,5.65609,5.65609,5.65609,5.88027,5.89751,5.89751,5.98373,6.06995,6.06995,5.25948,4.88010,4.81113,4.81113,4.81113,4.81113,4.81113,4.96633,5.05255,5.05255,4.89735,4.79388,5.01806,3.00049,3.15569,2.96600,2.96600,2.87978,3.56955,6.65626,6.72523,6.70799,6.57003,6.57003,6.70799,6.72523,6.63901,6.72523,6.58728,6.77696,6.60452,6.58728,6.72523,6.70799,6.75972,6.70799,6.96665,7.13909,7.13909,7.36327,7.32878,7.27705,7.29429,7.29429,7.19083,7.17358,7.08736,7.08736,7.08736,7.01838,6.98389,7.25980,7.57020,7.29429,6.82870,6.67350,6.58728,6.89767,6.96665,6.79421,6.79421,6.62177,6.53555,6.53555,6.48381
2017,North Head 33_11kV,22MAY2016,MW,6.44933,6.22515,6.05271,6.12169,6.03546,6.05271,6.03546,6.00098,5.84578,5.69058,5.75956,5.88027,5.86302,5.74231,5.62160,5.62160,5.62160,5.58712,5.56987,5.56987,5.56987,5.56987,5.56987,5.56987,5.62160,6.00098,5.91476,5.84578,5.88027,6.00098,5.98373,6.20791,6.36310,6.32862,6.50106,6.60452,6.50106,6.63901,6.69074,6.06995,5.53538,5.15601,5.15601,5.39743,5.20774,5.62160,5.41467,3.87994,3.56955,3.34537,3.34537,3.34537,3.96616,7.10460,7.24256,7.20807,7.20807,7.20807,7.20807,7.20807,7.20807,7.13909,6.94941,7.01838,7.20807,7.22531,7.20807,7.19083,7.34602,8.29445,7.94957,7.79437,7.72539,7.81162,8.17374,8.01855,7.84610,7.72539,7.60469,7.60469,7.60469,8.12201,7.81162,7.50122,7.34602,7.29429,7.24256,7.57020,7.65642,7.12185,7.01838,6.77696,6.79421,6.67350,6.51830,6.51830
2017,North Head 33_11kV,23MAY2016,MW,6.51830,6.31137,6.27688,6.27688,6.27688,6.27688,6.43208,5.94924,5.81129,5.69058,5.62160,5.72507,5.69058,5.62160,5.62160,5.67334,5.74231,5.69058,5.69058,5.69058,5.70783,5.70783,5.75956,5.75956,5.88027,6.36310,6.31137,6.36310,6.63901,6.79421,6.79421,6.79421,6.84594,6.98389,6.70799,6.65626,6.69074,7.05287,6.94941,7.05287,6.65626,5.60436,5.44916,5.13877,5.36294,5.43192,5.43192,5.43192,5.43192,5.88027,6.24239,6.57003,6.81145,7.05287,7.27705,7.69091,7.29429,7.00114,6.82870,6.91492,6.60452,6.77696,6.81145,7.05287,7.00114,6.93216,6.86319,6.91492,6.93216,7.10460,7.77713,7.67366,7.55295,7.88059,8.08752,8.24272,8.03579,7.65642,7.50122,7.27705,7.17358,7.19083,7.50122,7.12185,7.07012,7.36327,7.34602,7.36327,7.36327,7.24256,7.12185,6.88043,6.84594,6.60452,6.60452,6.60452
2017,North Head 33_11kV,24MAY2016,MW,6.60452,6.50106,6.38035,6.38035,6.31137,4.88010,6.06995,6.25964,6.05271,5.88027,5.81129,5.81129,5.81129,5.81129,5.98373,5.96649,5.79405,5.79405,5.79405,5.79405,5.79405,5.79405,5.81129,5.82853,6.15617,6.22515,6.51830,6.51830,6.63901,6.67350,6.84594,6.96665,7.13909,7.13909,7.05287,6.98389,6.94941,6.63901,5.77680,5.56987,5.63885,5.63885,5.69058,5.74231,5.58712,4.81113,5.41467,5.46641,6.69074,7.13909,7.31153,7.88059,7.91508,8.46689,8.55312,8.53587,8.46689,9.67399,9.22564,8.63934,8.48414,8.48414,8.48414,8.48414,8.48414,8.25996,7.44949,7.44949,6.91492,6.96665,6.96665,6.96665,6.96665,7.15634,7.22531,7.22531,7.22531,7.38051,7.38051,7.36327,7.38051,7.31153,7.22531,7.22531,7.22531,7.22531,7.22531,7.05287,7.25980,7.44949,7.12185,6.75972,6.77696,7.13909,6.55279,6.22515
2017,North Head 33_11kV,25MAY2016,MW,6.55279,6.91492,6.57003,6.00098,6.00098,6.00098,6.00098,6.00098,6.00098,6.00098,5.96649,5.75956,5.65609,5.62160,5.56987,5.62160,5.60436,5.58712,5.65609,5.65609,5.58712,5.79405,5.79405,5.74231,6.00098,6.29413,6.34586,6.46657,6.70799,7.00114,6.86319,6.93216,7.39776,7.58744,7.36327,6.77696,6.05271,5.94924,6.15617,5.98373,6.13893,6.67350,6.93216,6.82870,6.91492,6.94941,6.94941,6.70799,6.67350,6.67350,6.70799,8.05303,8.96698,8.50138,8.88076,8.89800,8.89800,8.89800,8.10477,7.69091,7.67366,7.67366,7.67366,7.67366,7.67366,7.60469,7.72539,7.75988,7.94957,7.96681,8.13926,8.29445,8.34619,8.48414,8.57036,8.62209,8.67382,8.74280,8.69107,8.32894,7.62193,7.25980,7.38051,7.38051,7.38051,7.36327,7.20807,7.13909,6.94941,6.94941,6.94941,6.88043,6.46657,6.44933,6.44933,6.44933
2017,North Head 33_11kV,26MAY2016,MW,6.44933,6.44933,6.44933,6.44933,6.44933,6.43208,6.20791,6.12169,5.96649,5.96649,5.81129,5.75956,5.79405,5.60436,5.60436,5.60436,5.62160,5.62160,5.62160,5.62160,5.62160,5.67334,5.84578,5.89751,5.89751,6.00098,6.17342,6.38035,6.44933,6.75972,6.86319,6.86319,7.36327,7.86335,6.88043,6.48381,6.25964,6.31137,6.34586,6.31137,6.84594,6.82870,7.15634,6.65626,6.91492,7.03563,6.77696,6.96665,6.91492,6.05271,5.75956,5.67334,6.27688,6.94941,7.34602,7.72539,8.03579,7.82886,7.67366,7.41500,7.43224,7.43224,7.44949,7.55295,7.55295,7.55295,7.55295,7.55295,7.53571,6.96665,7.07012,7.32878,6.70799,7.03563,7.24256,7.25980,7.03563,7.13909,7.32878,7.10460,7.32878,7.24256,7.13909,7.13909,7.13909,7.08736,7.20807,6.93216,6.91492,6.89767,6.70799,6.65626,6.65626,6.29413,6.24239,6.19066
2017,North Head 33_11kV,27MAY2016,MW,6.13893,6.13893,6.13893,6.00098,5.89751,5.89751,5.89751,5.77680,5.63885,5.63885,5.79405,5.98373,5.86302,5.86302,5.70783,5.51814,5.56987,5.56987,5.56987,5.62160,5.60436,5.63885,5.63885,5.63885,5.79405,6.03546,6.17342,6.32862,6.57003,6.58728,6.63901,6.69074,6.94941,6.86319,6.65626,6.53555,5.96649,5.34570,3.51781,3.48333,3.75923,3.34537,7.03563,7.51846,7.94957,6.15617,5.08703,5.46641,5.63885,5.75956,5.91476,6.00098,6.24239,6.53555,6.84594,6.86319,6.86319,6.69074,6.77696,6.72523,6.65626,6.51830,6.44933,6.60452,6.70799,6.62177,6.70799,6.77696,7.10460,7.19083,7.13909,7.20807,7.27705,7.41500,7.20807,7.41500,7.63917,7.46673,7.46673,7.31153,7.44949,7.44949,7.44949,7.57020,7.43224,7.24256,7.12185,7.08736,7.20807,7.01838,6.96665,6.79421,6.74248,6.57003,6.50106,6.25964
