year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Homebush Bay 132_11kV,01MAY2017,MW,18.90472,18.86683,18.79106,18.82895,19.07520,19.26463,18.92366,18.92366,19.03732,18.82895,18.54481,18.69635,19.22674,19.62454,20.00339,20.83686,21.51880,21.53774,21.68928,20.45801,21.78399,22.46593,23.03420,23.81085,24.94741,25.19366,26.10291,27.80774,30.02402,31.74780,32.06983,32.33502,32.92224,33.03590,33.24427,33.32004,34.00197,34.22928,34.39977,34.85439,35.53632,34.34294,34.91122,35.19536,35.49844,34.68391,35.44161,36.14249,35.17641,35.06276,35.44161,35.66892,35.97200,35.57421,34.87333,33.28215,33.79360,34.47554,33.35792,33.32004,32.22137,32.60022,31.57732,31.52049,30.80067,30.55442,30.25134,29.83460,29.37998,29.47469,29.07689,28.86853,28.14871,27.33418,26.99321,26.72801,26.17868,26.27339,25.97031,25.55357,25.11789,24.72010,24.92846,24.64433,23.79191,23.77297,23.77297,23.39411,22.92055,22.56064,22.33333,21.93553,21.51880,20.68532,20.91263,20.34435
2018,Homebush Bay 132_11kV,02MAY2017,MW,20.24964,20.02233,19.51088,19.54877,18.86683,19.24568,19.32145,19.47300,19.47300,19.39722,19.47300,19.73819,20.38224,20.53378,20.95052,21.72716,22.03025,22.37121,20.78003,21.82188,22.03025,22.54170,23.69720,24.68221,27.14475,27.67514,27.42889,27.90245,29.83460,31.48261,31.91829,31.84251,32.22137,33.58523,32.80859,32.08877,33.20638,33.32004,35.13853,34.28611,34.15351,34.19140,34.55131,35.40372,35.10064,35.23324,35.61209,35.76363,35.42267,35.59315,35.34690,35.95306,35.27113,35.11958,34.22928,33.49052,33.81255,33.77466,33.28215,32.48656,32.54339,32.12665,31.61520,31.93723,31.44472,31.04693,30.80067,30.30816,30.27028,30.25134,29.83460,29.39892,28.79276,27.82668,27.46677,27.29629,27.16369,27.33418,26.87955,26.44387,26.23550,26.19762,26.36810,25.78088,25.47780,24.89058,24.09499,24.01922,24.01922,23.35623,22.56064,22.37121,21.99236,21.68928,21.19677,20.62849
2018,Homebush Bay 132_11kV,03MAY2017,MW,20.57167,20.38224,20.11704,19.79502,19.70031,19.52982,19.41617,19.37828,19.30251,19.60559,19.45405,19.52982,20.42013,20.38224,21.31043,22.18179,22.44698,22.21967,20.45801,21.84082,21.89765,23.09103,23.14786,24.68221,27.84563,27.46677,27.73197,27.54254,30.08085,31.42578,30.64913,32.42974,32.77070,33.28215,33.01696,33.54735,33.43369,33.45264,33.41475,34.05880,33.88832,33.77466,33.88832,34.15351,33.81255,34.28611,33.90726,34.53236,34.57025,33.52841,34.34294,35.04381,34.47554,34.22928,32.60022,32.42974,32.18348,31.88040,31.44472,31.46366,31.06587,30.53548,30.55442,30.02402,29.43680,29.49363,29.36103,29.15267,28.35708,28.64121,28.86853,28.22448,27.56149,26.80378,26.69013,26.31127,26.06502,25.64828,25.45886,25.70511,25.61040,25.36414,25.25049,24.85269,24.30336,23.77297,23.09103,23.16680,22.73112,22.42804,21.95448,21.46197,21.44303,21.31043,20.72321,20.38224
2018,Homebush Bay 132_11kV,04MAY2017,MW,19.88973,19.77608,19.73819,19.71925,19.52982,19.54877,19.28357,19.58665,19.56771,19.35934,19.34040,19.60559,20.24964,20.45801,20.62849,21.51880,22.14390,21.12100,21.76505,20.78003,21.59457,23.69720,25.00424,25.19366,26.84167,26.69013,28.11082,28.66016,31.02798,31.46366,32.01300,32.46762,32.20242,31.46366,33.66100,33.22532,33.32004,32.96013,33.47158,33.62312,34.07774,33.50946,33.26321,33.92620,34.57025,33.52841,33.56629,32.99801,34.45659,34.39977,34.07774,33.14955,34.17245,34.17245,33.56629,33.24427,32.05088,31.78569,31.55838,31.10375,30.51653,30.08085,30.19451,29.94825,29.11478,28.41390,28.39496,28.26236,28.50862,28.52756,28.41390,27.78880,26.97427,26.63330,26.63330,25.98925,25.66723,25.66723,25.74300,25.49674,24.90952,24.56856,24.36019,24.09499,23.86768,23.54565,23.67825,23.35623,22.67430,21.93553,21.12100,21.29149,21.84082,21.57562,21.00735,20.81792
2018,Homebush Bay 132_11kV,05MAY2017,MW,20.45801,20.49590,20.17387,19.92762,19.77608,19.43511,19.30251,19.26463,19.20780,19.11309,19.32145,19.71925,20.55272,20.57167,21.04523,21.82188,22.10602,22.52275,21.21571,20.81792,21.44303,24.01922,23.41306,24.30336,26.89850,27.73197,28.35708,29.51257,30.85750,31.89934,31.91829,32.46762,32.90330,32.35396,34.03986,32.75176,33.98303,33.58523,33.28215,32.35396,33.71783,33.24427,34.26717,34.77862,34.11563,33.43369,34.05880,33.45264,33.32004,32.80859,33.45264,33.14955,31.93723,31.44472,32.10771,31.06587,31.12270,31.10375,31.16058,30.87644,30.23239,29.83460,29.60729,29.17161,28.64121,28.66016,28.41390,27.86457,27.84563,27.99717,28.03505,27.59937,26.69013,26.15973,25.79982,25.78088,25.36414,25.42097,25.34520,24.66327,24.01922,23.82979,23.82979,23.79191,23.79191,23.33729,23.41306,22.99632,22.67430,22.37121,22.16284,21.85976,21.46197,21.19677,21.15889,20.81792
2018,Homebush Bay 132_11kV,06MAY2017,MW,20.66638,20.26858,19.90868,19.96550,19.56771,19.18886,18.88577,18.94260,19.20780,19.26463,19.07520,18.98049,19.11309,19.09414,19.11309,18.98049,18.84789,18.84789,19.01837,19.41617,19.66242,19.52982,19.79502,20.32541,20.72321,20.70426,20.42013,19.81396,20.42013,21.32937,21.74611,22.42804,22.73112,22.93949,22.75007,22.69324,22.71218,22.84478,22.37121,22.95843,23.43200,23.31834,23.64037,23.94345,24.37913,23.62143,23.52671,24.39807,24.41701,24.07605,24.01922,24.28442,24.18970,24.24653,24.24653,24.36019,24.17076,24.15182,23.88662,24.00028,23.98133,23.84874,23.75402,23.82979,,,,,,,,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,23.73508,22.69324,21.68928,21.80294,21.42408,20.72321,20.36330,20.26858,19.96550,19.73819,19.58665
2018,Homebush Bay 132_11kV,07MAY2017,MW,19.20780,18.94260,18.79106,18.94260,18.82895,18.58269,18.45009,18.20384,18.03336,17.95759,17.71133,17.40825,17.52191,17.54085,18.03336,18.09019,17.97653,18.03336,17.99547,17.93864,18.07124,18.37432,18.50692,18.75318,18.77212,19.18886,18.65846,18.37432,18.77212,18.62058,18.77212,18.94260,19.18886,19.56771,19.73819,19.92762,20.15493,20.23070,20.28753,19.92762,20.11704,20.23070,20.66638,21.29149,20.89369,20.45801,20.66638,21.10206,20.79898,20.55272,20.49590,20.51484,20.85581,20.83686,21.15889,21.06417,21.31043,21.19677,21.19677,21.23466,21.25360,20.98840,21.21571,21.65139,21.80294,21.78399,21.95448,21.87871,21.91659,23.07209,23.33729,23.62143,23.33729,23.54565,23.75402,23.33729,22.67430,23.05315,23.16680,23.29940,22.71218,22.52275,22.56064,22.39016,21.89765,22.18179,22.03025,21.91659,21.84082,21.34831,21.04523,20.78003,20.78003,20.36330,20.11704,19.75713
2018,Homebush Bay 132_11kV,08MAY2017,MW,19.49194,19.37828,19.09414,19.11309,19.03732,18.86683,18.94260,19.01837,18.86683,18.75318,18.94260,18.92366,19.88973,19.98445,20.66638,21.63245,22.10602,22.04919,20.83686,20.87475,21.65139,24.03816,24.49278,25.55357,26.46282,28.16765,29.07689,29.60729,31.21741,31.46366,32.84647,33.37687,33.86937,33.58523,33.41475,33.94514,33.69889,33.88832,33.18744,33.58523,33.83149,34.05880,34.21034,34.21034,34.77862,34.70285,33.13061,33.39581,33.60418,34.02091,33.94514,33.69889,34.36188,33.75572,33.01696,31.70992,31.76674,31.63415,31.33106,30.97115,30.47865,30.47865,29.85354,29.62623,29.26632,29.13372,29.28526,28.94430,28.81170,28.96324,28.94430,28.37602,27.71303,27.40995,27.29629,26.86061,26.44387,26.80378,26.46282,26.29233,25.70511,25.51569,25.34520,25.25049,24.87164,24.64433,24.30336,23.54565,22.99632,22.29544,21.93553,22.16284,22.06813,21.99236,21.32937,20.96946
2018,Homebush Bay 132_11kV,09MAY2017,MW,20.72321,20.53378,20.43907,19.90868,20.32541,19.77608,19.56771,19.35934,19.13203,19.03732,18.90472,19.24568,19.92762,20.30647,21.06417,22.06813,21.93553,20.95052,21.48091,22.10602,22.63641,23.73508,24.45490,25.68617,27.46677,28.86853,28.71699,30.23239,31.29318,32.44868,32.75176,33.88832,33.26321,33.37687,32.80859,33.58523,33.88832,34.03986,33.45264,34.57025,33.73677,33.86937,33.60418,34.22928,33.85043,34.41871,33.16850,33.54735,33.94514,33.79360,32.69493,33.09273,35.11958,34.45659,34.51342,32.44868,31.78569,31.67203,31.82357,31.57732,31.67203,30.99010,30.36499,30.13768,29.87248,30.00508,29.73989,29.47469,28.94430,29.07689,29.79671,29.17161,28.07294,27.99717,27.39100,27.18263,26.65224,26.63330,26.38705,26.08396,25.59146,25.36414,25.36414,25.40203,25.11789,25.17472,24.43596,24.13288,23.64037,23.18575,22.71218,22.37121,22.46593,22.10602,21.78399,21.40514
2018,Homebush Bay 132_11kV,10MAY2017,MW,21.02629,20.89369,20.59061,20.30647,19.98445,19.68136,19.85185,19.71925,19.39722,19.16991,19.18886,19.66242,20.78003,20.62849,21.57562,22.46593,22.59852,22.48487,19.85185,20.49590,22.14390,23.98133,23.84874,24.79587,27.01215,28.22448,29.30421,29.55046,30.68702,32.78964,33.66100,32.96013,33.13061,33.50946,34.85439,34.49448,34.19140,33.96409,34.53236,34.41871,34.77862,35.15747,35.63104,35.64998,35.42267,34.68391,34.66496,33.92620,33.83149,33.64206,34.91122,34.85439,33.39581,32.97907,33.52841,33.13061,32.44868,32.37291,32.35396,32.20242,32.31608,31.25529,30.64913,30.32711,30.32711,29.98614,29.92931,29.73989,29.30421,29.36103,29.17161,28.90641,28.03505,27.99717,28.01611,27.56149,27.23946,26.84167,27.37206,27.39100,26.74695,26.72801,26.61436,26.80378,26.40599,25.81877,25.08001,24.64433,24.49278,24.00028,23.31834,22.86372,22.59852,21.93553,21.99236,21.34831
2018,Homebush Bay 132_11kV,11MAY2017,MW,20.89369,20.66638,20.26858,20.11704,20.23070,19.77608,19.94656,19.62454,19.39722,19.35934,19.18886,19.07520,19.68136,20.07916,20.64744,21.67034,22.42804,22.69324,20.47695,20.59061,21.49985,23.73508,24.01922,25.06106,27.33418,28.22448,29.56940,30.02402,32.18348,32.44868,33.03590,33.47158,34.26717,34.43765,34.51342,34.58919,34.30505,33.92620,33.52841,33.73677,34.39977,33.98303,34.09668,32.69493,32.58128,35.11958,34.72179,33.75572,34.53236,34.79756,35.30901,34.72179,33.24427,33.03590,33.43369,32.58128,32.42974,31.84251,31.93723,31.80463,31.27424,30.89538,30.70596,30.17557,30.70596,30.64913,30.34605,29.91037,29.77777,30.21345,30.34605,29.49363,28.86853,28.79276,28.58439,28.41390,27.88351,28.09188,27.80774,27.50466,26.97427,27.37206,27.16369,26.70907,26.00819,25.78088,25.59146,24.83375,24.41701,23.46988,23.58354,23.24257,22.63641,22.25756,22.31439,21.76505
2018,Homebush Bay 132_11kV,12MAY2017,MW,21.17783,21.46197,20.81792,20.70426,20.51484,20.68532,20.51484,20.04127,20.06022,20.13599,20.34435,20.24964,21.25360,21.12100,21.67034,22.25756,23.05315,23.03420,21.74611,21.17783,21.57562,23.43200,23.31834,23.92451,25.78088,27.08792,27.92140,27.25840,29.81566,30.85750,30.83856,31.55838,33.32004,33.52841,33.90726,33.26321,34.38082,34.39977,33.52841,32.82753,33.33898,32.37291,33.88832,33.16850,34.45659,32.96013,33.64206,33.28215,32.94119,33.81255,33.03590,34.49448,32.94119,31.93723,30.93327,31.35001,30.87644,30.55442,30.45970,30.21345,30.15662,29.64517,29.53152,29.05795,28.86853,29.45575,29.43680,28.96324,29.45575,29.56940,29.26632,28.58439,28.05399,27.52360,27.73197,26.97427,26.67118,26.84167,26.91744,26.46282,26.21656,25.85665,25.62934,25.62934,25.36414,24.64433,24.64433,24.47384,24.09499,23.54565,23.03420,22.57958,22.03025,21.59457,21.68928,21.36726
2018,Homebush Bay 132_11kV,13MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05315,23.12892,23.33729,23.35623,23.35623,23.56460,23.28046,23.43200,23.37517,23.12892,23.39411,23.39411,23.46988,23.37517,23.20469,22.67430,22.82584,23.29940,23.01526,22.92055,23.69720,23.94345,24.30336,23.81085,23.75402,23.79191,24.37913,24.54961,24.90952,25.43992,25.55357,25.62934,25.32626,25.09895,25.09895,24.68221,24.41701,24.56856,24.53067,24.58750,24.39807,24.15182,23.60248,23.29940,22.63641,22.44698,22.23862,21.78399,21.70822,21.63245,21.29149,21.31043,20.96946,20.81792,20.55272,20.21176
2018,Homebush Bay 132_11kV,14MAY2017,MW,19.70031,19.52982,19.62454,19.30251,19.24568,19.05626,18.99943,18.79106,18.81000,18.79106,18.56375,18.46904,18.84789,18.52587,18.46904,18.43115,18.65846,18.43115,18.31750,18.26067,18.22278,18.56375,18.81000,18.73423,18.79106,18.92366,18.94260,18.52587,18.58269,18.71529,18.90472,19.43511,19.73819,19.85185,20.32541,20.55272,20.70426,20.98840,20.85581,20.85581,21.12100,21.38620,21.40514,21.55668,21.34831,21.08312,21.23466,21.13994,21.44303,21.25360,21.21571,20.87475,20.66638,20.91263,20.89369,20.81792,20.70426,20.79898,21.00735,20.85581,20.42013,20.76109,21.00735,21.25360,21.12100,21.31043,21.44303,21.82188,22.23862,22.88266,22.73112,23.07209,22.92055,22.71218,22.71218,22.71218,22.50381,22.46593,22.57958,22.65535,22.59852,22.59852,22.42804,22.33333,21.68928,21.55668,21.46197,21.25360,20.81792,20.60955,20.57167,20.28753,20.17387,20.19281,19.70031,19.66242
2018,Homebush Bay 132_11kV,15MAY2017,MW,19.43511,19.34040,19.35934,19.16991,19.13203,18.65846,18.73423,18.46904,18.37432,18.29855,18.29855,18.65846,19.24568,19.60559,20.09810,21.02629,21.55668,21.40514,20.11704,19.56771,21.42408,21.70822,22.16284,23.52671,25.49674,25.91348,27.03109,27.78880,30.13768,30.89538,32.37291,32.80859,33.22532,33.50946,33.69889,33.90726,33.64206,33.22532,34.05880,32.31608,33.64206,32.50551,33.62312,33.45264,33.49052,33.88832,33.35792,33.83149,33.58523,33.24427,33.39581,33.71783,33.26321,32.35396,33.28215,33.16850,32.14560,31.91829,30.91433,30.28922,29.51257,29.26632,29.20949,28.92535,28.33813,27.99717,27.76986,27.86457,27.97822,28.56544,28.56544,27.97822,27.54254,27.14475,26.84167,26.21656,25.87559,25.72405,25.97031,25.55357,24.85269,25.11789,24.79587,24.56856,24.15182,24.15182,23.65931,23.10997,22.69324,22.01130,21.72716,21.48091,21.06417,20.85581,20.60955,20.38224
2018,Homebush Bay 132_11kV,16MAY2017,MW,19.68136,19.71925,19.43511,19.45405,19.35934,19.37828,19.26463,19.11309,19.11309,19.30251,19.01837,18.82895,19.75713,19.77608,20.17387,20.78003,21.55668,22.33333,20.45801,20.60955,21.61351,23.41306,23.82979,25.17472,25.64828,28.14871,27.01215,29.24738,30.57336,31.70992,32.97907,32.12665,33.45264,34.21034,33.64206,33.05484,33.86937,33.50946,34.00197,33.58523,33.67995,32.78964,34.15351,33.14955,34.77862,33.35792,33.13061,33.60418,32.67599,33.69889,33.96409,34.26717,33.28215,33.26321,32.99801,31.82357,31.99406,31.35001,30.66807,30.49759,30.15662,29.70200,29.22844,28.73593,28.75487,29.24738,29.13372,28.81170,28.62227,28.71699,28.52756,27.78880,27.06898,26.91744,26.42493,26.29233,26.14079,25.87559,25.45886,25.30732,25.11789,25.00424,24.79587,24.92846,24.73904,24.43596,24.20865,23.64037,23.41306,22.78795,22.27650,21.95448,21.53774,21.34831,21.31043,20.93158
2018,Homebush Bay 132_11kV,17MAY2017,MW,20.38224,20.34435,20.21176,19.68136,19.71925,19.68136,19.52982,19.49194,19.43511,19.15097,19.07520,19.03732,20.24964,20.47695,20.76109,21.55668,22.31439,21.80294,22.33333,21.10206,22.39016,22.42804,24.36019,26.21656,27.92140,29.09584,28.92535,30.11874,31.40683,31.69097,32.61916,33.79360,33.98303,33.86937,33.86937,33.83149,33.01696,33.98303,33.83149,34.07774,34.58919,34.22928,34.34294,34.26717,34.22928,34.22928,33.37687,33.83149,33.86937,33.05484,34.34294,34.05880,34.11563,34.47554,34.09668,32.65705,31.48261,31.44472,30.47865,30.08085,29.58834,29.73989,29.89143,29.20949,28.77381,28.60333,28.62227,29.05795,28.52756,28.71699,28.37602,28.28131,27.03109,26.99321,26.76590,26.67118,26.15973,25.87559,26.04608,25.85665,25.61040,25.02318,24.79587,24.60644,24.30336,24.13288,24.07605,23.64037,23.01526,22.59852,22.04919,21.78399,21.25360,20.96946,20.59061,20.17387
2018,Homebush Bay 132_11kV,18MAY2017,MW,19.94656,19.87079,19.52982,19.45405,19.73819,19.39722,19.45405,19.24568,18.86683,18.69635,18.79106,18.96155,20.04127,20.45801,21.48091,21.57562,20.91263,20.68532,21.99236,22.97738,22.14390,23.62143,23.22363,25.15578,28.20554,29.28526,29.47469,29.26632,31.40683,32.54339,32.48656,32.18348,33.09273,33.66100,33.52841,33.47158,33.79360,33.77466,33.18744,34.36188,34.32400,34.24823,33.58523,34.32400,34.72179,34.96804,34.89227,34.28611,34.09668,33.88832,34.96804,34.09668,34.00197,34.49448,34.32400,32.78964,31.44472,31.93723,31.17952,31.19847,30.66807,30.49759,29.96720,29.51257,29.56940,29.49363,29.15267,29.11478,28.84958,29.53152,28.71699,28.62227,28.05399,27.69408,27.22052,26.65224,25.81877,26.57647,26.59541,26.31127,25.95137,25.89454,25.26943,24.90952,24.83375,24.90952,24.43596,24.07605,23.18575,22.52275,22.75007,22.29544,22.08707,22.06813,21.29149,20.96946
2018,Homebush Bay 132_11kV,19MAY2017,MW,20.43907,20.45801,20.11704,20.04127,19.98445,19.75713,19.52982,19.58665,19.49194,19.60559,19.52982,19.49194,20.38224,20.43907,20.74215,21.59457,22.67430,22.92055,21.06417,20.76109,21.70822,23.29940,23.73508,24.90952,27.63726,28.39496,28.41390,28.96324,30.68702,30.81961,32.69493,32.42974,32.73282,34.13457,33.01696,33.96409,33.37687,34.05880,32.99801,33.73677,34.00197,34.87333,35.57421,35.53632,34.17245,34.03986,34.45659,35.61209,34.15351,34.85439,33.67995,34.28611,33.49052,34.51342,33.28215,32.16454,30.89538,30.89538,30.83856,30.57336,30.13768,30.02402,30.13768,29.68306,29.81566,29.83460,29.89143,29.87248,29.28526,29.15267,28.79276,27.99717,27.03109,26.53859,26.15973,26.08396,26.10291,25.97031,25.66723,25.19366,24.92846,25.02318,24.87164,24.75798,24.13288,23.98133,23.81085,23.26152,22.80689,22.71218,22.20073,22.08707,21.85976,21.57562,21.40514,21.25360
2018,Homebush Bay 132_11kV,20MAY2017,MW,20.66638,20.87475,20.51484,20.60955,20.42013,20.04127,20.06022,19.94656,20.06022,19.94656,19.66242,19.60559,19.26463,19.18886,19.45405,19.47300,19.49194,19.71925,19.45405,19.34040,19.62454,19.88973,19.92762,20.32541,21.27254,21.72716,21.72716,21.59457,21.87871,22.31439,22.84478,23.03420,23.09103,23.73508,24.41701,24.43596,24.83375,25.21260,24.77692,24.62538,24.92846,25.43992,25.40203,25.04212,25.08001,24.96635,24.72010,24.49278,24.37913,24.05711,23.94345,23.65931,23.71614,24.36019,24.70115,25.04212,24.85269,24.62538,24.68221,25.00424,24.54961,24.54961,25.38309,25.23155,25.08001,24.68221,25.15578,26.06502,26.14079,26.31127,26.36810,26.53859,26.25445,26.10291,25.79982,25.85665,25.72405,25.47780,25.00424,24.53067,24.05711,24.18970,23.82979,23.64037,23.43200,23.45094,23.26152,22.99632,22.88266,22.65535,22.12496,21.46197,20.87475,20.70426,20.30647,19.77608
2018,Homebush Bay 132_11kV,21MAY2017,MW,19.05626,19.13203,19.05626,18.94260,18.79106,18.46904,18.39327,18.73423,18.73423,18.67741,18.26067,18.35538,18.45009,18.43115,18.27961,18.14701,18.26067,18.26067,18.24173,18.29855,18.48798,18.48798,18.48798,18.82895,19.03732,19.11309,19.49194,19.22674,19.60559,20.04127,20.24964,20.47695,20.64744,20.85581,21.10206,21.29149,21.68928,21.46197,21.59457,21.74611,21.53774,21.40514,21.93553,22.08707,21.99236,22.10602,22.73112,22.44698,22.44698,22.54170,22.33333,22.80689,22.69324,22.61747,22.59852,22.25756,22.40910,22.16284,22.21967,22.23862,21.40514,22.12496,22.82584,22.61747,22.75007,22.75007,22.73112,22.82584,23.31834,23.75402,23.88662,23.82979,23.48883,23.50777,23.69720,23.12892,23.01526,22.99632,23.01526,22.86372,22.86372,22.67430,22.39016,22.14390,22.04919,21.84082,21.55668,21.06417,20.93158,20.98840,20.42013,20.43907,20.24964,19.77608,19.37828,19.18886
2018,Homebush Bay 132_11kV,22MAY2017,MW,18.82895,19.03732,18.71529,18.56375,18.45009,18.18490,18.07124,18.43115,17.97653,18.03336,17.90076,17.99547,18.79106,18.98049,19.45405,20.36330,21.00735,21.06417,20.40118,19.75713,21.51880,21.76505,21.42408,24.00028,24.92846,25.36414,27.35312,27.44783,27.86457,29.73989,30.53548,30.08085,30.23239,30.74384,31.76674,31.84251,31.50155,32.01300,33.39581,32.41079,33.58523,32.78964,32.84647,33.09273,33.09273,34.28611,33.62312,32.84647,32.50551,33.18744,33.69889,33.14955,33.71783,34.02091,34.17245,33.47158,31.57732,31.31212,31.52049,30.40288,30.06191,29.87248,29.83460,29.22844,28.58439,28.75487,28.84958,28.60333,28.45179,28.66016,28.26236,28.05399,27.01215,26.48176,26.08396,25.62934,25.49674,25.49674,25.08001,24.94741,24.66327,24.47384,24.18970,23.90556,23.60248,23.37517,23.24257,22.93949,22.37121,21.89765,21.84082,21.48091,20.95052,20.60955,20.24964,19.71925
2018,Homebush Bay 132_11kV,23MAY2017,MW,19.41617,19.26463,19.05626,18.86683,18.79106,18.81000,18.63952,18.71529,18.73423,18.67741,18.75318,18.73423,19.70031,19.73819,20.13599,21.08312,21.38620,21.25360,19.94656,20.21176,21.42408,22.71218,23.16680,23.94345,26.57647,27.95928,28.09188,28.96324,30.02402,30.72490,31.93723,32.27819,31.89934,32.08877,31.82357,32.77070,32.48656,32.52445,32.77070,32.48656,34.05880,33.58523,34.00197,34.51342,34.28611,33.18744,34.89227,34.68391,34.64602,34.22928,34.62708,34.13457,34.72179,34.79756,34.11563,34.07774,33.11167,32.35396,32.03194,31.29318,30.97115,30.53548,30.30816,29.87248,29.26632,29.60729,29.22844,29.43680,28.84958,28.73593,28.56544,28.28131,27.35312,26.93638,26.61436,26.48176,25.68617,25.43992,25.25049,25.25049,24.87164,24.51173,24.51173,24.20865,23.92451,23.56460,23.29940,22.97738,22.80689,22.71218,22.03025,21.55668,21.23466,20.81792,20.72321,20.36330
2018,Homebush Bay 132_11kV,24MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.39581,34.11563,33.64206,33.94514,34.07774,33.79360,33.79360,33.88832,34.49448,35.25218,34.02091,33.86937,33.35792,33.35792,32.22137,31.91829,31.59626,31.55838,31.27424,31.00904,30.38393,30.47865,30.17557,29.60729,28.94430,28.92535,29.49363,29.11478,29.39892,29.62623,29.07689,28.98218,28.22448,28.14871,27.71303,27.54254,26.86061,26.99321,27.01215,26.70907,26.44387,26.33022,26.04608,25.74300,25.57251,25.19366,24.94741,24.58750,24.26547,23.86768,23.54565,23.14786,22.56064,22.25756,21.80294,21.21571
2018,Homebush Bay 132_11kV,25MAY2017,MW,20.85581,20.91263,20.74215,20.68532,20.19281,19.98445,19.98445,19.85185,19.52982,19.35934,19.28357,19.56771,20.15493,20.24964,21.00735,21.76505,22.52275,21.82188,20.51484,21.84082,21.85976,22.86372,23.05315,24.73904,27.20158,27.37206,28.52756,29.02007,30.02402,31.55838,31.74780,33.92620,33.41475,33.13061,33.43369,33.41475,34.00197,33.75572,32.90330,31.29318,31.53943,30.42182,30.74384,30.85750,30.80067,30.80067,30.91433,31.10375,31.14164,32.44868,31.97511,32.52445,33.28215,32.97907,33.41475,32.14560,31.78569,32.03194,31.02798,30.21345,30.11874,29.81566,29.47469,28.98218,28.79276,28.48967,28.33813,28.35708,28.35708,28.39496,28.16765,27.35312,26.65224,26.12185,25.59146,25.32626,24.98529,25.04212,25.04212,24.79587,24.73904,24.64433,24.66327,24.36019,23.98133,23.81085,23.46988,23.26152,22.90161,22.31439,21.89765,21.36726,21.25360,20.85581,20.34435,20.07916
2018,Homebush Bay 132_11kV,26MAY2017,MW,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,30.85750,21.40514,20.53378,22.54170,21.31043,21.61351,23.39411,23.28046,24.03816,26.82273,28.30025,29.15267,28.98218,29.81566,31.40683,29.85354,30.11874,30.53548,30.47865,30.38393,30.40288,31.46366,30.97115,31.97511,33.07378,31.86146,32.97907,32.80859,32.48656,32.65705,32.94119,32.80859,31.63415,33.28215,33.58523,32.61916,31.59626,33.11167,32.29714,31.70992,31.23635,30.06191,30.30816,29.75883,29.68306,29.87248,29.34209,28.35708,28.33813,28.28131,29.20949,28.79276,28.07294,28.90641,29.17161,29.62623,29.05795,27.95928,27.37206,27.52360,27.05004,26.38705,26.40599,26.53859,26.42493,26.06502,25.59146,25.59146,25.97031,25.62934,24.90952,24.53067,24.45490,24.05711,23.79191,23.28046,22.75007,22.44698,22.03025,21.80294,21.46197
2018,Homebush Bay 132_11kV,27MAY2017,MW,20.98840,20.79898,20.64744,20.43907,20.11704,19.92762,19.75713,19.45405,19.20780,18.77212,18.77212,18.79106,19.09414,19.30251,19.13203,19.15097,19.22674,19.20780,19.18886,19.16991,19.32145,19.58665,19.70031,20.11704,20.45801,20.49590,20.55272,20.45801,20.53378,21.38620,21.70822,21.72716,21.78399,22.31439,22.50381,22.71218,22.93949,23.10997,22.92055,22.76901,22.75007,22.57958,22.50381,22.84478,23.10997,23.07209,22.88266,22.84478,22.84478,22.92055,23.14786,22.90161,22.86372,22.82584,22.69324,22.71218,22.73112,22.56064,23.12892,22.95843,22.54170,22.67430,23.20469,23.46988,23.16680,23.18575,23.10997,23.24257,23.60248,24.18970,24.13288,23.67825,23.65931,24.00028,23.50777,23.35623,23.01526,22.93949,22.39016,22.90161,22.67430,22.78795,22.57958,22.52275,22.50381,21.72716,21.40514,21.02629,20.68532,20.53378,20.66638,20.23070,20.21176,20.02233,19.79502,19.73819
