year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Sans Souci 33_11kV,01MAY2016,MW,7.02276,6.70096,6.62524,6.41702,6.30345,5.75450,5.45163,5.24341,4.99733,4.88375,4.54303,4.46731,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.33480,4.52410,4.52410,4.88375,4.94054,5.33805,5.35698,5.73557,6.17094,6.39809,6.62524,6.75775,6.98490,7.06062,7.53385,7.64743,7.66635,7.74207,7.76100,7.47706,7.51492,7.83672,7.77993,7.83672,7.43920,7.38242,7.15526,7.04169,6.73882,6.81454,6.51167,6.51167,6.51167,6.51167,6.47381,6.24666,6.43595,6.70096,6.70096,6.70096,6.90918,6.70096,6.70096,6.83347,7.15526,7.38242,7.96922,8.25316,8.49924,8.82104,8.82104,8.53710,8.48031,8.04494,8.04494,7.98815,8.04494,8.04494,8.04494,7.87458,7.62850,7.59064,7.36349,6.98490,7.28777,7.13634,6.62524,6.51167,6.22773,5.84914,6.51167,6.43595
2017,Sans Souci 33_11kV,02MAY2016,MW,6.53060,6.17094,6.13308,5.96272,5.69771,5.39484,4.95947,4.80803,4.44838,4.35373,4.35373,3.93729,3.89943,3.89943,3.89943,3.89943,3.89943,3.89943,3.89943,3.89943,4.20230,4.22123,4.58088,4.82696,5.26234,5.60306,5.75450,6.22773,6.22773,6.13308,6.13308,6.13308,6.13308,6.13308,6.13308,6.13308,5.88700,5.67878,5.67878,5.67878,5.67878,5.67878,5.58413,5.37591,5.37591,5.37591,5.37591,5.37591,5.37591,5.37591,5.45163,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.65985,6.01951,6.03844,6.37916,6.53060,6.83347,7.19312,7.72314,7.85565,8.34781,8.85890,8.97247,8.97247,8.97247,8.97247,8.74532,8.65068,8.59389,8.19637,8.19637,8.19637,8.19637,7.74207,7.76100,7.59064,7.32563,7.21205,7.45813,7.43920,6.89025,6.41702,5.98165,5.98165,6.36024,6.37916
2017,Sans Souci 33_11kV,03MAY2016,MW,6.37916,6.22773,6.11415,6.05737,5.65985,5.31913,4.97840,4.52410,4.29694,4.29694,4.03193,3.84264,3.84264,3.84264,3.84264,3.84264,3.84264,3.84264,3.84264,3.84264,4.25909,4.46731,4.75125,4.75125,5.12983,5.71664,6.11415,6.34131,6.49274,6.66310,6.66310,6.66310,6.20880,6.20880,6.20880,6.20880,5.90593,5.81129,5.81129,5.81129,5.73557,5.54628,5.31913,5.33805,5.09197,5.09197,5.09197,5.09197,5.09197,5.09197,5.09197,5.09197,5.09197,5.09197,5.37591,5.54628,5.54628,5.54628,5.54628,5.54628,5.54628,5.54628,5.54628,5.94379,6.00058,6.15201,6.32238,6.83347,7.19312,7.53385,8.08280,8.38567,8.76425,9.04819,9.04819,9.29427,8.87783,8.61282,8.59389,8.48031,8.38567,8.40460,8.29102,8.23423,7.83672,7.76100,7.42027,7.13634,7.70421,7.57171,7.15526,6.71989,6.32238,5.98165,6.41702,6.45488
2017,Sans Souci 33_11kV,04MAY2016,MW,6.45488,6.07630,6.05737,5.94379,5.79236,5.33805,4.95947,4.88375,4.44838,4.42945,4.31587,3.97515,3.97515,3.97515,3.97515,3.97515,3.74800,3.74800,3.74800,3.74800,3.74800,4.42945,4.42945,4.84589,5.11090,5.71664,6.05737,6.36024,6.56846,6.56846,6.56846,6.56846,6.56846,6.47381,6.30345,6.11415,5.86807,5.81129,5.81129,5.81129,5.41377,5.48949,5.45163,5.33805,5.33805,5.33805,5.33805,5.33805,5.33805,5.60306,5.67878,5.52735,5.35698,5.35698,5.35698,5.35698,5.47056,5.62199,5.62199,5.81129,5.81129,5.81129,5.81129,5.81129,6.11415,6.26559,6.47381,7.04169,7.15526,7.64743,8.00708,8.76425,8.80211,8.80211,8.80211,8.80211,8.80211,8.80211,8.51817,8.70746,8.59389,8.25316,8.53710,8.19637,8.00708,7.66635,7.59064,7.21205,7.53385,7.53385,7.30670,6.81454,6.43595,6.13308,6.70096,6.34131
2017,Sans Souci 33_11kV,05MAY2016,MW,6.53060,6.22773,6.11415,5.86807,5.84914,5.41377,5.03519,4.75125,4.50517,4.50517,4.50517,4.16444,4.05086,4.05086,4.05086,4.05086,3.82371,3.82371,3.82371,3.82371,3.82371,4.29694,4.71339,4.95947,5.28127,5.65985,6.03844,6.20880,6.18987,6.47381,6.54953,6.54953,6.54953,6.49274,6.34131,6.26559,5.88700,5.88700,5.88700,5.88700,5.81129,5.43270,5.43270,5.43270,5.43270,5.43270,5.18662,5.16769,5.16769,5.47056,5.16769,5.47056,5.33805,5.18662,5.18662,5.33805,5.43270,5.43270,5.43270,5.43270,5.45163,5.67878,5.67878,5.67878,6.01951,6.34131,6.58739,6.58739,7.11741,7.60957,8.08280,8.53710,8.53710,8.53710,8.91569,8.99140,8.72639,8.65068,8.44245,8.32888,8.29102,8.29102,7.96922,7.96922,7.95029,7.66635,7.53385,7.36349,7.57171,7.57171,7.19312,6.77668,6.47381,6.03844,6.62524,6.37916
2017,Sans Souci 33_11kV,06MAY2016,MW,6.45488,6.07630,6.03844,5.64092,5.62199,5.48949,5.05412,4.71339,4.48624,4.25909,4.25909,4.01301,3.80478,3.80478,3.80478,3.80478,3.80478,3.80478,3.80478,3.84264,4.16444,4.52410,4.61874,4.99733,5.37591,5.60306,6.07630,6.43595,6.43595,6.43595,6.68203,6.71989,6.71989,6.58739,6.28452,6.28452,6.07630,6.03844,6.03844,6.03844,5.81129,5.67878,5.48949,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.41377,5.79236,5.79236,5.48949,5.39484,5.39484,5.43270,5.83022,5.83022,5.83022,5.83022,5.83022,6.11415,6.28452,6.28452,6.68203,6.73882,7.11741,7.38242,7.85565,8.30995,8.78318,8.83997,8.91569,8.97247,8.72639,8.51817,8.51817,8.51817,8.36674,8.19637,8.00708,8.17745,8.00708,7.81779,7.34456,7.70421,7.26884,7.62850,7.70421,7.40134,7.06062,6.89025,6.51167,6.83347,6.75775
2017,Sans Souci 33_11kV,07MAY2016,MW,6.39809,6.39809,6.36024,6.09523,5.75450,5.43270,5.09197,4.84589,4.84589,4.50517,4.39159,4.24016,3.93729,3.93729,3.93729,3.93729,3.80478,3.80478,3.80478,3.80478,3.80478,3.80478,3.80478,4.10765,4.39159,4.54303,4.84589,5.05412,5.54628,5.65985,5.98165,6.43595,6.53060,6.92811,6.92811,6.92811,6.92811,6.92811,7.17419,7.06062,6.87133,6.87133,6.77668,6.54953,6.54953,6.54953,6.64417,6.53060,6.36024,6.36024,6.36024,6.36024,6.36024,6.36024,6.36024,6.56846,6.51167,6.32238,6.32238,6.41702,6.62524,6.62524,6.79561,6.73882,6.89025,6.98490,7.09848,7.66635,7.79886,8.13959,8.51817,8.70746,8.70746,8.70746,8.70746,8.65068,8.44245,8.44245,8.08280,7.98815,7.98815,7.93136,7.96922,7.89351,7.72314,7.51492,7.51492,7.26884,7.72314,7.74207,7.47706,7.06062,6.79561,6.39809,7.15526,6.83347
2017,Sans Souci 33_11kV,08MAY2016,MW,6.98490,6.70096,6.70096,6.47381,6.15201,5.81129,5.45163,5.12983,4.84589,4.44838,4.44838,4.44838,4.44838,4.44838,4.10765,3.99408,3.99408,3.99408,3.99408,3.99408,3.99408,3.99408,3.99408,4.20230,4.31587,4.31587,4.69446,4.77018,5.22448,5.52735,5.67878,6.03844,6.26559,6.60632,6.98490,7.21205,7.47706,7.19312,7.55278,7.62850,7.62850,7.64743,7.38242,7.53385,7.53385,7.53385,7.53385,7.53385,7.42027,7.26884,7.24991,6.90918,6.90918,6.90918,6.90918,6.90918,6.90918,6.68203,6.60632,6.60632,6.60632,6.60632,6.60632,6.62524,7.06062,7.06062,7.36349,7.51492,8.02601,8.12066,8.70746,8.83997,8.83997,8.83997,8.83997,8.93462,8.83997,8.48031,8.30995,8.15852,8.15852,8.15852,8.04494,7.76100,8.00708,7.79886,7.57171,7.23098,7.51492,7.45813,7.28777,6.90918,6.37916,5.88700,6.51167,6.54953
2017,Sans Souci 33_11kV,09MAY2016,MW,6.54953,6.30345,6.24666,6.11415,5.84914,5.47056,5.18662,5.01626,4.56195,4.56195,4.56195,4.12658,4.10765,4.10765,4.10765,4.10765,4.03193,3.86157,3.86157,3.86157,4.18337,4.31587,4.61874,4.77018,5.22448,5.39484,5.94379,6.13308,6.22773,6.58739,6.58739,6.62524,6.92811,6.92811,6.92811,6.92811,6.79561,6.47381,6.47381,6.47381,6.07630,6.28452,6.22773,6.26559,6.26559,6.26559,6.26559,6.26559,6.26559,6.26559,6.26559,6.26559,6.26559,6.26559,5.92486,5.92486,5.92486,5.92486,6.09523,6.17094,6.17094,6.17094,6.54953,6.58739,6.58739,6.94704,7.23098,7.57171,8.12066,8.30995,8.74532,8.99140,9.19963,9.38892,9.74857,9.61607,9.29427,9.14284,8.83997,8.65068,8.38567,8.38567,8.38567,8.00708,7.89351,7.57171,7.34456,7.34456,7.81779,7.62850,7.30670,6.87133,6.53060,6.11415,6.45488,6.45488
2017,Sans Souci 33_11kV,10MAY2016,MW,6.37916,6.32238,5.98165,5.96272,5.69771,5.33805,5.09197,4.75125,4.33480,4.33480,4.08872,3.88050,3.88050,3.88050,3.88050,3.88050,3.88050,3.88050,3.88050,3.88050,4.24016,4.33480,4.33480,4.75125,5.24341,5.73557,6.05737,6.45488,6.51167,6.51167,6.66310,6.85240,6.70096,6.30345,6.13308,6.13308,6.13308,6.13308,6.13308,6.13308,6.13308,5.96272,5.77343,5.77343,5.47056,5.31913,5.31913,5.31913,5.31913,5.31913,5.31913,5.50842,5.60306,5.41377,5.35698,5.35698,5.43270,5.65985,5.65985,5.65985,5.65985,5.65985,5.65985,6.00058,6.11415,6.37916,6.56846,6.94704,7.47706,7.96922,8.57496,8.76425,8.82104,9.21855,8.97247,9.08605,8.89676,8.89676,8.85890,8.29102,8.53710,8.36674,8.23423,8.00708,7.96922,7.68528,7.68528,7.38242,7.59064,7.49599,6.89025,6.85240,6.43595,6.43595,6.43595,6.43595
2017,Sans Souci 33_11kV,11MAY2016,MW,6.43595,6.43595,6.43595,5.94379,5.83022,5.48949,4.92161,4.77018,4.46731,4.18337,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.33480,4.46731,4.92161,4.99733,5.47056,5.81129,6.32238,6.60632,6.36024,6.39809,6.79561,6.79561,6.79561,6.54953,6.30345,6.01951,6.01951,6.01951,6.01951,5.79236,5.56521,5.56521,5.18662,5.11090,5.11090,5.11090,5.11090,5.16769,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.43270,5.75450,5.75450,6.00058,6.20880,6.47381,6.56846,7.04169,7.53385,8.23423,8.78318,8.93462,9.12391,9.38892,9.29427,9.25641,9.14284,8.93462,8.93462,8.93462,8.72639,8.61282,8.61282,8.48031,8.15852,7.91244,7.72314,7.42027,7.85565,7.85565,7.51492,7.04169,6.77668,6.32238,6.73882,6.70096
2017,Sans Souci 33_11kV,12MAY2016,MW,6.68203,6.32238,6.26559,5.94379,5.92486,5.56521,5.09197,4.92161,4.56195,4.56195,4.22123,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.50517,4.58088,4.58088,4.77018,5.41377,5.83022,6.28452,6.75775,6.75775,6.75775,6.75775,6.98490,6.58739,6.32238,6.18987,6.18987,6.18987,6.11415,5.77343,5.56521,5.77343,5.81129,5.81129,5.45163,5.45163,5.45163,5.20555,5.18662,5.18662,5.50842,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.54628,5.88700,6.13308,6.34131,6.70096,7.09848,7.49599,8.04494,8.51817,8.51817,8.66961,8.87783,8.87783,8.87783,8.87783,8.87783,8.87783,8.55603,8.38567,8.57496,8.51817,8.12066,8.25316,8.04494,7.66635,7.38242,7.89351,7.95029,7.68528,7.04169,6.62524,6.20880,6.62524,6.53060
2017,Sans Souci 33_11kV,13MAY2016,MW,6.62524,6.37916,6.22773,6.07630,5.92486,5.50842,5.07304,5.01626,4.78911,4.56195,4.24016,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.10765,4.44838,4.78911,5.01626,5.20555,5.71664,6.01951,6.37916,6.37916,6.66310,6.83347,6.85240,6.64417,6.37916,6.28452,6.28452,6.28452,6.22773,5.88700,5.88700,5.88700,5.75450,5.75450,5.75450,5.75450,5.54628,5.39484,5.39484,5.41377,5.64092,5.64092,5.64092,5.47056,5.37591,5.37591,5.37591,5.64092,5.69771,5.69771,5.69771,5.69771,5.69771,6.03844,6.22773,6.41702,6.41702,6.45488,7.04169,7.40134,7.96922,8.40460,8.61282,8.93462,8.93462,8.93462,8.93462,8.93462,8.72639,8.48031,8.21530,8.02601,8.02601,8.40460,8.13959,7.87458,7.53385,7.23098,7.23098,7.81779,7.83672,7.42027,7.17419,6.71989,6.37916,6.92811,6.79561
2017,Sans Souci 33_11kV,14MAY2016,MW,6.89025,6.64417,6.47381,6.34131,6.17094,5.71664,5.47056,4.88375,4.80803,4.65660,4.35373,4.35373,4.35373,4.35373,4.12658,3.89943,3.89943,3.89943,3.89943,3.89943,3.91836,4.24016,4.24016,4.24016,4.46731,4.69446,4.84589,5.14876,5.14876,5.60306,5.92486,6.22773,6.37916,6.81454,6.92811,6.94704,7.02276,7.02276,7.26884,7.28777,7.02276,6.83347,6.83347,6.83347,6.53060,6.51167,6.51167,6.51167,6.51167,6.28452,6.26559,6.26559,6.26559,6.51167,6.56846,6.56846,6.56846,6.56846,6.45488,6.53060,6.64417,6.64417,6.64417,6.64417,6.64417,6.71989,7.09848,7.66635,7.87458,8.27209,8.70746,8.85890,8.78318,8.91569,9.02926,8.74532,8.59389,8.36674,7.98815,7.91244,7.91244,7.91244,7.91244,7.62850,7.72314,7.28777,7.28777,7.02276,7.76100,7.76100,7.32563,7.19312,6.87133,6.68203,7.17419,7.02276
2017,Sans Souci 33_11kV,15MAY2016,MW,7.21205,6.94704,6.81454,6.51167,6.15201,5.81129,5.48949,5.09197,5.09197,4.63767,4.63767,4.61874,4.18337,4.18337,4.18337,4.16444,3.72907,3.72907,3.72907,3.72907,3.80478,4.18337,4.18337,4.18337,4.35373,4.63767,4.63767,4.75125,5.01626,5.01626,5.47056,5.60306,5.83022,6.09523,6.30345,6.49274,6.75775,6.75775,7.15526,7.21205,6.89025,6.85240,6.85240,6.85240,6.73882,6.43595,6.28452,6.51167,6.64417,6.87133,6.87133,6.58739,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.64417,6.96597,6.96597,6.96597,7.38242,7.51492,7.77993,8.21530,8.68854,8.99140,9.23748,9.23748,9.08605,9.19963,8.80211,8.83997,8.85890,8.44245,8.40460,8.15852,8.02601,8.32888,7.93136,7.93136,7.79886,7.62850,7.11741,7.47706,7.47706,6.94704,6.58739,6.18987,6.11415,6.66310,6.39809
2017,Sans Souci 33_11kV,16MAY2016,MW,6.22773,6.17094,6.18987,6.07630,5.81129,5.58413,4.99733,4.80803,4.54303,4.54303,4.18337,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.08872,4.33480,4.78911,4.90268,5.26234,5.54628,6.11415,6.58739,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.18987,6.17094,6.17094,5.98165,5.92486,5.92486,5.92486,5.64092,5.47056,5.47056,5.47056,5.47056,5.47056,5.47056,5.69771,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.71664,5.96272,6.17094,6.51167,6.53060,7.00383,7.68528,8.34781,8.82104,9.02926,9.31320,9.40785,9.57821,9.38892,9.25641,9.12391,8.70746,8.66961,8.38567,8.32888,8.51817,8.10173,8.02601,7.66635,7.64743,7.15526,7.45813,7.51492,7.06062,6.92811,6.45488,6.07630,6.53060,6.36024
2017,Sans Souci 33_11kV,17MAY2016,MW,6.58739,6.22773,6.18987,5.94379,5.75450,5.35698,5.26234,4.84589,4.46731,4.39159,4.25909,3.93729,3.93729,3.93729,3.93729,3.93729,3.78585,3.78585,3.78585,4.08872,4.35373,4.69446,4.69446,4.90268,5.26234,5.62199,5.94379,6.51167,6.75775,6.75775,6.75775,6.75775,6.64417,6.43595,6.43595,6.30345,6.01951,6.01951,6.01951,6.01951,6.01951,5.64092,5.77343,5.94379,5.71664,5.67878,5.56521,5.62199,5.62199,5.62199,5.79236,5.79236,5.60306,5.60306,5.60306,5.65985,5.98165,5.98165,5.98165,5.84914,5.79236,6.01951,6.28452,6.34131,6.51167,6.56846,6.77668,6.98490,7.45813,7.85565,8.40460,8.74532,9.10498,9.10498,9.10498,8.85890,8.78318,8.78318,8.78318,8.61282,8.48031,8.30995,8.49924,8.08280,8.08280,7.93136,7.59064,7.15526,7.77993,7.68528,7.17419,6.79561,6.36024,6.13308,6.58739,6.53060
2017,Sans Souci 33_11kV,18MAY2016,MW,6.49274,6.09523,6.24666,5.86807,5.54628,5.35698,4.90268,4.63767,4.44838,4.44838,4.01301,3.99408,3.99408,3.99408,3.99408,3.99408,3.99408,3.99408,3.99408,4.20230,4.46731,4.73232,4.73232,4.94054,5.35698,5.71664,6.20880,6.43595,6.68203,6.68203,7.02276,7.04169,6.94704,6.73882,6.68203,6.28452,6.28452,6.03844,5.81129,5.81129,5.81129,5.67878,5.45163,5.90593,5.88700,5.58413,5.58413,5.58413,5.58413,5.58413,5.50842,5.22448,5.22448,5.22448,5.22448,5.22448,5.33805,5.54628,5.54628,5.54628,5.54628,5.75450,5.81129,5.96272,6.20880,6.60632,6.75775,7.21205,7.89351,8.48031,8.82104,9.02926,9.25641,9.01033,9.01033,9.01033,9.01033,9.01033,8.95355,8.68854,8.68854,8.68854,8.68854,8.44245,8.29102,8.00708,8.00708,7.68528,8.06387,7.96922,7.42027,7.06062,6.64417,6.30345,6.98490,6.79561
2017,Sans Souci 33_11kV,19MAY2016,MW,6.56846,6.47381,6.32238,6.15201,5.83022,5.56521,5.16769,4.97840,4.65660,4.48624,4.20230,4.20230,4.20230,4.20230,4.20230,4.20230,4.20230,4.20230,4.20230,4.31587,4.44838,4.69446,4.90268,5.09197,5.35698,5.86807,6.24666,6.24666,6.53060,6.94704,6.90918,6.90918,6.90918,6.90918,6.62524,6.49274,6.22773,6.03844,6.03844,6.03844,5.96272,5.71664,5.64092,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.39484,5.37591,5.18662,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.77343,5.88700,6.20880,6.53060,7.06062,7.59064,8.23423,8.46138,8.76425,8.97247,9.08605,8.93462,9.27534,8.95355,8.70746,8.68854,8.68854,8.68854,8.61282,8.68854,8.53710,8.25316,8.08280,7.95029,7.85565,8.04494,8.04494,7.74207,7.04169,6.81454,6.47381,6.92811,6.77668
2017,Sans Souci 33_11kV,20MAY2016,MW,6.71989,6.36024,6.28452,6.07630,5.92486,5.58413,5.22448,4.97840,4.56195,4.56195,4.29694,4.10765,4.10765,4.10765,4.10765,4.10765,4.01301,4.01301,4.01301,4.01301,4.33480,4.59981,4.92161,5.01626,5.47056,5.92486,6.28452,6.73882,6.73882,6.73882,6.81454,7.00383,7.00383,7.00383,6.75775,6.54953,6.37916,6.05737,6.05737,5.92486,5.81129,5.81129,5.81129,5.81129,5.81129,5.52735,5.48949,5.48949,5.81129,5.84914,5.84914,5.52735,5.52735,5.22448,5.37591,5.67878,5.67878,5.67878,5.67878,5.67878,5.67878,5.83022,5.94379,6.32238,6.39809,6.68203,7.04169,7.38242,7.70421,8.29102,8.63175,8.74532,9.19963,9.06712,9.10498,9.10498,9.10498,8.83997,8.80211,8.65068,8.48031,8.48031,8.48031,8.17745,8.02601,7.85565,7.72314,7.42027,7.98815,8.12066,7.70421,7.42027,6.94704,6.68203,7.04169,6.77668
2017,Sans Souci 33_11kV,21MAY2016,MW,6.90918,6.53060,6.53060,6.17094,6.15201,5.75450,5.24341,4.95947,4.82696,4.48624,4.37266,4.37266,4.37266,4.03193,3.91836,3.91836,3.91836,3.91836,3.91836,3.91836,3.91836,3.91836,4.18337,4.37266,4.59981,4.88375,4.99733,4.99733,5.41377,5.86807,5.96272,6.36024,6.36024,6.68203,6.96597,7.06062,7.06062,7.06062,7.06062,7.06062,7.06062,6.87133,6.62524,6.87133,6.87133,6.54953,6.54953,6.71989,6.73882,6.58739,6.58739,6.58739,6.49274,6.47381,6.47381,6.47381,6.47381,6.71989,6.47381,6.62524,6.92811,6.92811,6.64417,6.68203,6.92811,6.92811,7.49599,7.74207,8.23423,8.63175,8.97247,9.08605,9.08605,9.02926,8.78318,8.76425,8.55603,8.30995,8.30995,8.30995,8.12066,7.85565,8.06387,7.72314,7.72314,7.64743,7.70421,7.36349,7.76100,7.74207,7.45813,7.15526,6.77668,6.58739,7.21205,7.07955
2017,Sans Souci 33_11kV,22MAY2016,MW,7.04169,6.79561,6.87133,6.56846,6.28452,5.88700,5.30020,5.09197,4.86482,4.63767,4.63767,4.25909,4.18337,4.18337,4.18337,4.18337,4.18337,4.18337,4.18337,4.08872,3.86157,3.86157,3.86157,4.05086,4.31587,4.50517,4.77018,4.77018,4.88375,5.22448,5.54628,5.67878,6.01951,6.34131,6.58739,6.73882,6.73882,6.73882,6.98490,6.98490,6.98490,6.98490,6.98490,6.83347,6.62524,6.62524,6.62524,6.62524,6.62524,6.62524,6.39809,6.32238,6.32238,6.32238,6.32238,6.32238,6.32238,6.32238,6.07630,6.13308,6.41702,6.62524,6.62524,6.62524,7.02276,7.23098,7.43920,7.79886,7.81779,8.57496,9.23748,9.46464,9.46464,9.59714,9.29427,9.25641,8.89676,8.87783,8.87783,8.76425,8.51817,8.51817,8.48031,8.21530,7.98815,7.87458,7.60957,7.34456,7.59064,7.59064,7.45813,6.94704,6.51167,6.11415,6.64417,6.37916
2017,Sans Souci 33_11kV,23MAY2016,MW,6.43595,6.47381,6.26559,6.00058,5.83022,5.56521,5.31913,4.92161,4.92161,4.77018,4.46731,4.22123,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.01301,4.31587,4.33480,4.71339,4.78911,4.92161,5.64092,5.84914,6.28452,6.51167,6.71989,6.87133,6.87133,6.87133,6.87133,6.87133,6.79561,6.41702,6.20880,5.96272,5.96272,5.96272,5.71664,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.62199,5.71664,5.88700,5.98165,6.13308,5.98165,5.67878,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.52735,5.73557,5.94379,6.13308,6.66310,6.85240,7.40134,7.91244,8.68854,9.01033,9.18070,9.55928,9.42678,9.55928,9.54035,9.57821,9.29427,9.29427,8.91569,9.08605,9.08605,9.08605,8.76425,8.19637,8.19637,8.19637,7.76100,8.08280,8.02601,7.70421,7.28777,6.71989,6.43595,6.77668,6.53060
2017,Sans Souci 33_11kV,24MAY2016,MW,6.71989,6.60632,6.32238,6.09523,6.05737,5.71664,5.22448,5.14876,4.95947,4.67553,4.24016,4.24016,4.24016,4.24016,4.24016,4.06979,3.78585,3.78585,3.78585,4.16444,4.59981,4.69446,4.69446,5.16769,5.67878,6.17094,6.49274,7.19312,7.23098,7.23098,7.15526,6.87133,6.87133,6.79561,6.45488,6.45488,6.43595,6.13308,6.24666,5.96272,5.96272,5.96272,5.86807,5.60306,5.60306,5.60306,5.60306,5.60306,5.47056,5.28127,5.28127,5.31913,5.58413,5.58413,5.58413,5.58413,5.58413,5.48949,5.33805,5.39484,5.39484,5.39484,5.54628,5.90593,6.30345,6.58739,6.92811,7.64743,8.21530,8.82104,8.99140,9.50249,9.76750,9.86215,10.12716,10.12716,10.07037,9.67286,9.67286,9.63500,9.35106,9.35106,9.65393,9.25641,9.14284,8.76425,8.51817,8.17745,8.53710,8.66961,7.95029,7.49599,7.04169,6.58739,6.87133,6.89025
2017,Sans Souci 33_11kV,25MAY2016,MW,6.89025,6.62524,6.60632,6.37916,6.26559,5.86807,5.35698,5.09197,4.90268,4.71339,4.44838,4.44838,4.44838,4.03193,3.99408,3.99408,3.99408,3.99408,3.99408,4.08872,4.48624,4.90268,5.09197,5.35698,5.67878,6.32238,6.89025,7.17419,7.32563,7.60957,7.19312,7.15526,7.15526,7.21205,6.54953,6.54953,6.54953,6.54953,6.37916,6.17094,5.92486,5.92486,5.52735,5.81129,5.52735,5.52735,5.62199,5.26234,5.26234,5.26234,5.26234,5.26234,5.26234,5.26234,5.26234,5.26234,5.26234,5.37591,5.69771,5.65985,5.33805,5.65985,6.20880,6.24666,6.30345,6.96597,7.36349,7.72314,8.42353,9.06712,9.50249,9.61607,9.95680,9.95680,9.95680,9.95680,9.95680,10.22181,9.88108,9.84322,9.84322,9.82429,9.69179,9.33213,9.27534,9.10498,8.82104,8.36674,8.78318,8.59389,8.00708,7.66635,7.21205,6.71989,7.11741,7.00383
2017,Sans Souci 33_11kV,26MAY2016,MW,7.00383,6.81454,6.58739,6.28452,6.15201,5.81129,5.37591,5.12983,4.92161,4.58088,4.46731,4.46731,4.46731,4.46731,4.46731,4.03193,3.80478,3.78585,3.78585,3.80478,4.46731,4.46731,4.80803,5.14876,5.65985,6.03844,6.81454,7.23098,7.15526,7.51492,7.51492,7.51492,7.51492,7.51492,7.17419,7.13634,7.11741,6.79561,6.79561,6.79561,6.79561,6.79561,6.79561,6.79561,6.56846,6.90918,6.54953,6.45488,6.45488,6.45488,6.45488,6.05737,6.00058,6.00058,6.00058,5.88700,5.67878,5.84914,5.94379,5.94379,5.94379,5.94379,5.94379,6.39809,6.62524,6.62524,7.28777,7.70421,8.10173,8.59389,9.29427,9.71072,9.84322,9.84322,10.12716,10.16502,9.91894,9.84322,9.74857,9.57821,9.57821,9.57821,9.82429,9.38892,9.25641,9.18070,8.95355,8.59389,8.99140,8.82104,8.30995,7.68528,7.42027,6.90918,7.21205,7.07955
