year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Mortdale 33_11kV,01MAY2017,MW,19.85261,19.43783,18.81567,17.74103,16.81721,15.61060,14.59251,13.48016,12.59406,12.04731,11.65139,11.19891,10.67101,10.59560,10.44477,10.27509,10.25624,10.35050,10.42592,10.78413,11.63253,12.00960,12.48094,13.29163,14.91302,16.27046,18.11809,19.49439,19.40012,20.09770,20.04114,19.77719,19.41898,19.06076,18.43860,18.13695,17.32625,17.25084,17.15657,17.42052,16.98689,16.72294,15.78028,15.61060,15.70486,15.64830,15.53518,15.51633,15.17697,15.34665,15.51633,15.44092,15.70486,15.85569,16.00652,15.21467,15.59174,15.44092,15.25238,15.55404,15.44092,15.62945,15.79913,16.27046,16.93033,17.28855,17.74103,18.40090,19.09847,20.56903,21.77565,22.98227,23.60443,24.13232,24.24544,23.75525,23.34048,22.88800,22.45437,22.13386,22.13386,22.09616,22.11501,21.11578,21.15349,20.79527,20.60674,19.36242,20.73871,20.58789,19.89031,18.60828,17.66561,16.57212,18.77796,18.19351
2018,Mortdale 33_11kV,02MAY2017,MW,19.64522,19.17388,18.34434,17.21313,16.38358,15.12041,14.02691,13.04654,12.16043,11.50056,10.99152,10.93496,10.68986,10.57674,10.16197,10.18082,10.04885,10.18082,10.18082,10.53904,11.34973,11.91533,12.44323,13.27278,14.78105,15.96881,17.85415,18.98535,18.68370,19.38127,19.49439,18.89108,18.85338,18.43860,18.28778,17.43937,17.26969,17.34511,17.25084,17.62791,16.98689,16.64753,15.76142,15.62945,15.38436,16.13849,15.42206,15.19582,15.10155,15.04499,15.08270,15.04499,15.12041,15.21467,15.83684,15.83684,15.96881,15.78028,15.44092,15.42206,15.76142,16.19505,16.42129,16.85492,17.04345,17.34511,17.72217,18.64599,19.34356,20.62559,21.94533,22.79373,23.45360,23.69869,23.64213,23.47245,23.13309,22.90685,22.68061,22.32240,22.45437,22.26584,22.13386,21.32317,21.00266,20.94610,20.73871,19.83375,21.11578,21.22890,20.41821,19.07962,17.96727,16.83607,18.75911,18.36319
2018,Mortdale 33_11kV,03MAY2017,MW,19.83375,19.32471,18.43860,17.34511,16.51556,15.25238,14.19659,13.04654,12.57520,11.67024,11.25547,10.87840,10.61445,10.36936,10.21853,10.12426,10.31280,10.31280,10.48248,10.76528,11.59483,11.95304,12.59406,13.55558,14.85646,16.42129,18.28778,19.34356,19.38127,20.11655,20.11655,19.92802,19.47554,19.30586,18.23121,17.85415,17.81644,17.26969,16.57212,16.98689,16.76065,16.13849,16.19505,16.27046,16.08193,16.59097,16.96804,16.72294,15.64830,15.85569,16.34588,15.61060,16.00652,16.53441,16.45900,16.64753,17.15657,17.66561,18.00497,18.23121,17.92956,17.77873,17.74103,17.91071,18.58943,18.98535,19.96573,21.04037,21.70024,23.15195,24.41512,25.43320,25.56518,25.73486,25.86683,25.73486,25.13155,24.77334,24.58480,24.30200,24.56595,24.39627,24.20774,23.56672,23.49131,23.13309,22.58634,21.49285,22.64290,22.36010,21.70024,20.22967,19.19274,17.98612,20.17311,19.51324
2018,Mortdale 33_11kV,04MAY2017,MW,20.87069,20.22967,19.38127,18.08039,17.15657,15.87454,14.70563,13.64984,12.85800,12.25469,11.63253,11.23661,11.06693,10.93496,10.78413,10.74642,10.61445,10.74642,10.78413,11.21776,12.08501,12.46208,13.14080,14.08347,15.53518,16.96804,18.87223,20.36165,20.17311,20.96495,21.30432,21.05922,21.04037,20.58789,19.98458,19.17388,18.28778,17.70332,17.25084,17.00575,16.94919,16.72294,16.25161,16.49670,17.10001,16.19505,16.42129,16.89263,16.85492,16.74180,17.08116,17.19428,17.06231,16.93033,16.45900,16.45900,16.62868,16.57212,16.47785,16.49670,16.51556,16.15734,16.27046,16.98689,17.60905,18.38204,19.32471,20.45591,20.98381,22.28469,23.30277,24.07576,24.37742,24.81104,24.52824,24.30200,23.94379,23.69869,23.56672,23.20851,23.56672,23.75525,23.67984,22.73717,22.62405,22.45437,21.88877,20.87069,22.05845,22.13386,21.39858,20.17311,19.00420,17.70332,19.79605,19.11732
2018,Mortdale 33_11kV,05MAY2017,MW,20.43706,20.05999,19.24930,18.15580,17.32625,16.08193,14.93187,13.76296,12.78259,12.12272,11.68909,11.04808,10.87840,10.76528,10.61445,10.61445,10.48248,10.59560,10.80298,10.99152,11.76451,12.59406,13.04654,13.70640,14.89417,16.60982,18.36319,19.70178,19.66407,20.39935,20.55018,20.68215,20.17311,19.40012,19.09847,18.62714,18.25007,17.62791,17.17543,16.96804,16.64753,16.23276,15.98766,15.83684,15.53518,15.51633,15.10155,14.85646,14.61137,14.72449,14.64907,14.64907,14.96958,15.25238,15.06385,14.87531,15.00729,14.79990,14.93187,15.13926,14.96958,15.08270,15.36550,15.85569,16.59097,17.02460,17.66561,18.25007,18.62714,19.98458,21.56826,22.60520,22.96341,23.17080,23.11424,23.24621,22.58634,22.03960,21.85106,21.75680,21.86992,22.17157,21.88877,21.17234,21.43629,21.15349,20.81413,19.94687,21.41744,21.56826,20.75757,19.87146,19.09847,18.21236,20.43706,19.79605
2018,Mortdale 33_11kV,06MAY2017,MW,21.04037,20.45591,19.77719,18.60828,17.55249,16.28932,15.10155,14.02691,13.23507,12.44323,11.89648,11.46285,11.02923,10.87840,10.67101,10.44477,10.53904,10.42592,10.42592,10.63330,10.93496,11.18005,11.40629,11.67024,12.17928,12.93342,13.49902,14.30971,14.81875,15.85569,16.28932,17.19428,17.53364,18.32548,18.51402,18.85338,18.34434,18.28778,17.83529,17.57135,17.94841,17.34511,17.17543,17.06231,16.27046,15.81798,15.87454,15.87454,15.38436,15.08270,14.96958,14.89417,14.70563,14.49825,14.47939,14.32857,14.44169,14.78105,14.95073,15.04499,15.13926,15.51633,15.78028,16.30817,,,,,,,,22.11501,22.11501,22.09616,21.68138,21.37973,20.70101,20.39935,19.98458,19.55095,19.58866,19.83375,19.70178,18.98535,19.11732,19.04191,18.83452,18.21236,20.04114,20.21082,19.81490,18.66484,18.13695,17.26969,19.51324,19.06076
2018,Mortdale 33_11kV,07MAY2017,MW,20.75757,20.34279,19.62636,18.57058,17.55249,16.23276,15.04499,13.97035,13.12195,12.38667,11.74565,11.34973,10.80298,10.55789,10.44477,10.29394,10.21853,10.04885,10.04885,10.10541,10.36936,10.55789,10.48248,10.72757,11.21776,11.57597,12.12272,12.57520,12.78259,13.44246,14.08347,14.83761,15.44092,16.21390,16.79836,17.00575,17.28855,17.26969,17.04345,17.13772,16.79836,16.76065,16.38358,16.25161,15.85569,15.49748,15.27123,15.08270,14.98843,14.55481,14.44169,14.34742,14.40398,14.30971,14.17774,14.06462,14.00806,13.98921,14.15889,14.55481,14.55481,15.02614,15.29009,15.61060,16.45900,16.91148,17.85415,19.06076,19.98458,21.30432,22.98227,23.90608,24.05691,24.22659,23.96264,23.84952,23.77411,23.30277,22.79373,22.58634,22.58634,22.73717,22.66176,22.09616,22.03960,21.90762,21.43629,20.70101,21.94533,21.79450,20.88954,19.79605,18.70255,17.49593,19.53210,18.96650
2018,Mortdale 33_11kV,08MAY2017,MW,20.32394,19.83375,19.24930,18.19351,17.28855,16.15734,15.23353,14.17774,13.40475,12.66947,11.89648,11.48171,11.18005,11.01037,10.95381,10.63330,10.68986,9.53981,9.38898,9.72834,10.65216,11.04808,11.80221,12.55635,14.40398,15.87454,17.77873,19.07962,18.74026,19.70178,19.92802,19.92802,19.73949,19.40012,18.64599,17.83529,17.36396,16.83607,16.66638,16.51556,16.21390,15.76142,15.49748,15.04499,14.85646,14.83761,14.59251,14.36627,14.38513,14.38513,14.34742,14.40398,14.29086,14.70563,14.30971,14.66793,14.78105,14.57366,14.64907,14.87531,14.74334,14.81875,15.08270,15.61060,16.04422,16.49670,17.36396,18.51402,19.36242,21.05922,22.47322,23.05768,23.77411,24.24544,24.39627,24.33971,24.09461,23.77411,23.51016,23.17080,23.05768,23.18965,22.86915,22.13386,22.15272,22.00189,21.36088,20.32394,21.34202,21.13463,20.19197,19.19274,18.04268,16.76065,18.43860,17.64676
2018,Mortdale 33_11kV,09MAY2017,MW,18.75911,18.19351,17.49593,16.49670,15.61060,14.64907,13.66870,12.85800,12.19813,11.53827,11.16120,10.78413,10.50133,10.27509,10.16197,10.14312,10.03000,10.25624,10.08656,10.46362,11.46285,11.97189,12.51864,13.48016,14.76219,16.44014,18.15580,19.62636,19.77719,20.36165,20.70101,20.45591,19.79605,18.43860,18.15580,17.43937,16.89263,16.32702,16.21390,15.89340,15.53518,15.38436,14.96958,14.68678,14.49825,14.40398,14.21545,14.12118,14.47939,14.96958,14.83761,14.53595,14.15889,13.95150,13.83838,13.83838,13.76296,13.83838,14.06462,14.23430,14.30971,14.15889,14.17774,15.30894,16.00652,16.59097,18.72140,20.28623,21.22890,22.75603,24.54710,25.67830,26.37587,26.80950,26.69638,26.75294,26.30046,26.05537,25.88569,25.56518,25.62174,25.81027,25.62174,24.90531,24.82990,24.24544,23.67984,22.36010,23.79296,23.56672,22.64290,21.09693,20.02229,18.74026,20.51247,19.77719
2018,Mortdale 33_11kV,10MAY2017,MW,21.24776,20.75757,20.13541,18.83452,17.94841,16.83607,15.61060,14.66793,13.81952,13.15966,12.49979,12.16043,11.74565,11.50056,11.23661,11.10464,11.18005,11.40629,11.29317,11.72680,12.78259,13.31048,14.15889,15.08270,16.45900,18.45746,20.41821,22.11501,22.26584,22.81259,23.11424,22.68061,22.11501,21.66253,20.70101,19.94687,19.38127,18.72140,18.28778,17.96727,17.49593,16.94919,16.83607,16.57212,16.44014,16.17620,15.98766,16.10078,16.27046,16.32702,16.44014,16.40244,16.47785,16.49670,16.49670,16.53441,16.49670,16.21390,15.76142,15.85569,15.96881,16.02537,16.19505,16.72294,17.36396,17.98612,19.11732,20.45591,21.13463,22.71832,24.50939,25.58403,26.22505,26.62097,26.77179,27.07345,26.82835,26.54555,26.14963,25.82913,26.01766,26.20619,25.88569,24.81104,24.88646,24.45283,23.51016,22.32240,23.62328,23.39704,22.39781,21.17234,20.00343,18.89108,20.85183,20.26738
2018,Mortdale 33_11kV,11MAY2017,MW,21.58712,21.04037,20.43706,19.00420,18.02383,16.85492,15.72372,14.64907,13.85723,12.95227,12.36781,11.99075,11.72680,11.40629,11.21776,11.06693,11.10464,11.19891,11.33088,11.85877,12.83915,13.21622,13.97035,14.98843,16.59097,18.30663,20.47477,22.36010,22.26584,22.96341,23.34048,23.20851,22.58634,21.96418,21.13463,20.26738,19.79605,19.15503,18.62714,18.04268,17.89185,17.55249,17.11887,16.93033,16.70409,16.55326,16.42129,16.68524,16.23276,15.94996,15.96881,15.72372,15.55404,15.36550,15.44092,15.13926,15.55404,15.66716,15.74257,16.44014,16.64753,16.79836,16.72294,17.10001,17.75988,18.47631,19.24930,20.28623,21.75680,22.88800,24.20774,25.09384,25.41435,25.86683,25.88569,26.01766,25.73486,25.45206,25.20696,25.03728,25.13155,25.18811,25.37664,24.50939,24.64136,24.05691,23.51016,22.37896,23.43475,23.20851,22.34125,21.04037,20.07885,18.83452,20.85183,20.04114
2018,Mortdale 33_11kV,12MAY2017,MW,21.45514,20.88954,20.17311,18.96650,18.00497,16.81721,15.59174,14.61137,13.85723,13.10310,12.51864,12.14157,11.72680,11.59483,11.29317,11.18005,11.23661,11.42515,11.36859,11.82107,12.76374,13.19736,13.85723,14.70563,16.32702,17.85415,19.51324,20.81413,21.19119,22.22813,22.60520,22.45437,22.32240,21.90762,21.37973,21.04037,20.32394,20.02229,19.58866,19.53210,19.11732,19.28700,19.07962,18.81567,18.57058,18.57058,18.30663,17.60905,17.79759,17.81644,17.55249,17.72217,17.59020,17.10001,17.00575,16.96804,17.25084,17.43937,17.28855,17.04345,17.30740,17.25084,17.30740,17.94841,18.66484,19.28700,20.28623,21.45514,22.24698,23.66099,24.69792,25.16926,25.64059,25.60289,25.60289,25.39550,25.03728,24.75448,24.18888,23.86837,24.17003,24.33971,24.05691,23.28392,23.15195,22.90685,22.37896,21.71909,23.26507,23.09539,22.60520,21.28546,20.41821,19.21159,21.39858,20.94610
2018,Mortdale 33_11kV,13MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98612,17.62791,17.38281,17.02460,16.68524,16.53441,16.44014,16.28932,15.98766,15.85569,15.78028,15.85569,15.62945,15.34665,15.25238,15.32779,15.13926,15.57289,15.57289,15.81798,15.81798,15.93110,16.34588,16.76065,17.60905,18.49516,19.00420,20.02229,21.32317,22.45437,23.26507,23.51016,23.58557,23.56672,23.20851,22.88800,22.52978,21.94533,21.41744,21.11578,21.26661,21.43629,21.37973,20.75757,20.88954,20.62559,20.15426,19.53210,21.36088,21.26661,20.81413,19.72063,18.90994,18.06153,20.47477,20.02229
2018,Mortdale 33_11kV,14MAY2017,MW,21.60597,20.83298,20.19197,19.07962,18.28778,17.08116,15.89340,14.95073,14.17774,13.29163,12.59406,11.99075,11.57597,11.14235,10.85954,10.63330,10.61445,10.42592,10.42592,10.50133,10.68986,10.85954,11.14235,11.34973,11.59483,12.10387,12.63176,13.00883,13.31048,14.29086,15.17697,16.02537,17.15657,17.79759,18.38204,18.83452,18.77796,19.36242,19.34356,19.26815,18.90994,18.87223,18.26892,18.43860,17.87300,18.06153,17.87300,17.28855,17.42052,17.57135,17.26969,17.47708,17.60905,17.40167,17.11887,17.11887,16.93033,16.36473,16.32702,16.25161,16.60982,16.64753,16.74180,17.36396,18.15580,18.77796,19.55095,20.73871,21.00266,22.37896,23.37819,24.07576,24.39627,24.62251,24.26430,24.28315,23.88723,23.60443,23.20851,22.86915,23.35933,23.03883,23.01997,22.37896,22.47322,22.19042,21.60597,20.60674,22.07730,21.66253,20.92725,19.75834,18.75911,17.59020,19.81490,19.30586
2018,Mortdale 33_11kV,15MAY2017,MW,20.87069,20.34279,19.73949,18.51402,17.62791,16.49670,15.42206,14.40398,13.59328,12.87686,12.40552,11.97189,11.59483,11.19891,10.95381,10.82184,10.72757,10.82184,10.97267,11.40629,12.19813,12.72603,13.59328,14.32857,15.83684,17.45823,19.28700,20.60674,21.09693,22.15272,22.52978,22.13386,22.00189,21.77565,21.05922,20.28623,19.49439,18.74026,18.21236,18.04268,17.87300,17.70332,17.10001,17.13772,17.98612,18.06153,17.57135,17.06231,16.77950,16.94919,17.26969,17.28855,16.94919,16.15734,15.87454,15.89340,15.91225,15.94996,16.06308,16.04422,16.25161,16.10078,16.06308,16.70409,17.42052,18.17465,19.00420,20.24853,22.02074,23.52901,25.16926,26.01766,26.56441,26.97918,26.94147,26.84721,26.33817,25.77257,25.45206,25.64059,25.60289,25.47091,25.32008,24.41512,24.39627,23.92493,23.28392,22.45437,23.73640,23.37819,22.49208,20.98381,19.77719,18.57058,20.55018,19.58866
2018,Mortdale 33_11kV,16MAY2017,MW,21.07807,20.55018,19.92802,18.64599,17.68447,16.34588,15.25238,14.23430,13.59328,12.70718,12.27355,11.87763,11.38744,11.48171,10.95381,10.99152,10.84069,11.14235,11.38744,11.72680,12.72603,13.12195,14.10233,14.96958,16.45900,18.38204,20.28623,21.81336,22.00189,22.92571,22.71832,22.64290,22.19042,21.60597,20.56903,19.92802,19.23044,18.51402,18.26892,18.23121,17.81644,17.15657,17.23199,16.96804,16.45900,16.10078,15.91225,16.02537,15.89340,15.85569,15.42206,15.62945,15.79913,15.59174,15.57289,15.61060,15.62945,15.70486,16.15734,15.76142,15.70486,15.89340,16.19505,16.55326,17.25084,18.23121,19.17388,20.47477,22.20928,23.77411,25.05614,25.84798,26.47014,27.09230,27.18657,27.11116,26.90377,26.63982,26.16849,25.90454,25.96110,26.13078,25.81027,24.84875,24.94302,24.64136,23.84952,22.86915,24.00035,23.75525,22.88800,21.15349,20.28623,18.81567,20.88954,20.09770
2018,Mortdale 33_11kV,17MAY2017,MW,21.49285,20.79527,20.34279,19.11732,18.21236,16.72294,15.59174,14.66793,13.91379,13.04654,12.57520,12.17928,11.93419,11.65139,11.33088,11.16120,11.16120,11.46285,11.50056,12.04731,12.95227,13.51787,14.29086,15.49748,17.26969,19.28700,21.04037,22.54864,22.90685,23.84952,23.92493,23.60443,23.28392,22.62405,21.58712,20.94610,20.09770,19.36242,18.96650,18.74026,18.34434,17.94841,17.42052,17.38281,16.98689,16.81721,16.81721,16.45900,16.21390,16.02537,16.00652,16.10078,16.10078,16.11964,15.94996,16.00652,16.06308,16.62868,16.30817,16.17620,16.08193,16.62868,16.93033,17.36396,17.74103,18.57058,19.85261,21.37973,22.62405,24.37742,25.35779,26.39473,27.03574,27.50708,27.41281,27.50708,27.18657,26.88491,26.50785,26.11193,26.22505,26.30046,26.16849,25.24467,25.22582,24.60366,24.09461,22.81259,24.11347,23.56672,22.68061,21.11578,19.96573,18.90994,21.11578,20.19197
2018,Mortdale 33_11kV,18MAY2017,MW,21.73794,20.94610,20.05999,19.02306,18.11809,16.83607,15.74257,14.81875,14.04577,13.17851,12.55635,12.14157,11.76451,11.36859,11.29317,11.10464,11.08579,11.29317,11.51941,11.99075,12.76374,13.25392,14.04577,14.93187,16.47785,18.38204,20.07885,21.70024,21.54941,22.17157,22.07730,21.62482,21.28546,20.79527,20.30509,20.00343,19.30586,19.09847,18.40090,17.94841,17.68447,16.96804,16.72294,16.57212,16.44014,16.38358,16.77950,16.74180,16.59097,16.42129,16.04422,15.96881,15.83684,16.06308,16.21390,16.49670,16.32702,15.94996,16.32702,16.30817,16.04422,16.30817,16.36473,16.96804,17.72217,18.55172,19.45668,20.51247,21.19119,22.77488,23.98149,24.56595,24.66022,25.20696,25.20696,25.09384,24.99958,24.58480,24.17003,23.92493,24.24544,24.30200,24.43398,23.67984,23.54787,23.20851,22.68061,21.73794,23.24621,22.83144,22.02074,20.68215,19.68292,18.36319,20.47477,19.77719
2018,Mortdale 33_11kV,19MAY2017,MW,21.17234,20.41821,19.70178,18.58943,17.64676,16.44014,15.32779,14.36627,13.29163,12.76374,12.10387,11.55712,11.31203,10.91610,10.91610,10.89725,10.78413,10.91610,11.14235,11.50056,12.16043,12.82030,13.17851,14.06462,15.45977,17.08116,18.75911,19.70178,20.45591,21.49285,21.88877,21.98304,21.70024,21.36088,20.71986,20.32394,20.19197,19.89031,19.58866,19.77719,19.68292,19.62636,19.53210,19.56980,19.06076,18.72140,18.34434,18.02383,18.17465,18.13695,18.28778,17.96727,17.66561,17.74103,17.53364,17.04345,17.04345,17.19428,17.62791,17.87300,17.75988,17.72217,18.64599,19.28700,19.83375,20.56903,21.64368,22.62405,22.81259,24.00035,24.67907,25.11270,25.28238,25.37664,25.15040,25.05614,24.77334,24.15118,23.90608,23.47245,23.81181,23.81181,23.45360,22.60520,22.47322,22.41666,21.85106,20.96495,22.56749,22.32240,21.51170,20.55018,19.73949,18.60828,20.68215,20.28623
2018,Mortdale 33_11kV,20MAY2017,MW,21.51170,20.92725,20.13541,19.02306,17.81644,16.42129,15.29009,14.34742,13.34819,12.59406,12.08501,11.65139,11.27432,11.01037,10.76528,10.63330,10.46362,10.53904,10.44477,10.48248,10.78413,10.97267,11.25547,11.50056,11.97189,12.36781,13.23507,14.04577,14.14003,15.13926,16.00652,16.70409,17.34511,18.19351,18.62714,19.28700,19.90917,19.66407,19.06076,18.49516,19.11732,18.90994,18.57058,18.83452,18.85338,18.72140,18.32548,18.06153,17.51479,16.77950,16.70409,16.96804,16.15734,16.15734,16.08193,15.83684,15.59174,15.72372,15.66716,16.23276,16.04422,16.08193,16.53441,17.02460,17.51479,18.09924,18.89108,19.92802,20.85183,22.02074,22.58634,22.96341,23.18965,23.01997,22.69947,22.30354,22.03960,21.56826,21.17234,20.66330,20.66330,20.73871,20.79527,19.89031,20.05999,19.98458,19.72063,18.92879,20.75757,20.79527,20.22967,19.13618,18.60828,17.92956,20.24853,19.70178
2018,Mortdale 33_11kV,21MAY2017,MW,21.00266,20.70101,20.15426,18.89108,18.04268,16.72294,15.51633,14.44169,13.57443,12.85800,12.21699,11.82107,11.51941,11.08579,10.82184,10.53904,10.63330,10.48248,10.48248,10.65216,10.74642,10.78413,10.89725,11.21776,11.42515,12.02845,12.65062,12.89571,12.97112,14.12118,14.91302,15.79913,16.62868,17.25084,17.57135,17.83529,17.94841,18.19351,17.94841,17.74103,17.83529,17.28855,16.87377,16.83607,16.38358,16.28932,15.89340,15.85569,15.78028,15.36550,15.53518,15.23353,15.13926,15.17697,14.96958,14.91302,14.89417,14.89417,14.91302,15.27123,15.51633,15.78028,16.02537,16.51556,17.40167,18.17465,19.11732,20.41821,21.43629,23.11424,24.37742,24.86760,25.03728,25.01843,24.98072,24.66022,23.92493,23.81181,23.35933,22.92571,23.03883,23.09539,23.00112,22.20928,22.09616,21.90762,21.58712,20.53133,21.77565,21.53056,20.87069,19.53210,18.74026,17.45823,19.66407,18.89108
2018,Mortdale 33_11kV,22MAY2017,MW,20.47477,20.07885,19.38127,18.28778,17.42052,16.25161,15.21467,14.38513,13.42360,12.66947,12.04731,11.59483,11.42515,11.02923,10.85954,10.84069,10.57674,10.74642,10.80298,11.16120,11.89648,12.57520,13.23507,14.06462,15.44092,17.21313,18.94764,20.38050,20.43706,21.26661,21.53056,21.24776,21.05922,20.51247,19.87146,19.30586,18.77796,18.26892,17.79759,17.75988,17.32625,16.96804,16.87377,16.98689,16.79836,16.79836,15.94996,15.89340,16.23276,16.60982,16.98689,17.34511,17.06231,16.55326,15.91225,16.40244,16.81721,16.72294,16.15734,16.44014,16.77950,16.57212,16.77950,17.25084,17.92956,18.49516,19.51324,20.68215,21.37973,23.26507,24.64136,25.35779,25.96110,26.07422,25.88569,25.77257,25.24467,24.84875,24.71678,24.32086,24.71678,24.52824,24.09461,23.24621,23.17080,23.00112,22.52978,21.41744,22.47322,22.54864,21.64368,20.05999,18.90994,17.85415,19.73949,19.24930
2018,Mortdale 33_11kV,23MAY2017,MW,20.45591,20.02229,19.30586,18.11809,17.15657,15.89340,14.79990,13.87608,13.10310,12.57520,11.87763,11.51941,11.33088,11.08579,10.80298,10.87840,10.78413,10.78413,10.78413,11.12349,11.95304,12.72603,13.21622,14.34742,15.68601,17.17543,18.89108,20.24853,20.53133,21.37973,21.19119,20.77642,20.24853,19.75834,19.40012,18.57058,18.41975,17.77873,17.55249,17.40167,16.98689,16.70409,16.45900,16.47785,16.27046,16.00652,16.04422,15.94996,15.85569,15.70486,15.74257,15.59174,15.79913,16.02537,15.66716,15.76142,15.81798,15.74257,15.81798,15.89340,15.79913,16.13849,16.25161,16.96804,17.30740,17.74103,18.40090,19.66407,20.47477,21.90762,22.85029,23.45360,23.81181,24.37742,24.28315,24.28315,24.05691,23.92493,23.35933,23.05768,23.34048,23.43475,23.01997,22.30354,22.37896,22.02074,21.66253,20.73871,22.07730,22.05845,21.09693,19.87146,18.74026,17.60905,19.64522,19.00420
2018,Mortdale 33_11kV,24MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83529,16.89263,16.40244,15.98766,16.23276,15.98766,15.98766,15.91225,15.47862,15.29009,15.96881,15.91225,15.55404,15.53518,15.51633,15.59174,15.64830,15.59174,15.76142,15.98766,15.93110,16.17620,16.34588,16.98689,17.49593,18.26892,18.98535,20.38050,21.32317,22.73717,23.84952,24.35856,24.88646,24.94302,24.99958,24.96187,24.56595,24.49054,24.49054,23.98149,24.28315,24.39627,23.98149,23.26507,23.37819,23.17080,22.43552,21.51170,22.85029,22.51093,21.79450,20.45591,19.53210,18.47631,20.64445,19.75834
2018,Mortdale 33_11kV,25MAY2017,MW,21.04037,20.34279,19.41898,18.28778,17.36396,16.21390,15.04499,14.23430,13.31048,12.59406,12.04731,11.83992,11.46285,11.25547,11.01037,10.82184,10.67101,10.93496,11.23661,11.72680,12.42437,12.95227,13.85723,14.63022,16.42129,18.13695,19.81490,21.26661,21.49285,22.17157,22.30354,21.98304,21.32317,20.64445,20.05999,19.81490,18.87223,18.40090,17.91071,17.68447,17.55249,16.91148,16.53441,16.27046,16.06308,15.81798,15.87454,15.81798,15.61060,15.34665,15.45977,15.23353,15.36550,15.38436,15.36550,15.27123,15.40321,15.47862,15.78028,15.70486,15.87454,16.17620,16.45900,17.00575,17.38281,17.96727,18.96650,20.26738,21.07807,22.79373,24.15118,24.98072,25.41435,25.71601,25.96110,26.07422,25.79142,25.45206,25.32008,24.94302,25.13155,25.47091,25.39550,24.82990,24.99958,24.49054,23.90608,22.88800,23.75525,23.62328,22.58634,21.32317,20.13541,18.90994,21.00266,20.49362
2018,Mortdale 33_11kV,26MAY2017,MW,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,16.21390,11.42515,11.31203,11.57597,12.06616,13.04654,13.55558,13.95150,15.04499,16.66638,18.70255,20.45591,21.66253,21.85106,22.77488,22.92571,22.94456,22.98227,21.86992,21.21005,20.98381,20.38050,19.47554,18.92879,18.70255,18.17465,17.74103,17.32625,16.93033,16.72294,16.49670,16.96804,16.47785,16.32702,16.19505,15.68601,15.85569,16.02537,15.57289,15.93110,15.94996,15.89340,15.66716,15.74257,15.70486,15.78028,15.87454,16.28932,16.91148,17.51479,18.28778,19.34356,20.70101,21.53056,23.20851,24.07576,24.79219,25.07499,25.28238,25.13155,25.18811,24.82990,24.56595,24.58480,24.32086,24.62251,24.82990,24.67907,24.13232,24.07576,23.86837,23.47245,22.52978,24.09461,24.17003,23.18965,22.00189,20.87069,19.87146,21.92648,21.34202
2018,Mortdale 33_11kV,27MAY2017,MW,22.54864,22.13386,21.17234,19.81490,18.85338,17.60905,16.13849,15.13926,14.23430,13.42360,12.87686,12.29240,12.04731,11.61368,11.27432,11.29317,11.19891,11.19891,11.12349,11.42515,11.63253,11.80221,12.10387,12.31125,12.93342,13.80067,14.63022,15.45977,15.83684,17.15657,17.74103,18.58943,19.26815,19.96573,20.32394,20.07885,19.79605,19.90917,19.79605,19.72063,19.00420,18.25007,18.11809,17.70332,17.40167,17.08116,16.91148,16.94919,16.98689,16.83607,16.85492,16.68524,16.38358,16.08193,16.13849,15.66716,15.51633,15.89340,15.87454,15.70486,15.96881,16.40244,16.91148,17.32625,18.17465,19.11732,19.94687,21.41744,21.77565,23.26507,24.18888,24.60366,24.56595,24.39627,24.03805,23.67984,23.24621,22.92571,22.45437,22.00189,22.39781,22.71832,22.75603,22.02074,21.88877,21.73794,21.70024,20.96495,22.11501,22.24698,21.83221,20.96495,20.45591,19.38127,21.58712,21.19119
