year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Cronulla 132_11kV,01MAY2014,MW,17.45917,16.89597,16.35155,15.76957,16.25768,15.52552,14.58686,13.59187,12.99112,12.80339,12.61566,12.29651,12.07123,11.90227,11.80841,11.93982,11.71454,11.86473,12.25897,12.65321,13.47923,14.34280,15.09373,16.74579,18.90472,21.06364,22.94098,24.25511,25.21254,25.94470,26.48913,26.67686,26.33894,26.15121,25.47537,24.55548,23.82332,23.29767,22.77202,22.11495,21.92722,21.38279,21.06364,21.06364,20.65063,20.25639,20.20007,19.99357,19.86215,19.67442,19.74951,19.67442,19.48669,19.44914,19.44914,19.58055,19.59933,19.50546,19.63687,19.82461,19.95602,19.95602,20.23762,20.98855,21.42034,22.00231,22.71570,24.08615,25.79452,28.34769,31.27632,33.66053,34.73061,35.65050,35.59418,35.03098,34.35514,33.73562,32.75941,32.04603,31.40773,30.69435,29.96219,29.00475,28.15995,27.01478,26.52668,25.17500,24.49916,23.14748,21.92722,20.21885,19.18631,18.19133,18.04114,17.27144
2015,Cronulla 132_11kV,02MAY2014,MW,17.51549,17.04616,16.35155,15.67571,16.65192,15.69448,14.73704,14.00488,13.55432,12.95358,12.80339,12.55934,12.12755,11.80841,11.77086,11.78963,11.75209,12.01491,12.05246,12.37161,13.17886,14.07998,14.73704,16.22013,18.52925,21.00732,22.77202,24.27388,25.34396,26.16998,26.90214,27.01478,26.75196,26.16998,25.66310,24.89340,24.42407,23.97351,23.35399,22.50919,22.20882,21.72071,21.28892,21.06364,20.61309,20.48167,20.80082,20.29394,20.53799,20.50045,20.46290,20.29394,19.74951,20.23762,20.04989,19.48669,19.67442,19.76829,19.67442,19.69319,19.82461,20.08743,20.57554,21.19506,22.03986,23.03484,23.93596,25.56924,27.44657,30.05606,31.72688,32.87205,33.71685,34.07354,34.05477,33.62298,32.85328,32.27131,31.44528,30.84454,29.88710,28.64806,28.02854,27.50289,26.77073,25.86961,25.64433,24.66812,24.10492,22.92220,22.05863,21.04487,20.04989,19.09245,18.88594,18.32274
2015,Cronulla 132_11kV,03MAY2014,MW,18.41661,17.79709,17.10248,16.55805,16.95229,16.27645,15.50675,15.01864,14.45544,14.23016,13.64819,13.16008,13.08499,12.76585,12.44670,12.31529,12.18387,12.40915,12.39038,12.57811,13.00990,13.23518,13.53555,14.34280,14.90600,16.06995,17.45917,18.47293,19.59933,21.32647,22.94098,23.76700,25.23132,26.52668,27.10865,27.29638,27.40902,27.69062,27.61553,28.10363,27.91590,27.57798,27.25883,27.08987,27.31515,27.05233,27.22129,27.37147,26.97723,26.58300,26.16998,25.83206,25.25009,25.19377,25.66310,25.45660,25.56924,25.71942,26.18876,26.11366,26.77073,27.18374,27.46534,28.51665,29.45531,30.46907,31.85829,33.71685,36.06351,38.39140,40.24996,41.03844,41.33881,41.26372,40.79439,39.89327,38.50404,37.69679,36.10106,34.91834,34.31760,33.36016,32.30885,31.50160,30.65680,29.86832,28.94843,27.67185,26.80828,25.73820,24.44284,23.10993,21.88967,20.89469,20.68818,20.12498
2015,Cronulla 132_11kV,04MAY2014,MW,20.04989,19.33650,18.60434,17.74077,18.41661,17.85341,17.10248,16.78333,15.88221,15.35656,14.84968,14.43667,14.24894,13.77960,13.61064,13.27272,13.27272,13.27272,13.47923,13.51678,13.68574,13.68574,14.15507,14.51176,14.88723,15.99485,16.61437,17.59058,18.69821,20.06866,21.75826,23.26012,24.53671,25.81329,26.54545,27.10865,27.69062,27.95345,28.42278,28.38523,27.74694,26.99601,26.92092,26.43281,25.88838,25.58801,24.70567,24.16124,24.08615,23.76700,23.50417,23.03484,22.82834,22.47164,21.94599,22.05863,22.28391,21.85212,21.77703,22.17127,22.47164,22.34023,22.86588,23.89841,25.17500,25.96348,27.35270,29.07984,31.82075,34.99343,38.65423,40.64420,41.97710,42.25870,42.01465,41.28249,40.30628,39.02969,38.35386,37.43396,36.13861,35.31258,34.61797,33.36016,31.80197,30.18747,28.98598,27.22129,26.09489,24.85585,23.27889,21.55175,20.14375,19.20509,18.84840,18.17256
2015,Cronulla 132_11kV,05MAY2014,MW,18.17256,17.62813,16.76456,16.42664,16.91475,16.16381,15.58184,15.22515,14.71827,14.56808,14.21139,14.04243,13.64819,13.38536,13.21640,13.21640,13.44168,13.42291,13.68574,14.24894,14.99987,15.91976,16.85843,18.30397,20.51922,22.82834,25.25009,27.05233,28.68561,30.39398,30.93840,31.08859,30.86331,30.07483,28.96720,27.82203,26.63932,25.92593,25.23132,24.51793,23.82332,23.33521,22.71570,22.22759,21.83335,21.60807,21.32647,21.11996,21.27015,21.06364,20.81959,20.76327,20.25639,20.29394,20.23762,20.08743,20.27517,20.25639,20.40658,20.21885,20.53799,20.76327,21.19506,21.77703,22.52796,23.33521,24.72444,26.65809,29.54918,32.87205,37.05850,39.34884,40.71929,42.10852,42.52153,42.25870,41.41390,40.38137,39.68676,38.39140,37.47151,36.13861,34.80570,34.05477,32.79696,31.91461,31.08859,28.91089,27.59675,25.68188,23.91719,22.28391,20.63186,19.50546,18.97981,17.98482
2015,Cronulla 132_11kV,06MAY2014,MW,18.28520,17.64690,16.89597,16.27645,17.19634,16.63315,15.93853,15.33779,14.77459,14.39912,14.09875,14.00488,13.70451,13.49800,13.36659,13.51678,13.49800,13.27272,13.59187,13.92979,14.84968,15.63816,16.55805,18.17256,20.18130,22.69692,24.57425,26.93969,28.19750,30.01851,30.20624,30.41275,29.99974,28.94843,27.80326,27.07110,25.83206,24.85585,24.29265,23.72945,22.79079,22.39655,21.81458,21.42034,21.13874,20.89469,20.98855,20.98855,20.55677,20.21885,20.16253,20.44413,20.04989,19.67442,19.89970,19.84338,19.88093,19.73074,19.82461,19.76829,20.01234,20.25639,20.70695,21.96476,23.27889,24.63057,25.79452,26.82705,29.26758,32.59045,35.40645,37.77188,39.33007,40.00591,40.73807,40.81316,39.70553,38.89828,38.29754,37.24623,36.00719,34.78693,34.03600,32.98469,31.37019,30.43152,29.30512,27.70939,26.41404,24.78076,23.09116,21.40156,19.80583,18.79208,18.54802,17.74077
2015,Cronulla 132_11kV,07MAY2014,MW,17.60936,17.12125,16.67069,15.95731,16.74579,16.03240,15.63816,15.07496,14.68072,14.26771,14.15507,13.70451,13.38536,13.32904,13.27272,12.99112,13.08499,13.10376,13.31027,13.61064,14.39912,15.46920,16.31400,18.04114,20.01234,22.32146,24.29265,26.26385,27.61553,28.49787,29.06107,28.98598,28.89211,28.15995,26.78950,25.94470,24.74321,23.84209,23.54172,23.20380,22.56551,22.17127,21.70194,21.45788,20.70695,20.42535,20.25639,20.06866,20.08743,20.03111,20.14375,20.27517,20.03111,19.93725,19.88093,20.03111,19.82461,19.88093,20.10621,19.95602,20.08743,20.20007,20.81959,21.45788,22.09618,22.82834,24.08615,25.88838,28.77947,32.66555,35.78191,38.03471,39.48025,40.28751,40.55033,40.43769,39.55535,38.54159,37.79066,36.73935,35.59418,34.73061,33.51034,32.57168,31.65179,30.52539,29.53040,27.74694,26.48913,24.91217,23.56049,21.77703,20.44413,19.46791,18.92349,18.11624
2015,Cronulla 132_11kV,08MAY2014,MW,18.21010,17.47794,16.97107,16.31400,17.06493,16.55805,15.80712,15.13128,14.86846,14.15507,13.72328,13.61064,13.40414,13.08499,12.93481,12.93481,13.14131,13.06622,13.19763,13.66696,14.49299,15.24392,16.20136,17.72200,19.74951,21.72071,23.74823,25.47537,26.65809,28.40401,28.94843,28.83579,28.57297,27.80326,26.67686,25.47537,24.55548,24.02983,23.41031,22.62183,22.60306,22.07740,21.34524,21.40156,21.43911,21.06364,21.00732,21.19506,21.43911,21.32647,21.32647,20.72573,20.95101,21.40156,21.32647,21.36402,20.96978,21.06364,20.80082,20.95101,20.91346,20.76327,21.10119,21.72071,22.43410,23.46663,24.14247,25.73820,28.66683,32.29008,34.99343,36.83322,38.07226,38.97337,39.31129,38.56036,38.16612,37.65924,36.64549,35.65050,34.80570,33.82949,33.05978,32.13989,30.91963,29.86832,29.34267,27.76571,26.99601,25.73820,23.29767,21.70194,20.81959,19.16754,18.94226,17.98482
2015,Cronulla 132_11kV,09MAY2014,MW,18.05992,17.47794,16.78333,17.06493,17.10248,16.57683,15.28147,14.66195,14.28648,14.90600,14.06120,14.30526,13.46046,13.42291,13.21640,12.85971,13.25395,13.10376,13.38536,13.81715,14.56808,15.35656,16.33277,17.60936,19.52423,21.70194,23.27889,23.27889,23.78577,24.72444,25.02481,25.53169,25.56924,24.89340,24.36775,24.08615,23.63559,22.92220,22.99729,22.47164,21.81458,21.34524,21.00732,20.72573,20.72573,20.46290,20.40658,20.06866,19.93725,19.82461,19.97479,19.67442,19.20509,19.16754,19.35527,19.50546,19.44914,19.50546,19.56178,19.61810,19.89970,20.46290,20.76327,21.21383,21.43911,22.41532,23.78577,24.96849,27.31515,29.71814,31.61424,32.89083,33.41648,33.58544,33.77317,33.07856,32.62800,32.00848,31.25755,30.28134,29.69936,29.13616,28.44155,27.65307,26.93969,26.07612,25.68188,24.93095,24.55548,23.52295,22.90343,21.45788,26.28262,25.86961,25.56924,24.14247
2015,Cronulla 132_11kV,10MAY2014,MW,23.18503,22.00231,20.55677,21.34524,23.27889,23.41031,21.75826,19.97479,18.58557,19.09245,17.36530,17.23389,16.06995,15.20637,14.56808,14.07998,13.85470,13.36659,13.31027,13.53555,13.85470,14.09875,14.38035,14.90600,15.82589,16.91475,18.21010,18.24765,19.28018,20.57554,21.79580,22.65938,23.48540,23.74823,24.72444,24.79953,24.48039,24.38652,24.10492,23.69191,23.14748,22.67815,22.13372,21.83335,21.58930,21.23260,21.06364,20.87591,20.85714,20.55677,20.16253,20.03111,19.86215,19.89970,19.88093,20.12498,20.16253,20.18130,20.33149,20.96978,21.27015,21.66439,22.43410,22.94098,23.89841,25.13745,26.32017,27.52166,28.74193,30.78822,32.12112,32.53413,32.70309,32.59045,32.40272,31.44528,30.56294,29.53040,28.44155,27.76571,27.05233,26.60177,26.22630,25.49414,24.70567,23.97351,23.65436,23.01607,22.71570,21.77703,21.30770,20.46290,25.36273,24.94972,25.08113,23.65436
2015,Cronulla 132_11kV,11MAY2014,MW,23.12871,22.09618,20.96978,21.73948,23.54172,23.31644,22.09618,20.55677,18.88594,19.41159,17.96605,17.66568,16.52051,15.30024,14.58686,14.04243,13.53555,13.40414,13.40414,13.19763,13.17886,13.46046,13.57310,13.87347,14.49299,15.13128,15.95731,15.88221,16.57683,17.75954,18.81085,20.33149,21.55175,22.17127,22.94098,23.20380,23.74823,23.91719,23.57927,23.41031,23.27889,22.82834,22.88466,22.43410,22.02108,22.34023,22.11495,21.79580,21.40156,21.45788,20.93223,20.40658,20.20007,20.01234,19.56178,19.50546,19.35527,19.28018,19.24263,19.54301,19.67442,19.61810,20.06866,20.33149,20.76327,21.43911,22.50919,23.95473,25.60678,27.82203,30.14992,31.37019,31.67056,31.93339,31.85829,31.08859,30.37520,29.60550,29.17371,28.57297,27.67185,27.85958,27.33393,26.28262,25.55046,24.44284,23.80455,22.60306,22.15250,21.06364,20.38781,18.97981,23.72945,23.46663,23.44785,22.30268
2015,Cronulla 132_11kV,12MAY2014,MW,21.77703,20.96978,19.63687,20.50045,22.45287,22.60306,21.23260,19.86215,18.64189,19.28018,17.81586,17.51549,16.50173,15.43165,14.64318,14.36158,14.26771,14.17384,13.91102,14.07998,14.56808,15.22515,16.12627,17.64690,19.09245,21.21383,22.77202,22.69692,23.18503,24.36775,24.70567,24.59303,24.34897,24.16124,23.65436,23.07239,22.56551,22.09618,21.51420,21.45788,21.19506,20.72573,20.55677,20.16253,20.14375,19.93725,19.63687,19.74951,19.76829,19.71197,19.78706,19.74951,19.67442,19.54301,19.46791,19.37405,19.43037,19.44914,19.44914,19.48669,19.58055,19.65565,20.16253,20.36903,20.96978,22.11495,23.03484,24.36775,26.86460,29.62427,32.47781,33.92336,34.95589,35.57541,35.68805,35.23749,33.90458,32.90960,31.95216,31.12613,30.09360,28.96720,28.17873,27.61553,26.52668,25.75697,24.96849,23.74823,22.92220,21.45788,20.78205,19.35527,23.99228,23.57927,23.46663,22.35900
2015,Cronulla 132_11kV,13MAY2014,MW,21.25138,20.33149,19.09245,19.76829,21.77703,21.90844,20.51922,18.86717,17.36530,17.89096,16.53928,16.20136,15.22515,14.41790,13.87347,13.27272,12.97235,12.78462,12.70953,12.93481,13.46046,14.60563,16.12627,17.47794,19.48669,21.66439,23.31644,23.20380,23.54172,24.46161,25.09990,24.83708,24.59303,24.16124,23.39153,22.92220,22.13372,21.55175,21.40156,21.13874,20.61309,20.29394,20.18130,19.91847,19.65565,19.31773,19.52423,20.03111,20.10621,20.08743,19.88093,19.63687,19.16754,18.99858,19.01735,19.03613,19.33650,19.24263,19.35527,19.11122,19.16754,19.44914,19.73074,20.21885,21.04487,21.53298,22.60306,23.91719,25.90716,29.00475,31.52037,32.90960,33.77317,34.58042,34.46778,34.07354,33.43525,32.89083,32.30885,31.33264,30.26256,29.66182,28.79825,27.70939,26.73318,25.92593,25.26886,23.97351,23.37276,22.17127,21.11996,19.78706,24.21756,24.02983,24.16124,22.65938
2015,Cronulla 132_11kV,14MAY2014,MW,21.62684,20.57554,19.26141,20.18130,21.87090,21.88967,20.38781,18.79208,17.36530,17.98482,16.25768,16.27645,15.11251,14.34280,13.57310,13.32904,13.04744,12.95358,12.93481,13.29150,14.02366,14.90600,15.58184,16.97107,19.44914,22.26514,24.04860,23.84209,24.64935,25.77574,25.66310,24.96849,24.83708,24.46161,23.59804,23.09116,22.50919,21.87090,21.62684,21.47666,21.00732,20.40658,20.10621,19.89970,19.63687,19.61810,19.56178,19.37405,19.16754,19.16754,18.92349,19.09245,19.09245,19.26141,19.09245,19.14877,19.11122,19.05490,19.12999,19.33650,19.35527,19.52423,19.97479,20.70695,21.08242,21.85212,22.77202,24.19879,26.37649,29.19248,31.46405,33.07856,33.54789,33.82949,33.86704,33.69808,32.85328,32.34640,31.70811,31.01349,30.03728,29.34267,28.46033,27.91590,26.80828,25.75697,25.11868,23.80455,23.42908,22.00231,21.08242,19.76829,24.51793,24.01105,24.18001,22.71570
2015,Cronulla 132_11kV,15MAY2014,MW,21.94599,20.87591,19.54301,20.40658,22.20882,22.19004,20.59431,18.92349,17.47794,18.13501,16.59560,16.53928,15.41288,14.60563,13.81715,13.40414,13.23518,13.06622,13.19763,13.46046,14.15507,14.99987,15.90099,17.70322,19.91847,22.03986,23.54172,23.42908,24.06737,25.09990,25.21254,25.45660,25.23132,24.87463,23.80455,23.22257,22.41532,21.75826,21.60807,21.47666,21.19506,20.85714,20.33149,19.99357,19.76829,19.59933,19.18631,19.37405,19.14877,19.11122,18.92349,18.82962,18.81085,18.64189,18.73576,18.77330,18.94226,18.84840,18.94226,19.05490,19.28018,19.22386,19.58055,20.14375,20.68818,21.47666,22.32146,23.87964,25.79452,28.64806,31.25755,32.38395,33.02224,33.52912,33.22874,33.11610,32.30885,31.91461,31.38896,30.52539,29.94342,29.36144,28.64806,27.84081,26.84582,25.92593,25.21254,24.08615,23.67313,22.39655,21.64562,20.21885,24.83708,24.51793,24.27388,22.88466
2015,Cronulla 132_11kV,16MAY2014,MW,22.17127,21.00732,19.82461,20.53799,22.37778,22.28391,20.89469,19.24263,17.96605,18.49170,16.89597,16.68947,15.31901,14.28648,13.79838,13.53555,13.49800,13.36659,13.32904,13.70451,14.43667,15.01864,15.91976,17.08370,18.99858,21.19506,23.44785,23.71068,24.53671,25.30641,26.07612,26.37649,25.64433,24.83708,24.04860,23.72945,23.29767,22.47164,22.09618,21.83335,21.51420,20.89469,20.68818,20.29394,20.18130,20.20007,19.97479,19.78706,19.56178,19.58055,19.46791,19.12999,18.97981,19.01735,19.07367,19.03613,19.18631,19.01735,19.07367,19.22386,19.26141,19.56178,19.99357,20.48167,21.06364,21.66439,22.41532,23.86087,25.66310,28.44155,30.45030,31.35141,31.85829,32.23376,32.42149,31.85829,31.08859,30.56294,29.77446,29.04230,28.23505,27.67185,27.03355,26.84582,25.62556,24.64935,24.27388,23.48540,23.22257,22.20882,21.92722,20.57554,25.36273,24.93095,25.40028,24.02983
2015,Cronulla 132_11kV,17MAY2014,MW,23.20380,22.28391,20.81959,21.66439,23.29767,23.20380,21.55175,20.10621,18.67944,18.94226,17.36530,17.04616,15.71325,15.16883,14.45544,13.96734,13.76083,13.27272,12.99112,13.23518,13.55432,13.76083,13.89224,14.45544,15.52552,16.63315,17.59058,17.72200,18.62312,20.18130,21.42034,22.11495,23.22257,23.72945,23.97351,23.89841,24.02983,23.57927,23.50417,23.05361,22.65938,22.00231,21.85212,21.43911,21.02610,21.00732,20.59431,20.40658,20.31271,20.29394,20.12498,20.08743,20.16253,19.80583,19.63687,19.74951,19.69319,19.76829,19.91847,20.23762,20.31271,20.65063,21.04487,21.55175,22.28391,22.86588,23.82332,25.64433,27.40902,29.60550,30.90086,31.29509,31.46405,31.16368,30.73190,30.03728,28.98598,28.34769,27.44657,26.48913,26.09489,25.70065,25.23132,24.66812,24.08615,23.42908,23.09116,22.37778,22.09618,21.38279,21.13874,19.91847,24.76199,24.42407,24.76199,23.52295
2015,Cronulla 132_11kV,18MAY2014,MW,22.80956,21.98354,20.61309,21.49543,23.27889,23.29767,22.00231,20.63186,19.18631,19.69319,18.11624,17.81586,16.46419,15.52552,14.73704,14.23016,13.61064,13.49800,13.27272,13.02867,13.12254,13.31027,13.76083,13.92979,14.58686,15.03741,15.61939,15.88221,16.40787,17.72200,18.90472,19.86215,21.13874,21.87090,22.69692,23.22257,23.69191,24.12369,23.93596,23.95473,23.69191,23.84209,23.61681,23.41031,22.75324,22.28391,22.39655,22.03986,21.73948,22.05863,21.40156,20.87591,20.74450,20.63186,20.44413,20.31271,20.46290,20.46290,20.29394,20.20007,20.51922,20.50045,20.55677,21.10119,22.22759,23.09116,24.36775,26.32017,28.15995,30.67558,32.49659,33.56666,34.12986,34.39269,34.20496,33.51034,32.38395,31.42651,30.56294,29.62427,28.74193,28.02854,27.55921,26.88337,25.81329,24.64935,23.56049,22.32146,22.11495,21.10119,20.18130,18.73576,23.54172,23.37276,23.52295,22.07740
2015,Cronulla 132_11kV,19MAY2014,MW,21.55175,20.85714,19.91847,20.53799,22.39655,22.62183,21.40156,20.01234,19.01735,19.56178,18.22888,17.89096,16.74579,15.82589,14.86846,14.28648,13.98611,13.68574,13.53555,13.61064,14.41790,15.30024,16.05117,17.47794,19.39282,21.47666,23.31644,23.14748,24.14247,24.74321,25.08113,25.47537,25.56924,25.19377,24.64935,23.99228,23.24135,22.50919,22.11495,21.66439,21.36402,21.17628,20.72573,20.21885,20.25639,20.40658,19.91847,19.58055,19.44914,19.37405,19.29895,19.33650,19.18631,19.33650,19.48669,19.28018,19.03613,19.22386,19.35527,19.31773,19.29895,19.41159,19.93725,20.40658,20.93223,21.55175,22.71570,24.42407,26.78950,29.84955,31.95216,33.13488,34.22373,34.59920,34.88080,34.54288,33.51034,32.64677,32.21499,30.99472,29.58672,28.85457,28.27259,27.33393,26.28262,25.70065,25.06236,23.57927,23.03484,21.60807,21.06364,19.46791,24.12369,23.57927,23.76700,22.34023
2015,Cronulla 132_11kV,20MAY2014,MW,21.40156,20.53799,19.48669,20.27517,22.35900,22.64060,21.19506,19.67442,18.30397,18.94226,17.42162,17.08370,15.84467,14.88723,14.36158,13.98611,13.91102,13.68574,13.51678,14.00488,14.62440,15.26269,16.14504,17.51549,19.18631,21.53298,22.99729,22.86588,23.37276,24.06737,24.98726,24.89340,24.48039,24.12369,23.61681,23.05361,22.26514,21.92722,21.53298,21.15751,20.61309,20.36903,20.01234,19.80583,19.59933,19.39282,19.54301,19.48669,19.52423,19.31773,19.11122,19.12999,19.22386,18.97981,18.94226,18.97981,19.05490,18.96104,18.94226,19.24263,19.41159,19.41159,20.16253,20.57554,21.49543,22.47164,23.78577,25.75697,27.82203,29.90587,31.65179,33.04101,33.82949,34.22373,34.31760,33.82949,32.72187,32.29008,31.70811,30.91963,30.11238,28.92966,27.97222,27.46534,26.65809,25.58801,24.81831,23.48540,23.12871,21.66439,21.08242,19.43037,,23.86087,23.84209,22.35900
2015,Cronulla 132_11kV,21MAY2014,MW,21.51420,20.61309,19.18631,20.36903,22.35900,,21.34524,19.69319,18.39784,18.84840,17.30898,17.17757,15.99485,15.01864,14.30526,13.96734,13.81715,13.53555,13.66696,13.81715,14.45544,15.30024,16.23891,17.47794,18.99858,21.27015,22.75324,22.26514,23.07239,24.18001,24.53671,24.49916,24.21756,23.87964,23.01607,22.39655,22.49042,22.02108,21.57052,21.28892,20.89469,20.53799,19.89970,19.71197,19.61810,19.59933,19.37405,19.48669,19.43037,19.52423,19.50546,19.33650,19.14877,19.05490,19.05490,18.90472,19.11122,19.28018,19.20509,19.37405,19.28018,19.71197,20.10621,20.66941,21.15751,21.88967,22.64060,24.27388,26.20753,28.96720,31.18245,32.45904,33.30384,33.69808,33.69808,33.32261,32.38395,31.72688,31.12613,30.56294,29.58672,28.72315,28.12241,27.20251,26.20753,25.28764,24.38652,23.59804,22.94098,21.72071,20.78205,19.43037,24.29265,23.84209,23.93596,22.60306
2015,Cronulla 132_11kV,22MAY2014,MW,21.55175,20.83837,19.63687,20.33149,22.37778,22.64060,21.27015,19.50546,18.17256,18.73576,16.91475,16.68947,15.41288,14.58686,14.11752,13.77960,13.64819,13.47923,13.61064,13.91102,14.43667,15.09373,16.25768,17.38408,19.28018,21.40156,23.16625,22.65938,23.27889,24.25511,24.81831,24.81831,24.64935,24.31143,23.63559,23.03484,22.45287,21.90844,21.23260,21.15751,20.66941,20.25639,20.25639,19.91847,19.65565,19.44914,19.41159,19.22386,19.26141,19.26141,19.18631,19.07367,18.97981,19.09245,18.90472,19.12999,19.11122,19.24263,19.22386,19.37405,19.65565,19.80583,19.99357,20.29394,20.72573,21.45788,22.45287,24.14247,26.07612,28.51665,30.22502,31.27632,32.17744,32.55291,32.40272,32.06480,31.40773,30.97595,30.39398,29.94342,29.09862,28.51665,27.69062,27.16497,26.18876,25.28764,24.68689,23.76700,23.14748,21.87090,21.28892,19.82461,24.53671,24.25511,24.44284,23.20380
2015,Cronulla 132_11kV,23MAY2014,MW,22.22759,21.25138,19.99357,20.57554,22.26514,22.45287,20.95101,19.43037,17.89096,18.30397,16.82088,16.55805,15.09373,14.51176,13.77960,13.40414,13.42291,13.59187,13.96734,14.69950,15.75080,16.53928,16.63315,17.89096,19.29895,21.13874,23.18503,22.67815,23.31644,24.23633,25.00604,24.91217,24.49916,24.08615,23.65436,22.79079,22.52796,22.02108,21.96476,21.55175,21.13874,20.81959,20.51922,20.65063,20.12498,19.71197,19.82461,19.67442,19.61810,19.50546,19.37405,19.26141,19.31773,19.29895,19.03613,18.92349,19.43037,19.35527,19.50546,19.59933,19.56178,19.80583,19.95602,20.68818,21.42034,22.34023,23.05361,24.53671,25.96348,28.44155,30.33766,31.31387,31.67056,31.82075,31.78320,31.48283,30.60048,30.03728,29.64304,29.26758,28.31014,27.48411,26.73318,26.01980,25.55046,24.74321,24.14247,23.26012,23.18503,22.11495,21.70194,20.48167,25.23132,24.63057,24.61180,23.42908
2015,Cronulla 132_11kV,24MAY2014,MW,22.58428,21.64562,20.04989,21.08242,23.31644,23.39153,21.98354,20.27517,18.58557,19.03613,17.27144,17.19634,15.76957,15.11251,14.54931,14.06120,13.61064,13.51678,13.51678,13.51678,13.51678,13.83592,14.34280,14.75582,15.60061,16.55805,17.68445,17.87218,18.69821,19.89970,21.04487,22.13372,22.88466,23.26012,23.39153,23.22257,23.48540,23.37276,23.42908,23.10993,22.77202,22.50919,22.19004,22.00231,21.62684,21.60807,21.45788,21.19506,20.96978,21.10119,21.00732,21.04487,21.04487,20.70695,20.59431,20.61309,20.55677,20.85714,20.96978,21.25138,21.21383,21.77703,22.35900,22.47164,23.09116,23.71068,24.79953,26.43281,27.72817,29.60550,30.90086,31.59547,31.23877,30.97595,30.41275,29.64304,28.36646,27.82203,27.27761,26.43281,25.88838,25.17500,24.59303,24.01105,23.26012,22.60306,22.39655,21.94599,22.13372,21.10119,20.95101,19.74951,24.91217,24.42407,24.81831,23.54172
2015,Cronulla 132_11kV,25MAY2014,MW,22.77202,21.90844,20.70695,21.57052,23.57927,23.57927,22.15250,20.48167,19.22386,19.58055,18.05992,17.55304,16.57683,15.61939,14.88723,14.54931,14.26771,13.81715,13.66696,13.64819,13.87347,13.91102,14.09875,14.43667,14.79336,15.03741,15.61939,15.67571,16.40787,17.45917,18.52925,19.35527,20.33149,21.32647,22.00231,22.84711,23.31644,23.12871,23.46663,23.22257,22.97852,22.79079,22.41532,22.02108,22.34023,22.05863,21.96476,21.73948,21.70194,21.58930,21.47666,21.38279,20.91346,20.66941,20.35026,20.35026,20.33149,20.36903,20.51922,20.68818,20.91346,21.02610,21.36402,21.51420,21.90844,22.64060,23.84209,25.45660,27.87835,30.31888,32.06480,32.92837,32.92837,32.96592,32.51536,31.61424,30.90086,29.81200,28.92966,28.12241,27.39025,27.12742,26.45158,25.64433,24.96849,24.01105,23.12871,21.92722,21.60807,20.51922,19.76829,18.64189,23.48540,23.48540,23.65436,22.34023
2015,Cronulla 132_11kV,26MAY2014,MW,21.51420,20.91346,19.71197,20.53799,22.47164,22.82834,21.58930,19.93725,18.39784,19.20509,17.60936,17.15880,16.14504,15.39411,14.56808,14.00488,13.87347,13.68574,13.46046,13.81715,14.47422,15.15005,16.27645,17.53426,19.20509,21.42034,23.12871,22.56551,23.03484,24.19879,24.55548,24.83708,24.98726,24.34897,23.84209,22.92220,22.41532,22.02108,21.73948,21.27015,21.15751,20.85714,20.50045,20.12498,20.29394,20.12498,19.99357,20.12498,20.08743,20.23762,20.14375,19.63687,19.56178,19.63687,19.56178,19.86215,19.97479,20.16253,19.82461,19.89970,20.08743,20.42535,20.76327,21.27015,22.07740,22.69692,24.18001,26.07612,28.27259,30.91963,32.77819,33.62298,33.81072,34.18618,33.92336,33.62298,32.55291,31.80197,31.08859,30.13115,28.96720,27.91590,27.40902,27.05233,25.71942,24.87463,24.44284,23.42908,22.94098,21.68316,20.70695,19.39282,24.25511,23.78577,23.72945,22.58428
