year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Terrey Hills 33_11kV,01MAY2017,MW,4.74961,4.73113,4.56480,4.52784,4.74961,4.67569,4.54632,4.43544,4.47240,4.32455,4.19518,4.25063,4.25063,4.12126,4.13974,4.13974,4.17670,4.13974,4.36151,4.41695,4.60176,4.67569,4.97138,5.30404,5.96936,6.37594,6.91189,7.09670,7.57720,7.66961,7.81746,7.87290,8.16859,8.42733,8.35340,8.61214,8.77847,8.85239,8.74150,9.03720,8.87087,8.79695,8.68606,8.81543,8.75999,8.79695,8.63062,8.50125,8.74150,8.46429,8.40885,8.55669,8.72302,8.70454,8.77847,8.68606,8.83391,8.85239,8.63062,8.66758,8.55669,8.98176,8.85239,8.72302,8.57518,8.63062,8.63062,8.63062,8.50125,8.42733,8.57518,8.40885,7.89138,7.65113,7.55872,7.48480,7.35543,7.28151,7.00429,6.80100,6.76404,6.74556,6.57923,6.43138,6.26505,6.11721,6.15417,5.85847,5.82151,5.80303,5.59974,5.41493,5.26708,5.02683,5.06379,4.95290
2018,Terrey Hills 33_11kV,02MAY2017,MW,4.93442,4.78657,4.67569,4.67569,4.97138,4.86050,4.84202,4.62025,4.54632,4.49088,4.50936,4.39847,4.39847,4.41695,4.32455,4.30607,4.32455,4.34303,4.47240,4.54632,4.73113,4.78657,5.00835,5.54429,6.06176,6.28353,6.61619,6.87493,7.20758,7.59568,7.72505,7.85442,8.29796,8.20556,8.16859,8.31644,8.66758,8.64910,8.59366,8.55669,8.63062,8.70454,8.75999,8.61214,8.61214,8.77847,8.90783,8.75999,8.68606,8.94480,8.90783,9.11112,9.12961,8.98176,9.12961,9.18505,9.01872,9.01872,8.77847,8.81543,8.79695,8.92631,8.74150,8.77847,8.81543,8.68606,8.64910,8.59366,8.61214,8.55669,8.64910,8.37188,8.22404,8.24252,8.07619,7.85442,7.65113,7.37391,7.28151,7.26303,7.09670,7.00429,6.87493,6.69012,6.50531,6.33898,6.22809,6.09872,6.06176,6.08024,5.91391,5.65518,5.52581,5.21164,5.11923,5.04531
2018,Terrey Hills 33_11kV,03MAY2017,MW,4.97138,4.84202,4.71265,4.76809,5.02683,4.93442,4.67569,4.65721,4.58328,4.45392,4.47240,4.45392,4.47240,4.47240,4.47240,4.45392,4.50936,4.49088,4.60176,4.60176,4.69417,4.78657,5.06379,5.54429,6.09872,6.41290,6.83796,7.22606,7.59568,7.81746,8.13163,8.18708,8.35340,8.31644,8.16859,8.55669,8.81543,9.07416,9.05568,9.09264,9.05568,9.31441,9.31441,9.44378,9.36986,9.38834,9.36986,9.38834,9.61011,9.46226,9.46226,9.29593,9.46226,9.51771,9.36986,9.40682,9.31441,9.14809,8.87087,8.90783,8.94480,9.00024,9.09264,9.05568,9.12961,9.11112,9.00024,8.98176,9.14809,9.18505,9.16657,8.94480,8.88935,8.77847,8.75999,8.61214,8.26100,8.05771,7.90986,7.70657,7.70657,7.61416,7.46632,7.18910,6.94885,6.69012,6.54227,6.20961,6.19113,6.20961,6.00632,5.67366,5.59974,5.37797,5.34100,5.21164
2018,Terrey Hills 33_11kV,04MAY2017,MW,5.13771,5.02683,4.93442,4.84202,5.17467,5.04531,4.95290,4.80506,4.76809,4.67569,4.62025,4.63873,4.60176,4.43544,4.47240,4.41695,4.49088,4.54632,4.62025,4.78657,4.89746,5.00835,5.23012,5.54429,6.15417,6.54227,7.07822,7.61416,7.94682,8.00227,8.27948,8.35340,8.42733,8.66758,8.83391,8.96328,9.00024,9.05568,8.77847,8.74150,8.90783,9.14809,9.03720,9.09264,9.35138,9.46226,9.38834,9.25897,9.24049,9.27745,9.09264,9.16657,9.25897,9.29593,9.38834,9.33290,9.31441,9.11112,9.07416,9.03720,9.18505,9.00024,8.88935,8.85239,8.70454,8.77847,8.83391,8.77847,8.77847,9.01872,9.03720,9.07416,8.98176,8.94480,8.90783,8.61214,8.40885,8.35340,8.09467,7.96530,7.90986,7.83594,7.76201,7.52176,7.05974,6.67163,6.61619,6.35746,6.17265,6.02480,5.87695,5.71062,5.50733,5.32252,5.30404,5.21164
2018,Terrey Hills 33_11kV,05MAY2017,MW,5.06379,4.93442,4.86050,4.84202,4.98987,4.97138,4.76809,4.74961,4.63873,4.56480,4.50936,4.54632,4.50936,4.43544,4.43544,4.39847,4.39847,4.49088,4.54632,4.63873,4.84202,4.91594,5.23012,5.58126,6.19113,6.59771,6.98581,7.35543,7.87290,8.03923,8.20556,8.48277,8.55669,8.64910,8.83391,8.85239,8.81543,8.77847,8.68606,8.77847,8.85239,8.90783,8.72302,8.55669,8.55669,8.77847,8.79695,8.68606,8.51973,8.50125,8.55669,8.64910,8.55669,8.79695,8.63062,8.74150,8.72302,8.70454,8.50125,8.61214,8.55669,8.63062,8.46429,8.42733,8.40885,8.40885,8.33492,8.42733,8.35340,8.50125,8.55669,8.29796,7.92834,7.90986,7.76201,7.59568,7.44784,7.33695,7.07822,6.98581,6.80100,6.76404,6.61619,6.50531,6.32050,6.24657,6.30201,6.11721,6.09872,6.02480,5.87695,5.72910,5.59974,5.39645,5.32252,5.08227
2018,Terrey Hills 33_11kV,06MAY2017,MW,4.97138,4.86050,4.78657,4.80506,5.04531,4.91594,4.76809,4.69417,4.60176,4.49088,4.34303,4.39847,4.36151,4.34303,4.28759,4.28759,4.28759,4.28759,4.28759,4.39847,4.58328,4.67569,4.82354,4.89746,5.13771,5.15619,5.13771,5.39645,5.56278,5.82151,5.93240,6.00632,6.28353,6.33898,6.61619,6.56075,6.59771,6.65315,6.80100,6.67163,6.78252,6.46834,6.24657,6.41290,6.30201,6.24657,6.20961,6.06176,6.08024,6.13569,6.06176,6.02480,6.00632,6.15417,6.13569,5.93240,6.06176,6.33898,6.37594,6.20961,6.04328,6.22809,6.48682,6.32050,,,,,,,,6.46834,6.43138,6.43138,6.35746,6.28353,6.20961,6.13569,5.95088,5.85847,5.80303,5.87695,5.91391,5.61822,5.50733,5.34100,5.35948,5.37797,5.34100,5.43341,5.26708,5.17467,5.08227,4.91594,5.04531,4.91594
2018,Terrey Hills 33_11kV,07MAY2017,MW,4.95290,4.87898,4.95290,4.80506,4.93442,4.87898,4.65721,4.58328,4.49088,4.43544,4.34303,4.28759,4.17670,4.15822,4.21366,4.21366,4.17670,4.12126,4.10278,4.13974,4.25063,4.26911,4.36151,4.45392,4.50936,4.62025,4.71265,4.82354,4.86050,5.06379,5.13771,5.37797,5.43341,5.37797,5.52581,5.54429,5.59974,5.78455,5.89543,6.11721,5.96936,6.15417,6.11721,5.98784,5.85847,5.82151,5.78455,5.87695,5.83999,5.76607,5.89543,5.80303,5.72910,5.85847,5.80303,5.82151,5.82151,5.78455,5.78455,5.91391,5.93240,6.06176,6.00632,6.22809,6.19113,6.26505,6.48682,6.48682,6.46834,6.54227,6.65315,6.67163,6.70860,6.69012,6.69012,6.54227,6.35746,6.17265,6.06176,5.95088,5.91391,5.83999,5.83999,5.72910,5.65518,5.52581,5.48885,5.28556,5.30404,5.32252,5.15619,5.10075,4.97138,4.91594,4.84202,4.73113
2018,Terrey Hills 33_11kV,08MAY2017,MW,4.69417,4.63873,4.54632,4.58328,4.78657,4.76809,4.71265,4.60176,4.54632,4.43544,4.43544,4.34303,4.32455,4.30607,4.19518,4.19518,4.32455,4.28759,4.45392,4.60176,4.69417,4.74961,5.23012,5.76607,6.44986,6.81948,7.24454,7.48480,8.02075,8.29796,8.68606,9.00024,9.31441,9.40682,9.51771,9.68403,9.75796,9.77644,9.49922,9.33290,9.38834,9.42530,9.25897,9.22201,9.20353,8.94480,9.11112,9.09264,9.05568,8.92631,8.92631,8.88935,9.00024,9.11112,9.05568,8.96328,9.14809,8.94480,8.96328,8.88935,8.74150,8.81543,8.85239,8.87087,8.79695,8.81543,8.94480,8.96328,9.00024,9.25897,9.16657,8.72302,8.66758,8.70454,8.68606,8.55669,8.24252,8.16859,8.00227,7.87290,7.61416,7.63265,7.72505,7.26303,6.89341,6.67163,6.78252,6.44986,6.48682,6.28353,6.04328,5.63670,5.56278,5.30404,5.35948,5.24860
2018,Terrey Hills 33_11kV,09MAY2017,MW,5.19316,5.00835,4.89746,4.98987,5.13771,5.15619,4.97138,4.87898,4.80506,4.69417,4.65721,4.58328,4.54632,4.56480,4.54632,4.49088,4.54632,4.62025,4.78657,4.82354,4.98987,5.13771,5.41493,5.93240,6.57923,7.11518,7.54024,7.85442,8.33492,8.35340,8.77847,8.83391,9.11112,9.64707,9.77644,10.01669,9.99821,9.92429,9.68403,9.55467,9.48074,9.46226,9.68403,9.55467,9.29593,9.31441,9.12961,9.01872,8.98176,8.96328,8.88935,8.81543,9.07416,9.11112,9.24049,9.33290,9.05568,8.64910,8.87087,8.74150,8.85239,8.90783,8.81543,8.77847,8.75999,8.64910,8.77847,8.79695,8.87087,9.16657,9.18505,9.03720,8.74150,8.61214,8.61214,8.40885,8.09467,7.98378,7.76201,7.68809,7.50328,7.42935,7.41087,7.28151,7.02277,6.80100,6.70860,6.50531,6.43138,6.20961,5.95088,5.72910,5.52581,5.34100,5.30404,5.13771
2018,Terrey Hills 33_11kV,10MAY2017,MW,5.06379,4.98987,4.91594,4.93442,5.13771,5.13771,4.98987,4.86050,4.82354,4.69417,4.67569,4.54632,4.52784,4.52784,4.54632,4.47240,4.58328,4.63873,4.65721,4.74961,4.93442,5.10075,5.39645,5.95088,6.72708,7.09670,7.54024,7.92834,8.26100,8.70454,8.74150,8.88935,9.07416,9.22201,9.38834,9.53619,9.64707,9.59163,9.38834,9.16657,9.14809,9.16657,9.12961,9.20353,9.09264,8.90783,8.90783,8.96328,9.05568,9.03720,8.79695,8.92631,8.90783,8.79695,8.94480,8.92631,8.79695,8.90783,8.68606,8.81543,8.77847,8.81543,8.90783,8.79695,8.83391,8.79695,8.92631,9.00024,9.01872,9.29593,9.09264,8.94480,8.64910,8.64910,8.55669,8.53821,8.39037,8.18708,8.02075,7.92834,7.72505,7.59568,7.55872,7.24454,6.89341,6.61619,6.59771,6.48682,6.48682,6.56075,6.28353,5.93240,5.65518,5.48885,5.39645,5.24860
2018,Terrey Hills 33_11kV,11MAY2017,MW,5.13771,4.98987,4.98987,5.02683,5.17467,5.11923,5.06379,4.95290,4.86050,4.76809,4.69417,4.63873,4.62025,4.67569,4.63873,4.65721,4.65721,4.67569,4.82354,4.86050,4.93442,5.04531,5.43341,6.00632,6.61619,7.05974,7.54024,7.87290,8.29796,8.64910,8.81543,9.03720,9.14809,9.27745,9.40682,9.53619,9.55467,9.49922,9.40682,9.29593,9.24049,9.38834,9.36986,9.24049,9.07416,8.88935,9.01872,9.05568,9.00024,9.01872,8.74150,8.75999,8.92631,9.05568,9.20353,9.27745,9.24049,9.12961,8.83391,9.05568,9.03720,8.85239,8.74150,8.92631,8.92631,8.88935,8.79695,9.05568,9.01872,9.20353,9.42530,9.42530,9.31441,9.27745,9.20353,9.07416,8.68606,8.53821,8.48277,8.31644,8.22404,8.05771,7.96530,7.79897,7.33695,6.81948,6.80100,6.54227,6.48682,6.33898,6.15417,5.82151,5.65518,5.35948,5.35948,5.23012
2018,Terrey Hills 33_11kV,12MAY2017,MW,5.19316,5.10075,4.87898,4.97138,5.23012,5.13771,4.98987,4.87898,4.76809,4.69417,4.58328,4.60176,4.56480,4.62025,4.56480,4.58328,4.56480,4.60176,4.73113,4.84202,4.93442,5.08227,5.45189,5.95088,6.46834,6.80100,7.31847,7.76201,8.20556,8.39037,8.44581,8.68606,9.05568,9.12961,9.14809,9.38834,9.44378,9.35138,9.35138,9.48074,9.49922,9.46226,9.31441,9.27745,9.14809,9.16657,9.03720,9.11112,8.96328,8.96328,9.24049,9.01872,9.01872,9.07416,9.18505,9.24049,9.16657,9.38834,9.27745,9.29593,9.20353,9.09264,9.12961,9.09264,9.00024,9.14809,9.14809,9.16657,9.27745,9.40682,9.24049,8.87087,8.31644,8.07619,7.94682,7.92834,7.61416,7.54024,7.39239,7.20758,7.07822,7.05974,7.00429,6.80100,6.59771,6.46834,6.48682,6.37594,6.37594,6.35746,6.15417,5.83999,5.74759,5.47037,5.41493,5.28556
2018,Terrey Hills 33_11kV,13MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61619,6.59771,6.50531,6.54227,6.32050,6.43138,6.30201,6.32050,6.35746,6.24657,6.15417,6.24657,6.28353,6.37594,6.35746,6.32050,6.20961,6.06176,6.30201,6.33898,6.39442,6.43138,6.52379,6.43138,6.48682,6.46834,6.52379,6.72708,6.67163,6.74556,6.74556,6.78252,6.78252,6.70860,6.80100,6.63467,6.43138,6.28353,6.24657,6.24657,6.08024,5.95088,5.95088,5.72910,5.71062,5.61822,5.67366,5.50733,5.50733,5.43341,5.43341,5.30404,5.21164,5.13771,5.11923,5.02683
2018,Terrey Hills 33_11kV,14MAY2017,MW,4.97138,4.91594,4.76809,4.78657,4.93442,4.82354,4.71265,4.54632,4.43544,4.36151,4.32455,4.30607,4.21366,4.21366,4.15822,4.08430,4.12126,4.15822,4.12126,4.13974,4.30607,4.30607,4.45392,4.56480,4.74961,4.69417,4.76809,4.80506,4.87898,4.97138,5.34100,5.48885,5.67366,5.78455,5.87695,6.08024,5.98784,6.09872,6.32050,6.50531,6.74556,6.81948,7.09670,7.04125,7.05974,7.26303,7.18910,6.96733,6.96733,6.89341,6.93037,6.80100,6.72708,6.91189,6.85644,6.81948,6.76404,6.85644,6.78252,6.74556,6.93037,6.98581,6.87493,6.80100,6.87493,6.80100,6.94885,7.11518,7.05974,7.04125,6.89341,6.87493,6.89341,6.76404,6.83796,6.78252,6.44986,6.28353,6.20961,6.22809,6.11721,6.11721,6.02480,5.89543,5.82151,5.72910,5.69214,5.61822,5.63670,5.61822,5.45189,5.21164,5.23012,5.10075,5.13771,4.95290
2018,Terrey Hills 33_11kV,15MAY2017,MW,4.84202,4.78657,4.73113,4.67569,4.78657,4.78657,4.65721,4.58328,4.50936,4.47240,4.37999,4.32455,4.25063,4.25063,4.25063,4.21366,4.34303,4.36151,4.45392,4.62025,4.76809,4.86050,5.17467,5.54429,6.33898,6.85644,7.44784,7.65113,8.11315,8.51973,8.77847,9.14809,9.36986,9.44378,9.38834,9.57315,9.66555,9.64707,9.55467,9.62859,9.51771,9.25897,9.25897,9.25897,9.44378,9.22201,9.07416,8.98176,8.88935,9.07416,9.03720,9.03720,8.96328,9.18505,9.14809,8.87087,8.74150,8.70454,8.77847,8.87087,8.81543,8.83391,8.75999,8.83391,8.72302,8.92631,8.98176,8.94480,9.09264,9.27745,9.24049,8.98176,8.75999,8.51973,8.50125,8.29796,8.09467,7.92834,7.76201,7.59568,7.50328,7.46632,7.46632,7.17062,6.93037,6.80100,6.78252,6.50531,6.54227,6.50531,6.24657,5.96936,5.87695,5.59974,5.61822,5.50733
2018,Terrey Hills 33_11kV,16MAY2017,MW,5.24860,5.11923,5.08227,5.10075,5.32252,5.19316,5.19316,5.08227,5.02683,4.87898,4.84202,4.80506,4.73113,4.71265,4.71265,4.73113,4.76809,4.82354,4.93442,4.98987,5.13771,5.23012,5.58126,6.08024,6.76404,7.31847,7.79897,8.05771,8.55669,8.75999,9.09264,9.12961,9.35138,9.42530,9.68403,9.51771,9.36986,9.25897,9.20353,9.14809,9.18505,9.14809,9.11112,9.03720,9.01872,8.87087,8.77847,8.74150,8.88935,8.81543,8.57518,8.46429,8.81543,8.70454,8.88935,8.90783,8.72302,8.50125,8.66758,8.88935,8.68606,8.70454,8.59366,8.70454,8.70454,8.74150,8.72302,8.77847,8.96328,9.11112,9.03720,8.75999,8.57518,8.39037,8.29796,8.20556,7.90986,7.85442,7.68809,7.55872,7.52176,7.46632,7.29999,7.18910,6.94885,6.74556,6.78252,6.63467,6.46834,6.33898,6.02480,5.72910,5.63670,5.37797,5.30404,5.23012
2018,Terrey Hills 33_11kV,17MAY2017,MW,5.11923,5.04531,4.89746,4.98987,5.24860,5.15619,5.00835,4.95290,4.84202,4.74961,4.71265,4.67569,4.58328,4.67569,4.65721,4.65721,4.69417,4.67569,4.82354,4.89746,4.98987,5.11923,5.34100,5.91391,6.59771,7.17062,7.78049,8.09467,8.40885,8.64910,8.77847,9.03720,9.40682,9.48074,9.51771,9.61011,9.61011,9.64707,9.38834,9.25897,9.29593,9.20353,9.24049,9.16657,9.22201,9.14809,9.09264,9.05568,9.18505,9.20353,9.22201,8.94480,9.05568,8.92631,8.81543,8.90783,8.81543,8.64910,8.70454,8.64910,8.61214,8.70454,8.92631,8.85239,8.75999,8.92631,8.96328,8.96328,9.16657,9.48074,9.25897,9.01872,8.87087,8.64910,8.63062,8.42733,8.18708,8.02075,7.85442,7.72505,7.52176,7.48480,7.39239,7.00429,6.67163,6.54227,6.63467,6.41290,6.46834,6.39442,6.13569,5.72910,5.58126,5.32252,5.39645,5.24860
2018,Terrey Hills 33_11kV,18MAY2017,MW,5.19316,5.04531,4.97138,5.00835,5.23012,5.15619,5.04531,5.00835,4.91594,4.78657,4.63873,4.69417,4.69417,4.67569,4.67569,4.63873,4.69417,4.69417,4.76809,4.87898,5.00835,5.13771,5.35948,5.76607,6.48682,6.98581,7.55872,7.89138,8.29796,8.44581,8.59366,8.74150,8.98176,9.00024,8.96328,9.18505,9.51771,9.44378,9.29593,9.38834,9.38834,9.57315,9.42530,9.18505,9.09264,9.36986,9.25897,9.35138,9.16657,9.18505,8.88935,8.96328,8.94480,9.00024,9.07416,9.25897,9.16657,9.12961,9.22201,9.33290,9.18505,9.09264,9.29593,9.07416,9.16657,9.12961,9.03720,9.12961,9.12961,9.25897,9.07416,9.07416,8.96328,8.98176,8.90783,8.83391,8.50125,8.37188,8.11315,7.94682,7.85442,7.85442,7.76201,7.57720,7.07822,6.56075,6.54227,6.41290,6.43138,6.24657,6.06176,5.85847,5.65518,5.59974,5.65518,5.39645
2018,Terrey Hills 33_11kV,19MAY2017,MW,5.26708,5.19316,5.04531,4.98987,5.19316,5.06379,4.95290,4.82354,4.82354,4.74961,4.67569,4.60176,4.60176,4.63873,4.58328,4.62025,4.62025,4.60176,4.65721,4.71265,4.89746,4.97138,5.30404,5.71062,6.13569,6.43138,7.00429,7.26303,7.68809,7.92834,8.07619,8.29796,8.59366,8.77847,8.94480,9.33290,9.44378,9.36986,9.46226,9.55467,9.73948,9.62859,9.59163,9.53619,9.72100,9.85036,9.55467,9.36986,9.46226,9.55467,9.36986,9.42530,9.35138,9.55467,9.59163,9.42530,9.22201,9.38834,9.49922,9.49922,9.38834,9.35138,9.36986,9.22201,9.31441,9.33290,9.27745,9.27745,9.44378,9.40682,9.05568,8.66758,8.13163,8.02075,7.92834,7.72505,7.48480,7.35543,7.26303,7.09670,6.96733,6.85644,6.83796,6.69012,6.50531,6.44986,6.46834,6.30201,6.33898,6.19113,5.89543,5.76607,5.67366,5.48885,5.41493,5.21164
2018,Terrey Hills 33_11kV,20MAY2017,MW,5.17467,5.00835,4.86050,4.86050,5.15619,5.00835,4.87898,4.74961,4.71265,4.63873,4.54632,4.49088,4.47240,4.41695,4.39847,4.45392,4.37999,4.34303,4.39847,4.45392,4.62025,4.73113,4.69417,4.89746,4.91594,5.06379,5.32252,5.30404,5.63670,5.83999,5.82151,6.06176,6.35746,6.48682,6.70860,6.91189,7.09670,7.18910,7.13366,7.04125,7.05974,6.96733,6.94885,6.96733,6.87493,6.81948,7.07822,6.93037,6.81948,6.72708,6.72708,6.39442,6.37594,6.44986,6.37594,6.46834,6.41290,6.54227,6.41290,6.44986,6.69012,6.56075,6.46834,6.61619,6.80100,6.70860,7.26303,7.28151,6.81948,7.04125,6.96733,6.85644,6.93037,6.81948,6.63467,6.41290,6.22809,6.17265,6.24657,6.11721,5.98784,5.85847,5.76607,5.74759,5.59974,5.39645,5.45189,5.39645,5.48885,5.58126,5.50733,5.37797,5.37797,5.17467,5.10075,5.04531
2018,Terrey Hills 33_11kV,21MAY2017,MW,5.04531,4.86050,4.76809,4.67569,4.86050,4.84202,4.63873,4.56480,4.45392,4.37999,4.30607,4.26911,4.15822,4.15822,4.21366,4.15822,4.12126,4.10278,4.10278,4.21366,4.17670,4.19518,4.28759,4.41695,4.41695,4.63873,4.67569,4.60176,4.80506,4.98987,5.35948,5.48885,5.59974,5.63670,5.82151,6.00632,5.93240,5.96936,5.95088,6.20961,6.32050,6.24657,6.39442,6.15417,6.19113,5.93240,5.89543,6.08024,5.85847,6.09872,6.02480,5.98784,5.82151,6.04328,5.95088,6.13569,5.95088,5.98784,6.00632,6.11721,6.11721,6.11721,6.20961,6.33898,6.22809,6.30201,6.57923,6.72708,6.63467,6.63467,6.70860,6.76404,6.74556,6.74556,6.69012,6.65315,6.37594,6.28353,6.09872,6.06176,5.96936,5.91391,5.87695,5.71062,5.59974,5.43341,5.37797,5.35948,5.39645,5.37797,5.28556,5.13771,5.11923,4.87898,4.93442,4.89746
2018,Terrey Hills 33_11kV,22MAY2017,MW,4.82354,4.71265,4.62025,4.60176,4.84202,4.80506,4.60176,4.56480,4.54632,4.47240,4.41695,4.28759,4.25063,4.30607,4.21366,4.23214,4.28759,4.25063,4.36151,4.54632,4.73113,4.86050,5.11923,5.48885,6.15417,6.72708,7.17062,7.46632,7.98378,8.02075,8.31644,8.39037,8.75999,8.72302,8.77847,9.03720,9.01872,9.16657,9.16657,8.94480,9.00024,9.16657,9.25897,9.33290,8.94480,9.09264,9.01872,9.31441,9.40682,9.22201,8.98176,8.87087,9.11112,9.22201,9.25897,9.01872,8.94480,8.92631,8.90783,9.07416,9.03720,8.96328,8.98176,9.05568,8.87087,9.03720,9.05568,9.01872,9.12961,9.36986,9.07416,8.68606,8.42733,8.44581,8.31644,8.31644,8.09467,7.94682,7.72505,7.63265,7.44784,7.33695,7.24454,6.96733,6.67163,6.48682,6.50531,6.32050,6.35746,6.24657,6.04328,5.87695,5.69214,5.47037,5.47037,5.15619
2018,Terrey Hills 33_11kV,23MAY2017,MW,5.04531,5.00835,4.87898,4.87898,5.10075,4.97138,4.86050,4.74961,4.73113,4.69417,4.69417,4.67569,4.63873,4.54632,4.50936,4.45392,4.47240,4.49088,4.63873,4.65721,4.86050,4.98987,5.17467,5.58126,6.24657,6.56075,6.94885,7.15214,7.54024,7.68809,8.07619,8.27948,8.42733,8.66758,8.77847,8.90783,9.00024,9.18505,8.94480,8.77847,8.77847,9.03720,9.05568,9.18505,9.05568,8.88935,8.96328,8.92631,9.12961,8.87087,8.74150,8.88935,8.98176,9.12961,8.96328,9.05568,9.03720,9.05568,9.00024,8.90783,8.94480,8.98176,8.92631,8.85239,8.79695,8.85239,8.92631,8.90783,8.92631,9.05568,8.87087,8.48277,8.24252,8.33492,8.18708,7.96530,7.79897,7.50328,7.37391,7.37391,7.29999,7.04125,7.07822,6.78252,6.50531,6.37594,6.43138,6.28353,6.20961,6.11721,5.85847,5.43341,5.32252,5.21164,5.15619,4.98987
2018,Terrey Hills 33_11kV,24MAY2017,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05568,9.09264,8.96328,8.94480,9.05568,9.14809,8.79695,9.07416,9.05568,8.87087,8.85239,8.79695,8.83391,9.11112,8.94480,8.88935,8.92631,8.72302,8.79695,8.87087,8.68606,8.88935,8.72302,8.81543,8.59366,8.68606,8.72302,8.79695,7.50328,5.89543,5.59974,5.23012,5.06379,5.06379,4.91594,4.84202,8.24252,7.76201,7.52176,7.39239,7.22606,7.11518,7.07822,6.81948,6.61619,6.48682,6.44986,6.35746,6.41290,6.26505,5.87695,5.65518,5.54429,5.39645,5.37797,5.28556
2018,Terrey Hills 33_11kV,25MAY2017,MW,5.06379,5.04531,4.91594,4.97138,5.15619,5.04531,5.06379,4.98987,4.84202,4.73113,4.65721,4.60176,4.65721,4.65721,4.63873,4.60176,4.69417,4.69417,4.84202,4.89746,5.00835,5.15619,5.50733,5.96936,6.65315,7.11518,7.63265,7.85442,8.20556,8.37188,8.55669,8.63062,8.61214,8.64910,8.88935,8.94480,9.03720,9.11112,8.92631,8.90783,9.09264,8.96328,9.07416,9.03720,8.88935,8.75999,8.98176,9.11112,8.75999,8.68606,8.55669,8.44581,8.81543,8.68606,8.87087,8.83391,8.74150,8.66758,8.59366,8.68606,8.66758,8.68606,8.64910,8.50125,8.63062,8.83391,8.68606,8.81543,8.85239,9.29593,9.16657,9.25897,9.14809,9.01872,8.98176,8.92631,8.70454,8.55669,8.37188,8.18708,8.13163,8.15011,8.22404,7.94682,7.52176,6.96733,6.98581,6.96733,6.81948,6.46834,6.22809,5.80303,5.78455,5.47037,5.39645,5.13771
2018,Terrey Hills 33_11kV,26MAY2017,MW,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,9.12961,4.76809,4.63873,4.78657,4.82354,5.00835,5.08227,5.45189,5.87695,6.59771,7.02277,7.54024,7.66961,8.27948,8.68606,8.79695,8.68606,9.05568,9.31441,9.29593,9.61011,9.70252,9.61011,9.42530,9.31441,9.33290,9.18505,9.25897,9.16657,9.18505,9.18505,9.16657,8.96328,9.05568,8.88935,8.72302,8.68606,8.63062,8.81543,8.75999,8.81543,8.77847,8.64910,8.59366,8.55669,8.33492,8.46429,8.48277,8.64910,8.64910,8.72302,8.79695,8.94480,9.01872,9.31441,8.94480,8.37188,8.09467,7.98378,7.96530,7.83594,7.50328,7.39239,7.18910,7.15214,7.00429,6.93037,6.96733,6.89341,6.72708,6.65315,6.50531,6.35746,6.32050,6.19113,5.93240,5.74759,5.69214,5.43341,5.43341,5.26708
2018,Terrey Hills 33_11kV,27MAY2017,MW,5.11923,5.00835,4.89746,4.91594,5.13771,5.06379,4.93442,4.74961,4.71265,4.65721,4.58328,4.54632,4.49088,4.49088,4.49088,4.49088,4.49088,4.43544,4.56480,4.50936,4.60176,4.71265,4.76809,4.80506,4.97138,5.17467,5.30404,5.39645,5.65518,5.85847,5.95088,6.02480,6.44986,6.33898,6.74556,6.72708,6.69012,6.63467,6.65315,6.65315,6.63467,6.69012,6.69012,6.65315,6.69012,6.54227,6.50531,6.33898,6.46834,6.41290,6.35746,6.39442,6.33898,6.33898,6.41290,6.28353,6.44986,6.35746,6.43138,6.19113,6.41290,6.41290,6.61619,6.72708,6.70860,6.81948,6.98581,7.04125,7.09670,7.26303,7.15214,7.05974,7.07822,6.96733,6.93037,6.74556,6.57923,6.50531,6.48682,6.43138,6.39442,6.32050,6.37594,6.15417,6.09872,5.89543,5.98784,5.80303,5.85847,5.85847,5.71062,5.56278,5.61822,5.41493,5.34100,5.15619
