year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Belrose 33_11kV,01MAY2015,MW,11.02061,10.43576,9.92403,9.70471,10.61853,10.25300,9.94230,9.48540,9.02849,8.71779,8.44365,8.15123,7.96846,7.74915,7.51156,7.31052,7.45673,7.47500,7.31052,7.32879,7.54811,7.91364,8.46192,8.99194,9.75954,10.89267,12.04408,13.03100,12.95789,13.68895,13.92654,13.81688,13.63412,13.21376,13.12238,12.92134,12.79341,12.61064,12.48271,12.40960,12.50099,12.66547,12.51926,12.42788,11.91614,11.69683,11.40441,11.33130,11.16682,10.72819,10.83784,11.36786,11.31303,10.70991,10.50887,10.36266,10.50887,10.45404,10.05196,10.47232,10.70991,10.65508,10.76474,10.92922,11.14854,11.55062,11.87959,12.40960,12.82996,13.94481,14.95001,15.79072,16.06486,15.97348,16.06486,16.02831,15.79072,15.44347,15.07794,14.76725,14.58448,14.63931,15.38864,14.47483,14.09102,13.56101,13.56101,13.08583,13.59756,13.72550,13.43308,12.86651,12.82996,11.84304,11.91614,11.23992
2016,Belrose 33_11kV,02MAY2015,MW,11.03888,10.41749,9.83265,9.79609,10.87440,10.36266,9.83265,9.41229,8.88228,8.53503,8.20606,7.89536,7.67604,7.67604,7.60294,7.21914,7.18258,6.96327,6.96327,7.05465,7.23741,7.40190,7.40190,7.62122,7.96846,8.29744,8.71779,9.17470,9.33919,9.94230,10.49059,11.03888,11.58717,11.58717,11.67855,11.86132,12.51926,12.37305,12.59237,12.68375,12.84824,13.25031,13.41480,13.06755,12.40960,12.09891,12.35478,12.66547,12.44616,12.48271,12.33650,11.66028,11.84304,12.06236,11.51407,11.51407,11.76993,12.42788,12.39133,12.48271,12.48271,12.50099,12.70203,12.95789,12.97617,13.19549,13.28687,13.68895,13.98137,14.82208,15.55313,15.99176,15.97348,15.97348,15.84555,15.38864,15.02312,14.52966,14.23723,13.76205,13.50618,13.61584,14.49310,13.76205,13.17721,12.79341,12.88479,12.31822,12.86651,13.10410,12.86651,12.55582,12.62892,11.49579,11.58717,10.94750
2016,Belrose 33_11kV,03MAY2015,MW,10.80129,10.30783,9.75954,9.86920,10.89267,10.41749,9.99713,9.39402,8.91883,8.53503,8.29744,7.80398,7.69432,7.51156,7.36535,7.18258,7.12776,7.12776,7.12776,7.12776,7.12776,7.12776,7.29224,7.58466,7.84053,8.16950,8.37054,8.73607,8.71779,9.26608,9.85092,10.36266,10.98405,11.56890,11.91614,12.22684,12.62892,13.17721,13.41480,13.57929,13.54274,13.52446,13.45135,13.37825,13.37825,13.50618,13.41480,13.43308,13.37825,13.26859,13.08583,13.03100,13.15893,13.03100,12.79341,12.57409,12.37305,12.31822,12.35478,12.26339,12.29995,12.44616,12.64720,12.92134,13.17721,13.83516,14.40172,14.89518,14.96829,15.86382,16.43039,16.94213,16.90557,16.85074,16.75936,16.44867,15.97348,15.42519,14.91346,14.63931,14.58448,14.62104,15.26071,14.34689,13.81688,13.19549,13.03100,12.44616,13.01272,13.04928,12.73858,12.17201,12.06236,11.14854,11.11199,10.72819
2016,Belrose 33_11kV,04MAY2015,MW,10.67336,10.10679,9.54023,9.59506,10.69163,10.25300,9.83265,9.37574,9.01021,8.62641,8.18778,8.04157,7.71260,7.56639,7.36535,7.25569,6.99982,7.05465,6.92672,7.14603,7.36535,7.56639,8.05985,8.55331,9.39402,10.41749,11.34958,12.15374,12.06236,12.61064,12.70203,12.82996,12.53754,12.31822,12.11718,11.87959,11.56890,11.20337,11.23992,11.40441,11.40441,11.40441,11.20337,10.87440,10.80129,10.78301,10.58198,10.38094,10.23473,10.50887,10.70991,10.69163,10.80129,10.72819,10.16162,10.36266,10.34438,10.52715,10.34438,10.34438,10.16162,10.23473,10.36266,10.69163,11.07544,11.55062,11.97097,12.42788,12.81168,13.76205,14.63931,15.44347,15.88210,16.01004,16.06486,16.04659,15.68106,15.38864,14.91346,14.45655,14.23723,14.40172,15.04139,14.36517,13.79860,13.06755,13.04928,12.55582,13.21376,13.45135,13.04928,12.39133,12.29995,11.49579,11.33130,10.72819
2016,Belrose 33_11kV,05MAY2015,MW,10.63680,10.19817,9.59506,9.44884,10.39921,10.03369,9.59506,9.06504,8.66296,8.38882,7.96846,7.71260,7.45673,7.45673,7.38362,7.21914,7.21914,7.21914,7.21914,7.14603,7.36535,7.67604,8.07812,8.62641,9.59506,10.63680,11.55062,12.08063,11.91614,12.26339,12.19029,11.91614,11.75166,11.76993,11.14854,10.70991,10.61853,10.49059,10.39921,10.34438,10.17990,10.07024,9.92403,9.59506,9.54023,9.41229,9.52195,9.54023,9.33919,9.43057,9.55850,9.46712,9.35746,9.26608,9.24781,9.33919,9.50367,9.55850,9.61333,9.63161,9.66816,9.83265,9.99713,10.23473,10.47232,10.63680,10.94750,11.25820,11.69683,12.62892,13.87171,14.56621,14.84035,15.04139,15.18760,14.87690,14.58448,14.25551,13.99964,13.78033,13.56101,13.63412,14.34689,13.57929,13.23204,12.66547,12.66547,11.86132,12.51926,12.75685,12.48271,11.76993,11.62372,10.78301,10.76474,10.14334
2016,Belrose 33_11kV,06MAY2015,MW,10.17990,9.61333,9.06504,9.15642,10.16162,9.83265,9.43057,8.88228,8.40710,8.09640,7.89536,7.56639,7.51156,7.27397,7.23741,7.03637,7.03637,7.03637,7.03637,7.16431,7.36535,7.67604,8.11468,8.79090,9.64988,10.85612,11.73338,12.33650,12.02580,12.44616,12.55582,12.40960,12.33650,12.09891,11.67855,11.42268,10.98405,10.72819,10.60025,10.45404,10.21645,10.17990,9.99713,9.75954,9.77782,9.46712,9.37574,9.44884,9.41229,9.33919,9.15642,9.15642,9.15642,9.37574,9.39402,9.17470,9.26608,9.32091,9.32091,9.39402,9.43057,9.64988,9.72299,10.01541,10.43576,10.74646,11.07544,11.56890,12.19029,13.39652,14.82208,15.64451,16.11969,16.43039,16.43039,16.54005,16.32073,16.01004,15.79072,15.71761,15.48002,15.68106,16.35728,15.62623,15.16933,14.63931,14.52966,13.94481,14.31034,14.29206,13.85343,13.06755,13.06755,11.97097,11.86132,11.16682
2016,Belrose 33_11kV,07MAY2015,MW,10.92922,10.27128,9.70471,9.64988,10.65508,10.39921,9.94230,9.39402,8.99194,8.75435,8.44365,8.13295,7.71260,7.60294,7.47500,7.47500,7.43845,7.27397,7.47500,7.51156,7.84053,8.15123,8.66296,9.46712,10.43576,11.56890,12.82996,13.76205,13.63412,14.01792,14.23723,13.87171,13.48791,13.21376,12.59237,11.98925,11.62372,11.42268,11.11199,10.87440,10.65508,10.34438,10.25300,10.25300,10.05196,9.77782,9.68644,9.85092,9.70471,9.46712,9.46712,9.32091,9.32091,9.24781,9.24781,9.39402,9.50367,9.30263,9.28436,9.28436,9.46712,9.55850,9.97886,10.21645,10.36266,10.76474,11.29475,12.00753,12.73858,13.79860,15.38864,16.39384,16.97868,17.41731,17.60007,17.60007,17.45386,17.23455,16.88730,16.74109,16.68626,16.81419,17.80111,16.92385,16.39384,15.60796,15.55313,14.71242,15.09622,14.91346,14.40172,13.70722,13.59756,12.37305,12.29995,11.56890
2016,Belrose 33_11kV,08MAY2015,MW,11.40441,10.81957,10.12507,10.08852,11.22165,10.74646,10.25300,9.68644,9.41229,8.97366,8.66296,8.29744,8.04157,7.65777,7.54811,7.54811,7.54811,7.54811,7.54811,7.56639,7.91364,8.24261,8.80917,9.37574,10.52715,11.91614,13.26859,14.31034,14.23723,14.69414,14.69414,14.45655,14.09102,13.68895,13.08583,12.77513,12.19029,11.78821,11.66028,11.47751,11.22165,10.87440,10.83784,10.76474,10.60025,10.36266,10.16162,10.16162,10.05196,9.90575,9.94230,9.64988,9.57678,9.57678,9.44884,9.63161,9.57678,9.57678,9.61333,9.64988,9.63161,9.92403,10.32611,10.36266,10.61853,11.16682,11.45924,12.06236,12.79341,13.99964,15.46175,16.30246,16.66798,17.08834,16.94213,17.16144,16.90557,16.68626,16.41211,16.17452,16.02831,16.46694,17.05178,16.10142,15.71761,15.09622,15.09622,14.43827,14.80380,14.84035,14.56621,13.83516,13.59756,12.50099,12.29995,11.58717
2016,Belrose 33_11kV,09MAY2015,MW,11.40441,10.85612,10.23473,10.23473,11.14854,10.76474,10.38094,9.81437,9.30263,9.06504,8.62641,8.31571,8.02329,7.95019,7.78570,7.67604,7.54811,7.54811,7.54811,7.54811,7.71260,7.84053,8.13295,8.42537,8.90056,9.57678,10.34438,11.14854,11.47751,12.11718,12.79341,13.08583,12.93962,13.25031,13.41480,13.39652,12.97617,12.57409,12.39133,12.22684,12.09891,11.84304,11.51407,11.44096,11.27647,11.07544,10.89267,10.83784,10.60025,10.39921,10.14334,10.17990,10.14334,10.07024,10.01541,10.23473,10.05196,10.03369,10.12507,10.21645,10.27128,10.50887,10.83784,10.94750,11.27647,11.80649,12.35478,13.03100,13.35997,14.78552,15.91865,16.72281,16.94213,16.83247,16.83247,16.77764,16.35728,16.02831,15.77244,15.48002,15.16933,15.44347,16.19280,15.27898,14.87690,14.43827,14.42000,13.67067,14.34689,14.52966,14.25551,13.59756,13.59756,12.55582,12.44616,11.69683
2016,Belrose 33_11kV,10MAY2015,MW,11.67855,11.07544,10.56370,10.56370,11.45924,11.14854,10.50887,10.16162,9.74127,9.15642,8.79090,8.51675,8.33399,8.09640,7.95019,7.65777,7.76743,7.76743,7.54811,7.51156,7.71260,7.85881,8.07812,8.37054,8.62641,9.17470,9.70471,10.32611,10.65508,11.42268,11.98925,12.55582,12.97617,13.28687,13.43308,13.43308,13.43308,13.28687,13.03100,12.57409,12.44616,12.24512,12.04408,11.73338,11.33130,11.34958,11.60545,11.89787,11.87959,11.87959,11.87959,11.93442,11.40441,11.00233,10.63680,10.50887,10.50887,10.30783,10.45404,10.58198,10.80129,10.65508,10.87440,11.49579,12.24512,12.86651,13.32342,13.98137,14.34689,15.35209,16.13797,16.63143,16.88730,17.03351,16.97868,16.92385,16.54005,16.24763,15.86382,15.71761,15.58968,15.71761,16.30246,15.49830,14.69414,13.96309,13.98137,13.34170,13.56101,13.56101,13.21376,12.66547,12.66547,11.56890,11.67855,11.14854
2016,Belrose 33_11kV,11MAY2015,MW,10.96578,10.65508,10.10679,10.10679,10.96578,10.80129,10.21645,9.61333,9.35746,8.97366,8.82745,8.46192,8.22433,7.91364,7.87708,7.67604,7.67604,7.67604,7.67604,7.67604,7.89536,8.16950,8.82745,9.22953,10.08852,11.29475,12.61064,13.35997,13.10410,13.28687,13.61584,13.35997,13.04928,12.64720,12.39133,11.93442,11.67855,11.38613,11.16682,10.85612,10.63680,10.58198,10.43576,10.34438,10.14334,10.12507,10.03369,10.01541,9.85092,9.85092,9.85092,9.85092,9.85092,9.64988,9.63161,9.63161,9.63161,9.63161,9.63161,9.63161,9.63161,9.68644,10.10679,10.38094,10.76474,11.16682,11.64200,12.15374,12.88479,14.16413,15.62623,16.52177,17.10661,17.21627,17.21627,17.12489,16.70453,16.17452,15.68106,15.51658,15.31554,15.33381,16.11969,15.38864,14.78552,13.99964,14.03620,13.25031,13.70722,13.74377,13.32342,12.57409,12.53754,11.45924,11.44096,10.87440
2016,Belrose 33_11kV,12MAY2015,MW,10.83784,10.32611,9.83265,9.83265,10.83784,10.47232,9.90575,9.48540,9.02849,8.68124,8.51675,8.22433,7.87708,7.80398,7.62122,7.62122,7.42018,7.40190,7.40190,7.40190,7.80398,8.11468,8.58986,9.24781,10.19817,11.53234,12.86651,13.43308,13.32342,13.76205,13.68895,13.48791,13.17721,12.77513,12.51926,11.97097,11.69683,11.18509,10.91095,10.89267,10.72819,10.49059,10.39921,10.17990,10.01541,9.66816,9.72299,9.64988,9.46712,9.33919,9.39402,9.39402,9.39402,9.39402,9.26608,9.37574,9.39402,9.39402,9.54023,9.63161,9.63161,9.85092,9.97886,10.38094,10.56370,10.89267,11.51407,12.08063,13.17721,14.58448,15.79072,16.41211,16.81419,17.08834,16.94213,16.99696,16.64971,16.43039,16.01004,15.62623,15.46175,15.57140,16.32073,15.44347,14.85863,14.10930,14.18241,13.45135,13.85343,13.87171,13.28687,12.82996,12.93962,11.86132,11.73338,11.20337
2016,Belrose 33_11kV,13MAY2015,MW,11.05716,10.72819,10.08852,9.99713,10.94750,10.58198,10.12507,9.55850,9.13815,8.82745,8.48020,8.16950,7.85881,7.69432,7.54811,7.47500,7.27397,7.27397,7.38362,7.58466,7.85881,8.18778,8.62641,9.35746,10.17990,11.56890,12.62892,13.46963,13.68895,14.36517,14.49310,14.20068,13.83516,13.54274,12.92134,12.61064,12.29995,11.76993,11.67855,11.60545,11.33130,11.07544,10.89267,10.78301,10.61853,10.56370,10.39921,10.32611,10.32611,10.28955,10.36266,10.89267,11.05716,10.56370,10.76474,10.45404,10.60025,10.25300,10.32611,10.70991,10.58198,10.65508,11.36786,12.77513,14.29206,14.87690,15.68106,16.54005,17.16144,18.42251,19.48253,20.12220,20.72532,20.90808,21.03602,21.07257,20.85325,20.54256,20.19531,19.88461,19.66529,19.84806,20.54256,19.44598,18.76976,18.03870,17.81939,16.72281,16.97868,16.66798,15.82727,14.76725,14.58448,13.25031,13.10410,12.42788
2016,Belrose 33_11kV,14MAY2015,MW,12.09891,11.51407,10.91095,10.81957,11.82476,11.47751,10.98405,10.56370,10.16162,9.70471,9.33919,9.10160,8.88228,8.69952,8.42537,8.29744,8.29744,8.22433,8.46192,8.58986,8.90056,9.17470,9.86920,10.70991,11.86132,13.45135,15.16933,16.37556,16.41211,17.23455,17.47214,17.12489,16.64971,16.11969,15.49830,14.89518,14.36517,13.78033,13.14066,13.01272,12.90306,12.31822,11.97097,11.87959,11.45924,11.34958,11.25820,11.13026,10.89267,10.89267,10.89267,10.81957,10.72819,10.61853,10.45404,10.63680,10.56370,10.45404,10.47232,10.61853,10.61853,10.76474,11.03888,11.53234,11.89787,12.42788,13.28687,14.16413,15.18760,16.74109,18.23974,19.11701,19.72012,20.19531,20.34152,20.21358,20.19531,19.97599,19.50081,19.19011,19.15356,19.44598,20.10393,19.13528,18.44078,17.72801,17.43559,16.39384,16.61315,16.48522,15.75417,14.87690,14.52966,13.15893,13.10410,12.35478
2016,Belrose 33_11kV,15MAY2015,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44096,11.78821,11.98925,11.93442,11.58717,11.05716,10.92922,10.72819,10.89267,10.81957,10.56370,10.45404,10.28955,10.41749,10.36266,10.07024,10.21645,10.21645,10.54542,11.00233,11.23992,11.45924,11.82476,12.06236,12.57409,13.17721,14.21896,15.00484,16.02831,17.10661,17.76456,18.07526,18.25802,18.16664,18.03870,17.72801,17.52697,17.23455,16.83247,16.52177,16.77764,17.41731,16.30246,15.82727,15.29726,15.09622,14.45655,14.73069,14.67587,14.40172,13.81688,13.67067,12.62892,12.55582,11.97097
2016,Belrose 33_11kV,16MAY2015,MW,11.78821,11.13026,10.52715,10.41749,11.38613,10.80129,10.45404,9.94230,9.50367,9.21125,8.73607,8.55331,8.31571,8.13295,7.95019,7.89536,7.67604,7.67604,7.67604,7.67604,7.87708,7.96846,8.26089,8.44365,8.68124,9.30263,9.81437,10.47232,10.96578,11.71511,12.46443,12.99445,13.12238,13.19549,13.35997,13.41480,13.43308,13.26859,13.26859,13.26859,12.97617,12.77513,12.73858,12.90306,12.44616,12.72030,12.66547,12.37305,11.86132,11.84304,11.82476,11.58717,11.22165,11.09371,11.18509,11.29475,11.07544,11.20337,11.11199,11.36786,11.62372,11.71511,11.91614,11.84304,12.02580,12.46443,13.12238,13.99964,14.65759,16.04659,17.10661,17.65490,17.72801,17.72801,17.69145,17.32593,16.88730,16.33901,15.88210,15.49830,15.35209,15.38864,16.17452,15.42519,14.78552,14.18241,14.47483,13.83516,14.34689,14.51138,14.23723,13.87171,13.65239,12.64720,12.51926,12.00753
2016,Belrose 33_11kV,17MAY2015,MW,11.97097,11.31303,10.80129,10.80129,11.76993,11.27647,10.61853,10.17990,9.81437,9.37574,8.90056,8.68124,8.49848,8.24261,8.15123,7.96846,7.82225,7.69432,7.67604,7.67604,7.67604,7.80398,8.16950,8.35227,8.57158,9.04677,9.46712,9.92403,10.23473,11.02061,11.78821,12.20857,12.44616,12.82996,12.99445,13.57929,13.57929,13.15893,13.17721,13.35997,13.25031,12.79341,12.20857,12.22684,12.53754,12.37305,12.13546,12.08063,12.04408,12.08063,12.00753,11.98925,11.89787,11.58717,11.80649,11.98925,11.62372,11.69683,11.86132,11.95270,11.97097,12.29995,12.50099,12.66547,12.86651,13.21376,13.79860,14.62104,15.40692,16.96040,18.02043,18.45906,18.56872,18.66010,18.47734,18.23974,17.85594,17.47214,17.32593,16.94213,16.66798,16.81419,17.61835,16.59488,15.93693,14.93173,14.76725,14.05447,14.45655,14.47483,14.10930,13.23204,13.32342,12.09891,12.06236,11.53234
2016,Belrose 33_11kV,18MAY2015,MW,11.42268,10.89267,10.39921,10.47232,11.40441,11.07544,10.60025,10.01541,9.72299,9.19298,8.79090,8.66296,8.58986,8.22433,8.18778,7.96846,7.87708,7.69432,7.76743,7.95019,8.04157,8.31571,8.90056,9.59506,10.58198,11.93442,13.34170,14.05447,13.94481,14.56621,14.91346,14.91346,14.71242,14.42000,14.09102,13.54274,13.12238,12.70203,12.51926,12.37305,12.08063,12.22684,11.84304,11.58717,11.71511,11.49579,11.13026,11.34958,11.42268,11.27647,11.38613,11.44096,11.49579,11.71511,11.97097,12.06236,12.11718,12.11718,12.00753,11.62372,11.45924,11.42268,11.60545,12.15374,12.46443,13.01272,13.61584,14.23723,15.05967,16.37556,17.41731,17.98388,18.67837,18.76976,18.55044,18.49561,17.92905,17.69145,17.27110,17.12489,16.88730,16.81419,17.41731,16.44867,15.71761,15.00484,14.89518,14.16413,14.34689,14.38344,13.83516,13.32342,12.95789,11.87959,11.93442,11.27647
2016,Belrose 33_11kV,19MAY2015,MW,11.14854,10.61853,10.03369,9.88748,10.89267,10.47232,10.03369,9.64988,9.15642,8.68124,8.38882,8.11468,7.84053,7.67604,7.51156,7.29224,7.25569,7.25569,7.25569,7.40190,7.56639,8.15123,8.66296,9.19298,10.08852,11.49579,12.55582,13.39652,13.19549,13.72550,13.90826,13.92654,13.78033,13.68895,13.19549,12.70203,12.53754,12.44616,12.09891,11.80649,11.78821,11.29475,11.29475,11.20337,11.11199,10.54542,10.67336,10.65508,10.70991,10.78301,10.94750,10.96578,10.67336,10.67336,10.28955,9.94230,10.14334,10.36266,10.12507,10.01541,10.10679,10.45404,10.89267,11.29475,11.58717,12.24512,13.04928,13.79860,14.52966,15.49830,16.30246,16.81419,17.17972,17.34420,17.50869,17.23455,16.88730,16.59488,16.26590,15.97348,15.77244,15.82727,16.61315,15.80900,15.29726,14.40172,14.40172,13.63412,14.20068,14.21896,13.72550,13.15893,13.01272,11.80649,11.76993,11.03888
2016,Belrose 33_11kV,20MAY2015,MW,10.89267,10.52715,9.88748,9.79609,10.92922,10.56370,10.03369,9.43057,9.02849,8.62641,8.35227,8.04157,7.89536,7.65777,7.52983,7.52983,7.42018,7.42018,7.42018,7.42018,7.67604,8.07812,8.55331,9.15642,10.03369,11.22165,12.22684,12.99445,12.97617,13.37825,13.46963,13.48791,13.39652,13.21376,12.86651,12.62892,12.24512,12.20857,11.84304,11.69683,11.03888,10.80129,10.69163,10.34438,10.08852,10.07024,9.94230,9.92403,9.94230,9.59506,9.33919,9.37574,9.37574,9.37574,9.41229,9.55850,9.75954,9.85092,9.55850,9.79609,9.85092,9.79609,10.16162,10.45404,10.65508,11.00233,11.49579,12.39133,13.19549,14.12758,14.85863,15.44347,15.73589,15.79072,15.71761,15.60796,15.40692,15.22415,14.87690,14.67587,14.49310,14.56621,15.11450,14.29206,13.92654,13.19549,13.15893,12.51926,13.14066,13.15893,12.97617,12.46443,12.50099,11.38613,11.40441,10.78301
2016,Belrose 33_11kV,21MAY2015,MW,10.69163,10.10679,9.54023,9.55850,10.61853,10.28955,10.10679,9.63161,9.26608,8.93711,8.62641,8.49848,8.29744,8.15123,8.05985,7.87708,7.84053,7.80398,7.71260,7.84053,8.02329,8.22433,8.71779,9.41229,10.14334,11.29475,12.13546,12.77513,12.75685,13.23204,13.32342,13.15893,12.75685,12.28167,11.93442,11.67855,11.45924,11.34958,11.51407,11.18509,11.03888,10.94750,10.80129,10.65508,10.58198,10.54542,10.27128,10.25300,10.25300,10.07024,10.12507,10.19817,10.23473,10.07024,10.16162,10.69163,10.50887,10.49059,10.63680,10.41749,10.50887,10.50887,10.74646,11.23992,11.38613,11.64200,11.71511,12.39133,13.15893,14.25551,15.18760,15.71761,15.88210,16.43039,16.57660,16.74109,16.70453,16.52177,16.22935,16.26590,16.72281,16.96040,17.47214,16.75936,16.15625,15.86382,15.80900,15.18760,15.64451,15.66279,15.51658,16.04659,16.28418,15.57140,15.49830,15.05967
2016,Belrose 33_11kV,22MAY2015,MW,15.02312,14.69414,14.49310,15.26071,15.75417,15.49830,15.18760,14.80380,14.62104,14.29206,14.31034,15.02312,15.02312,14.93173,14.93173,14.93173,14.93173,14.93173,14.93173,14.93173,14.93173,15.11450,14.87690,14.74897,15.37036,16.13797,17.07006,17.76456,17.63663,18.11181,18.80631,18.91597,19.17183,19.08045,18.91597,18.56872,18.23974,18.23974,18.27630,18.25802,18.05698,18.05698,18.05698,18.22147,18.31285,18.31285,18.31285,18.31285,18.20319,18.07526,17.83766,17.34420,17.12489,17.12489,17.12489,17.12489,17.12489,17.10661,16.97868,16.92385,16.77764,16.70453,17.05178,17.60007,17.94732,18.16664,18.11181,19.68357,20.59739,21.45637,21.47465,21.87673,22.35191,22.47984,22.44329,22.84537,22.77226,22.44329,22.29708,22.11432,21.74879,21.98638,22.47984,21.74879,21.25533,20.79842,20.68877,20.25014,20.57911,20.65221,20.28669,19.68357,19.48253,18.69665,18.64182,18.00215
2016,Belrose 33_11kV,23MAY2015,MW,17.76456,17.43559,17.08834,16.86902,17.34420,17.14317,16.85074,16.48522,16.19280,15.93693,15.77244,15.57140,15.42519,15.24243,15.24243,15.24243,15.13277,15.04139,15.02312,15.02312,15.20588,15.24243,15.42519,16.74109,16.83247,17.23455,17.50869,17.98388,18.33112,18.91597,19.28149,19.50081,19.90289,19.61047,19.31804,19.39115,19.39115,19.39115,19.39115,18.76976,18.67837,18.34940,18.11181,18.14836,17.78284,17.52697,17.41731,17.41731,17.28938,17.28938,17.10661,17.05178,17.17972,17.17972,17.05178,17.16144,17.25282,17.27110,17.27110,17.27110,17.36248,17.65490,17.74628,18.42251,19.11701,19.62874,19.29977,19.79323,21.05429,22.33363,22.86365,23.24745,23.52159,23.33883,23.37538,22.33363,19.72012,18.42251,18.00215,16.83247,16.75936,16.86902,17.50869,16.61315,16.08314,15.64451,15.62623,15.00484,15.69934,15.60796,15.27898,14.73069,14.63931,13.57929,13.41480,12.64720
2016,Belrose 33_11kV,24MAY2015,MW,12.51926,11.86132,11.25820,11.20337,12.08063,11.45924,11.02061,10.72819,10.17990,9.81437,9.37574,9.04677,8.88228,8.60814,8.31571,8.15123,8.05985,7.93191,7.82225,8.05985,8.05985,8.20606,8.44365,8.64469,8.95538,9.43057,10.03369,10.60025,11.05716,11.82476,12.70203,13.37825,13.98137,14.42000,14.78552,14.78552,14.84035,14.78552,14.95001,14.65759,14.58448,14.54793,14.10930,13.74377,13.26859,12.90306,12.70203,12.24512,11.95270,11.95270,11.67855,11.53234,11.44096,11.27647,11.13026,10.91095,11.13026,11.00233,11.18509,11.31303,11.66028,11.97097,12.33650,12.51926,12.92134,13.43308,14.32862,15.69934,16.75936,18.42251,19.42770,19.93944,20.10393,20.15875,20.30496,19.99427,19.59219,19.19011,18.78803,18.53216,18.18491,18.51389,19.09873,18.09353,17.45386,16.72281,16.35728,15.49830,15.69934,15.53485,15.20588,14.47483,14.21896,12.92134,12.88479,12.26339
2016,Belrose 33_11kV,25MAY2015,MW,12.02580,11.40441,10.87440,10.94750,11.80649,11.34958,10.87440,10.39921,9.97886,9.55850,9.21125,9.01021,8.69952,8.55331,8.46192,8.29744,8.13295,8.13295,8.09640,8.13295,8.48020,8.66296,9.39402,10.08852,11.11199,12.64720,14.16413,15.16933,15.16933,15.77244,16.10142,16.04659,15.77244,15.35209,15.07794,14.38344,13.90826,13.45135,13.01272,12.90306,12.81168,12.20857,12.37305,12.40960,11.69683,11.18509,10.92922,10.89267,11.53234,11.49579,11.67855,11.67855,11.55062,11.45924,11.00233,11.31303,11.56890,11.69683,11.38613,11.51407,11.49579,11.58717,12.08063,12.64720,12.92134,13.59756,14.52966,15.82727,16.83247,18.02043,19.13528,19.68357,20.28669,20.59739,20.92636,20.59739,20.35979,19.93944,19.61047,19.02562,18.82458,19.02562,19.68357,18.51389,17.87422,17.07006,16.81419,15.93693,16.10142,16.01004,15.29726,14.42000,14.18241,13.06755,12.95789,12.20857
2016,Belrose 33_11kV,26MAY2015,MW,11.93442,11.38613,10.78301,10.69163,11.75166,11.47751,10.96578,10.52715,10.07024,9.59506,9.33919,9.06504,8.88228,8.66296,8.51675,8.35227,8.26089,8.20606,8.16950,8.33399,8.64469,8.99194,9.70471,10.61853,11.69683,13.48791,14.84035,15.86382,16.08314,16.64971,16.90557,16.68626,16.13797,15.51658,14.84035,14.16413,13.68895,13.32342,13.06755,12.68375,12.29995,12.02580,11.55062,11.40441,11.20337,11.11199,10.91095,10.65508,10.65508,10.67336,10.91095,10.94750,11.09371,11.18509,10.91095,10.83784,10.76474,10.76474,10.98405,11.13026,11.07544,10.78301,11.18509,11.78821,12.15374,12.73858,13.79860,14.95001,16.11969,17.81939,19.06218,19.72012,20.30496,20.72532,20.63394,20.45117,20.19531,19.70185,19.37287,18.93424,18.69665,18.62355,19.33632,18.60527,18.00215,16.96040,16.54005,15.80900,16.15625,15.77244,15.29726,14.29206,14.10930,12.93962,12.61064,12.11718
2016,Belrose 33_11kV,27MAY2015,MW,11.75166,11.16682,10.63680,10.61853,11.53234,11.16682,10.72819,10.27128,9.81437,9.48540,9.13815,8.77262,8.64469,8.40710,8.26089,8.13295,8.02329,7.91364,8.05985,8.16950,8.31571,8.79090,9.41229,10.28955,11.36786,12.86651,14.10930,15.16933,15.05967,15.60796,15.84555,15.57140,15.24243,14.56621,13.90826,13.35997,12.79341,12.37305,12.13546,11.89787,11.69683,11.40441,10.96578,10.50887,10.65508,10.25300,10.08852,10.28955,10.05196,9.96058,9.85092,10.10679,10.17990,10.08852,9.92403,9.75954,9.70471,9.61333,10.01541,9.96058,9.96058,10.21645,10.63680,11.02061,11.51407,12.19029,12.93962,13.85343,14.71242,16.02831,16.90557,17.58180,18.23974,18.71493,18.71493,18.71493,18.47734,17.94732,17.65490,17.41731,17.32593,17.47214,18.16664,17.36248,16.63143,16.06486,15.97348,15.20588,15.68106,15.42519,14.69414,13.96309,13.92654,12.79341,12.66547,11.87959
