year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Top Ryde 132_11kV,01MAY2016,MW,18.60483,18.26381,17.25968,17.44914,17.69543,16.71025,15.85768,14.94828,14.11466,13.48945,12.92108,12.88318,12.44743,12.20113,12.20113,12.01167,12.16324,11.86011,11.86011,11.86011,12.14430,12.10640,12.04957,12.01167,12.73162,12.90213,13.35683,13.43261,13.69786,14.20939,14.62620,15.27036,16.14187,16.40711,16.89971,17.33546,17.71438,18.26381,19.26794,19.53318,19.60896,19.79842,19.89315,19.53318,19.47634,19.07848,19.21110,19.24899,19.15426,19.49529,18.62378,18.49116,18.35854,18.18802,18.37748,18.18802,18.41537,18.05540,18.26381,18.13119,18.26381,18.39643,18.56694,18.66167,18.98375,18.87008,19.00270,19.21110,19.19215,19.41951,20.72677,21.12463,21.46566,21.61722,21.08674,20.78361,20.38574,20.08261,19.79842,19.59002,19.53318,19.28688,19.00270,18.73745,18.22592,17.73332,17.48703,17.16495,17.84700,18.26381,18.03646,17.16495,16.71025,17.07022,17.88489,17.25968
2017,Top Ryde 132_11kV,02MAY2016,MW,17.86594,17.84700,16.93760,17.08916,17.24073,16.48290,15.81979,14.75882,14.09572,13.56523,13.07264,12.69373,12.58005,12.27692,12.03062,11.93589,11.82222,12.06851,12.22008,12.44743,12.86424,13.47051,14.03888,14.62620,15.91452,16.93760,18.22592,19.00270,20.15839,21.21936,21.82563,21.99614,22.45084,22.48873,22.20455,21.73090,22.29928,22.45084,22.48873,22.67819,22.75398,22.94343,22.18560,22.46979,22.54557,23.11395,22.77292,22.82976,22.96238,23.37919,23.64443,23.58759,23.53076,23.53076,23.34130,23.01922,22.79187,22.54557,22.90554,22.82976,22.84871,22.77292,23.07606,23.32235,23.32235,23.66338,23.85284,23.96651,24.34543,25.31167,25.91793,25.70953,24.66751,24.25070,23.75811,23.56865,22.71608,22.33717,21.71195,21.35198,20.80255,20.27207,20.00683,19.53318,19.13532,18.77535,18.60483,18.11224,18.90797,18.96480,18.64272,17.92278,17.31651,17.84700,18.20697,17.61965
2017,Top Ryde 132_11kV,03MAY2016,MW,18.32065,18.01751,17.05127,16.97549,17.37335,16.52079,15.85768,15.06196,14.24729,13.73575,13.28105,12.82635,12.44743,12.16324,12.10640,12.18219,12.44743,12.44743,12.67478,12.58005,13.07264,13.77364,14.19045,14.83461,16.23660,17.46808,18.79429,19.23005,20.66993,21.74985,22.22349,22.43190,22.69714,22.82976,22.64030,22.10982,22.09087,22.29928,22.45084,22.31822,22.48873,22.48873,22.75398,22.73503,22.79187,22.54557,22.64030,22.73503,22.71608,22.64030,22.92449,22.77292,22.96238,22.82976,22.82976,22.86765,22.84871,23.07606,22.88660,23.01922,23.01922,22.77292,22.67819,22.67819,22.77292,22.96238,22.94343,22.98133,23.47392,24.06124,24.95170,25.08432,24.08019,23.66338,23.66338,23.05711,22.43190,22.16665,21.61722,21.21936,20.72677,20.46153,20.12050,19.89315,19.28688,18.66167,18.41537,17.92278,18.77535,19.05953,18.66167,17.92278,17.50597,17.88489,18.24486,17.58176
2017,Top Ryde 132_11kV,04MAY2016,MW,18.33959,18.05540,17.08916,17.14600,17.41124,16.44501,15.76295,14.92934,14.22834,13.60313,13.14843,12.63689,12.33375,12.44743,12.35270,12.10640,12.23902,12.33375,12.44743,12.44743,12.84529,13.69786,14.30412,14.62620,15.76295,17.10811,18.33959,19.00270,19.68475,20.42364,21.02990,21.42777,22.07193,22.12876,22.05298,21.88247,22.20455,22.18560,22.43190,22.46979,22.54557,22.75398,22.69714,22.69714,22.64030,22.79187,23.01922,23.05711,23.09500,23.07606,23.05711,23.09500,22.86765,22.84871,22.90554,22.88660,23.03816,23.13289,22.92449,22.88660,22.98133,22.84871,22.73503,23.01922,23.24657,23.51181,23.30341,23.28446,23.39814,23.92862,24.64856,24.98959,23.89073,23.56865,23.15184,22.79187,22.18560,21.90141,21.54144,21.23831,20.89728,20.38574,19.91210,19.64686,19.19215,18.41537,18.16908,17.75227,18.43432,18.71851,18.64272,17.82805,17.29757,17.77122,18.26381,17.56281
2017,Top Ryde 132_11kV,05MAY2016,MW,18.30170,18.15013,16.95654,17.07022,17.31651,16.48290,15.47877,14.96723,14.24729,13.64102,13.12948,12.78845,12.59900,12.44743,12.22008,12.10640,12.42848,12.37165,12.44743,12.48532,12.97791,13.65996,14.09572,14.51253,16.00925,17.08916,18.56694,19.11637,20.21523,20.91623,21.14358,21.74985,21.82563,21.78774,21.67406,21.69301,21.80668,21.69301,21.82563,21.86352,22.01509,21.86352,21.97720,21.90141,22.09087,22.24244,22.24244,22.22349,22.18560,22.41295,22.60241,22.35611,22.56452,22.90554,22.92449,22.96238,22.52663,22.71608,22.88660,22.88660,22.45084,22.43190,22.60241,22.60241,22.71608,22.92449,22.92449,23.22762,23.34130,24.00440,24.74329,24.89486,24.08019,23.75811,23.60654,23.62549,23.11395,22.65925,22.50768,21.84457,21.52250,21.23831,20.93517,20.53731,19.68475,19.15426,18.69956,18.09329,18.64272,19.05953,18.85113,17.97962,17.52492,17.96067,18.35854,17.65754
2017,Top Ryde 132_11kV,06MAY2016,MW,18.41537,18.26381,17.20284,17.29757,17.37335,16.63446,15.87663,14.87250,14.20939,13.92521,13.39472,13.11053,12.78845,12.50427,12.44743,12.23902,12.20113,12.04957,12.29586,12.54216,13.07264,13.47051,13.92521,14.60726,15.95241,17.03233,18.05540,18.96480,20.19629,21.33304,21.74985,22.05298,22.37506,22.52663,21.88247,21.71195,22.26138,22.09087,21.44671,22.03403,22.26138,22.26138,22.28033,22.31822,22.54557,22.67819,22.33717,22.33717,22.22349,22.65925,22.56452,22.65925,22.69714,22.64030,22.58346,22.60241,22.52663,22.65925,22.54557,22.84871,22.64030,22.45084,22.56452,22.77292,22.77292,22.79187,22.96238,22.88660,23.01922,23.54970,24.17492,24.09913,23.26551,22.82976,22.43190,22.35611,21.52250,21.14358,20.66993,20.38574,19.64686,19.45740,19.19215,18.87008,18.64272,18.22592,18.07435,17.50597,18.37748,18.88902,18.66167,17.94173,17.41124,17.75227,18.54800,17.96067
2017,Top Ryde 132_11kV,07MAY2016,MW,18.62378,18.30170,16.99444,17.03233,17.52492,16.82392,15.93347,14.96723,14.30412,13.77364,13.33788,13.07264,12.75056,12.42848,12.40954,12.04957,11.86011,12.03062,12.20113,12.20113,12.33375,12.61794,12.88318,12.95897,13.39472,13.86837,14.39885,14.77777,15.42193,16.19871,16.74814,17.46808,17.92278,18.20697,18.30170,18.45327,18.83218,18.66167,18.33959,18.33959,18.37748,18.41537,18.15013,18.33959,18.47221,18.39643,18.05540,18.28275,18.32065,18.20697,17.71438,18.11224,18.32065,18.32065,18.49116,18.05540,17.80911,17.96067,18.03646,18.30170,18.66167,18.85113,19.09743,18.75640,18.96480,19.02164,19.41951,19.87421,20.42364,21.57933,22.16665,22.18560,21.80668,21.27620,20.91623,20.29101,19.93104,19.68475,19.15426,19.19215,18.92691,18.64272,18.41537,18.16908,18.01751,17.61965,17.48703,17.37335,18.05540,18.51010,18.47221,17.82805,17.56281,18.05540,18.45327,17.82805
2017,Top Ryde 132_11kV,08MAY2016,MW,18.64272,18.51010,17.56281,17.71438,17.77122,16.84287,15.78190,15.36509,14.56937,13.77364,13.31894,12.84529,12.61794,12.44743,12.27692,12.12535,11.93589,11.93589,11.93589,11.93589,11.93589,11.93589,11.93589,12.14430,12.40954,12.90213,13.26210,13.64102,13.84942,14.26623,14.87250,15.42193,16.25555,16.82392,16.99444,17.33546,17.63859,18.51010,19.13532,19.74158,19.72264,19.53318,19.51423,19.47634,19.60896,19.49529,19.28688,19.02164,18.68062,18.30170,18.45327,18.41537,18.15013,17.92278,18.43432,18.33959,18.26381,18.13119,18.01751,18.16908,17.67649,18.30170,18.52905,18.51010,18.54800,19.11637,19.51423,19.72264,20.21523,21.10569,21.46566,21.40882,21.18147,21.16252,21.20042,20.72677,20.55626,20.30996,19.94999,19.83631,19.51423,19.26794,19.15426,18.92691,18.43432,18.15013,17.88489,17.46808,18.18802,18.58589,18.18802,17.35441,16.76708,17.27862,17.80911,17.24073
2017,Top Ryde 132_11kV,09MAY2016,MW,18.22592,18.11224,17.05127,17.31651,17.56281,16.63446,15.89558,15.11880,14.34201,13.75469,13.14843,12.50427,12.54216,12.27692,12.20113,12.20113,12.20113,12.20113,12.20113,12.46637,12.86424,13.39472,13.84942,14.66409,15.68717,16.89971,18.22592,18.51010,20.19629,21.57933,22.12876,22.39400,23.11395,23.41708,23.28446,23.37919,22.98133,23.39814,23.62549,23.54970,23.90967,23.89073,23.83389,24.08019,23.94757,23.68232,23.36024,24.11808,24.19386,23.98546,23.60654,23.62549,23.53076,23.47392,23.36024,23.58759,23.43603,23.11395,23.36024,23.79600,23.73916,23.43603,23.83389,24.15597,23.98546,23.96651,24.28859,23.79600,24.76224,25.19799,25.91793,26.24001,25.08432,24.62962,24.21281,23.94757,23.32235,22.67819,21.97720,21.59828,21.14358,20.66993,20.42364,20.02577,19.41951,19.09743,19.00270,18.51010,19.36267,19.40056,19.07848,18.22592,17.67649,18.05540,18.39643,17.60070
2017,Top Ryde 132_11kV,10MAY2016,MW,18.41537,18.39643,17.39230,17.39230,17.52492,16.65341,15.66823,14.87250,14.03888,13.45156,13.05370,12.71267,12.52321,12.33375,12.27692,12.06851,12.08746,12.37165,12.37165,12.42848,12.95897,13.43261,13.98204,14.36096,15.70612,16.82392,18.13119,18.90797,19.83631,21.18147,21.97720,22.05298,22.48873,22.33717,22.07193,22.33717,22.64030,22.60241,22.26138,22.35611,22.48873,22.29928,22.31822,22.43190,22.52663,22.56452,22.73503,22.94343,23.07606,22.75398,22.65925,22.92449,22.84871,22.77292,22.92449,22.50768,21.76879,22.88660,22.54557,22.52663,22.62136,22.45084,22.71608,22.92449,22.96238,22.92449,23.24657,23.62549,23.77705,24.30754,25.10326,25.19799,24.17492,23.77705,23.49286,23.18973,22.69714,22.48873,22.03403,21.59828,21.16252,20.70782,20.32891,20.08261,19.55213,19.26794,18.90797,18.28275,18.96480,19.21110,18.85113,18.07435,17.39230,16.80498,16.80498,16.80498
