year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Peats Ridge 33_11kV,01MAY2014,MW,4.37287,4.42332,4.27196,4.17104,4.05331,4.05331,4.03649,4.05331,3.90194,3.43102,3.71694,3.86831,3.66648,3.38056,2.84236,2.82555,2.89282,2.96010,2.96010,2.96010,3.01055,3.07783,3.16192,3.80103,4.10377,4.33923,4.59151,5.02880,4.64197,4.91107,5.09607,5.21381,5.09607,4.97834,5.07926,4.94471,4.70924,4.65879,4.65879,4.79334,4.84379,4.81016,4.84379,4.94471,5.01198,4.81016,4.60833,4.81016,4.94471,4.94471,4.89425,4.86061,4.72606,4.62515,4.60833,4.69242,4.86061,4.91107,4.87743,4.69242,4.55787,4.64197,4.47378,4.52424,4.49060,4.30559,4.84379,5.41563,5.53336,5.51654,5.76882,5.80246,5.78564,5.85292,6.00429,5.83610,5.63427,5.60064,5.60064,5.49972,5.34835,5.23062,5.23062,5.12971,5.12971,4.87743,4.87743,4.69242,4.70924,4.69242,4.67561,4.50742,4.52424,4.37287,4.67561,4.55787
2015,Peats Ridge 33_11kV,02MAY2014,MW,4.49060,4.77652,4.72606,4.52424,4.47378,4.20468,4.33923,4.20468,4.05331,3.93558,4.05331,3.96922,3.93558,3.53193,3.01055,2.89282,2.97691,3.01055,3.01055,3.01055,3.07783,3.14510,3.17874,3.34693,3.96922,4.38969,4.64197,4.94471,5.19699,5.26426,5.24744,5.24744,5.04562,5.01198,4.97834,4.86061,4.86061,4.62515,4.70924,4.75970,4.81016,4.82697,4.87743,4.75970,4.79334,4.64197,4.44014,4.22150,4.05331,4.10377,3.90194,3.96922,3.90194,3.76739,4.12059,4.25514,4.49060,4.44014,4.52424,4.62515,4.49060,4.44014,4.49060,4.50742,4.50742,4.47378,5.12971,4.99516,5.39881,5.73519,6.00429,5.95383,5.88655,5.97065,5.28108,5.38199,5.31472,5.71837,5.38199,5.60064,5.51654,5.43245,5.39881,5.38199,5.28108,5.16335,5.16335,5.04562,5.01198,5.04562,4.99516,4.89425,4.89425,4.77652,5.01198,4.99516
2015,Peats Ridge 33_11kV,03MAY2014,MW,5.23062,5.09607,4.32241,4.13741,4.08695,3.95240,4.27196,4.12059,3.56557,2.84236,2.79191,2.72463,2.72463,2.72463,2.64054,2.60690,2.59008,2.59008,2.59008,2.59008,2.65736,2.80873,2.94328,3.58239,3.96922,4.17104,4.22150,4.52424,4.74288,4.72606,5.01198,5.12971,5.11289,5.16335,5.28108,5.09607,4.75970,5.06244,5.14653,4.44014,3.64966,3.64966,4.23832,4.44014,4.47378,4.50742,4.38969,4.17104,3.85149,3.59921,3.70012,3.81785,3.73376,3.73376,3.71694,3.71694,3.53193,3.46466,3.41420,3.53193,3.54875,3.54875,3.53193,3.61603,3.68330,3.81785,3.95240,3.90194,4.07013,4.35605,4.44014,4.60833,4.62515,4.62515,4.57469,4.50742,4.40651,4.35605,4.27196,4.20468,4.22150,4.10377,4.10377,4.01968,4.08695,3.91876,3.90194,3.86831,3.78421,3.75058,3.70012,3.64966,3.63284,3.53193,3.86831,3.71694
2015,Peats Ridge 33_11kV,04MAY2014,MW,3.61603,3.54875,3.48148,3.33011,3.26283,3.14510,3.17874,3.07783,3.06101,3.12828,3.04419,3.01055,2.92646,2.94328,2.94328,2.89282,2.89282,2.89282,2.89282,2.89282,2.89282,2.89282,2.89282,2.97691,3.07783,3.26283,3.29647,3.38056,3.41420,3.58239,3.54875,3.33011,3.46466,3.56557,3.63284,3.63284,3.68330,3.66648,3.58239,3.49830,3.41420,3.44784,3.49830,3.51511,3.64966,3.58239,3.53193,3.51511,3.44784,3.44784,3.44784,3.44784,3.51511,3.71694,3.71694,3.71694,3.71694,3.70012,3.59921,3.70012,3.71694,3.71694,3.80103,3.85149,3.75058,3.81785,3.85149,4.05331,4.33923,4.55787,4.84379,4.87743,4.97834,5.01198,4.84379,4.89425,4.75970,4.60833,4.65879,4.62515,4.62515,4.62515,4.55787,4.42332,4.27196,4.27196,4.27196,4.17104,4.03649,4.12059,4.07013,4.00286,3.95240,3.95240,4.20468,4.07013
2015,Peats Ridge 33_11kV,05MAY2014,MW,3.68330,3.66648,3.49830,3.38056,3.36375,3.31329,3.46466,3.38056,3.24601,3.22920,3.24601,3.16192,3.12828,3.12828,3.04419,2.79191,2.79191,2.79191,2.80873,3.26283,3.48148,3.48148,3.58239,4.00286,4.32241,4.70924,5.19699,5.56700,5.53336,5.86974,5.51654,5.48290,5.28108,5.26426,5.02880,5.11289,5.02880,5.01198,4.84379,4.99516,4.91107,4.89425,4.74288,4.52424,4.42332,4.42332,4.69242,4.67561,4.77652,5.44927,5.48290,5.39881,5.43245,5.53336,5.43245,5.55018,5.75200,5.70155,5.14653,5.46609,5.86974,6.02110,6.05474,5.78564,5.51654,5.58382,5.68473,5.90337,5.88655,6.29020,6.45839,6.54248,6.67703,6.55930,6.59294,6.50885,5.78564,5.66791,5.31472,5.56700,5.68473,5.86974,5.68473,5.58382,5.58382,5.56700,5.56700,5.33154,5.23062,5.19699,5.19699,4.92789,4.92789,4.84379,5.19699,5.14653
2015,Peats Ridge 33_11kV,06MAY2014,MW,5.09607,5.19699,5.06244,4.89425,4.82697,4.79334,4.81016,4.74288,4.60833,4.50742,4.45696,4.37287,4.37287,3.66648,3.34693,3.39738,3.43102,3.51511,3.51511,3.51511,3.53193,3.64966,3.83467,4.38969,4.87743,5.19699,5.38199,5.48290,5.61745,5.44927,5.24744,5.24744,5.41563,5.24744,5.34835,5.28108,5.09607,5.12971,5.23062,5.28108,5.34835,5.28108,5.16335,5.12971,5.31472,5.19699,5.14653,5.07926,4.87743,4.97834,5.02880,4.91107,4.84379,4.79334,4.84379,5.06244,4.89425,4.86061,4.77652,5.28108,6.00429,6.15565,6.07156,6.08838,6.25657,6.20611,6.27338,6.35748,5.86974,5.83610,6.81158,6.76113,6.35748,6.20611,6.76113,6.42475,6.00429,6.00429,6.00429,5.85292,5.92019,5.95383,5.95383,5.83610,5.75200,5.60064,5.58382,5.33154,5.16335,5.11289,5.11289,4.86061,4.89425,4.77652,4.86061,4.49060
2015,Peats Ridge 33_11kV,07MAY2014,MW,3.95240,4.07013,4.35605,4.35605,4.28878,4.30559,4.37287,4.25514,4.10377,4.03649,4.01968,3.90194,3.88513,3.63284,3.24601,3.33011,3.38056,3.41420,3.44784,3.44784,3.56557,3.66648,3.59921,4.27196,4.69242,5.19699,5.46609,5.71837,5.44927,5.55018,5.53336,5.18017,5.23062,5.21381,5.19699,5.14653,5.07926,5.12971,5.11289,5.12971,5.14653,5.11289,4.94471,5.09607,5.06244,4.87743,4.89425,5.04562,4.81016,4.96152,4.92789,4.82697,4.59151,4.62515,4.69242,4.67561,4.72606,4.79334,4.87743,4.92789,4.94471,4.87743,4.92789,4.81016,4.96152,5.06244,5.11289,5.12971,5.21381,5.51654,5.76882,5.92019,5.88655,5.88655,5.97065,5.81928,5.18017,5.07926,5.07926,4.99516,4.96152,4.77652,4.69242,4.59151,4.32241,4.13741,4.07013,4.08695,4.08695,4.07013,4.00286,3.83467,3.88513,3.73376,3.95240,3.93558
2015,Peats Ridge 33_11kV,08MAY2014,MW,3.81785,3.96922,3.86831,3.68330,3.63284,3.61603,3.64966,3.51511,3.46466,3.39738,3.22920,3.12828,3.11146,3.11146,2.92646,2.80873,2.87600,2.94328,2.92646,3.04419,3.29647,3.43102,3.33011,3.68330,4.25514,4.65879,4.99516,5.68473,6.23975,6.20611,6.27338,6.20611,6.40793,6.30702,6.22293,6.18929,5.71837,6.08838,6.12202,6.07156,5.97065,5.95383,5.98747,5.97065,5.88655,5.60064,5.55018,5.73519,5.60064,5.49972,5.70155,5.68473,5.55018,5.51654,5.60064,5.63427,5.71837,5.73519,5.83610,5.75200,5.66791,5.65109,5.71837,5.68473,5.75200,5.75200,5.71837,6.00429,6.03792,6.42475,6.55930,6.54248,6.40793,6.30702,6.40793,6.23975,5.98747,5.78564,5.61745,5.48290,5.33154,5.18017,5.33154,5.26426,5.11289,4.52424,4.81016,4.89425,4.74288,4.64197,4.82697,4.60833,4.77652,4.69242,4.97834,4.84379
2015,Peats Ridge 33_11kV,09MAY2014,MW,4.79334,4.92789,4.77652,4.62515,4.57469,4.54106,4.52424,4.42332,4.20468,3.98604,4.05331,3.91876,3.78421,3.38056,2.80873,2.80873,2.80873,2.82555,2.82555,2.85918,3.06101,3.16192,3.21238,3.33011,3.91876,4.32241,4.82697,4.99516,5.07926,5.11289,5.12971,5.09607,5.09607,5.02880,4.92789,4.69242,4.60833,4.84379,4.72606,4.91107,4.89425,5.01198,4.92789,4.82697,4.96152,4.92789,4.65879,4.62515,4.60833,4.44014,4.44014,4.40651,4.33923,4.30559,4.25514,4.42332,4.35605,4.27196,4.45696,4.44014,5.07926,5.33154,5.33154,5.49972,5.39881,5.58382,5.63427,5.92019,6.12202,6.18929,6.30702,6.22293,6.29020,6.15565,6.07156,6.02110,5.66791,5.61745,5.31472,5.28108,5.33154,5.19699,5.18017,5.11289,4.97834,4.87743,4.84379,4.72606,4.67561,4.69242,4.84379,4.64197,4.70924,4.57469,4.74288,4.60833
2015,Peats Ridge 33_11kV,10MAY2014,MW,4.59151,4.75970,4.59151,4.42332,4.28878,4.01968,4.13741,3.95240,3.68330,3.38056,3.11146,2.96010,2.80873,2.70781,2.79191,2.70781,2.70781,2.72463,2.82555,2.82555,2.82555,2.84236,3.24601,3.78421,4.20468,4.20468,4.35605,4.33923,4.27196,4.37287,4.45696,4.44014,4.54106,4.55787,4.57469,4.67561,4.32241,4.12059,4.37287,4.55787,4.49060,4.23832,4.50742,4.50742,4.44014,4.40651,4.42332,3.93558,3.80103,3.76739,3.78421,3.54875,3.63284,3.68330,3.61603,3.53193,3.27965,3.39738,3.39738,3.46466,3.39738,3.51511,3.39738,3.38056,3.44784,3.54875,3.63284,3.70012,3.78421,4.12059,4.15423,4.13741,4.12059,4.12059,4.03649,3.98604,3.86831,3.73376,3.88513,4.01968,3.90194,3.78421,3.64966,3.64966,3.68330,3.58239,3.63284,3.53193,3.53193,3.53193,3.49830,3.48148,3.31329,3.24601,3.56557,3.46466
2015,Peats Ridge 33_11kV,11MAY2014,MW,3.51511,3.46466,3.39738,3.22920,3.11146,3.07783,3.14510,3.09465,3.12828,3.06101,2.96010,2.96010,2.90964,2.84236,2.84236,2.84236,2.77509,2.72463,2.72463,2.74145,2.84236,2.84236,2.84236,2.70781,2.77509,2.82555,2.82555,2.92646,3.02737,3.21238,3.29647,3.12828,3.11146,3.27965,3.24601,3.33011,3.36375,3.48148,3.48148,3.48148,3.48148,3.31329,3.11146,3.31329,3.31329,3.38056,3.24601,3.07783,3.11146,3.11146,3.09465,3.14510,3.14510,3.09465,3.04419,2.97691,2.97691,2.96010,3.01055,3.12828,3.02737,3.07783,3.04419,3.09465,3.26283,3.41420,3.58239,3.58239,3.68330,3.76739,4.05331,4.20468,4.15423,4.15423,4.10377,4.10377,3.88513,3.86831,3.76739,3.78421,3.81785,3.80103,3.80103,3.76739,3.76739,3.64966,3.63284,3.53193,3.44784,3.51511,3.48148,3.36375,3.39738,3.39738,3.64966,3.59921
2015,Peats Ridge 33_11kV,12MAY2014,MW,3.48148,3.59921,3.58239,3.43102,3.36375,3.27965,3.39738,3.29647,2.99373,2.96010,3.06101,3.09465,2.89282,2.69100,2.69100,2.69100,2.74145,2.84236,2.84236,2.96010,3.17874,3.22920,3.31329,3.86831,4.12059,4.55787,5.02880,5.07926,4.91107,5.07926,5.09607,5.06244,5.01198,4.97834,5.09607,5.12971,4.96152,4.87743,4.86061,4.75970,4.60833,4.79334,5.48290,5.66791,5.56700,5.53336,5.58382,5.71837,5.85292,5.85292,5.88655,5.56700,5.51654,5.51654,5.58382,5.70155,5.73519,5.49972,5.51654,5.53336,5.70155,5.65109,5.46609,5.58382,5.68473,5.73519,5.70155,5.80246,5.92019,6.17247,6.35748,6.22293,6.39112,6.32384,6.18929,6.12202,5.70155,5.56700,5.33154,5.28108,5.29790,5.23062,5.16335,5.06244,4.82697,4.82697,4.91107,4.72606,4.70924,4.60833,4.57469,4.50742,4.54106,4.42332,4.69242,4.55787
2015,Peats Ridge 33_11kV,13MAY2014,MW,4.50742,4.69242,4.57469,4.37287,3.71694,3.48148,3.49830,3.41420,3.17874,3.14510,3.07783,2.90964,2.99373,3.02737,3.02737,2.96010,2.79191,2.89282,3.06101,3.06101,2.96010,3.04419,3.04419,3.56557,3.93558,4.42332,4.81016,4.99516,3.59921,3.63284,3.51511,3.56557,3.63284,3.75058,3.73376,3.70012,3.59921,3.44784,3.64966,3.70012,3.85149,3.90194,3.70012,3.73376,3.78421,3.85149,3.68330,3.54875,3.59921,3.64966,3.53193,3.61603,3.61603,3.63284,3.66648,3.58239,3.58239,3.63284,3.70012,3.76739,3.75058,3.83467,3.95240,3.81785,4.17104,4.97834,5.26426,5.29790,5.41563,5.48290,5.73519,6.54248,6.62658,6.50885,6.35748,6.20611,5.97065,6.34066,6.05474,6.10520,5.90337,5.60064,5.14653,5.56700,5.55018,5.44927,5.56700,5.18017,4.86061,4.91107,4.70924,4.50742,4.64197,4.55787,4.81016,4.75970
2015,Peats Ridge 33_11kV,14MAY2014,MW,4.67561,4.74288,4.57469,4.35605,4.27196,4.27196,4.22150,4.30559,4.27196,4.13741,3.98604,3.19556,3.04419,3.01055,3.01055,2.97691,3.01055,3.01055,3.06101,3.14510,3.21238,3.26283,3.33011,3.85149,4.22150,4.67561,4.81016,5.09607,5.23062,5.26426,5.14653,5.24744,5.19699,5.14653,5.31472,5.24744,4.99516,4.94471,4.75970,4.55787,4.57469,4.79334,4.91107,4.86061,4.77652,4.74288,4.67561,4.69242,4.54106,4.49060,4.59151,4.57469,4.44014,4.28878,4.38969,4.57469,4.59151,4.52424,4.54106,4.62515,5.36517,5.66791,5.66791,5.60064,5.66791,5.88655,5.92019,5.85292,5.88655,5.97065,5.81928,6.10520,6.08838,6.15565,6.18929,6.13883,5.95383,5.97065,5.90337,5.68473,5.44927,5.23062,5.21381,5.23062,5.04562,4.89425,5.09607,4.96152,4.97834,4.96152,4.87743,4.59151,4.67561,3.64966,3.76739,3.61603
2015,Peats Ridge 33_11kV,15MAY2014,MW,3.56557,3.61603,3.53193,3.48148,3.44784,3.48148,3.49830,3.39738,3.14510,3.14510,3.02737,3.02737,2.92646,2.92646,2.89282,2.80873,2.74145,2.80873,2.84236,2.87600,3.01055,3.31329,3.46466,3.58239,3.76739,4.13741,4.97834,5.23062,5.21381,5.31472,5.18017,5.33154,5.36517,5.02880,4.87743,4.65879,4.55787,4.62515,4.64197,4.57469,4.52424,4.55787,4.44014,5.11289,5.63427,5.53336,5.70155,5.61745,5.39881,5.36517,5.43245,5.31472,5.31472,5.19699,5.31472,5.39881,5.56700,5.38199,5.43245,5.51654,5.48290,5.36517,5.39881,5.44927,5.53336,5.83610,5.86974,5.88655,5.95383,6.17247,6.39112,6.39112,6.20611,5.88655,6.10520,6.08838,5.66791,5.41563,5.53336,5.38199,5.16335,5.09607,5.06244,4.99516,4.99516,4.92789,4.89425,4.70924,4.74288,4.77652,4.72606,4.49060,4.60833,4.47378,4.70924,4.54106
2015,Peats Ridge 33_11kV,16MAY2014,MW,4.54106,4.40651,4.33923,4.27196,4.25514,4.18786,4.27196,4.15423,3.98604,3.83467,3.73376,3.76739,3.63284,3.58239,3.22920,2.92646,2.96010,2.87600,2.82555,2.89282,3.02737,3.09465,3.22920,3.71694,4.27196,4.86061,4.96152,5.09607,5.19699,5.18017,5.21381,5.12971,5.14653,4.97834,4.97834,4.87743,4.82697,4.89425,4.86061,5.02880,4.97834,4.87743,4.75970,4.89425,4.94471,4.86061,4.91107,4.99516,4.79334,4.64197,4.40651,4.40651,4.57469,4.67561,4.69242,4.54106,4.69242,4.77652,4.77652,4.77652,4.70924,4.65879,4.55787,4.47378,4.57469,4.62515,5.58382,5.71837,5.73519,6.10520,6.29020,6.47521,6.07156,6.18929,6.17247,5.78564,5.49972,5.51654,5.51654,5.41563,5.11289,4.94471,4.94471,4.82697,4.74288,4.70924,4.79334,4.74288,4.67561,4.77652,4.81016,4.64197,4.60833,4.49060,4.74288,4.62515
2015,Peats Ridge 33_11kV,17MAY2014,MW,4.50742,4.59151,4.55787,4.37287,4.22150,4.15423,4.27196,4.17104,4.03649,3.90194,3.78421,3.59921,3.54875,3.53193,3.56557,3.56557,3.64966,3.66648,3.68330,3.76739,3.68330,3.58239,3.12828,3.19556,3.58239,3.95240,4.23832,4.35605,4.30559,4.42332,4.40651,4.50742,4.52424,4.57469,4.60833,4.49060,4.15423,4.44014,4.45696,4.55787,4.38969,4.33923,4.33923,4.38969,4.42332,4.32241,4.25514,4.35605,3.90194,4.00286,3.98604,3.71694,3.66648,3.73376,3.73376,3.73376,3.59921,3.61603,3.56557,3.54875,3.61603,3.61603,3.73376,3.73376,3.73376,3.73376,3.83467,3.88513,3.93558,4.25514,4.37287,4.44014,4.52424,4.38969,4.33923,4.23832,4.01968,3.86831,3.85149,3.85149,4.05331,3.98604,3.98604,3.88513,3.88513,3.76739,3.71694,3.63284,3.61603,3.63284,3.68330,3.56557,3.54875,3.44784,3.64966,3.66648
2015,Peats Ridge 33_11kV,18MAY2014,MW,3.61603,3.63284,3.59921,3.29647,3.16192,3.16192,3.26283,3.12828,2.94328,2.87600,2.82555,2.75827,2.75827,2.77509,2.74145,2.74145,2.70781,2.65736,2.65736,2.75827,2.90964,2.94328,2.75827,2.89282,2.89282,2.92646,2.97691,3.17874,3.29647,3.38056,3.41420,3.48148,3.53193,3.59921,3.59921,3.56557,3.56557,3.53193,3.54875,3.44784,3.43102,3.49830,3.51511,3.51511,3.34693,3.26283,3.27965,3.22920,3.22920,3.27965,3.12828,3.21238,3.21238,3.14510,3.09465,3.11146,3.22920,3.36375,3.36375,3.36375,3.44784,3.48148,3.48148,3.46466,3.44784,3.46466,3.49830,3.54875,3.70012,4.08695,4.17104,4.25514,4.25514,4.33923,4.27196,4.18786,4.30559,4.20468,4.13741,4.01968,4.01968,3.91876,3.86831,3.80103,3.58239,3.48148,3.59921,3.49830,3.53193,3.38056,3.33011,3.38056,3.46466,3.54875,3.81785,3.80103
2015,Peats Ridge 33_11kV,19MAY2014,MW,3.75058,3.83467,3.73376,3.61603,3.58239,3.53193,3.53193,3.41420,3.31329,3.21238,3.11146,3.09465,3.04419,3.04419,2.97691,2.94328,2.96010,2.97691,2.97691,2.99373,2.97691,2.97691,3.29647,3.63284,3.96922,4.23832,4.42332,4.40651,4.25514,4.42332,4.49060,4.54106,4.38969,4.49060,4.62515,4.65879,4.55787,4.52424,4.54106,4.54106,4.45696,4.40651,4.42332,4.35605,4.45696,4.47378,4.47378,4.49060,4.59151,4.52424,4.55787,4.62515,4.57469,4.45696,4.47378,4.47378,4.62515,4.67561,4.55787,4.82697,5.43245,5.49972,5.83610,5.75200,5.75200,6.15565,6.13883,6.25657,6.42475,6.64340,6.87886,6.77795,6.84522,6.67703,6.71067,6.40793,5.95383,5.83610,5.80246,5.60064,5.38199,5.26426,5.29790,5.38199,5.38199,5.21381,5.21381,4.89425,4.79334,4.64197,4.57469,4.40651,4.50742,4.35605,4.79334,4.77652
2015,Peats Ridge 33_11kV,20MAY2014,MW,4.72606,4.84379,4.52424,4.49060,4.42332,4.28878,4.28878,4.18786,4.05331,4.07013,4.08695,3.98604,3.98604,3.90194,3.17874,2.80873,2.82555,2.75827,2.84236,2.89282,3.17874,3.26283,3.33011,3.95240,4.18786,4.74288,4.75970,5.14653,5.01198,5.21381,5.23062,5.23062,5.19699,5.09607,5.01198,4.96152,4.72606,4.70924,4.67561,4.84379,4.81016,4.77652,4.81016,4.89425,4.82697,4.87743,4.91107,4.89425,4.86061,4.72606,4.75970,4.64197,4.49060,4.57469,4.60833,4.77652,4.87743,4.96152,5.58382,5.61745,5.48290,5.70155,5.70155,5.61745,5.63427,5.71837,5.92019,6.15565,6.23975,6.52567,6.57612,6.50885,6.52567,6.35748,6.37430,6.05474,5.60064,5.51654,5.43245,5.26426,5.18017,5.06244,5.04562,4.99516,5.06244,4.96152,4.74288,4.65879,4.64197,4.70924,4.72606,4.47378,,4.45696,4.77652,4.74288
2015,Peats Ridge 33_11kV,21MAY2014,MW,4.69242,4.65879,4.57469,4.42332,4.32241,,4.27196,4.10377,4.08695,3.95240,3.95240,3.71694,3.63284,3.51511,3.19556,3.01055,3.01055,3.01055,3.01055,3.04419,2.99373,3.07783,3.11146,3.33011,3.80103,4.57469,4.97834,5.06244,5.02880,4.97834,4.91107,5.14653,5.23062,5.18017,5.26426,5.18017,5.01198,5.04562,5.11289,5.11289,5.16335,5.06244,5.11289,5.01198,4.97834,5.09607,5.09607,4.96152,4.86061,4.79334,4.81016,4.59151,4.65879,4.55787,4.77652,4.87743,4.86061,4.84379,4.82697,4.87743,5.21381,5.70155,5.75200,5.60064,5.33154,5.61745,5.81928,5.92019,5.97065,6.35748,6.54248,6.13883,6.15565,6.27338,6.15565,5.92019,5.51654,5.44927,5.46609,5.31472,5.16335,5.02880,4.99516,4.97834,4.86061,4.79334,4.77652,4.75970,4.82697,4.72606,4.59151,4.38969,4.42332,4.30559,4.62515,4.60833
2015,Peats Ridge 33_11kV,22MAY2014,MW,4.57469,4.60833,4.47378,4.35605,4.20468,4.13741,4.20468,4.05331,3.98604,4.03649,3.93558,3.96922,3.90194,3.85149,3.38056,3.06101,2.99373,2.99373,3.04419,2.90964,3.04419,3.11146,3.17874,3.86831,4.23832,4.62515,4.82697,5.06244,4.74288,4.92789,5.09607,4.96152,4.91107,4.91107,4.77652,4.82697,4.74288,4.96152,4.47378,4.52424,4.45696,4.54106,4.54106,4.59151,4.54106,4.55787,4.52424,4.38969,4.33923,4.47378,4.72606,4.74288,4.82697,4.72606,4.65879,4.81016,4.60833,4.25514,4.72606,5.07926,5.14653,5.09607,5.28108,5.34835,5.65109,5.65109,5.71837,5.81928,5.86974,5.95383,6.08838,6.17247,6.22293,6.22293,6.00429,5.73519,5.78564,5.80246,5.78564,5.53336,5.53336,5.36517,5.41563,5.33154,5.23062,5.07926,5.18017,4.94471,4.91107,4.91107,4.84379,4.81016,4.77652,4.74288,5.14653,4.99516
2015,Peats Ridge 33_11kV,23MAY2014,MW,4.94471,5.06244,4.96152,4.82697,4.65879,4.62515,4.77652,4.57469,4.33923,4.35605,4.28878,4.20468,4.22150,4.13741,3.61603,3.38056,3.31329,3.31329,3.31329,3.38056,3.51511,3.54875,3.75058,4.10377,4.52424,5.09607,5.19699,5.34835,5.33154,5.09607,5.46609,5.44927,5.21381,5.36517,5.33154,5.36517,5.26426,5.09607,5.21381,4.94471,4.89425,4.94471,5.06244,5.14653,5.04562,5.01198,5.06244,4.97834,4.99516,4.92789,4.75970,4.91107,4.79334,4.77652,4.94471,4.94471,4.97834,4.82697,4.77652,4.64197,5.21381,5.31472,5.28108,5.04562,5.04562,5.16335,5.36517,5.43245,5.58382,5.95383,6.02110,5.85292,6.17247,6.17247,6.22293,5.98747,5.61745,5.55018,5.23062,4.99516,5.07926,5.29790,5.38199,5.29790,5.26426,5.11289,5.07926,4.86061,4.20468,4.13741,4.33923,4.30559,4.37287,4.59151,5.01198,4.97834
2015,Peats Ridge 33_11kV,24MAY2014,MW,4.89425,4.91107,4.77652,4.59151,4.54106,4.03649,4.08695,4.25514,4.37287,4.20468,4.10377,3.88513,3.85149,3.95240,4.12059,4.00286,4.01968,3.86831,3.81785,3.96922,4.10377,4.37287,3.91876,3.93558,4.20468,4.60833,4.72606,4.79334,4.69242,4.77652,4.82697,4.64197,4.60833,4.62515,4.62515,4.64197,4.37287,4.30559,4.42332,4.45696,4.54106,4.55787,4.62515,4.52424,4.59151,4.62515,4.49060,4.72606,4.22150,4.08695,4.28878,4.20468,3.95240,4.07013,4.05331,4.10377,3.80103,3.76739,3.73376,3.61603,3.70012,3.70012,3.51511,3.56557,3.64966,3.66648,3.93558,4.12059,4.12059,4.08695,4.17104,4.23832,4.23832,4.17104,4.05331,4.07013,4.23832,4.33923,4.25514,4.20468,4.17104,4.17104,4.25514,4.12059,4.03649,3.91876,3.86831,3.88513,3.81785,3.81785,3.86831,3.75058,3.78421,3.78421,4.05331,4.05331
2015,Peats Ridge 33_11kV,25MAY2014,MW,3.95240,3.96922,3.93558,3.78421,3.75058,3.61603,3.64966,3.54875,3.44784,3.34693,3.29647,3.29647,3.21238,3.17874,3.17874,3.17874,3.11146,3.11146,3.11146,3.11146,3.11146,3.14510,3.27965,3.17874,3.34693,3.49830,3.43102,3.53193,3.53193,3.61603,4.00286,4.17104,4.13741,4.18786,4.22150,4.22150,4.25514,4.27196,4.30559,4.35605,4.35605,4.35605,4.37287,4.32241,4.18786,4.28878,4.28878,4.37287,4.28878,4.28878,4.35605,4.33923,4.28878,4.20468,4.12059,3.86831,3.88513,3.90194,3.88513,3.91876,4.00286,3.95240,3.86831,3.90194,3.86831,3.95240,3.86831,3.59921,3.71694,3.95240,4.13741,4.30559,4.08695,4.38969,4.50742,4.37287,4.37287,4.28878,4.15423,4.15423,4.15423,4.05331,4.03649,4.03649,4.03649,3.95240,3.80103,3.80103,3.70012,3.76739,3.85149,3.68330,3.78421,3.76739,4.05331,3.81785
2015,Peats Ridge 33_11kV,26MAY2014,MW,3.81785,4.03649,3.98604,3.88513,3.86831,3.80103,3.80103,3.56557,3.56557,3.51511,3.44784,3.43102,3.24601,3.14510,3.01055,3.04419,3.07783,3.07783,3.07783,3.07783,3.41420,4.13741,4.20468,4.38969,5.07926,5.41563,5.88655,6.02110,5.80246,5.85292,6.03792,6.10520,6.03792,6.18929,5.95383,5.80246,5.70155,5.92019,5.81928,5.97065,5.85292,5.92019,5.75200,6.00429,5.98747,5.78564,5.76882,5.83610,5.75200,5.76882,5.55018,5.80246,5.83610,5.36517,5.21381,5.49972,5.66791,5.44927,5.44927,5.68473,5.98747,5.92019,5.75200,5.75200,5.66791,5.75200,5.76882,5.81928,6.15565,6.39112,6.44157,6.37430,6.37430,6.39112,6.30702,6.29020,5.61745,5.49972,5.38199,5.29790,5.36517,5.43245,5.24744,5.23062,5.23062,5.07926,5.23062,5.04562,5.01198,5.07926,4.99516,4.81016,4.79334,4.69242,4.97834,4.75970
